,Ativo Total,Ativo Circulante,Disponibilidades,Aplicações Interfinanceiras de Liquidez,Títulos e Valores Mobiliários,Relações Interfinanceiras,Relações Interdependências,Operações de Crédito,Operações de Arrendamento Mercantil,Outros Créditos,Outros Valores e Bens,Ativo Realizável a Longo Prazo,Aplicações Interfinanceiras de Liquidez.1,Títulos e Valores Mobiliários.1,Relações Interfinanceiras.1,Relações Interdependências.1,Operações de Crédito.1,Operações de Arrendamento Mercantil.1,Outros Créditos.1,Outros Valores e Bens.1,Ativo Permanente,Investimentos,Imobilizado de Uso,Imobilizado de Arrendamento,Intangível,Diferido,Passivo Total,Passivo Circulante,Depósitos,Captações no Mercado Aberto,Recursos de Aceites e Emissão de Títulos,Relações Interfinanceiras.2,Relações Interdependências.2,Obrigações por Empréstimos,Obrigações por Repasse do País,Obrigações por Repasse do Exterior,Outras Obrigações,Passivo Exigível a Longo Prazo,Depósitos.1,Captações no Mercado Aberto.1,Recursos de Aceites e Emissão de Títulos.1,Relações Interfinanceiras.3,Relações Interdependências.3,Obrigações por Empréstimos.1,Obrigações por Repasse do País.1,Obrigações por Repasse do Exterior.1,Outras Obrigações.1,Resultados de Exercícios Futuros,Part. de Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucro,Ajustes de Avaliação Patrimonial,Lucros/Prejuízos Acumulados,Receitas da Intermediação Financeira,Despesas da Intermediação Financeira,Resultado Bruto Intermediação Financeira,Outras Despesas/Receitas Operacionais,Receitas de Prestação de Serviços,Despesas de Pessoal,Outras Despesas Administrativas,Despesas Tributárias,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Resultado Operacional,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores.1,Lucro/Prejuízo do Período
2007-06-30,4032807.0,0.0,0.0,0.0,0.0,727.0,,612526.0,,4032807.0,0.0,76977.0,67822.12,0.0,75449.07,,0.0,,0.0,-5588.0,0.0,0.0,7502.0,,482704.0,,3550103.0,482704.0,0.0,0.0,10071.0,0.0,0.0,31358.0,0.0,0.0,405000.0,143271.19,0.0,,31358.0,,,3708.0,0.0,0.0,0.0,10071.0,,31358.0,75.0,41429.0,,0.0,0.00017078,25770.0,-7572.0,41429.0,0.0,0.00017078,0.00017078,0.00017078,25770.0,25770.0,25770.0,0.00017078,0.00017078,,,,,,,,,,,
2007-09-30,5383888.0,0.0,0.0,0.0,0.0,-1638.0,,827449.0,,5383888.0,0.0,80162.0,67822.12,0.0,75449.07,,0.0,,0.0,-4457.0,0.0,0.0,6921.0,,1082924.0,,4300964.0,1082924.0,0.0,0.0,1970.0,0.0,0.0,7642.0,0.0,0.0,1004400.0,143271.19,0.0,,7642.0,,,3574.0,0.0,0.0,0.0,1970.0,,7642.0,100.0,9612.0,,0.0,2.111e-05,3185.0,-12466.0,9612.0,0.0,2.111e-05,2.111e-05,2.111e-05,3185.0,3185.0,3185.0,2.111e-05,2.111e-05,,,,,,,,,,,
2007-12-31,5665686.0,0.0,0.0,-2354.0,0.0,-5714.0,,1298487.0,,5665687.0,-4707.0,86896.0,67822.12,418858.0,75449.07,,1385.0,,0.0,-11240.0,2354.0,3739.0,5525.0,,1085582.0,,4580105.0,1085582.0,0.0,0.0,-1026.0,10232.0,0.0,61380.0,0.00024451000000000003,0.0,1004400.0,143271.19,0.0,,61380.0,,,5946.0,10581.0,0.0,0.0,-1026.0,,61380.0,0.0,60354.0,,0.0,0.00033229,50140.0,-14586.0,60354.0,43406.0,0.00033229,0.00033229,0.00033229,50140.0,50140.0,50140.0,0.00033229,0.00033229,,,,,,,,,,,
2008-03-31,5882205.0,5058.0,0.0,0.0,0.0,-6014.0,,1329459.0,,5882205.0,-7331.0,108624.0,67822.12,16766.0,75449.07,,0.0,,436.0,-14519.0,0.0,0.0,6947.0,,1107010.0,,4775195.0,1107010.0,0.0,0.0,9990.0,14278.0,5058.0,49261.0,9.17e-05,0.0,1004400.0,143271.19,0.0,,49261.0,,,6880.0,34528.0,0.0,0.0,9990.0,,49261.0,949.0,59251.0,,0.0,0.00023023,34742.0,-14181.0,59251.0,16278.0,0.00023023,0.00023023,0.00023023,34742.0,34742.0,34742.0,0.00023023,0.00023023,,,,,,,,,,,
2008-06-30,6309543.0,5206.0,0.0,0.0,0.0,-8514.0,,1437107.0,,6309543.0,-7632.0,135902.0,67822.12,29869.0,75449.07,,0.0,,478.0,-11858.0,0.0,0.0,7360.0,,1131788.0,,5177755.0,1131788.0,0.0,0.0,13623.0,14992.0,5206.0,54625.0,0.0,0.0,1004400.0,143271.19,0.0,,54625.0,,,7134.0,47968.0,0.0,0.0,13623.0,,54625.0,202.0,68248.0,,0.0,0.00028342,42767.0,-16031.0,68248.0,0.0,0.00028342,0.00028342,0.00028342,42767.0,42767.0,42767.0,0.00028342,0.00028342,,,,,,,,,,,
2008-09-30,7684409.0,5384.0,0.0,0.0,0.0,-8182.0,,1894368.0,,7684409.0,-7807.0,166755.0,67822.12,16099.0,74782.71,,0.0,,546.0,-13961.0,0.0,0.0,8077.0,,1158760.0,,6525649.0,1158760.0,0.0,666.36,6019.0,15884.0,5384.0,58381.0,0.00011635,6019.0,1004400.0,142604.83,6019.0,,58381.0,,,6850.0,95736.0,0.0,12038.0,6019.0,,58381.0,1214.0,64400.0,,6019.0,0.00029568,44420.0,-17594.0,64400.0,17556.0,0.00029568,0.00029568,0.00029568,44420.0,44420.0,44420.0,0.00029568,0.00029568,,,,,,,,,,,
2008-12-31,7515872.0,5574.0,0.0,-2835.0,0.0,-5594.0,,2528682.0,,7515872.0,-5303.0,138195.0,67822.12,212492.0,74162.85,,2446.0,,572.0,-4755.0,2835.0,5281.0,5818.0,,1130312.0,,6385560.0,1130312.0,0.0,1286.22,-16241.0,11121.0,5574.0,20669.0,0.00012508,-16241.0,1004400.0,141984.97,-16241.0,,20669.0,,,8572.0,65713.0,0.0,-32482.0,-16241.0,,20669.0,2192.0,4428.0,,-16241.0,0.00010823000000000001,15914.0,-20740.0,4428.0,16204.0,0.00010823000000000001,0.00010823000000000001,0.00010823000000000001,15914.0,15914.0,15914.0,0.00010823000000000001,0.00010823000000000001,,,,,,,,,,,
2009-03-31,6910286.0,5746.0,0.0,-2996.0,0.0,-666.0,,1747450.0,,6910286.0,-5307.0,144668.0,67822.12,311043.0,74188.88,,2484.0,,595.0,-7500.0,2996.0,5480.0,6914.0,,1141544.0,,5768742.0,1141544.0,0.0,1326.94,2352.0,12221.0,5746.0,31452.0,0.00011687999999999999,2352.0,1004400.0,142011.0,2352.0,,31452.0,,,9758.0,69852.0,0.0,4704.0,2352.0,,31452.0,1420.0,33804.0,,0.0,0.00016014,23952.0,-20638.0,33804.0,17479.0,0.00016014,0.00016014,0.00016014,23952.0,23952.0,23952.0,0.00016014,0.00016014,,,,,,,,,,,
2009-06-30,6619656.0,5892.0,0.0,-2885.0,0.0,-644.0,,1553175.0,,6619656.0,-5918.0,162574.0,67882.12,158499.0,74188.88,,2588.0,,714.0,-9245.0,2885.0,5473.0,11728.0,,1159472.0,,5460184.0,1159472.0,0.0,1326.94,17917.0,17646.0,5892.0,44630.0,0.00011687999999999999,0.0,1004400.0,142071.0,0.0,,44630.0,,,16139.0,79951.0,0.0,0.0,17917.0,,44630.0,1629.0,62547.0,,0.0,0.00023658000000000002,35385.0,-17480.0,62547.0,17479.0,0.00023658000000000002,0.00023658000000000002,0.00023658000000000002,35385.0,35385.0,35385.0,0.00023658000000000002,0.00023658000000000002,,,,,,,,,,,
2009-09-30,7467111.0,6029.0,0.0,-3062.0,0.0,80.0,,1448496.0,,7467111.0,-5689.0,184554.0,67822.12,317592.0,74188.88,,2547.0,,793.0,-11815.0,3062.0,5609.0,12491.0,,1182176.0,,6284935.0,1182176.0,0.0,1326.94,15692.0,18180.0,6029.0,49929.0,0.00010782,15692.0,1004400.0,142011.0,15692.0,,49929.0,,,16139.0,107989.0,0.0,31384.0,15692.0,,49929.0,1641.0,65621.0,,15692.0,0.00025482,38114.0,-19533.0,65621.0,16134.0,0.00025482,0.00025482,0.00025482,38114.0,38114.0,38114.0,0.00025482,0.00025482,,,,,,,,,,,
