,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1,Receita Bruta de Vendas e/ou Serviços,Deduções da Receita Bruta,Receita Líquida de Vendas e/ou Serviços,Custo de Bens e/ou Serviços Vendidos,Resultado Bruto,Despesas Com Vendas,Despesas Gerais e Administrativas,Perdas pela Não Recuperabilidade de Ativos ,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Financeiras,Receitas Financeiras,Despesas Financeiras,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores,Lucro/Prejuízo do Período
2000-03-31,5296482.0,2601700.0,0.0,1644356.0,169110.0,366118.0,,338104.0,53374.0,0.0,5296482.0,,75943.0,44488.0,,,75943.0,4566.0,177730.0,-100131.0,32622.0,0.0,23194.0,,1067265.0,1554283.0,-1956.0,195595.0,1230179.0,963390.0,191750.0,23194.0,138863.0,-32958.0,,2173816.37,0.0,,848708.0,117296.0,,0.0,,,909843.0,1790409.0,2109279.95,0.0,,1821908.0,30638.0,0.0,,,,,,0.0,0.0,0.0,0.0,32129.0,,3506073.0,-87974.0,0.0,246323.0,1866352.0,-100131.0,,,,3515.0,36473.0,0.0,,,0.0,-81578.0
2000-06-30,5404446.0,1902515.0,0.0,1030912.0,172327.0,342286.0,,306696.0,40244.0,0.0,5404446.0,,75931.0,41867.0,,,75931.0,5743.0,166865.0,-95228.0,33029.0,0.0,22404.0,,1071081.0,1688053.0,4285.0,211225.0,1110025.0,988063.0,199807.0,22404.0,213209.0,-27309.0,,2173816.37,0.0,,848297.0,91974.0,,0.0,,,813358.0,1886833.0,2109279.95,0.0,,1787245.0,10050.0,0.0,,,,,,0.0,0.0,0.0,0.0,32161.0,,3517613.0,-107009.0,0.0,253578.0,1962764.0,-95228.0,,,,-18343.0,8966.0,0.0,,,0.0,-102421.0
2000-12-31,8639652.0,2687640.0,0.0,983626.0,684448.0,591122.0,,357586.0,26152.0,0.0,8639652.0,,512477.0,100893.0,,,512477.0,159350.0,301138.0,-209168.0,44810.0,0.0,614754.0,,2565249.0,2699622.0,57310.0,579200.0,2378016.0,1265334.0,97318.0,614754.0,115769.0,-33848.0,,2321194.63,0.0,,1369832.0,53202.0,,0.0,,,927574.0,3076945.0,1361626.88,0.0,,3204259.0,44706.0,0.0,,,,,,0.0,0.0,0.0,0.0,26436.0,,5562707.0,-108414.0,0.0,996088.0,3589422.0,-209168.0,,,,104109.0,137957.0,0.0,,,0.0,-169246.0
2001-03-31,8732782.0,2609718.0,0.0,908844.0,450425.0,679449.0,,385452.0,142795.0,0.0,8732782.0,,521422.0,60872.0,,,521422.0,10583.0,294427.0,-1683.0,669209.0,0.0,0.0,,2646023.0,2612596.0,10752.0,444874.0,1515505.0,1517777.0,0.0,0.0,160935.0,-39371.0,,2321194.63,0.0,,1415033.0,44624.0,,0.0,,,894250.0,3244857.0,1361626.88,0.0,,3231291.0,42753.0,0.0,,,,,,0.0,0.0,0.0,0.0,151667.0,,5487925.0,-208143.0,0.0,0.0,3766279.0,-1683.0,,,,253564.0,292935.0,0.0,,,0.0,245305.0
2001-06-30,8933278.0,2722162.0,0.0,1028132.0,376609.0,685011.0,,447043.0,133695.0,0.0,8933278.0,,410066.0,61805.0,,,410066.0,7939.0,285597.0,10380.0,680190.0,0.0,0.0,,2646023.0,2956126.0,9013.0,443835.0,1351876.0,1697971.0,0.0,0.0,220288.0,-69621.0,,2321194.63,0.0,,1302408.0,31830.0,,0.0,,,1018305.0,3214543.0,1361626.88,0.0,,3235973.0,51672.0,0.0,,,,,,0.0,0.0,0.0,0.0,196932.0,,5718735.0,-80253.0,0.0,0.0,3624609.0,10380.0,,,,65720.0,135341.0,0.0,,,0.0,127469.0
2001-09-30,10174778.0,3725198.0,0.0,1956737.0,449138.0,743547.0,,491532.0,56856.0,0.0,10174778.0,,423367.0,62939.0,,,423367.0,584.0,339641.0,-6818.0,651908.0,0.0,0.0,,2646023.0,3188631.0,1491.0,488143.0,1507632.0,1888643.0,0.0,0.0,315252.0,-59737.0,,2321194.63,0.0,,1200309.0,31414.0,,0.0,,,1959368.0,3371689.0,1361626.88,0.0,,3288670.0,27388.0,0.0,,,,,,0.0,0.0,0.0,0.0,151587.0,,6803089.0,-431499.0,0.0,0.0,3795056.0,-6818.0,,,,210944.0,270681.0,0.0,,,0.0,233134.0
2001-12-31,11028812.0,4684944.0,0.0,86415.0,802555.0,806679.0,,336037.0,0.0,176782.0,11028812.0,,88926.0,70876.0,,,88926.0,0.0,168790.0,-1587.0,45026.0,0.0,617574.0,,2944288.0,3412003.0,-18930.0,571169.0,2150572.0,1719989.0,0.0,617574.0,305545.0,220703.0,,2319684.04,0.0,,1315093.0,0.0,,0.0,,,2849353.0,3363437.0,1370618.34,0.0,,3277745.0,2476476.0,0.0,,,,,,0.0,0.0,0.0,0.0,72251.0,,7665375.0,-183824.0,0.0,1160274.0,3452363.0,-1587.0,,,,463097.0,242394.0,0.0,,,0.0,178660.0
2002-03-31,10356653.0,4201989.0,-1520058.0,2313276.0,463668.0,797361.0,,303801.0,125894.0,152814.0,10356653.0,,103297.0,67195.0,,,103297.0,85179.0,293746.0,22419.0,633779.0,0.0,0.0,,2944288.0,2847167.0,-6200.0,397857.0,1661506.0,1690206.0,0.0,0.0,103446.0,-32436.0,,2297143.98,0.0,,1163097.0,26733.0,,0.0,,,2836760.0,3265610.0,1348413.36,0.0,,2950868.0,45175.0,0.0,,,,,,3181564.0,0.0,0.0,0.0,101686.0,,7091043.0,-121601.0,0.0,0.0,3368907.0,22419.0,,,,192904.0,225340.0,0.0,,,0.0,222790.0
2002-06-30,11411849.0,5113063.0,-1478801.0,3138646.0,370404.0,848463.0,,406616.0,115933.0,185917.0,11411849.0,,100922.0,82604.0,,,100922.0,164166.0,271756.0,18202.0,610255.0,0.0,0.0,,3046244.0,3092483.0,-48459.0,390905.0,1543942.0,1726448.0,0.0,0.0,130671.0,-96600.0,,2319672.34,0.0,,1145109.0,26644.0,,0.0,,,3347009.0,3584506.0,1370941.72,0.0,,2946347.0,47084.0,0.0,,,,,,3022743.0,0.0,0.0,0.0,267093.0,,7827343.0,-986802.0,0.0,0.0,3685428.0,18202.0,,,,252637.0,349237.0,0.0,,,0.0,358674.0
2002-09-30,12887202.0,5685598.0,-1617021.0,3211421.0,371366.0,774440.0,,382747.0,79223.0,283114.0,12887203.0,,80144.0,91965.0,,,80144.0,171467.0,304316.0,14805.0,667963.0,0.0,0.0,,3046244.0,3114952.0,9166.0,491322.0,1684381.0,1380206.0,0.0,0.0,144033.0,-563359.0,,2319672.34,0.0,,1234919.0,32287.0,,0.0,,,4243697.0,4062859.0,1370941.72,0.0,,3137984.0,583287.0,0.0,,,,,,3301402.0,0.0,0.0,0.0,512379.0,,8824343.0,-1314071.0,0.0,0.0,4143003.0,14805.0,,,,-71254.0,492105.0,0.0,,,0.0,497436.0
