,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2009-06-30,27.0,27.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,23.0,0.0,19.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,311.0,0.0,0.0,0.0,-307.0,0.0,0.0,0.0,0.0
2009-09-30,89.0,82.0,54.0,0.0,1.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,89.0,83.0,0.0,38.0,37.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,666.0,0.0,0.0,0.0,-660.0,0.0,0.0,0.0,0.0
2009-12-31,24.0,18.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,24.0,376.0,0.0,298.0,65.0,0.0,0.0,0.0,0.0,13.0,0.0,479.0,0.0,479.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-831.0,666.0,0.0,0.0,0.0,-1497.0,0.0,0.0,0.0,0.0
2010-03-31,43019.0,12116.0,11529.0,0.0,503.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30474.0,429.0,0.0,0.0,43019.0,3240.0,0.0,250.0,567.0,0.0,0.0,0.0,0.0,2423.0,0.0,43819.0,0.0,43819.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4040.0,666.0,0.0,0.0,0.0,-4706.0,0.0,0.0,0.0,0.0
2010-03-31,43019000.0,12116000.0,,,6000.0,,,2024000.0,79000.0,0.0,5000.0,,,,,,,,,,,419000.0,0.0,,43019000.0,3240000.0,250000.0,23000.0,567000.0,,47059000.0,,,429000.0,,0.0,,,,,,1071000.0,,,,-4706000.0,4907800.0,4907800.0,,,-4040000.0,,,,
2010-06-30,40509.0,3511.0,1185.0,0.0,2038.0,0.0,0.0,0.0,0.0,288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36536.0,462.0,0.0,0.0,40509.0,4568.0,0.0,935.0,540.0,0.0,0.0,0.0,0.0,3093.0,0.0,43750.0,0.0,43750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7809.0,666.0,0.0,0.0,0.0,-8475.0,0.0,0.0,0.0,0.0
2010-06-30,40509000.0,3511000.0,,,22000.0,,,3681000.0,267000.0,0.0,21000.0,,,,,,,,,,,426000.0,0.0,,40509000.0,4568000.0,935000.0,93000.0,540000.0,,48318000.0,,,462000.0,,0.0,,,,,,2301000.0,,,,-8488000.0,4907800.0,4907800.0,,,-7809000.0,,,,
2010-09-30,39031.0,14074.0,9054.0,0.0,4766.0,0.0,0.0,0.0,0.0,254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24492.0,465.0,0.0,0.0,39031.0,3441.0,0.0,1287.0,660.0,0.0,0.0,0.0,122.0,1372.0,0.0,50328.0,0.0,50328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14738.0,666.0,532.0,0.0,0.0,-15936.0,0.0,0.0,0.0,0.0
2010-09-30,39031000.0,14074000.0,,,26000.0,,,-3060000.0,1358000.0,0.0,46000.0,,,,,,,,,,,426000.0,0.0,,39031000.0,3441000.0,1287000.0,294000.0,660000.0,,53769000.0,,,465000.0,,0.0,,,,,,2283000.0,,,,-15417000.0,4907800.0,4907800.0,,,-14738000.0,,,,
2010-12-31,31528.0,6703.0,1116.0,0.0,5233.0,0.0,0.0,94.0,258.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24375.0,450.0,0.0,0.0,31528.0,2872.0,0.0,1312.0,223.0,0.0,9.0,0.0,0.0,1328.0,0.0,48992.0,0.0,48992.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20336.0,679.0,622.0,0.0,0.0,-21637.0,0.0,0.0,0.0,0.0
2010-12-31,31528000.0,6703000.0,,,26000.0,,,1157000.0,258000.0,2000.0,5327000.0,,,,,,,,,,,426000.0,0.0,,31528000.0,2872000.0,1312000.0,1337000.0,223000.0,,51864000.0,,,450000.0,,0.0,,,,,,5013000.0,,,,-21015000.0,5005980.0,5005980.0,,,-20336000.0,,,,
2011-03-31,91378.0,66704.0,59486.0,0.0,6891.0,0.0,0.0,123.0,204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24099.0,575.0,0.0,0.0,91378.0,9837.0,0.0,188.0,9504.0,0.0,9.0,0.0,0.0,136.0,0.0,47080.0,0.0,47080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34461.0,679.0,851.0,0.0,0.0,32931.0,0.0,0.0,0.0,0.0
2011-03-31,91378000.0,66704000.0,,,29000.0,,,-1584000.0,204000.0,0.0,7014000.0,,,,,,,,,,,426000.0,0.0,,91378000.0,9837000.0,188000.0,145000.0,9504000.0,,56917000.0,,,575000.0,,0.0,,,,,,1535000.0,,,,33782000.0,5005980.0,5005980.0,,,34461000.0,,,,
2011-06-30,80939.0,80399.0,47665.0,0.0,31969.0,0.0,0.0,422.0,343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540.0,0.0,0.0,80939.0,1149.0,0.0,216.0,926.0,0.0,0.0,0.0,0.0,7.0,0.0,46623.0,0.0,46623.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33167.0,679.0,582.0,0.0,0.0,31906.0,0.0,0.0,0.0,0.0
2011-06-30,80939000.0,80399000.0,,,33000.0,,,219000.0,23705000.0,0.0,9029000.0,,,,,,,,,,,426000.0,0.0,,80939000.0,1149000.0,216000.0,7000.0,926000.0,,47772000.0,,,540000.0,,0.0,,,,,,1218000.0,,,,32488000.0,5005980.0,5005980.0,,,33167000.0,,,,
2011-09-30,89627.0,50553.0,49728.0,0.0,0.0,0.0,0.0,529.0,296.0,0.0,36980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36980.0,1584.0,510.0,0.0,0.0,89627.0,52577.0,0.0,82.0,1244.0,0.0,51167.0,0.0,0.0,84.0,0.0,514.0,0.0,514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36536.0,679.0,622.0,0.0,0.0,35235.0,0.0,0.0,0.0,0.0
2011-09-30,89627000.0,50553000.0,,,34000.0,,,-1239000.0,296000.0,0.0,529000.0,,,,,,,,,,,426000.0,0.0,,89627000.0,52577000.0,82000.0,51251000.0,1244000.0,,53091000.0,,,510000.0,,0.0,,,,,,1399000.0,,,,35857000.0,5005980.0,5005980.0,,,36536000.0,,,,
2011-12-31,52058.0,42045.0,41487.0,0.0,0.0,0.0,0.0,351.0,206.0,1.0,4972.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4972.0,0.0,477.0,4564.0,0.0,52058.0,51959.0,0.0,74.0,149.0,0.0,51727.0,0.0,0.0,9.0,0.0,1533.0,0.0,528.0,0.0,0.0,0.0,1005.0,0.0,0.0,0.0,-1434.0,679.0,622.0,0.0,0.0,-2735.0,0.0,0.0,0.0,0.0
2012-03-31,49517.0,39523.0,38771.0,0.0,0.0,0.0,0.0,469.0,192.0,91.0,4987.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4987.0,0.0,443.0,4564.0,0.0,49517.0,50214.0,0.0,154.0,81.0,0.0,49943.0,0.0,0.0,36.0,0.0,1020.0,0.0,0.0,0.0,0.0,0.0,1020.0,0.0,0.0,0.0,-1717.0,679.0,2274.0,0.0,0.0,-4670.0,0.0,0.0,0.0,0.0
2012-03-31,49517000.0,39523000.0,,,34000.0,,,741000.0,283000.0,0.0,469000.0,,,,,,,,,,,426000.0,4564000.0,,49517000.0,50214000.0,154000.0,49979000.0,81000.0,,51234000.0,,,443000.0,,1020000.0,,,,,,1265000.0,,,,-2396000.0,5005980.0,5005980.0,,,-1717000.0,,,,
2012-06-30,47972000.0,37984000.0,,,34000.0,,,-8422000.0,424000.0,0.0,576000.0,,,,,,,,,,,426000.0,4574000.0,,47972000.0,57259000.0,253000.0,56488000.0,85000.0,,58295000.0,,,411000.0,,1036000.0,,,,,,2045000.0,,,,-11002000.0,5005980.0,5005980.0,,,-10323000.0,,,,
2012-06-30,47972.0,37984.0,36984.0,0.0,0.0,0.0,0.0,576.0,291.0,133.0,5003.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5003.0,0.0,411.0,4574.0,0.0,47972.0,57259.0,0.0,253.0,85.0,0.0,56231.0,0.0,0.0,690.0,0.0,1036.0,0.0,0.0,0.0,0.0,0.0,1036.0,0.0,0.0,0.0,-10323.0,679.0,4152.0,0.0,0.0,-15154.0,0.0,0.0,0.0,0.0
2012-09-30,43891.0,33779.0,32725.0,0.0,0.0,0.0,0.0,737.0,112.0,205.0,5160.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,0.0,5018.0,0.0,378.0,4574.0,0.0,43891.0,57401.0,74.0,237.0,145.0,0.0,55667.0,0.0,0.0,1278.0,0.0,1051.0,0.0,0.0,0.0,0.0,0.0,1051.0,0.0,0.0,0.0,-14561.0,679.0,5791.0,0.0,0.0,-21031.0,0.0,0.0,0.0,0.0
2012-09-30,43891000.0,33779000.0,,,34000.0,,,16000.0,317000.0,0.0,737000.0,,,,,,,,,,,426000.0,4574000.0,,43891000.0,56171000.0,237000.0,55715000.0,145000.0,,58452000.0,,,378000.0,,1614000.0,,,,,,1757000.0,,,,-15240000.0,5005980.0,5005980.0,,,-14561000.0,,,,
2012-12-31,41444000.0,31359000.0,,,34000.0,,,194000.0,51000.0,98000.0,859000.0,,,,,,,,,,,415000.0,4564000.0,,41444000.0,58763000.0,99000.0,57554000.0,119000.0,,59830000.0,,,344000.0,,1067000.0,,,,,,1808000.0,,,,-19065000.0,4889370.0,4889370.0,,,-18386000.0,,,,
2012-12-31,41444.0,31359.0,30351.0,0.0,0.0,0.0,0.0,859.0,51.0,98.0,5177.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,0.0,5034.0,0.0,344.0,4564.0,0.0,41444.0,58763.0,0.0,99.0,119.0,0.0,56867.0,0.0,0.0,1678.0,0.0,1067.0,0.0,0.0,0.0,0.0,0.0,1067.0,0.0,0.0,0.0,-18386.0,679.0,8373.0,0.0,0.0,-27438.0,0.0,0.0,0.0,0.0
2013-03-31,37890000.0,27819000.0,,,34000.0,,,1372000.0,46000.0,130000.0,1013000.0,,,,,,,,,,,315000.0,4564000.0,,37890000.0,58382000.0,285000.0,57636000.0,112000.0,,61914000.0,,,315000.0,,3532000.0,,,,,,4148000.0,,,,-24703000.0,5005960.0,5005960.0,,,-24024000.0,,,,
2013-03-31,37890.0,27819.0,6.0,26624.0,0.0,0.0,0.0,1013.0,46.0,130.0,5192.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,0.0,5049.0,0.0,315.0,4564.0,0.0,37890.0,58382.0,0.0,285.0,112.0,0.0,56856.0,0.0,0.0,1129.0,0.0,3532.0,0.0,0.0,0.0,0.0,0.0,3532.0,0.0,0.0,0.0,-24024.0,679.0,10013.0,0.0,0.0,-34716.0,0.0,0.0,0.0,0.0
2013-06-30,35044.0,24991.0,31.0,23257.0,0.0,0.0,0.0,1166.0,316.0,221.0,5208.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,0.0,5064.0,0.0,281.0,4564.0,0.0,35044.0,65000.0,0.0,247.0,109.0,0.0,63460.0,0.0,0.0,1184.0,0.0,3547.0,0.0,0.0,0.0,0.0,0.0,3547.0,0.0,0.0,0.0,-33503.0,679.0,11326.0,0.0,0.0,-45508.0,0.0,0.0,0.0,0.0
2013-06-30,35044000.0,24991000.0,,,34000.0,,,-5431000.0,316000.0,221000.0,1166000.0,,,,,,,,,,,281000.0,4564000.0,,35044000.0,65000000.0,247000.0,63982000.0,109000.0,,68547000.0,,,281000.0,,3547000.0,,,,,,1565000.0,,,,-34182000.0,5005960.0,5005960.0,,,-33503000.0,,,,
2013-09-30,23417.0,17698.0,124.0,15909.0,0.0,0.0,0.0,1402.0,126.0,137.0,5472.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,248.0,5080.0,0.0,247.0,0.0,0.0,23417.0,60923.0,153.0,192.0,197.0,0.0,59702.0,0.0,0.0,679.0,0.0,3563.0,0.0,0.0,0.0,0.0,0.0,3563.0,0.0,0.0,0.0,-41069.0,679.0,11089.0,0.0,0.0,-52837.0,0.0,0.0,0.0,0.0
2013-09-30,23417000.0,17698000.0,,,34000.0,,,-451000.0,126000.0,137000.0,1402000.0,,,,,,,,,,,247000.0,0.0,,23417000.0,60923000.0,192000.0,59837000.0,197000.0,,64486000.0,,,247000.0,,3563000.0,,,,,,1443000.0,,,,-41748000.0,5005960.0,5005960.0,,,-41069000.0,,,,
2013-12-31,15883000.0,10163000.0,,,35000.0,,,-2602000.0,66000.0,36000.0,1298000.0,,,,,,,,,,,0.0,0.0,,15883000.0,58847000.0,480000.0,58130000.0,33000.0,,62425000.0,,,213000.0,,3578000.0,,,,,,1491000.0,,,,-47231000.0,4950210.0,4950210.0,,,-46542000.0,,,,
2013-12-31,15883.0,10163.0,8763.0,0.0,0.0,0.0,0.0,1298.0,66.0,36.0,5507.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,268.0,5095.0,0.0,213.0,0.0,0.0,15883.0,58847.0,0.0,480.0,33.0,0.0,58057.0,0.0,0.0,277.0,0.0,3578.0,0.0,0.0,0.0,0.0,0.0,3578.0,0.0,0.0,0.0,-46542.0,689.0,5617.0,0.0,0.0,-52848.0,0.0,0.0,0.0,0.0
2014-03-31,7536.0,3078.0,1269.0,0.0,0.0,0.0,0.0,1558.0,50.0,201.0,4278.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,2991.0,1143.0,0.0,180.0,0.0,0.0,7536.0,14711.0,0.0,435.0,1070.0,0.0,13112.0,0.0,0.0,94.0,0.0,3593.0,0.0,0.0,0.0,0.0,0.0,3593.0,0.0,0.0,0.0,-10768.0,689.0,5354.0,0.0,0.0,-16811.0,0.0,0.0,0.0,0.0
2014-03-31,7536000.0,3078000.0,,,34000.0,,,461000.0,50000.0,201000.0,1558000.0,,,,,,,,,,,0.0,0.0,,7536000.0,14711000.0,435000.0,13206000.0,1070000.0,,18304000.0,,,180000.0,,3593000.0,,,,,,1124000.0,,,,-11457000.0,4950170.0,4950170.0,,,-10768000.0,,,,
2014-06-30,5272.0,660.0,113.0,0.0,0.0,0.0,0.0,503.0,26.0,18.0,4466.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,3226.0,1159.0,0.0,146.0,0.0,0.0,5272.0,13262.0,0.0,132.0,34.0,0.0,12837.0,0.0,0.0,259.0,0.0,3609.0,0.0,0.0,0.0,0.0,0.0,3609.0,0.0,0.0,0.0,-11599.0,689.0,5354.0,0.0,0.0,-17642.0,0.0,0.0,0.0,0.0
2014-06-30,5272000.0,660000.0,,,34000.0,,,379000.0,26000.0,18000.0,503000.0,,,,,,,,,,,146000.0,0.0,,5272000.0,13262000.0,132000.0,13091000.0,34000.0,,16871000.0,,,146000.0,,3609000.0,,,,,,799000.0,,,,-12288000.0,5068210.0,5068210.0,,,-11599000.0,,,,
2014-09-30,5133000.0,631000.0,,,28000.0,,,-1572000.0,85000.0,35000.0,469000.0,,,,,,,,,,,92000.0,0.0,,5133000.0,15116000.0,273000.0,14733000.0,70000.0,,18740000.0,,,92000.0,,3624000.0,,,,,,254000.0,,,,-14296000.0,5068250.0,5068250.0,,,-13607000.0,,,,
