,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2005-09-30,121920.0,100.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,121920.0,121820.0,0.0,0.0,,100.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,,0.0,,,,100.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
2005-12-31,1763950.0,24700.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,1763950.0,1416590.0,4210.0,0.0,,347360.0,0.0,,999550.0,,,0.0,0.0,,0.0,0.0,,0.0,,,,347360.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
2006-03-31,2567470.0,74390.0,0.0,0.0,67000.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,2567470.0,1782360.0,6200.0,0.0,,785110.0,0.0,,1463380.0,,,0.0,0.0,,0.0,0.0,,0.0,,,,785110.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
2006-09-30,574355000.0,562953000.0,13506000.0,0.0,2156000.0,2727000.0,0.0,,,4522000.0,19000.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,574355000.0,4459000.0,477000.0,0.0,,566816000.0,0.0,,3456000.0,,,0.0,0.0,,0.0,0.0,,3080000.0,,,,566816000.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
2006-12-31,609917000.0,545667000.0,7616000.0,0.0,5794000.0,3126000.0,0.0,,,3019000.0,16000.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,609917000.0,32483000.0,90000.0,0.0,,574405000.0,0.0,,31609000.0,,,0.0,0.0,,0.0,0.0,,3029000.0,,,,574405000.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
2007-03-31,638342000.0,533054000.0,5894000.0,0.0,3771000.0,2918000.0,0.0,,,1570000.0,13000.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,638342000.0,40016000.0,362000.0,0.0,,577385000.0,0.0,,38852000.0,,,0.0,5055000.0,,0.0,0.0,,19961000.0,,,,578365000.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
2007-06-30,674523000.0,508910000.0,2838000.0,0.0,7093000.0,4024000.0,0.0,,,87000.0,9000.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,674523000.0,79943000.0,5407000.0,0.0,,574790000.0,0.0,,74327000.0,,,0.0,4748000.0,,0.0,0.0,,18750000.0,,,,575830000.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
2007-09-30,703408000.0,499996000.0,2292000.0,0.0,7117000.0,2571000.0,0.0,,,5570000.0,6000.0,0.0,0.0,2186000.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,703408000.0,110194000.0,6948000.0,2186000.0,,574800000.0,0.0,,101698000.0,,,1511000.0,4533000.0,,0.0,0.0,,15296000.0,,,,576407000.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
2007-12-31,745569000.0,469696000.0,-340000.0,0.0,8272000.0,2375000.0,0.0,,,3294000.0,33000.0,0.0,0.0,3838000.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,745569000.0,147121000.0,7064000.0,3838000.0,,573680000.0,0.0,,139375000.0,,,1610000.0,4366000.0,,0.0,0.0,,20416000.0,,,,576422000.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
2008-03-31,718381000.0,433993000.0,2611000.0,0.0,9124000.0,3010000.0,0.0,,,2958000.0,31000.0,0.0,0.0,3467000.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,718381000.0,124548000.0,4348000.0,3467000.0,,575455000.0,0.0,,118264000.0,,,1691000.0,7598000.0,,0.0,0.0,,13223000.0,,,,578919000.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
