,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1,Receita Bruta de Vendas e/ou Serviços,Deduções da Receita Bruta,Receita Líquida de Vendas e/ou Serviços,Custo de Bens e/ou Serviços Vendidos,Resultado Bruto,Despesas Com Vendas,Despesas Gerais e Administrativas,Perdas pela Não Recuperabilidade de Ativos ,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Financeiras,Receitas Financeiras,Despesas Financeiras,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores,Lucro/Prejuízo do Período
2001-12-31,165070.0,11069.0,1999.0,,1033.0,254.0,,2616.0,4302.0,0.0,0.0,,,,,,,,,506.0,,152895.0,0.0,,165070.0,89080.0,384.0,0.0,0.0,,0.0,,6392.0,,,10012.0,,0.0,6522.0,0.0,,0.0,,0.0,,68139.0,10459.0,10459.0,0.0,,-18927.0,,,,,,,0.0,0.0,8351.0,,0.0,,0.0,,,-0.00079896,0.0,96931.0,,,,-0.00079896,,,,,,-0.00079896
2002-03-31,163922.0,10172.0,4687.0,,442.0,221.0,,2694.0,998.0,0.0,0.0,,,,,,,,,512.0,,152506.0,0.0,,163922.0,90225.0,439.0,0.0,0.0,,0.0,,6757.0,,,10034.0,,0.0,6565.0,0.0,,0.0,,0.0,,66082.0,7041.0,7041.0,0.0,,-20984.0,,,,,,,0.0,0.0,24370.0,,0.0,,0.0,,,-0.00133477,0.0,97840.0,,,,-0.00133477,,,,,,-0.00133477
2002-06-30,164789.0,10831.0,3511.0,,2572.0,228.0,,2877.0,739.0,0.0,0.0,,,,,,,,,530.0,,152787.0,0.0,,164789.0,88958.0,561.0,0.0,0.0,,0.0,,5608.0,,,10038.0,,0.0,6836.0,0.0,,0.0,,0.0,,75394.0,5000.0,5000.0,0.0,,-11672.0,,,,,,,0.0,0.0,9981.0,,0.0,,0.0,,,0.00154149,0.0,89395.0,,,,0.00154149,,,,,,0.00154149
2002-09-30,169001.0,14736.0,3060.0,,2493.0,253.0,,2937.0,2807.0,0.0,0.0,,,,,,,,,540.0,,153094.0,0.0,,169001.0,94282.0,434.0,0.0,0.0,,0.0,,6100.0,,,10005.0,,0.0,6986.0,0.0,,0.0,,0.0,,74576.0,6716.0,6716.0,0.0,,-12490.0,,,,,,,0.0,0.0,15226.0,,0.0,,0.0,,,-0.00051933,0.0,94425.0,,,,-0.00051933,,,,,,-0.00051933
2002-12-31,171564.0,16623.0,4118.0,,3078.0,244.0,,3061.0,5593.0,0.0,22.0,,,,,,,,,544.0,,153513.0,0.0,,171564.0,101662.0,1381.0,0.0,0.0,,0.0,,5648.0,,,10002.0,,0.0,7004.0,0.0,,0.0,,0.0,,69831.0,9937.0,9937.0,0.0,,-17235.0,,,,,,,0.0,0.0,11693.0,,0.0,,0.0,,,-0.0030087900000000003,0.0,101733.0,,,,-0.0030087900000000003,,,,,,-0.0030087900000000003
2003-03-31,172844.0,13216.0,5681.0,,2299.0,177.0,,3298.0,1484.0,0.0,0.0,,,,,,,,,527.0,,153639.0,0.0,,172844.0,82523.0,1838.0,0.0,0.0,,0.0,,6023.0,,,10042.0,,0.0,7158.0,0.0,,0.0,,0.0,,63672.0,7120.0,7120.0,0.0,,-23394.0,,,,,,,0.0,0.0,34664.0,,0.0,,0.0,,,-0.0039054000000000003,0.0,109172.0,,,,-0.0039054000000000003,,,,,,-0.0039054000000000003
2003-06-30,174606.0,15172.0,6033.0,,3143.0,288.0,,3661.0,1522.0,0.0,4452.0,,,,,,,,,548.0,,153449.0,0.0,,174606.0,22322.0,546.0,0.0,0.0,,0.0,,7239.0,,,10074.0,,0.0,7317.0,0.0,,0.0,,0.0,,61587.0,6104.0,6104.0,0.0,,-25479.0,,,,,,,0.0,0.0,16154.0,,0.0,,0.0,,,-0.00132209,0.0,113019.0,,,,-0.00132209,,,,,,-0.00132209
2003-09-30,177114.0,13075.0,1742.0,,5114.0,443.0,,4083.0,1448.0,0.0,8689.0,,,,,,,,,565.0,,153485.0,0.0,,177114.0,21700.0,230.0,0.0,0.0,,0.0,,7350.0,,,10162.0,,0.0,7624.0,0.0,,0.0,,0.0,,58966.0,4584.0,4584.0,0.0,,-28100.0,,,,,,,0.0,0.0,18486.0,,0.0,,0.0,,,-0.0004502100000000001,0.0,118148.0,,,,-0.0004502100000000001,,,,,,-0.0004502100000000001
2003-12-31,174198.0,17429.0,0.0,,4697.0,417.0,,3877.0,8044.0,0.0,0.0,,,,,,,,,573.0,,154614.0,0.0,,174198.0,34113.0,1807.0,0.0,0.0,,0.0,,6701.0,,,10240.0,,0.0,7671.0,0.0,,0.0,,0.0,,41337.0,11062.0,11062.0,0.0,,-45729.0,,,,,,,0.0,0.0,17250.0,,0.0,,0.0,,,-0.00541202,0.0,132861.0,,,,-0.00541202,,,,,,-0.00541202
2004-03-31,169372.0,10880.0,0.0,,4659.0,362.0,,3803.0,1253.0,0.0,0.0,,,,,,,,,580.0,,156125.0,0.0,,169372.0,34194.0,3148.0,0.0,0.0,,0.0,,6887.0,,,10869.0,,0.0,7792.0,0.0,,0.0,,0.0,,34173.0,7182.0,7182.0,5788.0,,-52893.0,,,,,,,0.0,0.0,42686.0,,0.0,,0.0,,,-0.004542669999999999,0.0,135199.0,,,,-0.004542669999999999,,,,,,-0.004542669999999999
