,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1,Receita Bruta de Vendas e/ou Serviços,Deduções da Receita Bruta,Receita Líquida de Vendas e/ou Serviços,Custo de Bens e/ou Serviços Vendidos,Resultado Bruto,Despesas Com Vendas,Despesas Gerais e Administrativas,Perdas pela Não Recuperabilidade de Ativos ,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Financeiras,Receitas Financeiras,Despesas Financeiras,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores,Lucro/Prejuízo do Período
2007-03-31,976851.0,765136.0,83356.0,0.0,385352.0,104405.0,,32990.0,,0.0,2237.0,0.0,,0.0,,,150227.0,0.0,,109174.0,,150227.0,14697.0,,976851.0,603325.0,75554.0,44634.0,-16538.0,430530.0,0.0,,15361.0,,,225281.0,-35930.0,,0.0,,,0.0,,,,61572.0,0.0,0.0,,0.0,15353.0,0.0,,0.0,,,,210644.0,-94950.0,59987.0,0.0,0.0,11119.0,0.0,0.0,,-34599.0,0.0,147293.55,,,,-16538.0,916864.0,0.0,,,0.0,0.00010493
2007-06-30,1106646.0,865843.0,81817.0,0.0,434761.0,135161.0,,27132.0,,0.0,9793.0,0.0,,0.0,,,160528.0,0.0,,150906.0,,160528.0,15020.0,,1106646.0,746088.0,78787.0,44634.0,31821.0,491329.0,0.0,,13377.0,,,223521.0,-21811.0,,0.0,,,0.0,,,,47599.0,0.0,0.0,,0.0,1866.0,0.0,,0.0,,,,300140.0,-137837.0,46500.0,0.0,0.0,10651.0,0.0,0.0,,6767.0,0.0,147293.55,,,,31821.0,1060146.0,0.0,,,0.0,0.00014853
2007-09-30,1014955.0,736936.0,298.0,0.0,384410.0,146611.0,,30261.0,,0.0,9124.0,0.0,,0.0,,,186084.0,0.0,,129690.0,,186084.0,16873.0,,1014955.0,700805.0,81365.0,44634.0,-32440.0,472148.0,0.0,,12018.0,,,197942.0,7872.0,,0.0,,,0.0,,,,24712.0,0.0,0.0,,0.0,-21011.0,0.0,,0.0,,,,275909.0,-123924.0,23623.0,0.0,0.0,10131.0,-659.0,0.0,,-8563.0,0.0,147293.55,,,,-32440.0,991332.0,0.0,,,0.0,-0.00015532000000000002
2007-12-31,1449392.0,1098009.0,0.0,0.0,504287.0,140561.0,,39823.0,,18097.0,0.0,0.0,,0.0,,,0.0,6878.0,,139589.0,,236177.0,33124.0,,1449392.0,613939.0,80805.0,550634.0,42936.0,346836.0,0.0,,38248.0,,,185010.0,-29483.0,,0.0,,,0.0,,,,560083.0,8609.0,0.0,,0.0,9416.0,0.0,,0.0,,,,406317.0,-189291.0,560050.0,0.0,29260.0,9555.0,966.0,0.0,,189.0,526589.0,202953.55,,,,42936.0,889342.0,0.0,,,0.0,8.507000000000001e-05
2008-03-31,1308276.0,949160.0,0.0,0.0,428768.0,134719.0,,-2572.0,,72507.0,0.0,0.0,,0.0,,,0.0,0.0,,106355.0,,224549.0,27408.0,,1308276.0,459601.0,76238.0,550634.0,-30454.0,290457.0,0.0,,33981.0,,,215455.0,-44779.0,,0.0,,,-4042.0,,,,548038.0,8915.0,0.0,,0.0,-2633.0,0.0,,0.0,,,,253548.0,-116271.0,548001.0,0.0,30432.0,8944.0,0.0,0.0,,-22333.0,505912.0,202953.55,,,,-30454.0,760275.0,0.0,,,0.0,-4.162e-05
2008-06-30,1332448.0,964800.0,0.0,0.0,494966.0,146910.0,,-2887.0,,58382.0,0.0,0.0,,0.0,,,0.0,0.0,,138240.0,,230312.0,30424.0,,1332448.0,457480.0,83953.0,550634.0,38988.0,246663.0,0.0,,38553.0,,,205097.0,-34688.0,,0.0,,,-6655.0,,,,577615.0,10080.0,0.0,,0.0,26942.0,0.0,,0.0,,,,353679.0,-165879.0,577576.0,0.0,36920.0,8303.0,0.0,0.0,,11203.0,451760.0,202953.55,,,,38988.0,754872.0,0.0,,,0.0,0.00012537
2008-09-30,1301000.0,936804.0,0.0,0.0,480868.0,169242.0,,0.0,,62301.0,0.0,0.0,,0.0,,,238764.0,0.0,,142116.0,,238764.0,34148.0,,1301000.0,477602.0,74464.0,550634.0,4352.0,254287.0,0.0,,48427.0,,,173452.0,-42533.0,,0.0,,,0.0,,,,567834.0,11468.0,0.0,,0.0,17159.0,0.0,,0.0,,,,335626.0,-154663.0,567793.0,0.0,0.0,7648.0,0.0,0.0,,15018.0,427739.0,202953.55,,,,4352.0,733207.0,0.0,,,0.0,-4.515e-05
2008-12-31,1498567.0,1093278.0,0.0,0.0,567107.0,132207.0,,38407.0,,0.0,0.0,0.0,,0.0,,,0.0,4050.0,,125881.0,,266337.0,22517.0,,1498567.0,552412.0,74912.0,550634.0,63567.0,244922.0,0.0,,70126.0,,,159074.0,-30602.0,,0.0,,,-3885.0,,,,598206.0,11130.0,0.0,,0.0,47529.0,0.0,,0.0,,,,452106.0,-214807.0,598163.0,0.0,47323.0,113963.0,0.0,0.0,,-7683.0,403996.0,202953.55,,,,63567.0,900404.0,0.0,,,0.0,0.00020768000000000007
2009-03-31,1335627.0,924726.0,0.0,0.0,421435.0,181028.0,,42946.0,,0.0,18186.0,0.0,,0.0,,,0.0,1827.0,,131541.0,,255160.0,23504.0,,1335627.0,422893.0,75113.0,550634.0,-12065.0,170226.0,0.0,,28813.0,,,138918.0,-11169.0,,0.0,,,-4978.0,,,,588476.0,9724.0,0.0,,0.0,37797.0,0.0,,0.0,,,,316556.0,-121942.0,588431.0,4084.0,48445.0,110227.0,0.0,0.0,,-20948.0,299420.0,202953.55,,,,-12074.0,747196.0,0.0,,,0.0,-4.8559999999999996e-05
2009-06-30,1373787.0,955499.0,0.0,0.0,425175.0,177844.0,,56262.0,,0.0,19721.0,0.0,,0.0,,,0.0,2146.0,,135287.0,,251567.0,25096.0,,1373787.0,447934.0,68669.0,550634.0,59472.0,170826.0,0.0,,30410.0,,,118830.0,-14781.0,,0.0,,,12460.0,,,,631916.0,8538.0,0.0,,0.0,81264.0,0.0,,0.0,,,,430821.0,-169849.0,631898.0,3339.0,58528.0,106438.0,0.0,0.0,,2643.0,284457.0,202953.55,,,,59466.0,741889.0,0.0,,,0.0,0.00021209
