,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2012-12-31,261640.992,59431.0,5470.0,0.0,52349.0,0.0,0.0,0.0,0.0,1612.0,30191.0,0.0,0.0,1926.0,0.0,0.0,0.0,0.0,133.0,28132.0,102.0,111722.0,60195.0,0.0,261640.992,70580.0,19016.0,8596.0,4018.0,12227.0,0.0,0.0,26723.0,0.0,0.0,172704.0,47353.0,2794.0,72295.0,0.0,0.0,50262.0,0.0,0.0,0.0,18357.0,89789.0,-3822.0,0.0,0.0,-7311.0,-60299.0,0.0,0.0,0.0
2013-03-31,469564.0,145950.0,22392.0,50860.0,65214.0,0.0,0.0,0.0,0.0,7484.0,28820.0,0.0,0.0,1530.0,0.0,0.0,0.0,0.0,133.0,27157.0,102.0,123025.0,171667.008,0.0,469564.0,88212.0,18699.0,13123.0,3953.0,11458.0,0.0,0.0,40979.0,0.0,0.0,309516.99199999997,118183.0,2954.0,136128.992,0.0,0.0,52251.0,0.0,0.0,-3816.0,75651.0,117881.0,-3822.0,0.0,0.0,21891.0,-60299.0,0.0,0.0,0.0
2013-06-30,461921000.0,190579000.0,0.0,104835000.0,3296000.0,,,-3296000.0,,-1930000.0,0.0,,,0.0755,0.0,,0.0755,0.0,4410000.0,4410000.0,58000.0,82832000.0,0.0,,461921000.0,99139000.0,34543000.0,13430000.0,598000.0,11467000.0,,,70433000.0,,,207434000.0,407269000.0,0.0,757000.0,-1319000.0,,110913000.0,,,,54652000.0,70391000.0,0.0,,-12714000.0,46892000.0,23230000.0,,,
2013-06-30,461920.992,190579.008,20294.0,104835.0,59896.0,0.0,0.0,0.0,0.0,5554.0,17094.0,0.0,0.0,1466.0,0.0,0.0,0.0,0.0,2.0,15626.0,58.0,82832.0,171358.0,0.0,461920.992,99139.0,27089.0,13430.0,4637.0,11467.0,0.0,0.0,42516.0,0.0,0.0,314262.016,154184.992,200.0,104163.0,0.0,0.0,55714.0,0.0,0.0,-6132.0,54652.0,70391.0,-5103.0,0.0,0.0,46892.0,-57528.0,0.0,0.0,0.0
2013-09-30,489467.008,212940.992,12859.0,112560.0,74931.0,0.0,0.0,0.0,0.0,12591.0,19540.0,0.0,0.0,880.0,0.0,0.0,0.0,0.0,2.0,18658.0,10.0,85664.0,171312.0,0.0,489467.008,117683.0,33663.0,14669.0,4577.0,20563.0,0.0,0.0,44211.0,0.0,0.0,305430.016,144256.0,1833.0,88504.0,15543.0,0.0,55294.0,0.0,0.0,-7934.0,74288.0,70391.0,29867.0,0.0,0.0,31558.0,-57528.0,0.0,0.0,0.0
2013-09-30,489467000.0,212941000.0,0.0,112560000.0,4986000.0,,,-4986000.0,,-760000.0,0.0,,,-0.26242,0.0,,-0.26242,59936000.0,-15332000.0,-15332000.0,10000.0,85664000.0,0.0,,489467000.0,117683000.0,38995000.0,14669000.0,2660000.0,20563000.0,,,70323000.0,,,197922000.0,415179000.0,0.0,1229000.0,-34000.0,,115910000.0,,,,74288000.0,70391000.0,0.0,,-14058000.0,31558000.0,25469000.0,,,
2013-12-31,867023000.0,587789000.0,0.0,476487000.0,4645000.0,,,-4645000.0,,-891000.0,0.0,,,0.34346,0.0,,0.34346,0.0,20082000.0,20082000.0,10000.0,88723000.0,0.0,,867023000.0,116541000.0,30869000.0,18731000.0,3453000.0,24835000.0,,,70323000.0,,,173955000.0,383761000.0,0.0,7637000.0,-706000.0,,130129000.0,,,,483262000.0,496411000.0,0.0,,-14686000.0,44379000.0,19915000.0,,,
2013-12-31,867022.9759999999,587788.9920000001,12202.0,476487.008,94834.0,0.0,0.0,0.0,0.0,4266.0,20320.0,0.0,0.0,568.0,0.0,0.0,0.0,0.0,2.0,19750.0,10.0,88723.0,170180.992,0.0,867022.9759999999,116541.0,27356.0,18731.0,5319.0,24835.0,0.0,0.0,40300.0,0.0,0.0,273465.984,124899.0,1787.0,93130.0,0.0,0.0,53650.0,0.0,0.0,-6246.0,483262.0,496411.008,1855.0,0.0,42524.0,0.0,-57528.0,0.0,0.0,0.0
2014-03-31,904331000.0,616510000.0,0.0,487911000.0,4814000.0,,,-4814000.0,,-1726000.0,0.0,,,0.5455300000000001,0.0,,0.5455300000000001,0.0,45206000.0,45206000.0,0.0,98443000.0,70323000.0,,904331000.0,119599000.0,29699000.0,20541000.0,4353000.0,26790000.0,,,70323000.0,,,163602000.0,375756000.0,0.0,10591000.0,1781000.0,,137940000.0,,,,528575000.0,496411000.0,0.0,,-15558000.0,89692000.0,19313000.0,,,
2014-03-31,904331.0079999999,616510.0160000001,9366.0,487911.008,111114.0,0.0,0.0,0.0,0.0,8119.0,18523.0,0.0,0.0,508.0,0.0,0.0,0.0,0.0,3.0,18012.0,0.0,98443.0,170855.008,0.0,904331.0079999999,119599.0,25810.0,20541.0,6588.0,26790.0,0.0,0.0,39870.0,0.0,0.0,264607.00800000003,119222.0,1787.0,88402.0,0.0,0.0,55196.0,0.0,0.0,-8450.0,528574.9920000001,496411.008,1962.0,0.0,42524.0,45206.0,-57528.0,0.0,0.0,0.0
2014-06-30,924936.0,632241.9839999999,7160.0,477167.008,140332.992,0.0,0.0,0.0,0.0,7582.0,17350.0,0.0,0.0,227.0,0.0,0.0,0.0,0.0,2.0,17121.0,0.0,103506.0,171838.0,0.0,924936.0,122837.0,35314.0,17446.0,6482.0,30202.0,0.0,0.0,33393.0,0.0,0.0,254880.992,112027.0,1787.0,88484.0,0.0,0.0,52583.0,0.0,0.0,-10433.0,557650.9839999999,496411.008,1232.0,0.0,42512.0,75024.0,-57528.0,0.0,0.0,0.0
2014-06-30,924936000.0,632242000.0,480.0,477167000.0,5051000.0,,,-5051000.0,,-1613000.0,0.0,,,0.35983000000000004,0.0,,0.35983000000000004,0.0,29818000.0,29818000.0,0.0,103506000.0,70323000.0,,924936000.0,122837000.0,39114000.0,17446000.0,4334000.0,30202000.0,,,70323000.0,,,156371000.0,367285000.0,0.0,12491000.0,-396000.0,,141022000.0,,,,557651000.0,496411000.0,0.0,,-16646000.0,118779000.0,25262000.0,,,
2014-09-30,996366.016,391110.016,18779.0,183164.992,178948.992,0.0,0.0,0.0,0.0,10217.0,29752.0,0.0,0.0,206.0,0.0,0.0,0.0,0.0,2.0,29544.0,0.0,122536.0,452968.0,0.0,996366.016,155972.992,59916.0,21116.0,7379.0,29120.0,0.0,0.0,38442.0,0.0,0.0,249704.0,105613.0,1787.0,88826.0,0.0,0.0,53478.0,0.0,0.0,-10906.0,601595.024,496411.008,1232.0,0.0,42512.0,118968.0,-57528.0,0.0,0.0,0.0
2014-09-30,996366000.0,391110000.0,480.0,183165000.0,5273000.0,,,-5273000.0,,-1542000.0,0.0,,,0.5303,0.0,,0.5303,101236000.0,43944000.0,43944000.0,0.0,122536000.0,244768000.0,,996366000.0,155973000.0,68727000.0,21116000.0,4594000.0,29120000.0,,,244768000.0,,,149685000.0,394771000.0,0.0,7514000.0,-69000.0,,203077000.0,,,,601595000.0,496411000.0,0.0,,-20928000.0,162723000.0,25970000.0,,,
2014-12-31,944083.968,336008.0,15867.0,119993.0,193740.0,0.0,0.0,0.0,0.0,6408.0,37452.0,0.0,0.0,3862.0,0.0,0.0,0.0,0.0,0.0,33590.0,0.0,121577.0,449047.008,0.0,944083.968,173698.0,46892.0,16557.0,10112.0,28488.0,0.0,0.0,71649.0,0.0,0.0,174084.0,100530.0,0.0,20189.0,0.0,0.0,53365.0,0.0,0.0,0.0,596302.0160000001,496411.008,1221.0,0.0,168236.0,0.0,-69566.0,0.0,0.0,0.0
2014-12-31,944084000.0,336008000.0,480.0,119993000.0,5161000.0,,,-5161000.0,,-1429000.0,0.0,,,0.5542600000000001,0.0,,0.5542600000000001,110970000.0,45929000.0,45929000.0,0.0,121577000.0,244768000.0,,944084000.0,173698000.0,49264000.0,16557000.0,7825000.0,28488000.0,,,244768000.0,,,100530000.0,347782000.0,0.0,4956000.0,-22346000.0,,211467000.0,,,,596302000.0,496411000.0,0.0,,-22176000.0,169468000.0,26197000.0,,,
