,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2009-12-31,238027.008,182823.008,44892.0,0.0,106708.0,21205.0,0.0,0.0,0.0,10018.0,31768.0,0.0,0.0,30851.0,0.0,0.0,0.0,0.0,917.0,0.0,0.0,12403.0,11033.0,0.0,238027.008,92658.0,0.0,29074.0,6805.0,24583.0,0.0,18507.0,2779.0,10910.0,0.0,25837.0,14735.0,1514.0,1622.0,0.0,0.0,7966.0,0.0,0.0,0.0,119532.0,21358.0,71019.0,0.0,27155.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,270340.0,215252.992,46705.0,0.0,128510.0,30475.0,0.0,0.0,0.0,9563.0,29735.0,0.0,0.0,28665.0,0.0,0.0,0.0,0.0,1070.0,0.0,0.0,13663.0,11689.0,0.0,270340.0,112453.0,0.0,47179.0,9222.0,28755.0,0.0,18507.0,2219.0,6571.0,0.0,29731.0,17052.0,3026.0,1294.0,0.0,0.0,8359.0,0.0,0.0,0.0,128156.0,21358.0,71019.0,0.0,27155.0,8624.0,0.0,0.0,0.0,0.0
2010-06-30,234646.0,183428.992,48957.0,0.0,89469.0,38395.0,0.0,0.0,0.0,6608.0,22477.0,0.0,0.0,21454.0,0.0,0.0,0.0,0.0,1023.0,0.0,0.0,16840.0,11900.0,0.0,234646.0,65626.0,0.0,27009.0,4165.0,21998.0,0.0,0.0,2436.0,10018.0,0.0,27902.0,20679.0,2367.0,1254.0,0.0,0.0,3602.0,0.0,0.0,0.0,141118.0,21358.0,71019.0,0.0,25069.0,23672.0,0.0,0.0,0.0,0.0
2010-09-30,248832.0,191632.992,18754.0,0.0,115081.0,51398.0,0.0,0.0,0.0,6400.0,26359.0,0.0,0.0,25442.0,0.0,0.0,0.0,0.0,917.0,0.0,0.0,18460.0,12380.0,0.0,248832.0,84946.0,0.0,43359.0,6754.0,17288.0,0.0,0.0,1708.0,15837.0,0.0,27206.0,20169.0,2066.0,1193.0,0.0,0.0,3778.0,0.0,0.0,0.0,136680.0,21358.0,71019.0,0.0,6177.0,38126.0,0.0,0.0,0.0,0.0
2010-12-31,268156.0,209067.008,8004.0,5000.0,132402.0,48862.0,0.0,7889.0,0.0,6910.0,22941.0,98.0,0.0,0.0,0.0,0.0,14449.0,0.0,1060.0,7334.0,0.0,21376.0,14772.0,0.0,268156.0,93786.0,15377.0,28744.0,7865.0,27370.0,0.0,11964.0,2466.0,0.0,0.0,28152.0,19399.0,2075.0,2068.0,0.0,0.0,4610.0,0.0,0.0,0.0,146218.0,21358.0,71019.0,0.0,53841.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,480896.992,419920.0,6809.0,180484.0,150836.0,64585.0,0.0,8889.0,0.0,8317.0,22025.0,96.0,0.0,0.0,0.0,0.0,14440.0,0.0,0.0,7489.0,0.0,22134.0,16818.0,0.0,480896.992,103256.0,16339.0,50901.0,7766.0,12813.0,0.0,11964.0,3473.0,0.0,0.0,30069.0,20773.0,2079.0,1960.0,0.0,0.0,5257.0,0.0,0.0,0.0,347572.0,40917.0,238086.0,0.0,53841.0,14728.0,0.0,0.0,0.0,0.0
2011-06-30,452540.0,389423.008,3261.0,196078.0,108576.0,67699.0,0.0,6196.0,0.0,7613.0,21785.0,66.0,0.0,0.0,0.0,0.0,13432.0,0.0,0.0,8287.0,0.0,22904.0,18428.0,0.0,452540.0,79068.0,13053.0,37272.0,5807.0,12547.0,0.0,7177.0,3212.0,0.0,0.0,26365.0,19729.0,762.0,1849.0,0.0,0.0,4025.0,0.0,0.0,0.0,347107.008,40917.0,238086.0,0.0,37779.0,30325.0,0.0,0.0,0.0,0.0
2011-09-30,496020.992,423739.008,6229.0,172770.0,159888.992,71941.0,0.0,3647.0,0.0,9263.0,22816.0,78.0,0.0,0.0,0.0,0.0,13646.0,0.0,6.0,9086.0,0.0,24901.0,24565.0,0.0,496020.992,97635.0,16800.0,50050.0,11292.0,16270.0,0.0,0.0,3223.0,0.0,0.0,25697.0,18795.0,894.0,1720.0,0.0,0.0,4288.0,0.0,0.0,0.0,372688.992,40917.0,237723.008,0.0,37779.0,56270.0,0.0,0.0,0.0,0.0
2011-12-31,510628.0,432376.0,15528.0,158022.0,179588.992,57384.0,0.0,10191.0,0.0,11662.0,16818.0,79.0,0.0,0.0,0.0,0.0,10012.0,0.0,0.0,6727.0,0.0,30293.0,31141.0,0.0,510628.0,102318.0,14861.0,37286.0,11711.0,20885.0,0.0,14327.0,3248.0,0.0,0.0,24263.0,17774.0,905.0,1326.0,0.0,0.0,4258.0,0.0,0.0,0.0,384047.008,40917.0,237723.008,0.0,105407.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,521248.992,426412.992,6213.0,160528.0,173595.008,66099.0,0.0,9734.0,0.0,10244.0,17896.0,88.0,0.0,0.0,0.0,0.0,10473.0,0.0,0.0,7335.0,0.0,37627.0,39313.0,0.0,521248.992,103212.0,11593.0,56126.0,11588.0,14059.0,0.0,6117.0,3729.0,0.0,0.0,23138.0,16785.0,879.0,1241.0,0.0,0.0,4233.0,0.0,0.0,0.0,394899.008,105917.0,172723.008,0.0,105407.0,10852.0,0.0,0.0,0.0,0.0
2012-06-30,546889.024,441382.016,4799.0,201020.0,150687.008,65718.0,0.0,7393.0,0.0,11765.0,16135.0,98.0,0.0,0.0,0.0,0.0,8705.0,0.0,0.0,7332.0,0.0,47693.0,41679.0,0.0,546889.024,107458.0,15908.0,43328.0,8839.0,25548.0,0.0,9701.0,4134.0,0.0,0.0,29984.0,25569.0,975.0,302.0,0.0,0.0,3138.0,0.0,0.0,0.0,409447.008,105917.0,172830.0,0.0,105407.0,25293.0,0.0,0.0,0.0,0.0
2012-09-30,595921.024,475879.008,8373.0,167232.0,201252.992,82543.0,0.0,3971.0,0.0,12507.0,17437.0,98.0,0.0,0.0,0.0,0.0,9392.0,0.0,0.0,7947.0,0.0,56788.0,45817.0,0.0,595921.024,134590.0,20463.0,65165.0,12132.0,30626.0,0.0,0.0,6204.0,0.0,0.0,29025.0,24573.0,979.0,168.0,0.0,0.0,3305.0,0.0,0.0,0.0,432305.984,106857.0,173148.992,0.0,98421.0,53879.0,0.0,0.0,0.0,0.0
2012-12-31,636590.976,513561.984,11518.0,190636.0,208756.0,76133.0,0.0,14280.0,0.0,12239.0,14117.0,20.0,0.0,0.0,0.0,0.0,6264.0,0.0,0.0,7833.0,0.0,61090.0,47822.0,0.0,636590.976,127418.0,19726.0,35507.0,15110.0,42843.0,0.0,8945.0,5287.0,0.0,0.0,55274.0,51241.0,973.0,22.0,0.0,0.0,3038.0,0.0,0.0,0.0,453899.008,106857.0,173498.0,0.0,173544.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,671918.016,539360.0,8427.0,204879.008,211251.008,87481.0,0.0,15797.0,0.0,11525.0,15657.0,178.0,0.0,0.0,0.0,0.0,8007.0,0.0,0.0,7472.0,0.0,63338.0,53563.0,0.0,671918.016,146211.008,13600.0,69021.0,17217.0,41226.0,0.0,0.0,5147.0,0.0,0.0,52102.0,46654.0,969.0,0.0,0.0,0.0,4479.0,0.0,0.0,0.0,473604.992,106857.0,173838.0,0.0,173544.0,19366.0,0.0,0.0,0.0,0.0
