,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1,Receita Bruta de Vendas e/ou Serviços,Deduções da Receita Bruta,Receita Líquida de Vendas e/ou Serviços,Custo de Bens e/ou Serviços Vendidos,Resultado Bruto,Despesas Com Vendas,Despesas Gerais e Administrativas,Perdas pela Não Recuperabilidade de Ativos ,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Financeiras,Receitas Financeiras,Despesas Financeiras,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores,Lucro/Prejuízo do Período
2001-12-31,0.0,1433.0,4.0,,-42383.0,,,0.0,,,,,,,,,,,,,,-229616.0,,,-11925.0,3360.0,22607.0,397.0,29.0,,,,,1950.0,,10548.0,,0.0,0.0,,,13908.0,,,,-11925.0,1773.96,,,,1983.0,,,,,,,-0.023891680000000002,,-0.023891680000000002,,0.0,,,-0.023891680000000002,,1983.0,-0.023891680000000002,1983.0,,,,-42383.0,-42383.0,,,,,-42383.0
2002-03-31,0.0,942.0,17.0,,-597.0,,,0.0,,,,,,,,,,,,,,-230101.0,,,-12410.0,3553.0,1132.0,613.0,630.0,,,,,1775.0,,11279.0,,0.0,0.0,,,14832.0,,,,-12410.0,1773.96,,,,2422.0,,,,,,,-0.00033653,,-0.00033653,,0.0,,,-0.00033653,,2422.0,-0.00033653,2422.0,,,,-597.0,-597.0,,,,,-597.0
2002-06-30,0.0,505.0,72.0,,-618.0,,,0.0,,,,,,,,,,,,,,-230686.0,,,-12995.0,3862.0,614.0,577.0,630.0,,,,,1684.0,,11519.0,,0.0,0.0,,,15381.0,,,,-12995.0,1773.96,,,,2386.0,,,,,,,-0.00034837000000000003,,-0.00034837000000000003,,0.0,,,-0.00034837000000000003,,2386.0,-0.00034837000000000003,2386.0,,,,-618.0,-618.0,,,,,-618.0
2002-09-30,0.0,311.0,6.0,,-593.0,,,0.0,,,,,,,,,,,,,,-231279.0,,,-13588.0,4136.0,429.0,625.0,630.0,,,,,1684.0,,11772.0,,0.0,0.0,,,15908.0,,,,-13588.0,1773.96,,,,2320.0,,,,,,,-0.00033428,,-0.00033428,,0.0,,,-0.00033428,,2320.0,-0.00033428,2320.0,,,,-593.0,-593.0,,,,,-593.0
2002-12-31,0.0,185.0,4.0,,-557.0,,,0.0,,,,,,,,,,,,,,-231837.0,,,-14146.0,4388.0,387.0,494.0,0.0,,,,,2314.0,,12076.0,,0.0,0.0,,,16464.0,,,,-14146.0,1773.96,,,,2318.0,,,,,,,-0.00031399,,-0.00031399,,0.0,,,-0.00031399,,2318.0,-0.00031399,2318.0,,,,-557.0,-557.0,,,,,-557.0
2003-03-31,0.0,154.0,4.0,,-361.0,,,0.0,,,,,,,,,,,,,,-232197.0,,,-14506.0,4512.0,338.0,599.0,659.0,,,,,1650.0,,12307.0,,0.0,0.0,,,16819.0,,,,-14506.0,1773.96,,,,2313.0,,,,,,,-0.00020349999999999999,,-0.00020349999999999999,,0.0,,,-0.00020349999999999999,,2313.0,-0.00020349999999999999,2313.0,,,,-361.0,-361.0,,,,,-361.0
2003-06-30,0.0,163.0,4.0,,-473.0,,,0.0,,,,,,,,,,,,,,-232670.0,,,-14979.0,3630.0,283.0,435.0,659.0,,,,,450.0,,12462.0,,0.0,0.0,,,16092.0,,,,-14979.0,1773.96,,,,1113.0,,,,,,,-0.00026663,,-0.00026663,,0.0,,,-0.00026663,,1113.0,-0.00026663,1113.0,,,,-473.0,-473.0,,,,,-473.0
2003-09-30,0.0,116.0,3.0,,-175.0,,,0.0,,,,,,,,,,,,,,-232845.0,,,-15154.0,3584.0,148.0,397.0,603.0,,,,,450.0,,12626.0,,0.0,0.0,,,16210.0,,,,-15154.0,1773.96,,,,1056.0,,,,,,,-9.865e-05,,-9.865e-05,,0.0,,,-9.865e-05,,1056.0,-9.865e-05,1056.0,,,,-175.0,-175.0,,,,,-175.0
2003-12-31,0.0,139.0,3.0,,-267.0,,,0.0,,,,,,,,,,,,,,-233113.0,,,-15422.0,3715.0,242.0,414.0,0.0,,,,,554.0,,12264.0,,0.0,0.0,,,15979.0,,,,-15422.0,1773.96,,,,557.0,,,,,,,-0.00015050999999999997,,-0.00015050999999999997,,0.0,,,-0.00015050999999999997,,557.0,-0.00015050999999999997,557.0,,,,-267.0,-267.0,,,,,-267.0
2004-03-31,0.0,88.0,0.0,,-189.0,,,0.0,,,,,,,,,,,,,,-233302.0,,,-15611.0,3780.0,239.0,269.0,0.0,,,,,501.0,,12332.0,,0.0,0.0,,,16112.0,,,,-15611.0,1773.96,,,,501.0,,,,,,,-0.00010653999999999999,,-0.00010653999999999999,,0.0,,,-0.00010653999999999999,,501.0,-0.00010653999999999999,501.0,,,,-189.0,-189.0,,,,,-189.0
