,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2001-12-31,0.0,15262000.0,20345000.0,,0.0,3600000.0,,-1355000.0,6754000.0,,16125000.0,,,,40990000.0,0.0,,,,,-62298000.0,644000.0,219000.0,,984000.0,-0.16926,-914000.0,-0.16926,-0.16926,0.0,,1800000.0,-914000.0,17711000.0,,2293000.0,-1648000.0,,-914000.0,,,28900000.0,,,-914000.0,12772000.0,5400000.0,,0.0,,0.0,,,,
2002-03-31,0.0,9026000.0,20248000.0,,0.0,3600000.0,,-689000.0,6754000.0,,15729000.0,,,,40374000.0,0.0,,,,,-63393000.0,392000.0,0.0,,923000.0,-0.20278,-1095000.0,-0.20278,-0.20278,0.0,,1800000.0,-1095000.0,10233000.0,,2359000.0,-2743000.0,,-1095000.0,,,29760000.0,,,-1095000.0,11253000.0,5400000.0,,0.0,,0.0,,,,
2002-06-30,0.0,9453000.0,20076000.0,,0.0,3600000.0,,-920000.0,6754000.0,,16082000.0,,,,40564000.0,0.0,,,,,-64568000.0,591000.0,0.0,,1019000.0,-0.21759,-1175000.0,-0.21759,-0.21759,0.0,,1800000.0,-1175000.0,10724000.0,,2952000.0,-3918000.0,,-1175000.0,,,32784000.0,,,-1175000.0,11137000.0,5400000.0,,0.0,,0.0,,,,
2002-09-30,0.0,16663000.0,20375000.0,,0.0,3600000.0,,-1022000.0,6754000.0,,19411000.0,,,,44196000.0,0.0,,,,,-65908000.0,1915000.0,0.0,,1054000.0,-0.24815,-1340000.0,-0.24815,-0.24815,0.0,,1800000.0,-1340000.0,17988000.0,,3429000.0,-5258000.0,,-1340000.0,,,33664000.0,,,-1340000.0,12037000.0,5400000.0,,0.0,,0.0,,,,
2002-12-31,0.0,20653000.0,20850000.0,,0.0,3600000.0,,-1422000.0,9126000.0,,22851000.0,,,,50147000.0,0.0,,,,,-65951000.0,691000.0,236000.0,,1082000.0,-0.00815,-44000.0,-0.00815,-0.00815,0.0,,1800000.0,-44000.0,22793000.0,,2982000.0,-2929000.0,,-44000.0,,,34599000.0,,,-44000.0,15811000.0,5400000.0,,0.0,,0.0,,,,
2003-03-31,0.0,18032000.0,20751000.0,,0.0,3600000.0,,-1159000.0,9126000.0,,22755000.0,,,,49920000.0,0.0,,,,,-67394000.0,173000.0,0.0,,1053000.0,-0.26722,-1443000.0,-0.26722,-0.26722,0.0,,1800000.0,-1443000.0,19895000.0,,3083000.0,-4372000.0,,-1443000.0,,,35699000.0,,,-1443000.0,15750000.0,5400000.0,,0.0,,0.0,,,,
2003-06-30,0.0,18045000.0,20591000.0,,0.0,3600000.0,,-1454000.0,9126000.0,,24527000.0,,,,51585000.0,0.0,,,,,-69074000.0,564000.0,0.0,,1172000.0,-0.31111,-1680000.0,-0.31111,-0.31111,0.0,,1800000.0,-1680000.0,20006000.0,,4159000.0,-6052000.0,,-1680000.0,,,36391000.0,,,-1680000.0,16610000.0,5400000.0,,0.0,,0.0,,,,
2003-09-30,0.0,14044000.0,20426000.0,,0.0,3600000.0,,-1236000.0,9126000.0,,24148000.0,,,,50845000.0,0.0,,,,,-70824000.0,1651000.0,0.0,,1309000.0,-0.32407,-1750000.0,-0.32407,-0.32407,0.0,,1800000.0,-1750000.0,15778000.0,,4237000.0,-7802000.0,,-1750000.0,,,41271000.0,,,-1750000.0,15431000.0,5400000.0,,0.0,,0.0,,,,
2003-12-31,0.0,13752000.0,22966000.0,,0.0,3600000.0,,-830000.0,10431000.0,,18418000.0,,,,50868000.0,0.0,,,,,-71119000.0,1447000.0,23000.0,,1199000.0,-0.05463,-295000.0,-0.05463,-0.05463,0.0,,1800000.0,-295000.0,14548000.0,,2228000.0,-6792000.0,,-295000.0,,,42314000.0,,,-295000.0,10411000.0,5400000.0,,0.0,,0.0,,,,
2004-03-31,0.0,9894000.0,22660000.0,,0.0,3600000.0,,-850000.0,10431000.0,,17666000.0,,,,49750000.0,0.0,,,,,-72538000.0,447000.0,0.0,,1224000.0,-0.26278,-1419000.0,-0.26278,-0.26278,0.0,,1800000.0,-1419000.0,11262000.0,,2295000.0,-8211000.0,,-1419000.0,,,43041000.0,,,-1419000.0,10820000.0,5400000.0,,0.0,,0.0,,,,
