,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2008-09-30,20753426.0,2408035.0,67939.0,1987290.0,1800959.0,,,73223.0,9680.0,-36033.0,15650.0,0.0,0.0,0.0,,,,,18202.0,,436974.0,242406.0,16182148.0,,20753426.0,1110351.0,,152228.0,280197.0,148240.0,,0.0,579991.0,,,0.0,0.0,,379.0,0.0,,95544.0,,0.0,15272.0,19531880.0,0.0,2044014.3,24324.0,-36033.0,197452.0,,,0.0,
2008-12-31,20430089.0,1965461.0,40227.0,1744069.0,1948227.0,,,75212.0,7929.0,36940.0,18442.0,0.0,0.0,0.0,,,,,196.0,,353104.0,247850.0,25324.0,,20430089.0,1075744.0,,108028.0,294904.0,4087.0,,194984.0,590095.0,,,0.0,0.0,,569.0,0.0,,46160.0,,0.0,15892.0,19291724.0,0.0,2010990.09,24131.0,36940.0,140354.0,,,0.0,
2009-03-31,21204279.0,2814573.0,14524.0,2577550.0,1871922.0,,,74923.0,6308.0,8372.0,12237.0,0.0,0.0,0.0,,,,,196.0,,282160.0,246680.0,16094517.0,,21204279.0,1677230.0,,142362.0,235647.0,3570.0,,185098.0,1140075.0,,,0.0,0.0,,314.0,0.0,,47224.0,,0.0,15632.0,19463879.0,0.0,2000012.44,0.0,8372.0,148760.0,,,0.0,
2009-06-30,20936244.0,2569664.0,35994.0,2299430.0,1875879.0,,,75360.0,3688.0,117022.0,6798.0,0.0,0.0,0.0,,,,,0.0,,346269.0,255718.0,16099532.0,,20936244.0,1215927.0,,119288.0,304901.0,8221.0,,3728.0,790850.0,,,8233.0,8233.0,,247.0,90257.0,,48214.0,,0.0,15382.0,19557984.0,0.0,2002454.14,0.0,117022.0,128198.0,,,0.0,
2009-09-30,21292857.344,2936913.92,2701556.992,0.0,209856.0,0.0,0.0,0.0,0.0,25501.0,664782.976,0.0,0.0,660227.968,0.0,0.0,0.0,0.0,0.0,4555.0,1319746.9440000001,266010.0,16105404.416,0.0,21292857.344,1407729.024,0.0,9178.0,20204.0,9102.0,0.0,3598.0,1365646.976,0.0,0.0,226667.008,5023.0,0.0,32.0,0.0,0.0,221612.0,0.0,0.0,16412.0,19642050.56,2540239.1040000003,16650993.664,23696.0,64828.0,362292.992,0.0,0.0,0.0,0.0
2009-12-31,21201184.768,2778968.064,2650563.0719999997,0.0,97036.0,0.0,0.0,0.0,0.0,31369.0,715950.9759999999,0.0,0.0,711395.968,0.0,0.0,0.0,0.0,0.0,4555.0,1319438.976,268895.00800000003,16117929.984000001,0.0,21201184.768,1162075.008,0.0,21443.0,28313.0,9295.0,0.0,20839.0,1082184.96,0.0,0.0,313001.984,2495.0,0.0,261060.0,0.0,0.0,49447.0,0.0,0.0,16357.0,19709747.2,2540239.1040000003,16666488.832,23551.0,479470.016,0.0,0.0,0.0,0.0,0.0
2010-03-31,21615536.128000002,4192899.0719999997,4038099.9680000003,0.0,129052.0,0.0,0.0,0.0,0.0,25747.0,995587.0079999999,0.0,0.0,990771.0079999999,0.0,0.0,0.0,0.0,0.0,4816.0,39345.0,254999.008,16132707.328,0.0,21615536.128000002,1645853.0559999999,0.0,27588.0,780.0,9065.0,0.0,62816.0,1521632.0,23972.0,0.0,456672.992,163.0,0.0,404729.984,0.0,0.0,51780.0,0.0,0.0,16104.0,19496908.8,2540239.1040000003,16275459.072,23406.0,403191.008,194467.008,60145.0,0.0,0.0,0.0
2010-06-30,21304356.864,3786267.9039999996,3619712.0,0.0,140072.0,0.0,0.0,0.0,0.0,26484.0,1035011.0079999999,0.0,0.0,1032011.0079999999,0.0,0.0,0.0,0.0,0.0,3000.0,38967.0,285649.984,16158458.88,0.0,21304356.864,1355491.968,0.0,57679.0,1186.0,6669.0,0.0,3751.0,1265632.0,20575.0,0.0,549345.024,0.0,0.0,495798.016,0.0,0.0,53547.0,0.0,0.0,15678.0,19383840.768,2540239.1040000003,16285666.304000001,23261.0,155191.008,363112.992,16370.0,0.0,0.0,0.0
2010-09-30,22771748.864,3131595.008,2960681.9839999997,0.0,142880.992,0.0,0.0,0.0,0.0,28032.0,854033.0240000001,0.0,0.0,851032.0,0.0,0.0,0.0,0.0,0.0,3001.0,2312648.96,287868.99199999997,16185602.048,0.0,22771748.864,1422835.968,0.0,35353.0,2126.0,19151.0,0.0,2655.0,1337575.04,25976.0,0.0,1698724.9919999999,1027187.968,0.0,616448.0,0.0,0.0,55089.0,0.0,0.0,15905.0,19634282.496,2540239.1040000003,16282593.28,23116.0,441572.0,412494.016,-65732.0,0.0,0.0,0.0
2010-12-31,22633975.808000002,2547589.12,104017.0,2264408.0640000002,51399.0,0.0,0.0,105843.0,9005.0,12917.0,1216812.0320000001,1066920.0,0.0,0.0,0.0,0.0,54687.0,0.0,0.0,95205.0,2286536.96,367134.016,16215903.232,0.0,22633975.808000002,1416204.032,0.0,80828.0,29557.0,33154.0,0.0,2773.0,1269891.96,0.0,0.0,1798722.9440000001,1010059.0079999999,0.0,0.0,732073.984,0.0,56590.0,0.0,0.0,16283.0,19402764.936,2540239.1040000003,16048576.512,22971.0,879657.984,0.0,-88680.0,0.0,0.0,0.0
2011-03-31,24032278.528,3779795.9680000003,1542301.0559999999,2031428.9919999999,67326.0,0.0,0.0,116149.0,9562.0,13029.0,1396972.032,1235123.9679999999,0.0,0.0,0.0,0.0,61773.0,0.0,0.0,100075.0,2265097.984,361071.008,16229341.184,0.0,24032278.528,2717093.8880000003,0.0,16366.0,24709.0,14168.0,0.0,3145.0,2658705.88,0.0,0.0,1940386.0480000002,986830.016,0.0,0.0,858129.0240000001,0.0,61430.0,0.0,33997.0,16820.0,19357978.848,2540239.1040000003,15850765.312,22971.0,847657.984,220756.0,-124411.0,0.0,0.0,0.0
2011-06-30,22563971.071999997,2209697.024,25097.0,1980413.9519999998,71374.0,0.0,0.0,94349.0,21146.0,17317.0,1540061.0559999999,1349746.0480000002,0.0,0.0,0.0,0.0,88142.0,0.0,0.0,102173.0,2189976.0640000002,358649.984,16265588.736,0.0,22563971.071999997,1537560.064,0.0,21040.0,25830.0,28457.0,0.0,95458.0,1366774.96,0.0,0.0,2007193.9840000002,945726.016,0.0,0.0,997192.0,0.0,64276.0,0.0,0.0,16839.0,19002381.992,2540239.1040000003,15760531.455999998,22825.0,516944.992,348321.984,-186482.0,0.0,0.0,0.0
2011-09-30,23144968.191999998,2198366.976,139476.992,1861837.0559999999,65440.0,0.0,0.0,92997.0,18794.0,19822.0,1683592.96,1506816.0,0.0,0.0,0.0,0.0,71235.0,0.0,0.0,105542.0,2617956.096,352356.0,16292695.04,0.0,23144968.191999998,1605163.0080000001,0.0,12098.0,27377.0,15006.0,0.0,3213.0,1547468.9840000002,0.0,0.0,2253991.9359999998,1125360.0,0.0,0.0,1061433.9840000002,0.0,67198.0,0.0,0.0,16442.0,19269369.2,2540239.1040000003,15520642.048,22678.0,676908.032,404992.0,103911.0,0.0,0.0,0.0
2011-12-31,23589922.816,2401134.08,64648.0,2128705.024,46514.0,0.0,0.0,132058.0,17442.0,11767.0,1767410.9440000001,1589058.0480000002,0.0,0.0,0.0,0.0,80550.0,0.0,0.0,97803.0,2710085.8880000003,357164.0,16354126.848,0.0,23589922.816,1929945.9840000002,0.0,56409.0,36300.0,33566.0,0.0,4177.0,1799494.04,0.0,0.0,2402484.992,1138658.9440000001,0.0,0.0,1204582.0159999998,0.0,59244.0,0.0,0.0,16491.0,19241000.456,2540239.1040000003,15512341.504,22532.0,1037630.016,0.0,128257.0,0.0,0.0,0.0
2012-03-31,23397232.64,2806678.0160000003,34329.0,2533289.984,52228.0,0.0,0.0,158952.0,14942.0,12937.0,1246962.9440000001,1090838.0159999998,0.0,0.0,0.0,0.0,63243.0,0.0,0.0,92882.0,2627490.048,344486.016,16371615.744,0.0,23397232.64,1853848.96,0.0,11000.0,44572.0,14759.0,0.0,231428.0,1552089.9519999998,0.0,0.0,2498458.1119999997,1106084.992,0.0,0.0,1338546.048,0.0,53827.0,0.0,0.0,16486.0,19028439.44,2540239.1040000003,15531963.392,22386.0,577297.9839999999,280425.984,76128.0,0.0,0.0,0.0
2012-06-30,24261212.16,3498494.9760000003,47058.0,3180630.0160000003,55029.0,0.0,0.0,176575.008,20256.0,18947.0,1095485.952,897672.0,0.0,0.0,0.0,0.0,103056.0,0.0,0.0,94758.0,2929387.008,338921.984,16398922.752,0.0,24261212.16,2097158.016,0.0,18911.0,79325.0,36084.0,0.0,149702.0,1813136.0159999998,0.0,0.0,2756461.0560000003,1228268.0320000001,0.0,0.0,1472259.968,0.0,55933.0,0.0,0.0,16244.0,19391349.472,2540239.1040000003,15526797.312,22239.0,656513.024,356460.0,289102.016,0.0,0.0,0.0
2012-09-30,24133556.224,3693865.9839999997,46276.0,3425721.088,58482.0,0.0,0.0,130809.0,19367.0,13211.0,727560.0,526843.0079999999,0.0,0.0,0.0,0.0,103474.0,0.0,0.0,97243.0,2946035.9680000003,328700.0,16437393.408,0.0,24133556.224,1610381.9519999998,0.0,18907.0,30241.0,16537.0,0.0,3530.0,1541166.96,0.0,0.0,2898757.12,1234066.9440000001,0.0,0.0,1605869.9519999998,0.0,58820.0,0.0,0.0,16186.0,19608229.232,2540239.1040000003,15540751.36,22093.0,817363.0079999999,393016.992,294767.00800000003,0.0,0.0,0.0
2012-12-31,24147113.984,3536282.1119999997,43642.0,3233360.896,56849.0,0.0,0.0,180458.0,17831.0,4141.0,808867.968,573635.968,0.0,0.0,0.0,0.0,132286.0,2924.0,0.0,100022.0,2928819.9680000003,360992.992,16512150.527999999,0.0,24147113.984,1660609.024,0.0,60562.0,30922.0,36882.0,0.0,1845.0,1530397.9440000001,0.0,0.0,3072623.104,1242238.976,0.0,0.0,1739644.032,0.0,90740.0,0.0,0.0,15964.0,19397918.88,2540239.1040000003,15552748.544000002,21946.0,966587.0079999999,0.0,316396.99199999997,0.0,0.0,0.0
2013-03-31,24458532.864,4011737.088,32774.0,3705480.96,60285.0,0.0,0.0,186444.0,16239.0,10514.0,659204.9920000001,430800.992,0.0,0.0,0.0,0.0,123539.0,2008.0,0.0,102857.0,2900762.88,354963.008,16531863.552000001,0.0,24458532.864,1566029.9519999998,0.0,42750.0,25929.0,16369.0,0.0,1805.0,1479177.0159999998,0.0,0.0,3203088.896,1224340.992,0.0,0.0,1878558.976,0.0,100189.0,0.0,0.0,15707.0,19673705.608,2540239.1040000003,15585764.352,21800.0,966587.0079999999,267120.99199999997,292195.00800000003,0.0,0.0,0.0
2013-06-30,24690184.191999998,3538983.936,187630.0,3093569.0239999997,59680.0,0.0,0.0,157299.008,17302.0,23504.0,922764.032,651238.976,0.0,0.0,0.0,0.0,164990.0,1500.0,0.0,105035.0,3235429.12,363196.992,16629809.152,0.0,24690184.191999998,1735294.976,0.0,31931.0,29910.0,39552.0,0.0,2166.0,1631735.9519999998,0.0,0.0,3517243.9039999996,1348120.064,0.0,47688.0,2017425.024,0.0,104011.0,0.0,0.0,15680.0,19421963.776,2540239.1040000003,15347880.96,21653.0,577884.032,404523.008,529784.0,0.0,0.0,0.0
2013-09-30,25292072.96,3940868.0960000004,754683.0079999999,2978625.0239999997,53970.0,0.0,0.0,118639.0,17793.0,17158.0,1040334.016,764524.032,0.0,0.0,0.0,0.0,166894.0,992.0,0.0,107924.0,3270048.0,391755.008,16649066.496,0.0,25292072.96,2287149.056,0.0,46022.0,25875.0,18237.0,0.0,1515.0,2195500.04,0.0,0.0,3667331.0719999997,1357042.9440000001,0.0,47998.0,2156617.984,0.0,105672.0,0.0,0.0,15789.0,19321803.832000002,2540239.1040000003,15228099.584,21507.0,577884.032,405576.0,548496.0,0.0,0.0,0.0
2013-12-31,25896660.992,4319482.88,1196589.0559999999,2853392.896,54227.0,0.0,0.0,120396.0,15606.0,79272.0,1135424.0,820777.984,0.0,0.0,0.0,0.0,203036.992,744.0,0.0,110865.0,3346277.12,423150.016,16672324.608,0.0,25896660.992,2710845.952,0.0,45474.0,27412.0,42129.0,0.0,1428.0,2594403.04,0.0,0.0,3886920.96,1426193.024,0.0,50422.0,2295773.952,0.0,114532.0,0.0,0.0,14663.0,19284228.776,2540239.1040000003,15101655.04,21360.0,940476.032,0.0,0.0,0.0,680499.0079999999,0.0
2014-03-31,26000203.776,4425022.976,1319603.9679999999,2878254.08,55555.0,0.0,0.0,138040.0,16255.0,17315.0,1195472.0,879987.0079999999,0.0,0.0,0.0,0.0,201419.008,496.0,0.0,113570.0,3248716.0319999997,431910.016,16699081.728,0.0,26000203.776,3142493.952,0.0,40199.0,23885.0,18491.0,0.0,147128.0,2912791.104,0.0,0.0,3985968.896,1377763.968,0.0,48708.0,2436634.88,0.0,122862.0,0.0,0.0,14701.0,18857039.415999997,2540239.1040000003,14642588.672,21214.0,794772.9920000001,256288.0,0.0,0.0,601936.0,0.0
2014-06-30,24419995.648000002,2800325.8880000003,198698.0,2321227.008,54160.0,0.0,0.0,156376.0,26023.0,43842.0,1299501.952,976062.9759999999,0.0,0.0,0.0,0.0,206374.0,248.0,0.0,116817.0,3176785.92,428800.992,16714580.992,0.0,24419995.648000002,1674774.0159999998,0.0,33867.0,22914.0,39912.0,0.0,1655.0,1576426.024,0.0,0.0,4092036.0960000004,1340872.96,0.0,47406.0,2577820.9280000003,0.0,125936.0,0.0,0.0,14798.0,18638388.048,2540239.1040000003,14437029.888,21067.0,794772.9920000001,301598.016,0.0,0.0,543681.024,0.0
2014-09-30,25240264.704,3025592.064,370024.992,2337040.8959999997,61934.0,0.0,0.0,160596.992,26425.0,69570.0,1517337.9840000002,1134242.048,0.0,0.0,0.0,0.0,258719.008,5155.0,0.0,119222.0,3544641.0239999997,421006.016,16731687.935999999,0.0,25240264.704,1888716.032,0.0,40059.0,29417.0,19804.0,0.0,1625.0,1797811.032,0.0,0.0,4386121.216,1493249.024,0.0,44340.0,2718679.04,0.0,129853.0,0.0,0.0,15084.0,18950344.224,2540239.1040000003,14458172.416,20921.0,794772.9920000001,340089.984,0.0,0.0,796148.9920000001,0.0
2014-12-31,25538263.04,2785239.04,500535.008,1962228.9919999999,57571.0,0.0,0.0,166154.0,26431.0,72319.0,1797321.9840000002,1392763.0080000001,0.0,0.0,0.0,0.0,274780.99199999997,7293.0,0.0,122485.0,3761299.9680000003,421185.984,16773216.256,0.0,25538263.04,1891832.96,0.0,66241.0,27542.0,47368.0,0.0,1687.0,1748994.9840000002,0.0,0.0,4658027.008,1619122.9440000001,0.0,48238.0,2859305.9839999997,0.0,131360.0,0.0,0.0,8894.0,18979510.735999998,2540239.1040000003,14237079.552000001,20774.0,1176711.04,0.0,0.0,0.0,1004705.0240000001,0.0
