,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2009-09-30,62707.0,51121.0,1803.0,0.0,23177.0,21625.0,0.0,0.0,0.0,4516.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,138.0,5295.0,5343.0,693.0,0.0,62707.0,24774.0,0.0,4817.0,860.0,3575.0,1552.0,572.0,10362.0,3036.0,0.0,1634.0,561.0,0.0,0.0,0.0,0.0,1073.0,0.0,0.0,0.0,36299.0,15000.0,212.0,0.0,17854.0,3233.0,0.0,0.0,0.0,0.0
2009-12-31,72126.0,60852.0,7988.0,0.0,27364.0,21434.0,0.0,0.0,0.0,4066.0,392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.0,144.0,1694.0,8494.0,694.0,0.0,72126.0,28556.0,0.0,3478.0,2054.0,4166.0,644.0,1397.0,14414.0,2403.0,0.0,4338.0,2993.0,0.0,0.0,0.0,0.0,1345.0,0.0,0.0,5341.0,33891.0,15000.0,212.0,0.0,18679.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,81434.0,63917.0,7456.0,0.0,22956.0,22714.0,0.0,0.0,0.0,10791.0,393.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,26.0,1548.0,14900.0,676.0,0.0,81434.0,31608.0,0.0,5351.0,4497.0,4254.0,477.0,945.0,13087.0,2997.0,0.0,6008.0,2795.0,0.0,42.0,0.0,0.0,3171.0,0.0,0.0,0.0,38313.0,15000.0,212.0,0.0,19405.0,0.0,3696.0,0.0,0.0,0.0
2010-06-30,93111.0,75429.0,4928.0,0.0,41389.0,24794.0,0.0,0.0,0.0,4318.0,452.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.0,213.0,1534.0,14927.0,769.0,0.0,93111.0,41385.0,0.0,6124.0,7199.0,4162.0,893.0,579.0,19042.0,3386.0,0.0,6452.0,3239.0,0.0,42.0,0.0,0.0,3171.0,0.0,0.0,0.0,39559.0,15000.0,212.0,0.0,18900.0,1751.0,3696.0,0.0,0.0,0.0
2010-09-30,86564.0,72962.0,7240.0,0.0,38030.0,22408.0,0.0,0.0,0.0,5284.0,586.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254.0,332.0,4735.0,7518.0,763.0,0.0,86564.0,45268.0,0.0,7759.0,8695.0,3861.0,1989.0,572.0,18402.0,3990.0,0.0,4441.0,3137.0,0.0,0.0,0.0,0.0,1304.0,0.0,0.0,0.0,36855.0,15000.0,212.0,0.0,19169.0,2474.0,0.0,0.0,0.0,0.0
2010-12-31,86585.0,68830.0,1766.0,1560.0,29771.0,26695.0,0.0,2284.0,0.0,6754.0,517.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,517.0,0.0,1469.0,15018.0,751.0,0.0,86585.0,33607.0,1043.0,5639.0,2271.0,4661.0,2538.0,1345.0,13740.0,2370.0,0.0,6664.0,3207.0,0.0,0.0,1868.0,0.0,1589.0,0.0,0.0,5130.0,41184.0,15000.0,212.0,0.0,22277.0,0.0,3695.0,0.0,0.0,0.0
2011-03-31,85817.0,67841.0,4321.0,2250.0,24839.0,27278.0,0.0,2291.0,0.0,6862.0,798.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,772.0,26.0,1524.0,14592.0,1062.0,0.0,85817.0,27209.0,1059.0,3868.0,1881.0,4619.0,451.0,1053.0,11196.0,3082.0,0.0,10036.0,6579.0,0.0,0.0,1868.0,0.0,1589.0,0.0,0.0,5152.0,43420.0,15000.0,212.0,3696.0,24512.0,0.0,0.0,0.0,0.0,0.0
2011-06-30,86345.0,67962.0,3705.0,2612.0,25115.0,27740.0,0.0,2136.0,0.0,6654.0,910.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,884.0,26.0,1537.0,15226.0,710.0,0.0,86345.0,27115.0,1019.0,4693.0,1508.0,4611.0,0.0,1364.0,10386.0,3534.0,0.0,9976.0,6519.0,0.0,0.0,1868.0,0.0,1589.0,0.0,0.0,5557.0,43697.0,15000.0,212.0,3696.0,24789.0,0.0,0.0,0.0,0.0,0.0
2011-09-30,91671.0,71512.0,2646.0,4688.0,28428.0,26752.0,0.0,1763.0,0.0,7235.0,1290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1264.0,26.0,1653.0,16208.0,1008.0,0.0,91671.0,29178.0,1008.0,4433.0,2444.0,4549.0,44.0,486.0,12256.0,3958.0,0.0,9594.0,6180.0,0.0,0.0,1868.0,0.0,1546.0,0.0,0.0,6170.0,46729.0,15000.0,212.0,3696.0,27821.0,0.0,0.0,0.0,0.0,0.0
2011-12-31,88433.0,67186.0,2129.0,5206.0,27338.0,23023.0,0.0,3506.0,0.0,5984.0,1695.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1695.0,0.0,1816.0,16768.0,968.0,0.0,88433.0,26796.0,1025.0,2662.0,2247.0,5911.0,741.0,1051.0,10561.0,2598.0,0.0,8055.0,4535.0,0.0,9.0,1868.0,0.0,1643.0,0.0,0.0,6390.0,47192.0,15000.0,212.0,0.0,28260.0,0.0,3696.0,24.0,0.0,0.0
