,Ativo Total,Ativo Circulante,Disponibilidades,Aplicações Interfinanceiras de Liquidez,Títulos e Valores Mobiliários,Relações Interfinanceiras,Relações Interdependências,Operações de Crédito,Operações de Arrendamento Mercantil,Outros Créditos,Outros Valores e Bens,Ativo Realizável a Longo Prazo,Aplicações Interfinanceiras de Liquidez.1,Títulos e Valores Mobiliários.1,Relações Interfinanceiras.1,Relações Interdependências.1,Operações de Crédito.1,Operações de Arrendamento Mercantil.1,Outros Créditos.1,Outros Valores e Bens.1,Ativo Permanente,Investimentos,Imobilizado de Uso,Imobilizado de Arrendamento,Intangível,Diferido,Passivo Total,Passivo Circulante,Depósitos,Captações no Mercado Aberto,Recursos de Aceites e Emissão de Títulos,Relações Interfinanceiras.2,Relações Interdependências.2,Obrigações por Empréstimos,Obrigações por Repasse do País,Obrigações por Repasse do Exterior,Outras Obrigações,Passivo Exigível a Longo Prazo,Depósitos.1,Captações no Mercado Aberto.1,Recursos de Aceites e Emissão de Títulos.1,Relações Interfinanceiras.3,Relações Interdependências.3,Obrigações por Empréstimos.1,Obrigações por Repasse do País.1,Obrigações por Repasse do Exterior.1,Outras Obrigações.1,Resultados de Exercícios Futuros,Part. de Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucro,Ajustes de Avaliação Patrimonial,Lucros/Prejuízos Acumulados
2001-12-31,3503033000.0,0.0,2516944000.0,0.0,986089000.0,44692000.0,44692000.0,986089000.0,,77213000.0,-59358000.0,0.0,0.0,0.0,1807940.0,,0.0,,3503033000.0,,-35967000.0,-218818000.0,64560000.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,78643000.0,0.0,0.0,,0.0,36970000.0,0.0,,,,,,0.0,,36970000.0,,,21884000.0,1807940.0,1204907000.0,0.0,0.0,-7722000.0,-4.27116
2002-03-31,3820536000.0,0.0,2811190000.0,0.0,1009346000.0,19773000.0,19773000.0,1009346000.0,,43956000.0,-43391000.0,0.0,0.0,0.0,29645970.0,,0.0,,3820536000.0,,-37413000.0,-195885000.0,62722000.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,78252000.0,0.0,0.0,,0.0,42706000.0,0.0,,,,,,0.0,,42706000.0,,,21883000.0,29645970.0,1205231000.0,0.0,0.0,22933000.0,0.77356
2002-06-30,4186826000.0,0.0,3151268000.0,0.0,1035558000.0,17253000.0,17253000.0,1035558000.0,,48599000.0,-38076000.0,0.0,0.0,0.0,29645970.0,,0.0,,4186826000.0,,-38382000.0,-169679000.0,61290000.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,77789000.0,0.0,0.0,,0.0,54777000.0,0.0,,,,,,0.0,,54777000.0,,,21883000.0,29645970.0,1205237000.0,0.0,0.0,37524000.0,1.26574
2002-09-30,3894786000.0,0.0,2832516000.0,0.0,1062270000.0,20047000.0,20047000.0,1062270000.0,,55654000.0,-38127000.0,0.0,0.0,0.0,29645970.0,,0.0,,3894786000.0,,-39499000.0,-142967000.0,60618000.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,78122000.0,0.0,0.0,,0.0,48710000.0,0.0,,,,,,0.0,,48710000.0,,,21995000.0,29645970.0,1205237000.0,0.0,0.0,28663000.0,0.96684
2002-12-31,4382283000.0,0.0,3161029000.0,0.0,1221254000.0,59032000.0,59032000.0,1221254000.0,,106291000.0,-45720000.0,0.34700000000000003,0.0,0.0,29645970.0,,0.0,,4382283000.0,,-40699000.0,16020000.0,70940000.0,,0.0,,0.0,0.0,0.0,0.0,-2399000.0,0.0,88729000.0,0.0,0.0,,0.0,142877000.0,0.0,,,,,,0.0,,142877000.0,,,22910000.0,29645970.0,1205234000.0,0.0,10287000.0,83845000.0,2.74729
2003-03-31,3845105000.0,0.0,2563769000.0,0.0,1281336000.0,41810000.0,41810000.0,1281336000.0,,71824000.0,-39257000.0,0.0,0.0,0.0,29645970.0,,0.0,,3845105000.0,,-41640000.0,76102000.0,68036000.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,86766000.0,0.0,0.0,,0.0,96405000.0,0.0,,,,,,0.0,,96405000.0,,,22910000.0,29645970.0,1205234000.0,0.0,0.0,54595000.0,1.84157
2003-06-30,3952161000.0,0.0,2655402000.0,0.0,1296759000.0,32714000.0,32714000.0,1296759000.0,,80018000.0,-39517000.0,0.0,0.0,0.0,29645970.0,,0.0,,3952161000.0,,-38405000.0,91525000.0,66519000.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,81937000.0,0.0,0.0,,0.0,31970000.0,0.0,,,,,,0.0,,31970000.0,,,22987000.0,29645970.0,1205234000.0,0.0,0.0,-744000.0,-0.0251
2003-09-30,4205933000.0,0.0,2839911000.0,0.0,1366022000.0,38207000.0,38207000.0,1366022000.0,,109704000.0,-39598000.0,0.0,0.0,0.0,29645970.0,,0.0,,4205933000.0,,-39939000.0,160788000.0,66044000.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,82900000.0,0.0,0.0,,0.0,97406000.0,0.0,,,,,,0.0,,97406000.0,,,23083000.0,29645970.0,1205234000.0,0.0,0.0,59199000.0,1.99687
2003-12-31,4367309000.0,0.0,2940654000.0,0.0,1426655000.0,-18969000.0,-18969000.0,1426655000.0,,187980000.0,-60135000.0,0.0,0.0,0.0,29645970.0,,0.0,,4367309000.0,,-41100000.0,221421000.0,74007000.0,,0.0,,0.0,0.0,0.0,0.0,-6675000.0,0.0,91469000.0,0.0,0.0,,0.0,167524000.0,0.0,,,,,,0.0,,167524000.0,,,23638000.0,29645970.0,1205234000.0,0.0,0.0,186493000.0,6.06551
2004-03-31,4357117000.0,0.0,2886963000.0,0.0,1470154000.0,17558000.0,17558000.0,1470154000.0,,198041000.0,-44447000.0,0.0,0.0,0.0,29645970.0,,0.0,,4357117000.0,,-42536000.0,264920000.0,70570000.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,89467000.0,0.0,0.0,,0.0,58754000.0,0.0,,,,,,0.0,,58754000.0,,,23639000.0,29645970.0,1205234000.0,0.0,0.0,41196000.0,1.3896
