,Ativo Total,Ativo Circulante,Disponibilidades,Aplicações Interfinanceiras de Liquidez,Títulos e Valores Mobiliários,Relações Interfinanceiras,Relações Interdependências,Operações de Crédito,Operações de Arrendamento Mercantil,Outros Créditos,Outros Valores e Bens,Ativo Realizável a Longo Prazo,Aplicações Interfinanceiras de Liquidez.1,Títulos e Valores Mobiliários.1,Relações Interfinanceiras.1,Relações Interdependências.1,Operações de Crédito.1,Operações de Arrendamento Mercantil.1,Outros Créditos.1,Outros Valores e Bens.1,Ativo Permanente,Investimentos,Imobilizado de Uso,Imobilizado de Arrendamento,Intangível,Diferido,Passivo Total,Passivo Circulante,Depósitos,Captações no Mercado Aberto,Recursos de Aceites e Emissão de Títulos,Relações Interfinanceiras.2,Relações Interdependências.2,Obrigações por Empréstimos,Obrigações por Repasse do País,Obrigações por Repasse do Exterior,Outras Obrigações,Passivo Exigível a Longo Prazo,Depósitos.1,Captações no Mercado Aberto.1,Recursos de Aceites e Emissão de Títulos.1,Relações Interfinanceiras.3,Relações Interdependências.3,Obrigações por Empréstimos.1,Obrigações por Repasse do País.1,Obrigações por Repasse do Exterior.1,Outras Obrigações.1,Resultados de Exercícios Futuros,Part. de Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucro,Ajustes de Avaliação Patrimonial,Lucros/Prejuízos Acumulados,Receitas da Intermediação Financeira,Despesas da Intermediação Financeira,Resultado Bruto Intermediação Financeira,Outras Despesas/Receitas Operacionais,Receitas de Prestação de Serviços,Despesas de Pessoal,Outras Despesas Administrativas,Despesas Tributárias,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Resultado Operacional,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores.1,Lucro/Prejuízo do Período
2001-03-31,145021287.0,805636.0,0.0,136919556.0,0.0,0.0,0.0,0.0,,0.0,0.0,6.400999999999999e-05,0.0,2344609.0,6.400999999999999e-05,,1197559.73,,0.0,0.0,0.0,0.0,2460196.0,,0.0,,145021284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136731.0,0.0,0.0,136731.0,1510347.47,0.0,,,0.0,0.0,0.0,8101731.0,-3140963.0,,8101731.0,6.400999999999999e-05,0.0,33246.0,136731.0,0.0,-1294298.0,0.0,0.0,0.0,186920.0,2010055.0,0.0,0.0,499440.0,779959.0,37434.0,0.0,0.0,0.0,0.0,0.0,50189.0,0.0,6.400999999999999e-05,50189.0,,,6.400999999999999e-05
2001-06-30,146743157.0,729230.0,0.0,138550856.0,0.0,0.0,0.0,-19259.0,,0.0,0.0,7.832999999999999e-05,0.0,2571644.0,7.832999999999999e-05,,1197599.08,,0.0,0.0,0.0,0.0,2409546.0,,0.0,,146743157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186574.0,0.0,0.0,186574.0,1510397.09,77036.0,,,5.1e-05,0.0,0.0,8192301.0,-3263269.0,,8192301.0,7.832999999999999e-05,0.0,33221.0,167315.0,0.0,-1316148.0,0.0,0.0,0.0,210452.0,2066606.0,0.0,0.0,710940.0,753540.0,80009.0,0.0,0.0,0.0,0.0,0.0,23878.0,0.0,7.832999999999999e-05,23878.0,,,7.832999999999999e-05
2001-09-30,157224547.0,681069.0,0.0,148586442.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.00020859,0.0,3017208.0,0.00020859,,1197599.08,,0.0,0.0,0.0,0.0,2314519.0,,0.0,,157224547.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,445548.0,0.0,0.0,445548.0,1510397.09,0.0,,,0.0,0.0,0.0,8638105.0,-3469639.0,,8638105.0,0.00020859,0.0,33445.0,445548.0,0.0,-1335914.0,0.0,0.0,0.0,491867.0,2109951.0,0.0,0.0,794014.0,799384.0,59613.0,0.0,0.0,0.0,0.0,0.0,46319.0,0.0,0.00020859,46319.0,,,0.00020859
2001-12-31,165120024.0,357647.0,0.0,156372671.0,0.0,0.0,0.0,-47087.0,,0.0,0.0,0.0001556,0.0,1278381.0,0.0001556,,1197599.08,,0.0,0.0,0.0,0.0,2961150.0,,0.0,,165120024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379445.0,0.0,0.0,379445.0,1510397.09,188349.0,,,8.667000000000001e-05,0.0,0.0,8747353.0,-2908207.0,,8747353.0,0.0001556,0.0,33428.0,332358.0,0.0,-1628305.0,0.0,0.0,0.0,559850.0,2094844.0,0.0,0.0,847778.0,739905.0,37430.0,0.0,0.0,0.0,0.0,0.0,180405.0,0.0,0.0001556,180405.0,,,0.0001556
2002-03-31,168590599.0,1058955.0,0.0,159492611.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0001634,0.0,1278398.0,0.0001634,,1197599.08,,0.0,0.0,0.0,0.0,2643553.0,,0.0,,168590599.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349018.0,0.0,0.0,349018.0,1510397.09,0.0,,,0.0,0.0,0.0,9097988.0,-2811030.0,,9097988.0,0.0001634,0.0,35029.0,349018.0,0.0,-1295885.0,0.0,0.0,0.0,685899.0,2094414.0,0.0,0.0,864184.0,929395.0,0.0,0.0,0.0,0.0,0.0,0.0,336881.0,0.0,0.0001634,336881.0,,,0.0001634
2002-06-30,169909948.0,1525648.0,0.0,161925454.0,0.0,0.0,0.0,-76858.0,,0.0,0.0,0.00018598,0.0,2184447.0,0.00018752,,1197599.08,,0.0,0.0,0.0,0.0,2606666.0,,0.0,,169909948.0,0.0,0.0,3296.0,0.0,0.0,0.0,0.0,0.0,474104.0,0.0,0.0,474104.0,1510397.09,307433.0,,,0.00013667,0.0,0.0,7984494.0,-2899658.0,,7984494.0,0.00018752,0.0,34997.0,400542.0,-1670494.0,-1324070.0,0.0,0.0,0.0,669483.0,2145636.0,0.0,0.0,910045.0,958588.0,26136.0,0.0,0.0,0.0,0.0,0.0,195379.0,0.0,0.00018598,195379.0,,,0.00018598
2002-09-30,213412499.0,2667069.0,0.0,205002119.0,0.0,0.0,0.0,-24808.0,,0.0,0.0,0.00027536,0.0,2789717.0,0.00027536,,2229837.67,,0.0,0.0,0.0,0.0,2619201.0,,0.0,,213412499.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629511.0,0.0,0.0,629511.0,2229837.67,0.0,,,0.0,0.0,0.0,8410380.0,-3094960.0,,8410380.0,0.00027536,0.0,34979.0,604703.0,-1724287.0,-1409674.0,0.0,0.0,0.0,929506.0,2234640.0,0.0,0.0,1249930.0,1023453.0,0.0,0.0,0.0,0.0,0.0,0.0,299995.0,0.0,0.00027536,299995.0,,,0.00027536
2002-12-31,204594608.0,187004.0,0.0,195397543.0,0.0,0.0,0.0,-43210.0,,0.0,0.0,0.00030815,0.0,2973353.0,0.00030964999999999996,,2196064.47,,0.0,0.0,0.0,0.0,3086513.0,,0.0,,204594608.0,0.0,0.0,3296.0,0.0,0.0,0.0,0.0,0.0,719919.0,0.0,0.0,719919.0,2196064.47,272072.0,,,8.667000000000001e-05,0.0,0.0,9197065.0,-2879537.0,,9197065.0,0.00030964999999999996,0.0,24762.0,680005.0,-1110815.0,-1517991.0,33773.2,0.0,0.0,1075722.0,2221655.0,0.0,0.0,1189844.0,1008932.0,0.0,0.0,0.0,0.0,0.0,0.0,355803.0,0.0,0.00030815,355803.0,,,0.00030815
2003-03-31,209240064.0,1775227.0,0.0,199076142.0,0.0,0.0,0.0,-19647.0,,0.0,0.0,0.00021811,0.0,3452360.0,0.00021920999999999998,,2196064.47,,0.0,0.0,0.0,0.0,2974026.0,,0.0,,209240064.0,0.0,0.0,2416.0,0.0,0.0,0.0,0.0,119981.0,498640.0,0.0,0.0,498640.0,2196064.47,321916.0,,,0.00012712999999999998,0.0,0.0,10163922.0,-2970094.0,,10163922.0,0.00021920999999999998,0.0,24748.0,481409.0,-622951.0,-1509020.0,33773.2,0.0,0.0,1185258.0,2227343.0,0.0,0.0,705474.0,1013450.0,27302.0,0.0,0.0,0.0,0.0,0.0,686618.0,0.0,0.00021811,686618.0,,,0.00021811
2003-06-30,205762133.0,1612843.0,0.0,194890248.0,0.0,0.0,0.0,-48809.0,,0.0,0.0,0.00027317000000000004,0.0,2800845.0,0.00027427,,2196064.47,,0.0,0.0,0.0,0.0,2550343.0,,0.0,,205762133.0,0.0,0.0,2416.0,0.0,0.0,0.0,0.0,102289.0,648711.0,0.0,0.0,648711.0,2196064.47,0.0,,,0.0,0.0,0.0,10871885.0,-3308695.0,,10871885.0,0.00027427,0.0,24733.0,602318.0,-194103.0,-1480936.0,33773.2,0.0,0.0,1057777.0,2221709.0,0.0,0.0,791525.0,1022226.0,26173.0,0.0,0.0,0.0,0.0,0.0,409066.0,0.0,0.00027317000000000004,409066.0,,,0.00027317000000000004
