,Ativo Total,Ativo Circulante,Disponibilidades,Aplicações Interfinanceiras de Liquidez,Títulos e Valores Mobiliários,Relações Interfinanceiras,Relações Interdependências,Operações de Crédito,Operações de Arrendamento Mercantil,Outros Créditos,Outros Valores e Bens,Ativo Realizável a Longo Prazo,Aplicações Interfinanceiras de Liquidez.1,Títulos e Valores Mobiliários.1,Relações Interfinanceiras.1,Relações Interdependências.1,Operações de Crédito.1,Operações de Arrendamento Mercantil.1,Outros Créditos.1,Outros Valores e Bens.1,Ativo Permanente,Investimentos,Imobilizado de Uso,Imobilizado de Arrendamento,Intangível,Diferido,Passivo Total,Passivo Circulante,Depósitos,Captações no Mercado Aberto,Recursos de Aceites e Emissão de Títulos,Relações Interfinanceiras.2,Relações Interdependências.2,Obrigações por Empréstimos,Obrigações por Repasse do País,Obrigações por Repasse do Exterior,Outras Obrigações,Passivo Exigível a Longo Prazo,Depósitos.1,Captações no Mercado Aberto.1,Recursos de Aceites e Emissão de Títulos.1,Relações Interfinanceiras.3,Relações Interdependências.3,Obrigações por Empréstimos.1,Obrigações por Repasse do País.1,Obrigações por Repasse do Exterior.1,Outras Obrigações.1,Resultados de Exercícios Futuros,Part. de Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucro,Ajustes de Avaliação Patrimonial,Lucros/Prejuízos Acumulados,Receitas da Intermediação Financeira,Despesas da Intermediação Financeira,Resultado Bruto Intermediação Financeira,Outras Despesas/Receitas Operacionais,Receitas de Prestação de Serviços,Despesas de Pessoal,Outras Despesas Administrativas,Despesas Tributárias,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Resultado Operacional,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores.1,Lucro/Prejuízo do Período
2003-03-31,-13324.0,458411.0,0.0,-52776.0,0.0,5249438.0,112861.0,112861.0,11820604.0,0.0,0.0,0.0,0.0,0.0,0.0,,11707743.0,144999826.0,0.0,0.0,144999826.0,133292083.0,0.0,-52776.0,-2741988.0,,2538385.0,0.0,0.0,0.0,8626238.83,-3586.0,0.0,0.0,0.0,,5.88e-05,5517326.0,5517326.0,0.0,0.0,,,-3586.0,458411.0,,0.0,0.0,,6300000.0,4283756.95,0.0,,5421067.0,4342481.88,,-1053175.0,0.0,0.0,0.0,0.0,0.0,39441.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88e-05,0.0,0.0,5.88e-05,,,,,507601.0
2003-06-30,-6083.0,763225.0,0.0,242190.0,0.0,5555376.0,107257.0,107257.0,12629361.0,0.0,0.0,0.0,0.0,0.0,0.0,,12522104.0,154489274.0,0.0,0.0,154489274.0,141967170.0,0.0,242190.0,-2916793.0,,2666054.0,0.0,0.0,0.0,9027148.76,-1325.0,0.0,0.0,0.0,,5.753e-05,5744143.0,5744143.0,0.0,0.0,,,-1325.0,763225.0,,0.0,0.0,,7000000.0,4482847.27,0.0,,5528187.0,4544301.49,,-1147838.0,0.0,0.0,0.0,0.0,0.0,23497.0,0.0,0.0,0.0,0.0,0.0,0.0,5.753e-05,0.0,0.0,5.753e-05,,,,,519710.0
2003-09-30,241151.0,677143.0,0.0,111614.0,0.0,5346713.0,110991.0,110991.0,13077811.0,0.0,0.0,0.0,0.0,0.0,0.0,,12966820.0,164363347.0,0.0,0.0,164363347.0,151396527.0,0.0,111614.0,-2758178.0,,2612836.0,0.0,0.0,0.0,9027148.76,-1638.0,0.0,0.0,0.0,,6.242e-05,5733228.0,5733228.0,0.0,0.0,,,-1638.0,677143.0,,0.0,0.0,,7000000.0,4482847.27,0.0,,5725669.0,4544301.49,,-1306415.0,0.0,0.0,0.0,0.0,0.0,24130.0,0.0,0.0,0.0,0.0,0.0,0.0,6.242e-05,0.0,0.0,6.242e-05,,,,,563891.0
2003-12-31,478917.0,813253.0,0.0,95620.0,0.0,4879371.0,112729.0,112729.0,13659609.0,0.0,0.0,0.0,0.0,0.0,0.0,,13546880.0,176097690.0,0.0,3269.41,176097690.0,162550810.0,0.0,95620.0,-2587377.0,,2326356.0,0.0,0.0,0.0,9023879.35,-2496.0,0.0,0.0,0.0,,7.59e-05,6046855.0,6046855.0,0.0,0.0,,,-2496.0,813253.0,,0.0,0.0,,7000000.0,4482847.27,0.0,,6075305.0,4541032.08,,-1272063.0,0.0,0.0,0.0,0.0,0.0,14406.0,0.0,0.0,0.0,0.0,0.0,0.0,7.59e-05,0.0,0.0,7.59e-05,,,,,715137.0
2004-03-31,317984.0,787718.0,0.0,178637.0,0.0,4917913.0,67617.0,67617.0,13692274.0,0.0,0.0,0.0,0.0,0.0,0.0,,13624657.0,160971027.0,0.0,22968.3,160971027.0,147346370.0,0.0,178637.0,-2573245.0,,2376948.0,0.0,0.0,0.0,9004180.35,-368.0,0.0,0.0,0.0,,6.755e-05,6350982.0,6350982.0,0.0,0.0,,,-368.0,787718.0,,0.0,0.0,,7000000.0,4482847.22,0.0,,6358079.0,4521333.13,,-1177258.0,0.0,0.0,0.0,0.0,0.0,15606.0,0.0,0.0,0.0,0.0,0.0,0.0,6.755e-05,0.0,0.0,6.755e-05,,,,,608713.0
2004-06-30,27703.0,419016.0,0.0,-224907.0,0.0,4927838.0,65971.0,65971.0,13716343.0,0.0,0.0,0.0,0.0,0.0,0.0,,13650372.0,176253812.0,0.0,23707.96,176253812.0,162603440.0,0.0,-224907.0,-2631361.0,,2326103.0,0.0,0.0,0.0,9003440.46,-2587.0,313547.0,241533.0,0.0,,7.117999999999999e-05,5984603.0,5984603.0,0.0,0.0,,,-2587.0,732563.0,,0.23,0.0,,7000000.0,4482846.99,0.0,,6675558.0,4520593.47,,-1233345.0,0.0,0.0,0.0,0.0,0.0,52603.0,0.0,0.0,0.0,0.0,0.0,0.0,7.117999999999999e-05,0.0,0.0,7.117999999999999e-05,,,,,641336.0
2004-09-30,638628.0,1033261.0,0.0,278499.0,0.0,4881559.0,73965.0,73965.0,14751672.0,0.0,0.0,0.0,0.0,0.0,0.0,,14677707.0,179703498.0,0.0,25229.42,179703498.0,165025791.0,0.0,278499.0,-2618334.0,,2287806.0,0.0,0.0,0.0,9001919.0,-2413.0,501437.0,118214.0,0.0,,8.351e-05,6095337.0,6095337.0,984509.0,0.0001143,,,-2413.0,1534698.0,,0.23,0.0,,7000000.0,4482846.99,0.0,,7095174.0,4519072.01,,-1273981.0,0.00010407,0.0,0.0,0.0,0.0,49581.0,0.0,0.0,0.0,0.0,0.0,0.0,8.351e-05,0.0,0.0,8.351e-05,,,,,752349.0
2004-12-31,458080.0,1386970.0,0.0,322116.0,0.0,4961804.0,70590.0,70590.0,15285236.0,0.0,0.0,0.0,0.0,0.0,0.0,,15214646.0,184926468.0,0.0,0.0,184926468.0,169711822.0,0.0,322116.0,-2691307.0,,2289448.0,0.0,0.0,0.0,9001919.0,-7101.0,0.0,0.0,0.0,,0.00011745999999999999,0.0,0.0,340474.0,3.981000000000001e-05,,,-7101.0,1386970.0,,0.0,0.0,,7000000.0,4482846.99,0.0,,7756566.0,4519072.01,,-1284423.0,3.625e-05,0.0,0.0,0.0,0.0,42579.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011745999999999999,0.0,0.0,0.00011745999999999999,,,,,1057753.0
2005-03-31,235769.0,1577961.0,0.0,372813.0,0.0,4896747.0,51843.0,51843.0,16590135.0,0.0,0.0,0.0,0.0,0.0,0.0,,16538292.0,191298907.0,0.0,0.0,191298907.0,174760615.0,0.0,372813.0,-2736228.0,,2175652.0,0.0,0.0,0.0,9332822.52,277.0,96114.0,115535.0,0.0,,0.00012907,0.0,0.0,0.0,3.517e-05,,,277.0,1674075.0,,0.0,0.0,,10000000.0,4651634.35,0.0,,6332287.0,4681188.17,,-1220723.0,3.203e-05,0.0,0.0,0.0,0.0,44050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012907,0.0,0.0,0.00012907,,,,,1205425.0
2005-06-30,346408.0,2125700.0,0.0,707848.0,0.0,4840040.0,53415.0,53415.0,17501865.0,0.0,0.0,0.0,0.0,0.0,0.0,,17448450.0,194542087.0,0.0,23244.6,194542087.0,177093637.0,0.0,707848.0,-2764002.0,,2088383.0,0.0,0.0,0.0,9317618.92,-1985.0,184105.0,108556.0,0.0,,0.00015184,0.0,0.0,0.0,0.0,,,-1985.0,2309805.0,,0.0,0.0,,10000000.0,4651634.35,0.0,,7189463.0,4665984.56,,-1246226.0,0.0,0.0,0.0,0.0,0.0,4228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015184,0.0,0.0,0.00015184,,,,,1415867.0
