,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2007-12-31,323880.0,315816.0,287778.0,0.0,24210.0,,,3254.0,0.0,574.0,0.0,,,10627.0,3081.0,,,,,252.0,,132.0,429.0,,323880.0,26343.0,0.0,3760.0,7643.0,,,0.0,295456.0,,,28424.0,45.0,,0.0,,,1652.0,,,132.0,295588.0,229.0,0.0,,1467.0,-8778.0,,,,
2008-03-31,466659.0,307291.0,265493.0,0.0,36202.0,,,3667.0,0.0,1929.0,331.0,,,11878.0,3872.0,,,,,84172.0,,12.0,143054.0,,466659.0,37538.0,0.0,3137.0,13009.0,,,4979.0,342841.0,,,123818.0,198.0,,0.0,,,1898.0,,,12.0,342853.0,450.0,0.0,,4528.0,38612.0,,,,
2008-06-30,525789.0,322965.0,262863.0,0.0,53768.0,,,4639.0,0.0,1695.0,528.0,,,59359.0,5331.0,,,,,68597.0,,69.0,179342.0,,525789.0,88091.0,0.0,4114.0,16421.0,,,2461.0,366174.0,,,159615.0,231.0,,0.0,,,2627.0,,,69.0,366243.0,239.0,0.0,,4793.0,61945.0,,,,
2008-09-30,643532.0,169148.0,101231.0,0.0,58903.0,,,6280.0,0.0,1486.0,782.0,,,124504.0,7121.0,,,,,106227.0,,113.0,376859.0,,643532.0,166410.0,0.0,5332.0,16828.0,,,2253.0,368058.0,,,275474.0,172.0,,0.0,,,2552.0,,,113.0,368171.0,418.0,0.0,,70132.0,64885.0,,,,
2008-12-31,445849.0,110443.0,53081.0,0.0,47503.0,,,5527.0,0.0,2549.0,524.0,,,24802.0,7184.0,,,,,6698.0,,111.0,2491.0,,445849.0,66370.0,0.0,5349.0,14394.0,,,3873.0,369978.0,,,75871.0,136.0,,0.0,,,2556.0,,,111.0,370089.0,187.0,0.0,,67721.0,36119.0,,,,
2009-03-31,440258.0,110084.0,46617.0,0.0,52773.0,,,5761.0,0.0,2646.0,2193.0,,,25237.0,6562.0,,,,,6923.0,,150.0,2704.0,,440258.0,55426.0,0.0,3983.0,14934.0,,,3873.0,375119.0,,,65139.0,117.0,,0.0,,,2523.0,,,150.0,375269.0,631.0,0.0,,4099.0,41260.0,,,,
2009-06-30,449058.0,113906.0,44416.0,0.0,58402.0,,,6000.0,0.0,3223.0,2394.0,,,26009.0,7966.0,,,,,1434.0,,243.0,3000.0,,449058.0,57312.0,0.0,4038.0,18335.0,,,11.0,387571.0,,,61487.0,77.0,,0.0,,,2421.0,,,243.0,387814.0,828.0,0.0,,5833.0,53712.0,,,,
2009-09-30,469423.008,124103.0,53834.0,0.0,57928.0,0.0,0.0,0.0,0.0,12341.0,6157.0,0.0,0.0,5588.0,0.0,0.0,0.0,0.0,431.0,138.0,0.0,30262.0,308900.99199999997,0.0,469423.008,55456.0,0.0,4360.0,19455.0,113.0,1258.0,4.0,21938.0,8328.0,0.0,3627.0,40.0,0.0,985.0,0.0,0.0,2602.0,0.0,0.0,382.0,409958.016,344359.008,23454.0,0.0,12435.0,29710.0,0.0,0.0,0.0,0.0
2009-12-31,477964.992,140291.008,70964.0,0.0,57377.0,0.0,0.0,0.0,0.0,11950.0,9604.0,0.0,0.0,9024.0,0.0,0.0,0.0,0.0,254.0,326.0,0.0,31059.0,297011.00800000003,0.0,477964.992,60635.0,0.0,5166.0,21415.0,106.0,1323.0,10927.0,10361.0,11337.0,0.0,2823.0,13.0,0.0,243.0,0.0,0.0,2567.0,0.0,0.0,2.0,414504.992,344359.008,23454.0,0.0,46692.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,479369.984,148296.0,73642.0,0.0,60495.0,0.0,0.0,0.0,0.0,14159.0,8044.0,0.0,0.0,7622.0,0.0,0.0,0.0,0.0,254.0,168.0,0.0,31613.0,291416.99199999997,0.0,479369.984,47706.0,0.0,5826.0,10553.0,84.0,1297.0,10884.0,10667.0,8395.0,0.0,35485.0,0.0,22731.0,37.0,0.0,0.0,12717.0,0.0,0.0,93.0,396086.016,344359.008,23527.0,0.0,53804.0,0.0,-25604.0,0.0,0.0,0.0
2010-06-30,509358.016,157464.992,70149.0,0.0,70247.0,0.0,0.0,0.0,0.0,17069.0,7895.0,0.0,0.0,7324.0,0.0,0.0,0.0,0.0,254.0,317.0,0.0,33750.0,310248.0,0.0,509358.016,46066.0,0.0,5463.0,23795.0,81.0,1231.0,214.0,7333.0,7949.0,0.0,23255.0,4.0,0.0,20736.0,0.0,0.0,2515.0,0.0,0.0,1270.0,438767.008,344359.008,42992.0,0.0,77020.0,0.0,-25604.0,0.0,0.0,0.0
2010-09-30,499196.0,164786.0,65874.0,0.0,78992.0,0.0,0.0,0.0,0.0,19920.0,7060.0,0.0,0.0,4509.0,0.0,0.0,0.0,0.0,264.0,2287.0,0.0,38349.0,289000.99199999997,0.0,499196.0,48566.0,0.0,6275.0,25239.0,63.0,1152.0,234.0,7199.0,8404.0,0.0,3367.0,0.0,0.0,616.0,0.0,0.0,2751.0,0.0,0.0,1394.0,445868.992,344359.008,42992.0,0.0,84122.0,0.0,-25604.0,0.0,0.0,0.0
2010-12-31,536129.9839999999,199891.008,90746.0,0.0,87140.0,0.0,0.0,11049.0,2360.0,8596.0,6762.0,0.0,0.0,1457.0,0.0,0.0,0.0,0.0,603.0,4702.0,0.0,40309.0,289168.0,0.0,536129.9839999999,69092.0,0.0,6327.0,18279.0,39.0,0.0,17811.0,16847.0,9789.0,0.0,15413.0,0.0,0.0,0.0,12330.0,0.0,3083.0,0.0,0.0,995.0,450629.992,344359.008,42992.0,0.0,88883.0,0.0,-25604.0,0.0,0.0,0.0
2011-03-31,756220.032,397107.008,282655.00800000003,0.0,93436.0,0.0,0.0,11508.0,3723.0,5785.0,9558.0,0.0,0.0,1335.0,1909.0,0.0,0.0,0.0,627.0,5687.0,0.0,43153.0,306401.984,0.0,756220.032,90435.0,8629.0,6830.0,27488.0,15.0,137.0,18025.0,29311.0,0.0,0.0,15681.0,0.0,0.0,13227.0,193.0,0.0,2261.0,0.0,0.0,3948.0,646156.0,521678.016,42992.0,0.0,107426.0,0.0,0.0,0.0,-25940.0,0.0
2011-06-30,753118.9759999999,393553.984,7256.0,259712.0,100544.0,0.0,0.0,14678.0,3057.0,8307.0,8626.0,0.0,0.0,2466.0,2211.0,0.0,0.0,0.0,672.0,3277.0,0.0,44206.0,306732.99199999997,0.0,753118.9759999999,58636.0,8875.0,5083.0,14806.0,4.0,137.0,1330.0,28401.0,0.0,0.0,30287.0,0.0,0.0,12693.0,15333.0,0.0,2261.0,0.0,0.0,3666.0,660529.968,521678.016,40161.0,0.0,124444.0,0.0,-25753.0,0.0,0.0,0.0
2011-09-30,841212.032,418078.016,9048.0,269633.984,110537.0,0.0,0.0,16562.0,5570.0,6727.0,9211.0,0.0,0.0,2911.0,2211.0,0.0,0.0,0.0,661.0,3428.0,0.0,47483.0,366440.0,0.0,841212.032,67847.0,10215.0,6078.0,15326.0,0.0,517.0,209.0,35502.0,0.0,0.0,71578.0,0.0,0.0,51540.0,17777.0,0.0,2261.0,0.0,0.0,4037.0,697750.0079999999,521345.984,40161.0,0.0,157924.0,0.0,-21681.0,0.0,0.0,0.0
2011-12-31,923772.032,267583.00800000003,64069.0,71423.0,104659.0,0.0,0.0,17816.0,2844.0,6772.0,168307.008,158244.0,0.0,3266.0,0.0,0.0,0.0,0.0,848.0,5949.0,0.0,49170.0,438712.0,0.0,923772.032,115982.0,0.0,7697.0,34157.0,0.0,0.0,28034.0,31515.0,14579.0,0.0,51028.0,0.0,0.0,0.0,0.0,0.0,51028.0,0.0,0.0,62112.0,694649.984,520436.992,42992.0,0.0,152688.992,0.0,-21468.0,0.0,0.0,0.0
2012-03-31,953875.0079999999,277526.016,70082.0,81043.0,96164.0,0.0,0.0,19347.0,2877.0,8013.0,164556.992,153724.0,0.0,3249.0,0.0,0.0,0.0,0.0,351.0,7233.0,0.0,49959.0,461832.992,0.0,953875.0079999999,122171.0,0.0,7241.0,31859.0,0.0,0.0,25072.0,48954.0,9045.0,0.0,55197.0,0.0,0.0,0.0,0.0,0.0,55197.0,0.0,0.0,65293.0,711214.0079999999,520436.992,42992.0,0.0,169252.992,0.0,-21468.0,0.0,0.0,0.0
2012-06-30,912096.0,255906.0,56671.0,70808.0,96097.0,0.0,0.0,21047.0,2285.0,8998.0,145784.992,134311.008,0.0,3363.0,0.0,0.0,0.0,0.0,0.0,8111.0,0.0,49910.0,460495.008,0.0,912096.0,96953.0,9912.0,7578.0,30717.0,0.0,0.0,770.0,47976.0,0.0,0.0,54116.0,0.0,0.0,0.0,0.0,0.0,54116.0,0.0,0.0,65793.0,695234.0079999999,520436.992,42992.0,0.0,153272.992,0.0,-21468.0,0.0,0.0,0.0
2012-09-30,935764.9920000001,216052.0,59908.0,42364.0,92759.0,0.0,0.0,10051.0,1769.0,9201.0,200272.992,178224.992,0.0,3405.0,1923.0,0.0,10000.0,0.0,0.0,6720.0,0.0,51850.0,467590.016,0.0,935764.9920000001,95838.0,10435.0,8300.0,29824.0,0.0,0.0,929.0,46350.0,0.0,0.0,59261.0,0.0,0.0,56533.0,0.0,0.0,2728.0,0.0,0.0,67215.0,713450.984,520436.992,42992.0,0.0,171490.0,0.0,-21468.0,0.0,0.0,0.0
2012-12-31,916524.032,267946.0,64312.0,77250.0,96117.0,0.0,0.0,19887.0,1767.0,8613.0,183050.0,151587.008,0.0,3403.0,0.0,0.0,0.0,0.0,0.0,28060.0,0.0,54994.0,410534.016,0.0,916524.032,102569.0,0.0,7652.0,31096.0,0.0,0.0,21070.0,32755.0,9996.0,0.0,53615.0,0.0,0.0,0.0,0.0,0.0,53615.0,0.0,0.0,88932.0,671407.968,520436.992,38671.0,0.0,112300.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,918600.0,247746.0,59429.0,69104.0,85921.0,0.0,0.0,20352.0,2612.0,10328.0,205256.992,172540.992,0.0,3222.0,0.0,0.0,0.0,0.0,0.0,29494.0,0.0,54966.0,410631.008,0.0,918600.0,94624.0,8087.0,8985.0,26432.0,0.0,0.0,0.0,51120.0,0.0,0.0,53545.0,0.0,0.0,0.0,0.0,0.0,53545.0,0.0,0.0,88661.0,681769.9759999999,520436.992,38671.0,0.0,122662.0,0.0,0.0,0.0,0.0,0.0
2013-06-30,884406.9759999999,241592.0,53569.0,57951.0,96400.0,0.0,0.0,21006.0,2666.0,10000.0,177644.0,144692.992,0.0,3709.0,0.0,0.0,0.0,0.0,0.0,29242.0,0.0,53962.0,411208.992,0.0,884406.9759999999,77819.0,9103.0,7854.0,27750.0,0.0,0.0,0.0,33112.0,0.0,0.0,53569.0,0.0,0.0,0.0,0.0,0.0,53569.0,0.0,0.0,90292.0,662727.0079999999,520436.992,38671.0,0.0,103619.0,0.0,0.0,0.0,0.0,0.0
2013-09-30,903113.984,281280.99199999997,31943.0,115846.0,96639.0,0.0,0.0,22157.0,2797.0,11899.0,156983.008,122173.0,0.0,5485.0,0.0,0.0,0.0,0.0,0.0,29325.0,0.0,53419.0,411431.008,0.0,903113.984,79112.0,10069.0,7178.0,28204.0,0.0,0.0,0.0,33661.0,0.0,0.0,53397.0,0.0,0.0,29.0,0.0,0.0,53368.0,0.0,0.0,89055.0,681549.9920000001,520436.992,38671.0,0.0,122442.0,0.0,0.0,0.0,0.0,0.0
2013-12-31,916369.984,272864.99199999997,26490.0,113346.0,90440.0,0.0,0.0,21811.0,2596.0,18182.0,183875.008,144707.008,0.0,10427.0,0.0,0.0,0.0,0.0,0.0,28741.0,0.0,53374.0,406256.0,0.0,916369.984,101320.0,11340.0,6603.0,28089.0,0.0,0.0,20983.0,34305.0,0.0,0.0,32180.0,0.0,0.0,0.0,0.0,0.0,32180.0,0.0,0.0,89894.0,692976.016,520436.992,38784.0,0.0,133755.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,896097.984,249407.008,20335.0,100304.0,77831.0,0.0,0.0,22426.0,3814.0,24697.0,186540.0,152924.992,0.0,9022.0,0.0,0.0,0.0,0.0,0.0,24593.0,0.0,53637.0,406513.984,0.0,896097.984,91920.0,8171.0,8247.0,21128.0,0.0,0.0,20714.0,33660.0,0.0,0.0,29254.0,0.0,0.0,0.0,0.0,0.0,29254.0,0.0,0.0,86077.0,688847.032,520436.992,33586.0,0.0,134824.0,0.0,0.0,0.0,0.0,0.0
2014-06-30,792236.9920000001,217814.0,20371.0,79718.0,76267.0,0.0,0.0,23034.0,3566.0,14858.0,123069.0,94365.0,0.0,10492.0,0.0,0.0,0.0,1138.0,0.0,17074.0,0.0,52738.0,398616.0,0.0,792236.9920000001,63251.0,8806.0,6491.0,20783.0,0.0,0.0,1670.0,25501.0,0.0,0.0,20832.0,0.0,0.0,0.0,0.0,0.0,20832.0,0.0,0.0,78635.0,629518.9839999999,520436.992,33592.0,0.0,75490.0,0.0,0.0,0.0,0.0,0.0
2014-09-30,801988.9920000001,204694.0,19187.0,70117.0,77436.0,0.0,0.0,23719.0,2989.0,11246.0,142744.0,114940.0,0.0,9458.0,0.0,0.0,0.0,1048.0,0.0,17298.0,0.0,50264.0,404287.008,0.0,801988.9920000001,59559.0,9524.0,5809.0,21754.0,0.0,0.0,1676.0,20796.0,0.0,0.0,24990.0,0.0,0.0,0.0,0.0,0.0,24990.0,0.0,0.0,81099.0,636341.0,520436.992,33592.0,0.0,82312.0,0.0,0.0,0.0,0.0,0.0
2014-12-31,638876.032,166386.0,36497.0,27955.0,69774.0,0.0,0.0,21276.0,2930.0,7954.0,103041.0,65074.0,0.0,9652.0,0.0,0.0,0.0,0.0,0.0,28315.0,0.0,47615.0,321833.984,0.0,638876.032,54145.0,6709.0,5507.0,18657.0,0.0,0.0,1379.0,21893.0,0.0,0.0,25936.0,0.0,0.0,0.0,0.0,0.0,25936.0,0.0,0.0,38307.0,520488.008,520436.992,23362.0,0.0,-23311.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,622844.9920000001,172136.992,59491.0,16016.0,57946.0,0.0,0.0,21258.0,4452.0,12974.0,86684.0,51225.0,0.0,7693.0,0.0,0.0,0.0,0.0,0.0,27766.0,0.0,42385.0,321639.00800000003,0.0,622844.9920000001,50183.0,7553.0,7128.0,13179.0,0.0,0.0,1126.0,21197.0,0.0,0.0,24749.0,0.0,0.0,0.0,0.0,0.0,24749.0,0.0,0.0,38510.0,509403.024,520436.992,19931.0,0.0,-30965.0,0.0,0.0,0.0,0.0,0.0
2015-06-30,612390.0160000001,161354.0,53833.0,16520.0,53306.0,0.0,0.0,20709.0,4240.0,12746.0,89422.0,52326.0,0.0,7204.0,0.0,0.0,0.0,0.0,0.0,29892.0,0.0,40122.0,321492.0,0.0,612390.0160000001,48191.0,9262.0,6310.0,12479.0,0.0,0.0,1214.0,18926.0,0.0,0.0,23108.0,0.0,0.0,0.0,0.0,0.0,23108.0,0.0,0.0,38417.0,502674.008,520436.992,19761.0,0.0,-37524.0,0.0,0.0,0.0,0.0,0.0
2015-09-30,595732.9920000001,144324.992,44808.0,17108.0,47379.0,0.0,0.0,20108.0,3407.0,11515.0,92425.0,54178.0,0.0,6225.0,0.0,0.0,0.0,0.0,0.0,32022.0,0.0,37493.0,321489.984,0.0,595732.9920000001,43227.0,9173.0,4934.0,10940.0,0.0,0.0,1159.0,17021.0,0.0,0.0,23023.0,0.0,0.0,0.0,0.0,0.0,23023.0,0.0,0.0,37299.0,492184.008,520436.992,19761.0,0.0,-48014.0,0.0,0.0,0.0,0.0,0.0
