,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2001-12-31,379020.0,284881.0,146225.0,,88604.0,25769.0,,9824.0,991.0,14703.0,19708.0,,,,68316.0,0.0,,,,,0.0,65136.0,0.0,,379020.0,107182.0,2866.0,8882.0,1229.0,2802.0,,246484.0,68316.0,11485.0,,0.0,6319.0,1598.0,0.0,,,127657.0,,,,244457.0,992.81,0.0,,0.0,,6319.0,,,
2002-03-31,378006.0,283034.0,136111.0,,93350.0,25216.0,,175.0,850.0,3317.0,23373.0,,,,75064.0,0.0,,,,,0.0,66315.0,0.0,,378006.0,103496.0,1220.0,11315.0,2874.0,2861.0,,248904.0,75064.0,8929.0,,0.0,5763.0,1582.0,0.0,,,130080.0,,,,246880.0,992.81,0.0,,0.0,,5763.0,,,
2002-06-30,363019.0,268715.0,124968.0,,93351.0,22732.0,,175.0,1339.0,3020.0,21737.0,,,,54630.0,0.0,,,,,0.0,66936.0,0.0,,363019.0,83778.0,1327.0,10287.0,4155.0,2753.0,,251968.0,54630.0,7350.0,,0.0,6228.0,1820.0,0.0,,,133165.0,,,,249965.0,992.81,0.0,,0.0,,6228.0,,,
2002-09-30,347065.0,244015.0,110538.0,,82911.0,23918.0,,174.0,566.0,3039.0,21697.0,,,,39099.0,0.0,,,,,0.0,66512.0,0.0,,347065.0,68022.0,1254.0,10132.0,2331.0,2809.0,,256048.0,39099.0,8275.0,,0.0,5629.0,1586.0,0.0,,,137298.0,,,,254098.0,992.81,0.0,,0.0,,5629.0,,,
2002-12-31,350026.0,245057.0,96997.0,,91677.0,26622.0,,9888.0,527.0,16353.0,22825.0,,,,41354.0,0.0,,,,,0.0,65981.0,0.0,,350026.0,77968.0,2420.0,4861.0,1541.0,2779.0,,249169.0,41354.0,14174.0,,0.0,5236.0,1687.0,0.0,,,130447.0,,,,247247.0,992.81,0.0,,0.0,,5236.0,,,
2003-03-31,344996.0,239711.0,85251.0,,100870.0,26388.0,,213.0,730.0,16156.0,22181.0,,,,45025.0,0.0,,,,,0.0,65894.0,0.0,,344996.0,71297.0,894.0,5447.0,2841.0,2788.0,,250728.0,45025.0,13460.0,,0.0,4646.0,1392.0,0.0,,,132099.0,,,,248899.0,992.81,0.0,,0.0,,4646.0,,,
2003-06-30,356203.0,247237.0,79352.0,,106587.0,34618.0,,213.0,434.0,16271.0,21445.0,,,,52158.0,0.0,,,,,0.0,67277.0,0.0,,356203.0,81488.0,1563.0,6811.0,3039.0,2908.0,,250374.0,52158.0,13605.0,,0.0,4935.0,1392.0,0.0,,,131814.0,,,,248614.0,992.81,0.0,,0.0,,4935.0,,,
2003-09-30,350931.0,242044.0,102567.0,,83224.0,30377.0,,124.0,1046.0,16347.0,19196.0,,,,44388.0,0.0,,,,,0.0,66691.0,0.0,,350931.0,76369.0,1870.0,5900.0,6338.0,3091.0,,249473.0,44388.0,12716.0,,0.0,5061.0,1392.0,0.0,,,130960.0,,,,247760.0,992.81,0.0,,0.0,,5061.0,,,
2003-12-31,341913.0,227971.0,97146.0,,80740.0,32833.0,,9468.0,1275.0,16381.0,9069.0,,,,44865.0,0.0,,,,,0.0,69982.0,0.0,,341913.0,86577.0,4075.0,9989.0,2483.0,3265.0,,241588.0,44865.0,12145.0,,0.0,5024.0,20.0,0.0,,,123122.0,,,,239922.0,992.81,0.0,,0.0,,5024.0,,,
2004-03-31,353079.0,240287.0,94978.0,,92199.0,31383.0,,9468.0,2137.0,16419.0,12171.0,,,,52895.0,0.0,,,,,0.0,69677.0,0.0,,353079.0,94119.0,4853.0,9123.0,1620.0,3556.0,,243236.0,52895.0,11759.0,,0.0,5899.0,20.0,0.0,,,124878.0,,,,241678.0,992.81,0.0,,0.0,,5899.0,,,
2004-06-30,395154.0,282534.0,95311.0,,126704.0,35834.0,,162.0,1594.0,16494.0,15124.0,,,,96980.0,0.0,,,,,0.0,70985.0,0.0,,395154.0,135669.0,3671.0,14416.0,2408.0,3681.0,,244428.0,96980.0,12525.0,,0.0,5260.0,20.0,0.0,,,126087.0,,,,242887.0,992.81,0.0,,0.0,,5260.0,,,
2004-09-30,391603.0,287869.0,81634.0,,131018.0,46331.0,,162.0,2190.0,8731.0,17191.0,,,,101486.0,0.0,,,,,0.0,71065.0,0.0,,391603.0,140805.0,3834.0,13867.0,1411.0,3769.0,,235039.0,101486.0,14409.0,,0.0,5857.0,20.0,0.0,,,116713.0,,,,233513.0,992.81,0.0,,0.0,,5857.0,,,
2004-12-31,399653.0,295007.0,68215.0,,138073.0,54212.0,,9660.0,2140.0,9389.0,16096.0,,,,111653.0,0.0,,,,,0.0,72130.0,0.0,,399653.0,156534.0,4017.0,10183.0,3890.0,3590.0,,228584.0,111653.0,13149.0,,0.0,4619.0,20.0,0.0,,,111745.0,,,,228545.0,992.81,0.0,,0.0,,4619.0,,,
2005-03-31,341960.0,238476.0,56176.0,,100222.0,53103.0,,115.0,3605.0,9469.0,16795.0,,,,60801.0,0.0,,,,,0.0,71516.0,0.0,,341960.0,102339.0,4171.0,15002.0,3671.0,5988.0,,225751.0,60801.0,12435.0,,0.0,4066.0,20.0,0.0,,,108911.0,,,,225711.0,992.81,0.0,,0.0,,4066.0,,,
2005-06-30,358749.0,257358.0,62943.0,,108055.0,57240.0,,114.0,2579.0,9406.0,14389.0,,,,75958.0,0.0,,,,,0.0,70488.0,0.0,,358749.0,121385.0,4532.0,18470.0,2963.0,6454.0,,223927.0,75958.0,12446.0,,0.0,3500.0,20.0,0.0,,,107087.0,,,,223887.0,992.81,0.0,,0.0,,3500.0,,,
2005-09-30,383404.0,284447.0,68988.0,,133057.0,52877.0,,114.0,1812.0,8663.0,17250.0,,,,81613.0,0.0,,,,,0.0,68097.0,0.0,,383404.0,156018.0,4150.0,23534.0,2267.0,22136.0,,212138.0,81613.0,21328.0,,0.0,5906.0,20.0,0.0,,,95297.0,,,,212097.0,992.81,0.0,,0.0,,5906.0,,,
2005-12-31,420223.0,322576.0,68447.0,,168588.0,52585.0,,9532.0,1466.0,3756.0,26247.0,,,,95674.0,0.0,,,,,0.0,66492.0,0.0,,420223.0,185358.0,4225.0,19157.0,2822.0,39779.0,,214507.0,95674.0,14169.0,,0.0,4756.0,20.0,0.0,,,97653.0,,,,214453.0,992.81,0.0,,0.0,,4756.0,,,
2006-03-31,407713.0,310187.0,65691.0,,167467.0,46817.0,,9532.0,2608.0,8683.0,16571.0,,,,83504.0,0.0,,,,,0.0,64244.0,0.0,,407713.0,171432.0,4684.0,15575.0,3758.0,39945.0,,214284.0,83504.0,14434.0,,0.0,4175.0,20.0,0.0,,,97442.0,,,,214242.0,992.81,0.0,,0.0,,4175.0,,,
2006-06-30,353876.0,258460.0,41937.0,,139456.0,48784.0,,152.0,1658.0,8722.0,16431.0,,,,33343.0,0.0,,,,,0.0,62363.0,0.0,,353876.0,115813.0,1938.0,14034.0,3919.0,40476.0,,216190.0,33343.0,21951.0,,0.0,3516.0,20.0,0.0,,,99348.0,,,,216148.0,992.81,0.0,,0.0,,3516.0,,,
2006-09-30,355633.0,261463.0,60236.0,,124313.0,49788.0,,114.0,990.0,8754.0,17196.0,,,,30541.0,0.0,,,,,0.0,61073.0,0.0,,355633.0,120112.0,2268.0,18777.0,6232.0,41499.0,,217435.0,30541.0,20681.0,,0.0,2853.0,20.0,0.0,,,100594.0,,,,217394.0,992.81,0.0,,0.0,,2853.0,,,
2006-12-31,342118.0,249261.0,51130.0,,123194.0,46402.0,,9530.0,0.0,8853.0,18837.0,,,,30186.0,0.0,,,,,0.0,63417.0,0.0,,342118.0,104099.0,4994.0,13980.0,6604.0,21889.0,,214545.0,30186.0,16916.0,,0.0,10576.0,20.0,0.0,,,97703.0,,,,214503.0,992.81,0.0,,0.0,,10576.0,,,
2007-03-31,342744.0,245437.0,49393.0,,114375.0,52194.0,,9528.0,0.0,4013.0,22583.0,,,,35090.0,0.0,,,,,169.0,62925.0,0.0,,342744.0,108807.0,2617.0,14482.0,4956.0,24059.0,,211576.0,35090.0,18075.0,,0.0,9460.0,2992.0,169.0,,,94732.0,,,,211532.0,992.81,0.0,,0.0,,9460.0,,,
2007-06-30,362328.0,265483.0,54625.0,,112256.0,65375.0,,151.0,0.0,4094.0,26953.0,,,,60882.0,0.0,,,,,110.0,63252.0,0.0,,362328.0,106649.0,2670.0,14096.0,2833.0,6269.0,,208691.0,60882.0,19748.0,,0.0,34386.0,2835.0,110.0,,,91843.0,,,,208643.0,992.81,0.0,,0.0,,34386.0,,,
2007-09-30,429880.0,329827.0,76354.0,,148258.0,61179.0,,151.0,0.0,4145.0,39401.0,,,,114731.0,0.0,,,,,103.0,65564.0,0.0,,429878.0,172493.0,3040.0,20485.0,3320.0,7845.0,,212570.0,114731.0,22921.0,,0.0,32454.0,2755.0,103.0,,,95723.0,,,,212523.0,992.81,0.0,,0.0,,32454.0,,,
