,Ativo Total,Ativo Circulante,Disponibilidades,Aplicações Interfinanceiras de Liquidez,Títulos e Valores Mobiliários,Relações Interfinanceiras,Relações Interdependências,Operações de Crédito,Operações de Arrendamento Mercantil,Outros Créditos,Outros Valores e Bens,Ativo Realizável a Longo Prazo,Aplicações Interfinanceiras de Liquidez.1,Títulos e Valores Mobiliários.1,Relações Interfinanceiras.1,Relações Interdependências.1,Operações de Crédito.1,Operações de Arrendamento Mercantil.1,Outros Créditos.1,Outros Valores e Bens.1,Ativo Permanente,Investimentos,Imobilizado de Uso,Imobilizado de Arrendamento,Intangível,Diferido,Passivo Total,Passivo Circulante,Depósitos,Captações no Mercado Aberto,Recursos de Aceites e Emissão de Títulos,Relações Interfinanceiras.2,Relações Interdependências.2,Obrigações por Empréstimos,Obrigações por Repasse do País,Obrigações por Repasse do Exterior,Outras Obrigações,Passivo Exigível a Longo Prazo,Depósitos.1,Captações no Mercado Aberto.1,Recursos de Aceites e Emissão de Títulos.1,Relações Interfinanceiras.3,Relações Interdependências.3,Obrigações por Empréstimos.1,Obrigações por Repasse do País.1,Obrigações por Repasse do Exterior.1,Outras Obrigações.1,Resultados de Exercícios Futuros,Part. de Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucro,Ajustes de Avaliação Patrimonial,Lucros/Prejuízos Acumulados
2007-06-30,6160383000.0,0.0,379789000.0,5780594000.0,0.0,0.0,137291000.0,12848000.0,0.0,0.0,1430000.0,0.0,67164000.0,0.0,0.0,,0.0,0.0,0.0,11209000.0,165281000.0,0.0,0.0,,379789000.0,,6160383000.0,242010000.0,0.0,-42285000.0,0.0,135431000.0,46786000.0,11209000.0,0.0,,0.0,-41614000.0,-1779000.0,,0.0,0.14852,,,-24956000.0,,0.0,312625000.0,,46777000.0,46777000.0,,-49912000.0,-24956000.0,0.0,0.14852
2007-09-30,6722569000.0,0.0,423492000.0,6299077000.0,0.0,0.0,140756000.0,6638000.0,0.0,0.0,1384000.0,0.0,110867000.0,0.0,0.0,,0.0,0.0,0.0,33840000.0,168271000.0,0.0,0.0,,423492000.0,,6722569000.0,248336000.0,0.0,-43412000.0,0.0,199828000.0,47776000.0,33840000.0,0.0,,0.0,-39086000.0,905000.0,,0.0,0.16068,,,-68379000.0,,0.0,312625000.0,,47778000.0,47778000.0,,-136758000.0,-68379000.0,0.0,0.16068
2007-12-31,7142206000.0,0.0,445135000.0,6697071000.0,26030000.0,0.0,83581000.0,9174000.0,0.0,8739000.0,1375000.0,53099000.0,123771000.0,0.0,0.0,,0.0,0.0,0.0,29533000.0,41426000.0,0.0,0.0,,445135000.0,,7142206000.0,252012000.0,0.0,-45601000.0,7569000.0,31605000.0,53375000.0,29533000.0,0.0,,0.0,-40878000.0,-15719000.0,,0.0,0.12426,,,17095000.0,,0.0,312625000.0,,53367000.0,53367000.0,,34190000.0,17388530.0,0.0,0.12426
2008-03-31,8083858000.0,0.0,473434000.0,7610424000.0,18311000.0,0.0,216172000.0,6677000.0,0.0,8495000.0,1339000.0,56783000.0,152314000.0,0.0,0.0,,0.0,0.0,2805000.0,38164000.0,184894000.0,0.0,0.0,,473434000.0,,8083860000.0,262374000.0,0.0,-46393000.0,0.0,41761000.0,30953000.0,38164000.0,0.0,,0.0,-40587000.0,4061000.0,,0.0,0.11556,,,8766000.0,,0.0,312625000.0,,30951000.0,30951000.0,,17532000.0,8772400.0,0.02205,0.11556
2008-06-30,9105720000.0,0.0,501404000.0,8604316000.0,14676000.0,0.0,229422000.0,11196000.0,0.0,8018000.0,1288000.0,57211000.0,180761000.0,0.0,0.0,,0.0,0.0,2691000.0,39040000.0,197958000.0,0.0,0.0,,501404000.0,,9105720000.0,294076000.0,0.0,-48378000.0,0.0,53159000.0,35788000.0,39040000.0,0.0,,0.0,-49857000.0,3790000.0,,0.0,0.13062,,,-6947000.0,,0.0,312625000.0,,35785000.0,35785000.0,,-13894000.0,-6945950.0,0.03695,0.13062
2008-09-30,9262515000.0,0.0,531054000.0,8731461000.0,16569000.0,0.0,254909000.0,8693000.0,0.0,7950000.0,1215000.0,58538000.0,86736000.0,0.0,0.0,,0.0,0.0,2757000.0,84109000.0,220970000.0,0.0,0.0,,531054000.0,,9262515000.0,302241000.0,0.0,-50886000.0,0.0,55384000.0,31555000.0,84109000.0,0.0,,0.0,-42670000.0,4781000.0,,0.0,0.11992,,,20792000.0,,0.0,436368000.0,,31553000.0,31553000.0,,41584000.0,20792400.0,0.02855,0.11992
2008-12-31,8524501000.0,0.0,567369000.0,7957132000.0,20971000.0,0.0,101857000.0,12024000.0,0.0,7881000.0,1210000.0,58638000.0,123120000.0,0.0,0.0,,0.0,0.0,3094000.0,121832000.0,51848000.0,0.0,0.0,,567369000.0,,8524501000.0,391299000.0,0.0,-53491000.0,6754000.0,39670000.0,71952000.0,121832000.0,0.0,,0.0,-52611000.0,-21585000.0,,0.0,0.16623,,,-376000.0,,0.0,436368000.0,,71949000.0,71949000.0,,-752000.0,-376000.0,0.03985,0.16623
2009-03-31,8438273000.0,0.0,595143000.0,7843130000.0,15663000.0,0.0,111623000.0,8742000.0,-4962000.0,7708000.0,1181000.0,61543000.0,151067000.0,0.0,4962000.0,,0.0,0.0,3398000.0,103543000.0,60237000.0,0.0,0.0,,595143000.0,,8438273000.0,357061000.0,11336000.0,-54820000.0,6374000.0,60384000.0,29807000.0,103543000.0,0.0,,1387000.0,-40924000.0,6743000.0,,0.0,0.12063,,,19748000.0,,0.0,436368000.0,,29804000.0,29804000.0,,39496000.0,19748000.0,0.02885,0.12063
2009-06-30,9770527000.0,0.0,623915000.0,9146612000.0,10657000.0,0.0,114715000.0,9112000.0,-5148000.0,7640000.0,1254000.0,61788000.0,179907000.0,0.0,5148000.0,,0.0,0.0,3579000.0,100461000.0,60656000.0,0.0,0.0,,623915000.0,,9770527000.0,348332000.0,11150000.0,-57493000.0,6002000.0,64848000.0,31236000.0,100461000.0,0.0,,1484000.0,-44066000.0,6648000.0,,0.0,0.12502,,,17770000.0,,0.0,436368000.0,,31231000.0,31231000.0,,35540000.0,17770000.0,0.02985,0.12502
2009-09-30,9272577000.0,0.0,662872000.0,8609705000.0,13161000.0,0.0,113749000.0,8392000.0,-5756000.0,7571000.0,1146000.0,65701000.0,218933000.0,0.0,5756000.0,,0.0,0.0,3582000.0,104641000.0,59535000.0,0.0,0.0,,662872000.0,,9272577000.0,339078000.0,11393000.0,-57288000.0,5637000.0,78879000.0,24124000.0,104641000.0,0.0,,1487000.0,-45023000.0,5655000.0,,0.0,0.09828,,,16043000.0,,0.0,436368000.0,,24120000.0,24120000.0,,32086000.0,16043000.0,0.0277,0.09828
