,Ativo Total,Ativo Circulante,Disponibilidades,Aplicações Interfinanceiras de Liquidez,Títulos e Valores Mobiliários,Relações Interfinanceiras,Relações Interdependências,Operações de Crédito,Operações de Arrendamento Mercantil,Outros Créditos,Outros Valores e Bens,Ativo Realizável a Longo Prazo,Aplicações Interfinanceiras de Liquidez.1,Títulos e Valores Mobiliários.1,Relações Interfinanceiras.1,Relações Interdependências.1,Operações de Crédito.1,Operações de Arrendamento Mercantil.1,Outros Créditos.1,Outros Valores e Bens.1,Ativo Permanente,Investimentos,Imobilizado de Uso,Imobilizado de Arrendamento,Intangível,Diferido,Passivo Total,Passivo Circulante,Depósitos,Captações no Mercado Aberto,Recursos de Aceites e Emissão de Títulos,Relações Interfinanceiras.2,Relações Interdependências.2,Obrigações por Empréstimos,Obrigações por Repasse do País,Obrigações por Repasse do Exterior,Outras Obrigações,Passivo Exigível a Longo Prazo,Depósitos.1,Captações no Mercado Aberto.1,Recursos de Aceites e Emissão de Títulos.1,Relações Interfinanceiras.3,Relações Interdependências.3,Obrigações por Empréstimos.1,Obrigações por Repasse do País.1,Obrigações por Repasse do Exterior.1,Outras Obrigações.1,Resultados de Exercícios Futuros,Part. de Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucro,Ajustes de Avaliação Patrimonial,Lucros/Prejuízos Acumulados
2003-06-30,740957000.0,-10718000.0,90739000.0,5336000.0,0.0,0.0,,1080000.0,,0.0,0.0,0.0,,0.0,-18935000.0,,0.0,,0.0,0.49741,24931000.0,0.0,6686000.0,,8541000.0,,831696000.0,90739000.0,831696000.0,9458000.0,0.0,0.0,0.0,,0.0,,0.0,6686000.0,0.43742,0.0,0.0,,,,0.49741,,6686000.0,0.0,,0.0,0.0,,,7603000.0,0.0,0.0
2003-09-30,727603000.0,-12709000.0,93743000.0,6366000.0,0.0,0.0,,1111000.0,,0.0,0.0,0.0,,0.0,-15931000.0,,0.0,,0.0,0.40137,24999000.0,0.0,5197000.0,,6261000.0,,821346000.0,93743000.0,821346000.0,7199000.0,0.0,0.0,0.0,,0.0,,0.0,5197000.0,0.34,0.0,0.0,,,,0.40137,,5197000.0,0.0,,0.0,0.0,,,6135000.0,0.0,0.0
2003-12-31,864744000.0,-16218000.0,100944000.0,3633000.0,0.0,0.0,,1121000.0,,0.0,0.0,0.0,,0.0,-8730000.0,,0.0,,0.0,0.63434,25422000.0,0.0,8736000.0,,11651000.0,,965688000.0,100944000.0,965688000.0,12611000.0,0.0,0.0,0.0,,0.0,,0.0,8736000.0,0.5715399999999999,0.0,0.7310399999999999,,,,0.63434,,8736000.0,0.0,,0.0,0.0,,,9696000.0,0.0,0.7310399999999999
2004-03-31,786903000.0,-12271000.0,102326000.0,2981000.0,0.0,0.0,,1164000.0,,0.0,0.0,0.0,,0.0,-7348000.0,,0.0,,0.0,0.26909,25232000.0,0.0,3141000.0,,3735000.0,,889229000.0,102326000.0,889229000.0,4707000.0,0.0,0.0,0.0,,0.0,,0.0,3141000.0,0.20549,0.0,0.0,,,,0.26909,,3141000.0,0.0,,0.0,-456000.0,,,4113000.0,0.0,0.0
2004-06-30,821539000.0,-12848000.0,106332000.0,2867000.0,0.0,0.0,,1241000.0,,0.0,0.0,0.0,,0.0,-3342000.0,,0.0,,0.0,0.52345,24966000.0,0.0,7011000.0,,7003000.0,,927871000.0,106332000.0,927871000.0,7993000.0,0.0,0.0,0.0,,0.0,,0.0,7011000.0,0.45868,0.0,0.0,,,,0.52345,,7011000.0,0.0,,0.0,-456000.0,,,8001000.0,0.0,0.0
2004-09-30,843061000.0,-13842000.0,111124000.0,4869000.0,0.0,0.0,,1259000.0,,0.0,0.0,0.0,,0.0,1450000.0,,0.0,,0.0,0.36585,25589000.0,0.0,4792000.0,,6776000.0,,954185000.0,111124000.0,954185000.0,7576000.0,0.0,0.0,0.0,,0.0,,0.0,4792000.0,0.31351,0.0,0.0,,,,0.36585,,4792000.0,0.0,,0.0,-456000.0,,,5592000.0,0.0,0.0
2004-12-31,938491000.0,-15473000.0,111612000.0,2112000.0,0.0,0.0,,1202000.0,,0.0,0.0,0.0,,0.0,10692000.0,,0.0,,0.0,0.41047,29078000.0,0.0,5303000.0,,7713000.0,,1050103000.0,111612000.0,1050103000.0,8684000.0,0.0,0.0,0.0,,0.0,,0.0,5303000.0,0.34694,0.0,0.18311,,,,0.41047,,5303000.0,0.0,,0.0,0.0,,,6274000.0,0.0,0.18311
2005-03-31,913537000.0,-14803000.0,116131000.0,3550000.0,0.0,0.0,,1126000.0,,0.0,0.0,0.0,,0.0,15211000.0,,0.0,,0.0,0.34903,28105000.0,0.0,4519000.0,,6534000.0,,1029668000.0,116131000.0,1029668000.0,7350000.0,0.0,0.0,0.0,,0.0,,0.0,4519000.0,0.29565,0.0,0.0,,,,0.34903,,4519000.0,0.0,,0.0,0.0,,,5335000.0,0.0,0.0
2005-06-30,949247000.0,-15598000.0,109081000.0,4762000.0,0.0,0.0,,1054000.0,,0.0,0.0,0.0,,0.0,8161000.0,,0.0,,0.0,0.565,27908000.0,0.0,7793000.0,,9057000.0,,1058328000.0,109081000.0,1058328000.0,9900000.0,0.0,0.0,0.0,,0.0,,0.0,7793000.0,0.50984,0.0,0.33828,,,,0.565,,7793000.0,0.0,,0.0,0.0,,,8636000.0,0.0,0.30724
2005-09-30,998217000.0,-17916000.0,108952000.0,7987000.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,8032000.0,,0.0,,0.0,0.6420600000000001,28318000.0,0.0,9814000.0,,12833000.0,,1107167000.0,108952000.0,1107169000.0,12833000.0,0.0,0.0,0.0,,0.0,,0.0,9814000.0,0.6420600000000001,0.0,0.0,,,,0.6420600000000001,,9814000.0,0.0,,0.0,0.0,,,9814000.0,0.0,0.0
