,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2003-03-31,7291000.0,2688000.0,0.0,2351000.0,0.0,6000.0,,318000.0,1000.0,7088000.0,0.0,203000.0,0.0,,,,,,,,,960000.0,11000.0,,7291000.0,203000.0,105000.0,4000.0,0.0,0.0,,,0.0,,,0.0,0.0,,12000.0,0.0,,,0.0,,,7088000.0,6876000.0,0.0,,,212000.0,0.0,,,
2003-06-30,7298000.0,1842000.0,0.0,1446000.0,0.0,6000.0,,357000.0,1000.0,7088000.0,0.0,210000.0,0.0,,,,,,,,,1018000.0,11000.0,,7298000.0,210000.0,100000.0,6000.0,0.0,0.0,,,0.0,,,0.0,0.0,,31000.0,1000.0,,,0.0,,,7088000.0,6876000.0,0.0,,,212000.0,0.0,,,
2003-09-30,7379000.0,1302000.0,0.0,893000.0,0.0,9000.0,,372000.0,1000.0,7088000.0,0.0,291000.0,0.0,,,,,,,,,984000.0,11000.0,,7379000.0,291000.0,126000.0,5000.0,0.0,0.0,,,0.0,,,0.0,0.0,,26000.0,1000.0,,,0.0,,,7088000.0,6876000.0,0.0,,,212000.0,0.0,,,
2003-12-31,8709000.0,529000.0,0.0,117000.0,0.0,11000.0,,379000.0,5000.0,7088000.0,0.0,1621000.0,0.0,,,,,,,,,958000.0,21000.0,,8709000.0,1548000.0,28000.0,112000.0,0.0,0.0,,,0.0,,,0.0,0.0,,4000.0,13000.0,,,0.0,,,7088000.0,6876000.0,0.0,,,212000.0,0.0,,,
2004-03-31,9597000.0,576000.0,0.0,4000.0,0.0,18000.0,,382000.0,1000.0,7088000.0,0.0,2509000.0,0.0,,,,,,,,,927000.0,21000.0,,9597000.0,1710000.0,24000.0,125000.0,0.0,0.0,,,0.0,,,0.0,0.0,,4000.0,167000.0,,,0.0,,,7088000.0,6876000.0,0.0,,,212000.0,0.0,,,
2004-06-30,10207000.0,540000.0,0.0,0.0,0.0,25000.0,,436000.0,1000.0,7088000.0,0.0,3119000.0,0.0,,,,,,,,,900000.0,21000.0,,10207000.0,1646000.0,25000.0,123000.0,0.0,0.0,,,0.0,,,0.0,0.0,,30000.0,48000.0,,,0.0,,,7088000.0,6876000.0,0.0,,,212000.0,0.0,,,
2004-09-30,10969000.0,640000.0,0.0,0.0,0.0,0.0,,428000.0,3000.0,7088000.0,0.0,3882000.0,0.0,,,,,,,,,987000.0,21000.0,,10970000.0,1649000.0,21000.0,122000.0,0.0,0.0,,,0.0,,,0.0,0.0,,36000.0,173000.0,,,0.0,,,7088000.0,6876000.0,0.0,,,212000.0,0.0,,,
2005-03-31,14569000.0,1418000.0,0.0,0.0,330000.0,0.0,,0.0,0.0,7088000.0,0.0,7481000.0,0.0,,,,,,,,,825000.0,0.0,,14569000.0,3903000.0,104000.0,142000.0,0.0,31000.0,,,0.0,,,0.0,717000.0,,0.0,1088000.0,,,0.0,,,7088000.0,6876000.0,0.0,,,212000.0,0.0,,,
2005-06-30,14696000.0,647000.0,0.0,0.0,334000.0,0.0,,0.0,0.0,7088000.0,0.0,7608000.0,0.0,,,,,,,,,856000.0,0.0,,14696000.0,3680000.0,78000.0,180000.0,0.0,31000.0,,,0.0,,,0.0,725000.0,,0.0,313000.0,,,0.0,,,7088000.0,6876000.0,0.0,,,212000.0,0.0,,,
2005-09-30,20072000.0,3873000.0,0.0,0.0,341000.0,0.0,,0.0,0.0,7088000.0,0.0,12984000.0,0.0,,,,,,,,,821000.0,0.0,,20072000.0,9196000.0,123000.0,39000.0,0.0,32000.0,,,0.0,,,0.0,735000.0,,0.0,3532000.0,,,0.0,,,7088000.0,6876000.0,0.0,,,212000.0,0.0,,,
2006-03-31,14076000.0,2570000.0,0.0,0.0,434000.0,0.0,,244000.0,0.0,1760000.0,0.0,12316000.0,0.0,,,,,,,,,834000.0,0.0,,14076000.0,8773000.0,158000.0,59000.0,-1071000.0,521000.0,,,0.0,,,0.0,283000.0,,86000.0,1769000.0,,,0.0,,,1760000.0,6876000.0,0.0,,,-5116000.0,0.0,,,
2006-06-30,11941000.0,1199000.0,0.0,0.0,433000.0,0.0,,218000.0,0.0,157000.0,0.0,11784000.0,0.0,,,,,,,,,904000.0,0.0,,11941000.0,8177000.0,150000.0,52000.0,-594000.0,455000.0,,,0.0,,,0.0,262000.0,,152000.0,365000.0,,,0.0,,,157000.0,6876000.0,0.0,,,-6719000.0,0.0,,,
2006-09-30,14110000.0,3676000.0,0.0,0.0,0.0,0.0,,211000.0,0.0,3837000.0,0.0,10273000.0,0.0,,,,,,,,,875000.0,0.0,,14110000.0,5715000.0,214000.0,32000.0,-37000.0,587000.0,,,0.0,,,0.0,1125000.0,,156000.0,3190000.0,,,0.0,,,3837000.0,6876000.0,0.0,,,-3039000.0,0.0,,,
2006-12-31,11157000.0,932000.0,0.0,0.0,0.0,0.0,,0.0,0.0,3089000.0,0.0,8068000.0,0.0,,,,,,,,,870000.0,0.0,,11157000.0,3665000.0,237000.0,68000.0,-639000.0,1064000.0,,,0.0,,,0.0,429000.0,,483000.0,449000.0,,,0.0,,,3089000.0,6876000.0,0.0,,,-3787000.0,0.0,,,
2007-03-31,10881000.0,974000.0,0.0,0.0,0.0,0.0,,113000.0,0.0,2328000.0,0.0,8553000.0,0.0,,,,,,,,,836000.0,0.0,,10881000.0,2848000.0,251000.0,73000.0,-348000.0,992000.0,,,0.0,,,0.0,608000.0,,280000.0,579000.0,,,0.0,,,2328000.0,6876000.0,0.0,,,-4548000.0,0.0,,,
2007-06-30,10029000.0,415000.0,0.0,0.0,0.0,0.0,,74000.0,0.0,1291000.0,0.0,8738000.0,0.0,,,,,,,,,778000.0,46000.0,,10029000.0,1932000.0,251000.0,97000.0,-523000.0,874000.0,,,0.0,,,0.0,1241000.0,,3000.0,331000.0,,,0.0,,,1291000.0,6876000.0,0.0,,,-5585000.0,0.0,,,
2007-09-30,20853000.0,771000.0,0.0,0.0,0.0,0.0,,19000.0,0.0,-209000.0,0.0,21063000.0,0.0,,,,,,,,,741000.0,46000.0,,20854000.0,4967000.0,472000.0,83000.0,-763000.0,3758000.0,,,0.0,,,0.0,0.0,,30000.0,702000.0,,,0.0,,,-209000.0,6876000.0,0.0,,,-7085000.0,0.0,,,
2007-12-31,9707000.0,716000.0,0.0,0.0,518000.0,0.0,,0.0,0.0,-2229000.0,0.0,11936000.0,0.0,,,,,,,,,718000.0,42000.0,,9707000.0,6435000.0,449000.0,470000.0,224000.0,5106000.0,,,0.0,,,0.0,0.0,,68000.0,130000.0,,,0.0,,,-2229000.0,6876000.0,0.0,,,-9105000.0,0.0,,,
2008-03-31,9816000.0,1150000.0,0.0,0.0,970000.0,0.0,,9000.0,0.0,-3313000.0,0.0,13129000.0,0.0,,,,,,,,,720000.0,0.0,,9816000.0,7372000.0,0.0,473000.0,26000.0,5799000.0,,,0.0,,,0.0,0.0,,0.0,114000.0,,,0.0,,,-3313000.0,6876000.0,0.0,,,-10189000.0,0.0,,,
2008-06-30,12011000.0,3641000.0,0.0,0.0,0.0,0.0,,4000.0,0.0,-4786000.0,0.0,16797000.0,0.0,,,,,,,,,633000.0,61000.0,,12011000.0,10935000.0,465000.0,407000.0,-534000.0,7574000.0,,,0.0,,,0.0,0.0,,0.0,3272000.0,,,0.0,,,-4786000.0,6876000.0,0.0,,,-11662000.0,0.0,,,
2008-09-30,11462000.0,2920000.0,0.0,0.0,2350000.0,0.0,,13000.0,557000.0,-6741000.0,0.0,18203000.0,0.0,,,,,,,,,904000.0,0.0,,11462000.0,7881000.0,399000.0,169000.0,-403000.0,6798000.0,,,0.0,,,0.0,0.0,,0.0,0.0,,,0.0,,,-6741000.0,6876000.0,0.0,,,-13617000.0,0.0,,,
2008-12-31,12170000.0,750000.0,0.0,0.0,443000.0,0.0,,0.0,0.0,-12216000.0,0.0,24386000.0,0.0,,,,,,,,,814000.0,3499000.0,,12170000.0,10239000.0,569000.0,1256000.0,-1093000.0,7859000.0,,,0.0,,,0.0,0.0,,36000.0,271000.0,,,0.0,,,-12216000.0,6876000.0,0.0,,,-19092000.0,0.0,,,
2009-03-31,8208000.0,455000.0,0.0,0.0,0.0,0.0,,439000.0,16000.0,-10960000.0,0.0,19168000.0,0.0,,,,,,,,,928000.0,0.0,,8208000.0,12610000.0,629000.0,1262000.0,-842000.0,8749000.0,,,0.0,,,0.0,0.0,,0.0,0.0,,,0.0,,,-10960000.0,6876000.0,0.0,,,-17836000.0,0.0,,,
