,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1,Receita Bruta de Vendas e/ou Serviços,Deduções da Receita Bruta,Receita Líquida de Vendas e/ou Serviços,Custo de Bens e/ou Serviços Vendidos,Resultado Bruto,Despesas Com Vendas,Despesas Gerais e Administrativas,Perdas pela Não Recuperabilidade de Ativos ,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Financeiras,Receitas Financeiras,Despesas Financeiras,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores,Lucro/Prejuízo do Período
2016-12-31,1428.4620000000002,429.0,256.92,65.34100000000001,33.658,30.846,0.0,28.566,0.0,13.669,39.481,10.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.066,0.0,650.975,309.006,0.0,1428.4620000000002,799.6160000000001,56.028,80.406,15.717,607.9730000000001,20.598000000000003,0.0,18.894000000000002,0.0,0.0,88.52600000000001,0.0,0.0,55.805,28.789,0.0,3.932,0.0,0.0,0.0,540.32,1.506,736.997,0.0,0.0,-198.183,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-31,1340232.96,331478.016,145907.008,57308.0,44962.0,36148.0,0.0,20156.0,17971.0,9026.0,46163.0,10541.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35622.0,0.0,653726.0160000001,308865.984,0.0,1340232.96,285726.016,58021.0,51000.0,13719.0,133665.0,6138.0,0.0,23183.0,0.0,0.0,534183.0079999999,443375.008,0.0,55805.0,30724.0,0.0,4279.0,0.0,0.0,0.0,520324.0,1506.0,736996.9920000001,0.0,0.0,-218179.008,0.0,0.0,0.0,0.0,0.0,0.0,389927.008,-150128.992,239798.0,-222808.992,-19201.0,0.0,0.0,0.0,0.0,-15847.0,8155.0,-24002.0,0.0,0.0,0.0,-18059.0,0.0,0.0,0.0,0.0,0.0,-19996.0
2017-06-30,1339008.0,320193.984,96595.0,76713.0,43468.0,43694.0,0.0,37885.0,12211.0,9628.0,37236.0,7372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29864.0,0.0,673193.0240000001,308384.99199999997,0.0,1339008.0,305519.00800000003,60689.0,73507.0,15329.0,127355.0,7958.0,0.0,20681.0,0.0,0.0,506268.992,414728.992,0.0,55430.0,32331.0,0.0,3779.0,0.0,0.0,0.0,527220.0,1506.0,736996.9920000001,0.0,0.0,-211283.008,0.0,0.0,0.0,0.0,0.0,0.0,428396.0,-162179.008,266216.99199999997,-225188.992,-17969.0,0.0,0.0,0.0,0.0,-14556.0,4062.0,-18618.0,0.0,0.0,0.0,8503.0,0.0,0.0,0.0,0.0,0.0,6896.0
2017-09-30,1477299.968,433020.0,207735.008,87619.0,46473.0,38164.0,0.0,35241.0,9608.0,8180.0,41339.0,7544.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33795.0,0.0,698067.0079999999,304873.984,0.0,1477299.968,312263.00800000003,70925.0,73648.0,17619.0,127107.0,7213.0,0.0,15751.0,0.0,0.0,490132.0,396299.008,0.0,53190.0,36697.0,0.0,3946.0,0.0,0.0,0.0,674905.0240000001,1506.0,889585.984,0.0,0.0,-216187.008,0.0,0.0,0.0,0.0,0.0,0.0,442980.992,-169979.008,273001.984,-236704.0,-22448.0,0.0,0.0,0.0,0.0,-18684.0,8335.0,-27019.0,0.0,0.0,0.0,-4834.0,0.0,0.0,0.0,0.0,0.0,-4904.0
2017-12-31,2415555.0719999997,1338448.0,102345.0,1076384.0,60958.0,39743.0,0.0,24993.0,0.0,34025.0,61351.0,13285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48066.0,0.0,699641.984,316113.984,0.0,2415555.0719999997,472998.016,69830.0,138996.992,20272.0,209987.008,0.0,0.0,33912.0,0.0,0.0,325363.00800000003,275720.0,0.0,5113.0,38309.0,0.0,6221.0,0.0,0.0,0.0,1617193.9840000002,895836.032,915721.984,0.0,0.0,-194364.0,0.0,0.0,0.0,0.0,0.0,0.0,522533.888,-205583.968,316950.016,-250507.072,-35832.0,0.0,0.0,0.0,0.0,-7177.0,7873.0,-15050.0,0.0,0.0,0.0,23434.0,0.0,-5225.0,0.0,0.0,0.0,21823.0
2018-03-31,2349785.088,1257357.952,127062.0,953921.984,58942.0,49907.0,0.0,29498.0,0.0,38027.0,63368.0,13258.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50110.0,0.0,712451.968,316607.00800000003,0.0,2349785.088,519536.0,67289.0,103300.0,15947.0,303633.984,0.0,0.0,29366.0,0.0,0.0,205079.008,154666.0,0.0,4385.0,38948.0,0.0,7080.0,0.0,0.0,0.0,1625170.0480000002,895836.032,914888.0,0.0,0.0,-185554.0,0.0,0.0,0.0,0.0,0.0,0.0,482528.992,-185235.008,297294.016,-265827.00800000003,-28599.0,0.0,0.0,0.0,0.0,7992.0,19575.0,-11583.0,0.0,0.0,0.0,10860.0,-1411.0,-639.0,0.0,0.0,0.0,8810.0
2018-06-30,2405178.88,857416.0,80774.0,556068.9920000001,66688.0,59545.0,0.0,52666.0,0.0,41674.0,58056.0,12971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,771873.984,717833.0240000001,0.0,2405178.88,533118.0160000001,77300.0,129153.0,18660.0,284267.00800000003,0.0,0.0,23738.0,0.0,0.0,239739.008,142888.0,0.0,54665.0,32930.0,0.0,9256.0,0.0,0.0,0.0,1632322.0480000002,895836.032,719104.0,0.0,0.0,17382.0,0.0,0.0,0.0,0.0,0.0,0.0,536875.0079999999,-205240.0,331635.00800000003,-292664.0,-27104.0,0.0,0.0,0.0,0.0,-2465.0,10692.0,-13157.0,0.0,0.0,0.0,9402.0,-63.0,-767.0,0.0,0.0,0.0,8572.0
2018-09-30,2472944.128,870788.9920000001,78103.0,555326.976,67890.0,63937.0,0.0,46894.0,0.0,58638.0,61814.0,12797.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,824601.0240000001,715740.032,0.0,2472944.128,584302.0160000001,93318.0,162667.008,22833.0,278872.99199999997,0.0,0.0,26611.0,0.0,0.0,225728.992,131056.0,0.0,48097.0,36365.0,0.0,10211.0,0.0,0.0,0.0,1662913.024,898233.0240000001,720121.984,0.0,0.0,44411.0,0.0,0.0,147.0,0.0,0.0,0.0,610856.0,-228360.992,382495.008,-316296.0,-26578.0,0.0,0.0,0.0,0.0,2345.0,11728.0,-9383.0,0.0,0.0,0.0,41966.0,-12989.0,-1948.0,0.0,0.0,0.0,27029.0
2018-12-31,2525632.0,819715.0079999999,174963.008,415622.016,59603.0,81276.0,0.0,40393.0,0.0,47858.0,63376.0,12361.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,928225.0240000001,714316.032,0.0,2525632.0,599675.0079999999,95163.0,241243.008,33781.0,161580.992,0.0,26726.0,41181.0,0.0,0.0,208996.992,117532.0,0.0,68243.0,12492.0,0.0,10730.0,0.0,0.0,0.0,1716960.0,898233.0240000001,721102.016,0.0,97627.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,718073.088,-272456.064,445616.96,-344923.968,-28229.0,0.0,0.0,0.0,0.0,3025.0,13510.0,-10485.0,0.0,0.0,0.0,75488.992,-20988.0,29124.0,0.0,0.0,0.0,83625.0
2019-03-31,3048552.96,583625.024,99913.0,223080.992,77447.0,72227.0,0.0,34922.0,0.0,76035.0,71886.0,11555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,959206.016,1433836.032,0.0,3048552.96,466452.992,88381.0,165956.0,14093.0,52286.0,0.0,3573.0,142163.992,0.0,0.0,819192.0,112005.0,0.0,693372.032,1643.0,0.0,12172.0,0.0,0.0,0.0,1762908.032,940297.0240000001,721763.0079999999,0.0,97627.0,3051.0,0.0,0.0,170.0,0.0,0.0,0.0,665324.9920000001,-254507.008,410817.984,-369057.984,-37074.0,0.0,0.0,0.0,0.0,-12485.0,6556.0,-19041.0,0.0,0.0,0.0,-7799.0,0.0,10850.0,0.0,0.0,0.0,3051.0
