,Ativo Total,Ativo Circulante,Disponibilidades,Aplicações Interfinanceiras de Liquidez,Títulos e Valores Mobiliários,Relações Interfinanceiras,Relações Interdependências,Operações de Crédito,Operações de Arrendamento Mercantil,Outros Créditos,Outros Valores e Bens,Ativo Realizável a Longo Prazo,Aplicações Interfinanceiras de Liquidez.1,Títulos e Valores Mobiliários.1,Relações Interfinanceiras.1,Relações Interdependências.1,Operações de Crédito.1,Operações de Arrendamento Mercantil.1,Outros Créditos.1,Outros Valores e Bens.1,Ativo Permanente,Investimentos,Imobilizado de Uso,Imobilizado de Arrendamento,Intangível,Diferido,Passivo Total,Passivo Circulante,Depósitos,Captações no Mercado Aberto,Recursos de Aceites e Emissão de Títulos,Relações Interfinanceiras.2,Relações Interdependências.2,Obrigações por Empréstimos,Obrigações por Repasse do País,Obrigações por Repasse do Exterior,Outras Obrigações,Passivo Exigível a Longo Prazo,Depósitos.1,Captações no Mercado Aberto.1,Recursos de Aceites e Emissão de Títulos.1,Relações Interfinanceiras.3,Relações Interdependências.3,Obrigações por Empréstimos.1,Obrigações por Repasse do País.1,Obrigações por Repasse do Exterior.1,Outras Obrigações.1,Resultados de Exercícios Futuros,Part. de Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucro,Ajustes de Avaliação Patrimonial,Lucros/Prejuízos Acumulados
2001-12-31,3721000.0,383867.0,0.0,457818.0,0.0,58097.0,4208.0,0.0,,0.0,-62427.0,-76029.0,0.0,105527.0,,,105527.0,,0.0,3721000.0,206409.0,268872.0,192843.0,,0.0,,3337133.0,0.0,0.0,-1767.0,0.0,73951.0,11975.0,,,,115150.0,0.0,0.0,,0.0,,,,,,24607.0,3553.42,,-1767.0,16388.78,9169.92,3128.0,16766.0,0.0,0.0
2002-03-31,3354692.0,390275.0,0.0,465123.0,0.0,59399.0,4154.0,0.0,,0.0,-58855.0,-78293.0,0.0,94537.0,,,94537.0,,0.0,3354692.0,212871.0,272985.0,194692.0,,0.0,,2964417.0,0.0,0.0,-923.0,0.0,74848.0,1144.0,,,,114485.0,0.0,0.0,,0.0,,,,,,11363.0,3980.37,,-923.0,16388.78,9169.92,3952.0,6407.0,0.0,0.0
2002-06-30,4044752.0,406447.0,0.0,481538.0,0.0,67020.0,73662.0,0.0,,0.0,-58017.0,-36544.0,0.0,92030.0,,,92030.0,,5198.0,4044752.0,159535.0,295652.0,259108.0,,0.0,,3638305.0,0.0,0.0,-911.0,0.0,75091.0,7314.0,,,,82104.0,0.0,0.0,,0.00020005,,,,,,8240.0,2285.69,,-911.0,16388.78,9169.92,2342.0,5190.0,0.0,0.0
2002-09-30,3692072.0,384206.0,0.0,458757.0,0.0,59447.0,44802.0,0.0,,0.0,-53625.0,-39211.0,0.0,67360.0,,,67360.0,,0.0,3692072.0,166154.0,238962.0,199751.0,,0.0,,3307866.0,0.0,0.0,471.0,0.0,74551.0,1646.0,,,,83915.0,0.0,0.0,,0.0,,,,,,7526.0,2812.66,,471.0,16388.78,9169.92,3044.0,5572.0,0.0,0.0
2002-12-31,4100315.0,365240.0,0.0,440827.0,0.0,62353.0,27114.0,0.0,,0.0,-66383.0,-44558.0,0.0,60550.0,,,60550.0,,5198.0,4100315.0,164876.0,196804.0,152246.0,,0.0,,3735075.0,0.0,0.0,-1513.0,0.0,75587.0,9672.0,,,,61151.0,0.0,0.0,,0.00020005,,,,,,17372.0,8099.62,,-1513.0,16388.78,9169.92,7749.0,7358.0,0.0,0.0
2003-03-31,3939561.0,371657.0,0.0,446136.0,0.0,60897.0,25593.0,0.0,,0.0,-51640.0,-46203.0,0.0,59007.0,,,59007.0,,0.0,3939561.0,172814.0,184636.0,138433.0,,0.0,,3567904.0,0.0,0.0,-117.0,0.0,74479.0,1651.0,,,,67327.0,0.0,0.0,,0.0,,,,,,9756.0,2301.88,,-117.0,16388.78,9169.92,2269.0,7206.0,0.0,0.0
2003-06-30,4076106.0,368736.0,0.0,442823.0,0.0,53902.0,25281.0,0.0,,0.0,-65179.0,-47264.0,0.0,50351.0,,,50351.0,,0.0,4076106.0,170205.0,175632.0,128368.0,,0.0,,3707370.0,0.0,0.0,-746.0,0.0,74087.0,7775.0,,,,69170.0,0.0,0.0,,0.0,,,,,,6959.0,2812.75,,-746.0,16388.78,9169.92,2765.0,3264.0,0.0,0.0
2003-09-30,4095742.0,395327.0,0.0,468416.0,0.0,51583.0,24509.0,0.0,,0.0,-94843.0,-48575.0,0.0,47883.0,,,47883.0,,0.0,4095742.0,197568.0,166684.0,118109.0,,0.0,,3700415.0,0.0,0.0,-43.0,0.0,73089.0,1880.0,,,,69791.0,0.0,0.0,,0.0,,,,,,41126.0,13832.36,,-43.0,16388.78,9169.92,13863.0,27267.0,0.0,0.0
2003-12-31,4363358.0,388353.0,0.0,460691.0,0.0,49988.0,20474.0,0.0,,0.0,-49729.0,-49981.0,0.0,47545.0,,,47545.0,,12230.0,4363358.0,194629.0,159837.0,109856.0,,0.0,,3975005.0,0.0,0.0,-202.0,0.0,72338.0,13501.0,,,,100136.0,0.0,0.0,,0.00047059,,,,,,9492.0,-968.25,,-202.0,16388.78,9169.92,-956.0,10417.0,0.0,0.0
2004-03-31,4534217.0,390545.0,0.0,460968.0,0.0,50976.0,14644.0,0.0,,0.0,-60636.0,-51771.0,0.0,41178.0,,,41178.0,,0.0,4534217.0,202651.0,150613.0,98842.0,,0.0,,4143672.0,0.0,0.0,1881.0,0.0,70423.0,1862.0,,,,94924.0,0.0,0.0,,0.0,,,,,,10719.0,4664.87,,1881.0,16388.78,9169.92,4657.0,7878.0,0.0,0.0
