,Ativo Total,Ativo Circulante,Disponibilidades,Aplicações Interfinanceiras de Liquidez,Títulos e Valores Mobiliários,Relações Interfinanceiras,Relações Interdependências,Operações de Crédito,Operações de Arrendamento Mercantil,Outros Créditos,Outros Valores e Bens,Ativo Realizável a Longo Prazo,Aplicações Interfinanceiras de Liquidez.1,Títulos e Valores Mobiliários.1,Relações Interfinanceiras.1,Relações Interdependências.1,Operações de Crédito.1,Operações de Arrendamento Mercantil.1,Outros Créditos.1,Outros Valores e Bens.1,Ativo Permanente,Investimentos,Imobilizado de Uso,Imobilizado de Arrendamento,Intangível,Diferido,Passivo Total,Passivo Circulante,Depósitos,Captações no Mercado Aberto,Recursos de Aceites e Emissão de Títulos,Relações Interfinanceiras.2,Relações Interdependências.2,Obrigações por Empréstimos,Obrigações por Repasse do País,Obrigações por Repasse do Exterior,Outras Obrigações,Passivo Exigível a Longo Prazo,Depósitos.1,Captações no Mercado Aberto.1,Recursos de Aceites e Emissão de Títulos.1,Relações Interfinanceiras.3,Relações Interdependências.3,Obrigações por Empréstimos.1,Obrigações por Repasse do País.1,Obrigações por Repasse do Exterior.1,Outras Obrigações.1,Resultados de Exercícios Futuros,Part. de Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucro,Ajustes de Avaliação Patrimonial,Lucros/Prejuízos Acumulados,Receitas da Intermediação Financeira,Despesas da Intermediação Financeira,Resultado Bruto Intermediação Financeira,Outras Despesas/Receitas Operacionais,Receitas de Prestação de Serviços,Despesas de Pessoal,Outras Despesas Administrativas,Despesas Tributárias,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Resultado Operacional,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores.1,Lucro/Prejuízo do Período
2007-03-31,112283.0,1399.0,926.0,1399.0,22742.0,,,-120.0,,0.0,0.0,0.0,42819.0,0.0,,,0.0,,0.0,0.0,,,,,,,112283.0,0.0,473.0,,473.0,,,,,,0.0,69464.0,42819.0,,0.0,,,,,,0.0,0.0,,0.00027602999999999997,0.0,2049.44,,0.00027602999999999997,0.00027602999999999997,0.0,926.0,0.0,926.0,1607.0,0.00027602999999999997,473.0,473.0,0.0,926.0,0.00027602999999999997,,926.0,926.0,926.0,,0.00027602999999999997,710.14,,2759.58,,,20077.0
2007-06-30,95872.0,924.0,853.0,924.0,20727.0,,,-159.0,,0.0,0.0,0.0,42629.0,0.0,,,0.0,,0.0,0.0,,,,,,,95872.0,0.0,71.0,,71.0,,,,,,0.0,53243.0,42629.0,,0.0,,,,,,0.0,0.0,,0.00025427,0.0,2049.44,,0.00025427,0.00025427,0.0,853.0,0.0,853.0,1642.0,0.00025427,71.0,71.0,0.0,853.0,0.00025427,,853.0,853.0,853.0,,0.00025427,710.14,,2759.58,,,21902.0
2007-09-30,120802.0,1717.0,1142.0,1717.0,21869.0,,,-146.0,,0.0,0.0,0.0,43771.0,0.0,,,0.0,,0.0,0.0,,,,,,,120802.0,0.0,575.0,,575.0,,,,,,0.0,77031.0,43771.0,,0.0,,,,,,0.0,0.0,,0.00034042,0.0,2049.44,,0.00034042,0.00034042,0.0,1142.0,0.0,1142.0,1674.0,0.00034042,575.0,575.0,0.0,1142.0,0.00034042,,1142.0,1142.0,1142.0,,0.00034042,710.14,,2759.58,,,21902.0
2007-12-31,102900.0,1564.0,1317.0,1564.0,22381.0,,,-140.0,,0.0,0.0,0.0,44283.0,0.0,,,0.0,,0.0,0.0,,,,,,,102900.0,0.0,247.0,,247.0,,,,,,0.0,58617.0,44283.0,,0.0,,,,,,0.0,0.0,,0.00039259,0.0,2049.44,,0.00039259,0.00039259,0.0,1317.0,0.0,1317.0,1705.0,0.00039259,247.0,247.0,0.0,1317.0,0.00039259,,1317.0,1317.0,1317.0,,0.00039259,710.14,,2759.58,,,21902.0
2008-03-31,286533.0,109.0,207.0,109.0,22588.0,,,-90.0,,0.0,0.0,0.0,44490.0,0.0,,,0.0,,172.0,286.0,,,,,,,286533.0,0.0,-98.0,,-98.0,,,,,,0.0,242043.0,44490.0,,348.0,,,,,,0.0,0.0,,6.171e-05,0.0,2049.44,,6.171e-05,6.171e-05,0.0,207.0,0.0,207.0,1748.0,6.171e-05,-98.0,-98.0,0.0,207.0,6.171e-05,,207.0,207.0,207.0,,6.171e-05,710.14,,2759.58,,,21902.0
2008-06-30,930356.0,772.0,568.0,772.0,22693.0,,,-93.0,,0.0,9.249e-05,0.0,44595.0,0.0,,,0.0,,804.0,0.0,,,,,,,930356.0,0.0,204.0,,204.0,,,,,,578.0,885761.0,44595.0,,845.0,,,,,,0.0,0.0,,0.00016931999999999998,0.0,2049.44,,0.00016931999999999998,0.00016931999999999998,0.0,568.0,0.000425,568.0,1795.0,0.00016931999999999998,204.0,204.0,0.0,568.0,0.00016931999999999998,,568.0,568.0,568.0,,0.00016931999999999998,710.14,,2759.58,,,21902.0
2008-09-30,1266844.0,307.0,190.0,307.0,22883.0,,,-95.0,,0.0,0.0,0.0,44785.0,0.0,,,0.0,,1072.0,462.0,,,,,,,1266844.0,0.0,117.0,,117.0,,,,,,0.0,1222059.0,44785.0,,349.0,,,,,,0.0,0.0,,5.664e-05,0.0,2049.44,,5.664e-05,5.664e-05,0.0,190.0,0.0,190.0,1915.0,5.664e-05,117.0,117.0,0.0,190.0,5.664e-05,,190.0,190.0,190.0,,5.664e-05,710.14,,2759.58,,,21902.0
2008-12-31,1215397.0,451.0,473.0,451.0,22867.0,,,-69.0,,0.0,0.0,0.0,44769.0,0.0,,,0.0,,1093.0,34.0,,,,,,,1215397.0,0.0,-22.0,,-22.0,,,,,,0.0,1170628.0,44769.0,,770.0,,,,,,0.0,0.0,,0.00014099999999999998,0.0,2049.44,,0.00014099999999999998,0.00014099999999999998,0.0,473.0,0.0,473.0,2426.0,0.00014099999999999998,-22.0,-22.0,467.0,473.0,0.00014099999999999998,,473.0,473.0,473.0,,0.00014099999999999998,710.14,,2759.58,,,21902.0
2009-03-31,1359841.0,1315.0,795.0,1315.0,23662.0,,,-76.0,,350.0,0.0,0.0,45564.0,0.0,,,350.0,,850.0,67.0,,,,,,,1359841.0,92.0,92.0,,520.0,,,,,,0.0,1314277.0,45564.0,,350.0,,,,,,0.0,0.0,,0.00023698,0.0,2049.44,,0.00023698,0.00023698,78.0,795.0,0.0,795.0,2504.0,0.00023698,520.0,520.0,365.0,795.0,0.00023698,,795.0,795.0,795.0,,0.00023698,710.14,,2759.58,,,21902.0
2009-06-30,1579596.0,3105.0,2248.0,3105.0,23137.0,,,-59.0,,232.0,0.00023123,0.0,46864.0,0.0,,,232.0,,1499.0,26.0,,,,,,,1579596.0,337.0,337.0,,857.0,,,,,,948.0,1532732.0,46864.0,,1163.0,,,,,,0.0,0.0,,0.00067011,0.0,2049.44,,0.00067011,0.00067011,288.0,2248.0,0.00046800000000000005,2248.0,2583.0,0.00067011,857.0,857.0,352.0,2248.0,0.00067011,,2248.0,2248.0,2248.0,,0.00067011,710.14,,2759.58,,,23727.0
