,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2004-12-31,215423.0,183931.0,1539.0,,38409.0,15808.0,,2515.0,0.0,,0.0,4655.0,1295.0,,,,,3307.0,,,,26434.0,,,215423.0,23437.0,1050.0,2497.0,0.0,0.0,,0.0,76034.0,,,39854.0,0.0,,,414.0,,0.0,,,,175569.0,13844.0,,,11516.0,7516.0,1297.0,,,
2005-03-31,215306.0,184467.0,304.0,,24090.0,19776.0,,2515.0,711.0,,0.0,3109.0,-4055.0,,,,,3170.0,,,,25940.0,,,215306.0,18945.0,1369.0,2992.0,0.0,0.0,,0.0,80227.0,,,35544.0,0.0,,,414.0,,0.0,,,,179762.0,8126.0,,,11516.0,2264.0,1297.0,,,
2005-06-30,207464.0,177406.0,588.0,,30374.0,20623.0,,2515.0,481.0,,0.0,4542.0,-1509.0,,,,,2871.0,,,,25488.0,,,207464.0,10567.0,1596.0,3590.0,0.0,0.0,,0.0,69984.0,,,26702.0,0.0,,,373.0,,0.0,,,,180762.0,9255.0,,,410.0,4358.0,1297.0,,,
2005-09-30,212451.0,182447.0,469.0,,31936.0,23994.0,,2515.0,243.0,,0.0,5623.0,-2355.0,,,,,2661.0,,,,25610.0,,,212451.0,14332.0,1878.0,5239.0,0.0,0.0,,0.0,71137.0,,,30536.0,0.0,,,353.0,,0.0,,,,181915.0,11491.0,,,362.0,6315.0,1297.0,,,
2005-12-31,214685.0,185162.0,1646.0,,30706.0,20064.0,,2600.0,0.0,,0.0,5026.0,-5441.0,,,,,2434.0,,,,25223.0,,,214685.0,25074.0,1445.0,2944.0,0.0,0.0,,0.0,61974.0,,,41933.0,0.0,,,335.0,,0.0,,,,172752.0,12868.0,,,12054.0,7914.0,1297.0,,,
2006-03-31,208677.0,179686.0,617.0,,13676.0,16169.0,,2600.0,0.0,,0.0,3956.0,-2650.0,,,,,3542.0,,,,24847.0,,,208677.0,18133.0,939.0,2129.0,0.0,0.0,,0.0,62875.0,,,35024.0,0.0,,,326.0,,0.0,,,,173653.0,6287.0,,,12052.0,2183.0,12.0,,,
2006-06-30,201702.0,173952.0,475.0,,14648.0,14252.0,,2600.0,0.0,,0.0,4408.0,-4866.0,,,,,2640.0,,,,24492.0,,,201702.0,7579.0,869.0,1612.0,0.0,0.0,,0.0,55112.0,,,24187.0,0.0,,,320.0,,0.0,,,,177515.0,7640.0,,,741.0,3942.0,12.0,,,
2006-09-30,208038.0,180398.0,1225.0,,14501.0,10045.0,,2600.0,0.0,,0.0,3711.0,-4238.0,,,,,2597.0,,,,24195.0,,,208038.0,10338.0,788.0,3283.0,0.0,0.0,,0.0,58537.0,,,27098.0,0.0,,,317.0,,0.0,,,,180940.0,7784.0,,,462.0,5301.0,12.0,,,
2006-12-31,208081.0,181262.0,820.0,,10749.0,6102.0,,3800.0,0.0,,0.0,4338.0,-4722.0,,,,,0.0,,,,23263.0,,,208081.0,20102.0,502.0,1544.0,0.0,0.0,,0.0,47539.0,,,38139.0,0.0,,,313.0,,0.0,,,,169942.0,8864.0,,,11761.0,5555.0,3233.0,,,
2007-03-31,205398.0,178647.0,549.0,,6031.0,6159.0,,3800.0,0.0,,0.0,2924.0,-3155.0,,,,,2612.0,,,,23172.0,,,205398.0,16427.0,493.0,2279.0,0.0,0.0,,0.0,48534.0,,,34461.0,0.0,,,314.0,,0.0,,,,170937.0,4976.0,,,11761.0,1213.0,12.0,,,
2007-06-30,199119.0,172360.0,339.0,,10223.0,8018.0,,3800.0,0.0,,0.0,3938.0,-2933.0,,,,,2534.0,,,,23166.0,,,199119.0,8834.0,559.0,3594.0,0.0,0.0,,0.025,39670.0,,,26439.0,0.0,,,314.0,,0.0,,,,172680.0,6228.0,,,1774.0,2509.0,12.0,,,
2007-09-30,200219.0,173351.0,553.0,,9962.0,9242.0,,3800.0,0.0,,0.0,3185.0,-2654.0,,,,,2503.0,,,,23097.0,,,200219.0,7728.0,622.0,1878.0,0.0,0.0,,0.0,41678.0,,,25531.0,0.0,,,314.0,,0.0,,,,174688.0,7252.0,,,618.0,4165.0,12.0,,,
2007-12-31,201000.0,173854.0,888.0,,10556.0,4229.0,,4000.0,0.0,,0.0,4332.0,-3483.0,,,,,2571.0,,,,23214.0,,,201000.0,20259.0,458.0,147.0,0.0,0.0,,0.00298327,29925.0,,,38065.0,0.0,,,313.0,,0.0,,,,162935.0,8133.0,,,13315.0,5562.0,12.0,,,
2008-03-31,196282.0,169347.0,420.0,,4363.0,4680.0,,4000.0,0.0,,0.0,2676.0,-3275.0,,,,,2565.0,,,,4661.0,,,196282.0,15088.0,339.0,103.0,441.0,0.0,,0.0,30912.0,,,32360.0,0.0,,,313.0,,470.0,,,,163922.0,3954.0,,,13313.0,732.0,12.0,,,
2008-06-30,196483.0,169827.0,398.0,,10283.0,6302.0,,4000.0,0.0,,0.0,4435.0,-1508.0,,,,,2543.0,,,,4476.0,,,196483.0,15921.0,452.0,2810.0,1236.0,0.0,,0.0,31545.0,,,31928.0,0.0,,,314.0,,1291.0,,,,164555.0,5430.0,,,10164.0,1890.0,12.0,,,
2008-09-30,194093.0,167974.0,832.0,,11737.0,7584.0,,4000.0,0.0,,0.0,3613.0,-7281.0,,,,,2533.0,,,,4023.0,,,194093.0,9319.0,482.0,3100.0,2609.0,0.0,,0.0,36278.0,,,24805.0,0.0,,,314.0,,-294.0,,,,169288.0,6985.0,,,712.0,4588.0,9.0,,,
2008-12-31,226173.0,201373.0,145786.0,,7610.0,8818.0,,0.0,0.0,,18433.0,2998.0,-8519.0,,,,,0.0,,,,2861.0,,,226173.0,19085.0,0.0,1932.0,1588.0,0.0,,0.02233,30482.0,,,44248.0,0.0,,,0.0,,0.0,,,,181925.0,10496.0,,,10785.0,6091.0,18868.0,,,
2009-03-31,235438.0,207639.0,147845.0,,7465.0,7825.0,,0.0,0.0,,22575.0,2592.0,-4305.0,,,,,0.0,,,,2778.0,,,235438.0,16866.0,0.0,1153.0,1115.0,0.0,,0.0,32461.0,,,47392.0,0.0,,,0.0,,0.0,,,,188046.0,44504.0,,,10785.0,3427.0,18868.0,,,
2009-06-30,239628.0,212250.0,147542.0,,7167.0,8080.0,,0.0,0.0,,26217.0,3321.0,-3814.0,,,,,0.0,,,,2704.0,,,239628.0,14369.0,0.0,1012.0,1156.0,0.0,,0.0,34588.0,,,45813.0,0.0,,,0.0,,849.0,,,,193815.0,49461.0,,,9143.0,4214.0,18868.0,,,
2009-09-30,238535.008,211024.992,141618.0,0.0,62367.0,6705.0,0.0,0.0,0.0,335.0,24445.0,0.0,0.0,5589.0,0.0,0.0,0.0,0.0,0.0,18856.0,12.0,2673.0,0.0,380.0,238535.008,6518.0,0.0,755.0,4062.0,0.0,0.0,922.0,779.0,0.0,0.0,21465.0,0.0,0.0,0.0,0.0,0.0,21465.0,0.0,1121.0,10236.0,199195.008,133010.0,0.0,0.0,30483.0,6943.0,28759.0,0.0,0.0,0.0
