,Ativo Total,Ativo Circulante,Disponibilidades,Aplicações Interfinanceiras de Liquidez,Títulos e Valores Mobiliários,Relações Interfinanceiras,Relações Interdependências,Operações de Crédito,Operações de Arrendamento Mercantil,Outros Créditos,Outros Valores e Bens,Ativo Realizável a Longo Prazo,Aplicações Interfinanceiras de Liquidez.1,Títulos e Valores Mobiliários.1,Relações Interfinanceiras.1,Relações Interdependências.1,Operações de Crédito.1,Operações de Arrendamento Mercantil.1,Outros Créditos.1,Outros Valores e Bens.1,Ativo Permanente,Investimentos,Imobilizado de Uso,Imobilizado de Arrendamento,Intangível,Diferido,Passivo Total,Passivo Circulante,Depósitos,Captações no Mercado Aberto,Recursos de Aceites e Emissão de Títulos,Relações Interfinanceiras.2,Relações Interdependências.2,Obrigações por Empréstimos,Obrigações por Repasse do País,Obrigações por Repasse do Exterior,Outras Obrigações,Passivo Exigível a Longo Prazo,Depósitos.1,Captações no Mercado Aberto.1,Recursos de Aceites e Emissão de Títulos.1,Relações Interfinanceiras.3,Relações Interdependências.3,Obrigações por Empréstimos.1,Obrigações por Repasse do País.1,Obrigações por Repasse do Exterior.1,Outras Obrigações.1,Resultados de Exercícios Futuros,Part. de Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucro,Ajustes de Avaliação Patrimonial,Lucros/Prejuízos Acumulados
2003-06-30,0.0,0.0,0.0,0.0,0.0,0.0,,-0.03331,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67365000.0,0.0,0.0,0.0,-31081000.0,64467000.0,0.0,,,,,0.0,0.0,0.0,,,-2898000.0,-0.03331,,64467000.0,0.0,0.0,6168000.0
2003-12-31,0.0,0.0,0.0,0.0,0.0,0.2361,,0.67981,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-297698000.0,0.0,0.0,0.0,-44631000.0,-238553000.0,0.0,,,,,0.0,0.0,0.0,,,59145000.0,0.67981,,-238553000.0,20541000.0,0.0,5913000.0
2004-03-31,13065399000.0,0.0,14379000.0,0.0,-9098000.0,0.0,,-0.12433,,139796000.0,1280009000.0,0.0,,246983000.0,1280009000.0,,0.0,,0.0,,1162000000.0,0.0,0.0,,0.0,,13065397000.0,0.0,0.0,0.0,93225000.0,11785390000.0,0.0,37032000.0,-107187000.0,0.0,0.0,-89779000.0,26215000.0,0.0,,,,,2352187000.0,0.0,0.0,,,-10817000.0,-0.12433,,26215000.0,0.0,61107000.0,3394000.0
2004-06-30,0.0,0.0,0.0,0.0,0.0,0.0,,1.13778,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88862000.0,0.0,0.0,0.0,-95020000.0,187851000.0,0.0,,,,,0.0,0.0,0.0,,,98989000.0,1.13778,,187851000.0,0.0,0.0,3484000.0
2004-09-30,13158119000.0,0.0,13813000.0,0.0,41550000.0,0.0,,0.5343600000000001,,146421000.0,1430934000.0,0.0,,259994000.0,1430934000.0,,0.0,,0.0,,1228000000.0,0.0,0.0,,0.0,,13158117000.0,0.0,0.0,0.0,92313000.0,11727185000.0,0.0,50742000.0,-113573000.0,-6403000.0,0.0,-103655000.0,103635000.0,0.0,,,,,2151675000.0,0.0,0.0,,,46490000.0,0.5343600000000001,,103635000.0,0.0,161384000.0,3760000.0
2004-12-31,13167413000.0,0.0,15814000.0,0.0,49221000.0,0.6,,0.20008,,147218000.0,1340386000.0,0.0,,263022000.0,1340386000.0,,0.0,,0.0,,1228000000.0,0.0,0.0,,0.0,,13167413000.0,0.0,0.0,0.0,81988000.0,11827027000.0,0.0,35902000.0,-115804000.0,-6774000.0,0.0,-107602000.0,60083000.0,0.0,,,,,2182957000.0,0.0,0.0,,,17407000.0,0.20008,,60083000.0,52709000.0,63165000.0,3839000.0
2005-03-31,13189355000.0,0.0,47973000.0,0.0,-21215000.0,0.0,,0.37581,,148952000.0,1313905000.0,0.0,,268333000.0,1313905000.0,,0.0,,0.0,,1277000000.0,0.0,0.0,,0.0,,13189355000.0,0.0,0.0,0.0,94744000.0,11875450000.0,0.0,71064000.0,-119381000.0,0.0,0.0,-107341000.0,103760000.0,0.0,,,,,2123443000.0,0.0,0.0,,,32696000.0,0.37581,,103760000.0,0.0,58120000.0,4135000.0
2005-06-30,12920078000.0,0.0,106495000.0,0.0,-104945000.0,0.0,,-0.29479,,152182000.0,1219107000.0,0.0,,275664000.0,1219107000.0,,0.0,,0.0,,1277000000.0,0.0,0.0,,0.0,,12920078000.0,0.0,0.0,0.0,70825000.0,11700971000.0,0.0,48475000.0,-123482000.0,0.0,0.0,-176804000.0,22828000.0,0.0,,,,,1913403000.0,0.0,0.0,,,-25647000.0,-0.29479,,22828000.0,0.0,47052000.0,8256000.0
2005-09-30,12462767000.0,0.0,103036000.0,0.0,-46546000.0,0.0,,0.36099,,159396000.0,1318929000.0,0.0,,281084000.0,1318929000.0,,0.0,,0.0,,1277000000.0,0.0,0.0,,0.0,,12462767000.0,0.0,0.0,0.0,77049000.0,11143838000.0,0.0,48558000.0,-121688000.0,0.0,0.0,-163259000.0,79965000.0,0.0,,,,,1811106000.0,0.0,0.0,,,31407000.0,0.36099,,79965000.0,0.0,88475000.0,4311000.0
2005-12-31,12591082000.0,0.0,131599000.0,0.0,60513000.0,0.0,,1.36698,,163625000.0,1380795000.0,0.0,,288736000.0,1380795000.0,,0.0,,0.0,,1277000000.0,0.0,0.0,,0.0,,12591082000.0,0.0,0.0,0.0,75785000.0,11210287000.0,0.0,37427000.0,-125111000.0,-7351000.0,0.0,-206024000.0,163708000.0,0.0,,,,,1792978000.0,0.0,0.0,,,118930000.0,1.36698,,163708000.0,0.0,43282000.0,198000.0
