,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2001-12-31,0.0,129443.0,5374.0,0.0,45719.0,11678.0,,62344.0,1613.0,,17.0,,0.0,,0.0,,,0.0,,,,-11195.0,0.0,,500097.0,324655.0,0.0,39352.0,1154.0,198047.0,,,311.0,0.0,,121864.0,5861.0,0.0,-127551.0,0.0,,1269202.0,,,,1004003.0,25019.38,424570.0,0.0,,1004003.0,92004.0,,,
2002-03-31,0.0,145272.0,1973.0,0.0,48633.0,12407.0,,54603.0,1787.0,,12452.0,,0.0,,0.0,,,52108.0,,,,-12872.0,0.0,,524548.0,208463.0,0.0,44132.0,32400.0,69440.0,,,365.0,0.0,,141978.0,5754.0,0.0,15901.0,0.0,,1292672.0,,,,1019904.0,25019.28,440471.0,0.0,,1019904.0,91376.0,,,
2002-06-30,0.0,140894.0,5021.0,0.0,51571.0,12500.0,,64684.0,1633.0,,31462.0,,0.0,,0.0,,,124257.0,,,,-18134.0,0.0,,590337.0,213870.0,0.0,50558.0,26339.0,66943.0,,,9278.0,0.0,,155787.0,6777.0,0.0,311638.0,0.0,,1649765.0,,,,1324758.0,25019.28,745324.0,0.0,,1324758.0,90056.0,,,
2002-09-30,0.0,134058.0,3797.0,0.0,55585.0,16282.0,,92081.0,1629.0,,59918.0,,0.0,,0.0,,,0.0,,,,-21154.0,0.0,,674866.0,199697.0,0.0,60841.0,16118.0,60001.0,,,6597.0,0.0,,156177.0,10944.0,0.0,455257.0,0.0,,2166434.0,,,,1780016.0,25019.28,1200582.0,0.0,,1780016.0,90386.0,,,
2002-12-31,0.0,144765.0,2020.0,0.0,51213.0,16140.0,,81071.0,1824.0,,463.0,,0.0,,0.0,,,0.0,,,,0.0,0.0,,721441.0,208812.0,0.0,64771.0,38174.0,61873.0,,,6076.0,0.0,,155166.0,29017.0,0.0,-179201.0,0.0,,2000491.0,,,,1600814.0,25018.45,1021381.0,0.0,,1600814.0,90381.0,,,
2003-03-31,0.0,125723.0,2862.0,0.0,48392.0,12770.0,,55756.0,3446.0,,91432.0,,0.0,,0.0,,,119165.0,,,,-25555.0,0.0,,721446.0,200268.0,0.0,54226.0,39791.0,52156.0,,,0.0,0.0,,118796.0,28749.0,0.0,-59572.0,0.0,,1962720.0,,,,1544150.0,25556.22,961976.0,0.0,,1544150.0,82157.0,,,
2003-06-30,0.0,98276.0,788.0,0.0,22656.0,16831.0,,63671.0,2395.0,,85716.0,,0.0,,0.0,,,213581.0,,,,0.0,0.0,,688843.0,207884.0,0.0,64323.0,61878.0,47118.0,,,0.0,0.0,,123701.0,25959.0,0.0,-1712389.0,0.0,,257173.0,,,,-164530.0,26285.97,-750430.0,0.0,,-164530.0,80045.0,,,
2003-09-30,0.0,113851.0,416.0,0.0,20429.0,11625.0,,46302.0,2744.0,,102947.0,,0.0,,0.0,,,0.0,,,,0.0,0.0,,802295.0,208975.0,0.0,67173.0,45055.0,51829.0,,,0.0,0.0,,105748.0,30721.0,0.0,-83515.0,0.0,,257416.0,,,,-248045.0,26285.97,-833945.0,0.0,,-248045.0,77643.0,,,
2003-12-31,0.0,106098.0,1078.0,0.0,31101.0,14115.0,,66104.0,2126.0,,100141.0,,0.0,,0.0,,,0.0,,,,0.0,0.0,,812154.0,179253.0,0.0,36988.0,45232.0,46065.0,,,0.0,0.0,,153608.0,29205.0,0.0,2013.0,0.0,,275012.0,,,,-246032.0,26285.97,-831932.0,0.0,,-246032.0,82804.0,,,
2007-06-30,104300.0,172006.0,8468.0,0.0,99888.0,18115.0,,79583.0,1105.0,,9655.0,,0.0,,-4412.0,,,18119.0,,,,0.0,2772.0,,882486.0,208951.0,0.0,50378.0,67331.0,23657.0,,,7018.0,0.0,,226005.0,31012.0,0.0,55757.0,0.0,,55749.0,,,,-473924.0,34065.0,-1269066.0,0.0,,-469802.0,168292.0,,,
