,Ativo Total,Ativo Circulante,Disponibilidades,Aplicações Interfinanceiras de Liquidez,Títulos e Valores Mobiliários,Relações Interfinanceiras,Relações Interdependências,Operações de Crédito,Operações de Arrendamento Mercantil,Outros Créditos,Outros Valores e Bens,Ativo Realizável a Longo Prazo,Aplicações Interfinanceiras de Liquidez.1,Títulos e Valores Mobiliários.1,Relações Interfinanceiras.1,Relações Interdependências.1,Operações de Crédito.1,Operações de Arrendamento Mercantil.1,Outros Créditos.1,Outros Valores e Bens.1,Ativo Permanente,Investimentos,Imobilizado de Uso,Imobilizado de Arrendamento,Intangível,Diferido,Passivo Total,Passivo Circulante,Depósitos,Captações no Mercado Aberto,Recursos de Aceites e Emissão de Títulos,Relações Interfinanceiras.2,Relações Interdependências.2,Obrigações por Empréstimos,Obrigações por Repasse do País,Obrigações por Repasse do Exterior,Outras Obrigações,Passivo Exigível a Longo Prazo,Depósitos.1,Captações no Mercado Aberto.1,Recursos de Aceites e Emissão de Títulos.1,Relações Interfinanceiras.3,Relações Interdependências.3,Obrigações por Empréstimos.1,Obrigações por Repasse do País.1,Obrigações por Repasse do Exterior.1,Outras Obrigações.1,Resultados de Exercícios Futuros,Part. de Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucro,Ajustes de Avaliação Patrimonial,Lucros/Prejuízos Acumulados
2006-12-31,4721137.0,3.363e-05,6183.0,0.0,146932.0,0.0,,0.0,,3.363e-05,-10141.0,0.0,,0.0,,,174390.0,,119750.17,0.0,9559.0,3.0,142792.8,,10787.0,,4721137.0,113486.0,96605.0,0.0,72.0,38752.0,520.0,,,,4299983.0,9559.0,0.0,-27458.0,13908.0,,,,,,0.0,0.0,,469350.0,262542.97,0.0,,3.363e-05,40.0,40.0
2007-09-30,5952390.0,0.00026389,0.0,3079.0,26134.0,0.0,,0.0,,0.00026389,-6955.0,0.0,,0.0,,,55929.0,,119750.17,0.0,104494.0,-5.0,142792.8,,8148.0,,5952390.0,156350.0,165134.0,0.0,38826.0,32785.0,1784.0,,,,5488380.0,104494.0,0.0,-29795.0,16674.0,,,,,,0.0,0.0,,465291.0,262542.97,0.0,,0.00026389,32785.0,32785.0
2007-12-31,7102710.0,0.00011635,0.0,0.0,17899.0,0.0,,19990.0,,0.00011635,-10394.0,0.0,,0.0,,,46833.0,,111856.97,0.0,36196.0,-7.0,142793.0,,3949.0,,7102710.0,171364.0,194669.0,4.904e-05,12701.0,30516.0,1214.0,,,,5923262.0,36196.0,0.0,-28934.0,16041.0,,,,,,0.0,0.0,,1180753.0,254649.97,0.0,,0.00011635,7708.0,7708.0
2008-03-31,7355802.0,0.00026459,0.0,3321.0,14360.0,0.0,,0.0,,0.00026459,-9112.0,0.0,,0.0,,,42813.0,,111857.38,0.0,103591.0,27.0,142792.8,,6929.0,,7355802.0,239892.0,230187.0,0.0,12701.0,35017.0,986.0,,,,6107792.0,103591.0,0.0,-28453.0,18265.0,,,,,,0.0,0.0,,1249362.0,254650.18,0.0,,0.00026459,35017.0,35017.0
2008-06-30,8419802.0,0.00015963,0.0,2278.0,14369.0,0.0,,0.0,,0.00015963,-11348.0,0.0,,0.0,,,43806.0,,111857.38,0.0,37924.0,-2.0,142792.8,,6832.0,,8419802.0,146410.0,261773.0,0.0,29750.0,-3486.0,1680.0,,,,7165303.0,37924.0,0.0,-29437.0,18801.0,,,,,,0.0,0.0,,1255923.0,254650.18,0.0,,0.00015963,-3486.0,-3486.0
2008-09-30,8451610.0,0.00023284,0.0,2054.0,14171.0,0.0,,0.0,,0.00023284,-9833.0,0.0,,0.0,,,44628.0,,110450.55,0.0,86067.0,-121.0,142792.8,,6510.0,,8451610.0,189387.0,319129.0,0.0,44200.0,26348.0,1477.0,,,,7161605.0,86067.0,0.0,-30457.0,19344.0,,,,,,0.0,0.0,,1291173.0,253243.35,0.0,,0.00023284,26348.0,26348.0
2008-12-31,8976475.0,-0.00029499999999999996,0.0,1810.0,41718.0,0.0,,20391.0,,-0.00029499999999999996,-12437.0,0.0,,0.0,,,74503.0,,115883.75,0.0,-128668.0,7.0,131881.03,,2600.0,,8976475.0,79518.0,334083.0,0.00025359,56048.0,-54846.0,909.0,,,,7788859.0,-128668.0,0.0,-32785.0,17791.0,,,,,,0.0,0.0,,1188856.0,247764.78,0.0,,-0.00029499999999999996,-54846.0,-54846.0
2009-03-31,8649924.0,0.00028159,0.0,1439.0,40212.0,0.0,,20532.0,,0.00028159,-9173.0,0.0,,0.0,,,74075.0,,115883.75,0.0,120983.0,19.0,131881.03,,2339.0,,8649924.0,150178.0,373730.0,0.0,56048.0,49986.0,1025.0,,,,7391636.0,120983.0,0.0,-33863.0,18193.0,,,,,,0.0,0.0,,1259628.0,247764.78,0.0,,0.00028159,49986.0,49986.0
2009-06-30,10096192.0,6.178000000000001e-05,0.0,2258.0,39417.0,0.0,,16708.0,,6.178000000000001e-05,-9232.0,8909.0,,0.0,,,35205.0,,115883.75,0.0,14496.0,8.0,131881.03,,1995.0,,10096192.0,151732.0,404493.0,0.0,11985.0,-1145.0,1632.0,,,,8836361.0,14496.0,0.0,-34379.0,14713.0,,,,,,0.0,0.0,,1261272.0,247764.78,0.0,,6.178000000000001e-05,-1145.0,-1145.0
2009-09-30,10365839.36,5384279.04,2822.0,592737.024,254468.0,52883.0,1360.0,3056651.008,328086.016,743492.9920000001,351779.008,4936955.904,75744.0,126064.0,0.0,0.0,3413560.064,696481.984,380156.992,244948.992,44604.0,3191.0,39716.0,0.0,1697.0,0.0,10365839.36,4833311.232,2535303.9359999998,36555.0,374676.992,33148.0,1818.0,0.0,0.0,0.0,1851809.024,4225271.04,1659737.9840000002,19923.0,267947.00800000003,3807.0,0.0,0.0,0.0,0.0,2273856.0,0.0,1512.0,1305745.024,1108091.008,172.0,0.0,197475.008,7.0,0.0
