,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2001-12-31,6670676000.0,1350473000.0,416302000.0,,383912000.0,,,,,90267000.0,293872000.0,,,,,,,,,,2124469000.0,1749080000.0,0.0,,6670676000.0,1145148000.0,,,116840000.0,,,6162000.0,102297000.0,,,82467000.0,3497813000.0,,0.0,,,0.0,,,,1570884000.0,227024900.0,,,0.0,0.0,0.0,,,
2002-03-31,4895434000.0,902350000.0,236187000.0,,323018000.0,,,,,71378000.0,0.0,,,,,,,,,,2654653000.0,824061000.0,0.0,,4895434000.0,783886000.0,,,0.0,,,7973000.0,0.0,,,0.0,2222490000.0,,0.0,,,0.0,,,,1480274000.0,227024900.0,,,0.0,0.0,0.0,,,
2002-06-30,4490153000.0,876102000.0,239997000.0,,269986000.0,,,,,85404000.0,0.0,,,,,,,,,,2187334000.0,854723000.0,0.0,,4490153000.0,728027000.0,,,0.0,,,1262000.0,0.0,,,0.0,2381725000.0,,0.0,,,0.0,,,,886074000.0,227024900.0,,,0.0,0.0,0.0,,,
2002-09-30,4548162000.0,1004118000.0,233170000.0,,294406000.0,,,,,94471000.0,0.0,,,,,,,,,,2209377000.0,880956000.0,0.0,,4548162000.0,799678000.0,,,0.0,,,1243000.0,0.0,,,0.0,2445607000.0,,0.0,,,0.0,,,,703847000.0,227024900.0,,,0.0,0.0,0.0,,,
2002-12-31,7574977000.0,1702200000.0,556639000.0,,588616000.0,,,,,158646000.0,277004000.0,,,,,,,,,,2420521000.0,2054573000.0,0.0,,7574977000.0,1618216000.0,,,49488000.0,,,12082000.0,108021000.0,,,114008000.0,3930414000.0,,0.0,,,0.0,,,,1432248000.0,227024900.0,,,0.0,0.0,0.0,,,
2003-03-31,5962228000.0,644710000.0,124480000.0,,273190000.0,,,,,85069000.0,0.0,,,,,,,,,,3678508000.0,1048815000.0,0.0,,5962228000.0,797933000.0,,,0.0,,,616000.0,435698000.0,,,0.0,3168530000.0,,0.0,,,0.0,,,,1269670000.0,227024900.0,,,0.0,0.0,0.0,,,
2003-06-30,6008920000.0,572308000.0,73610000.0,,240869000.0,,,,,88994000.0,0.0,,,,,,,,,,3762698000.0,1078086000.0,0.0,,6008920000.0,881573000.0,,,0.0,,,615000.0,482470000.0,,,0.0,3231789000.0,,0.0,,,0.0,,,,1155460000.0,227024900.0,,,0.0,0.0,0.0,,,
2003-09-30,4044083000.0,1246090000.0,877474000.0,,208757000.0,,,,,52469000.0,0.0,,,,,,,,,,1685150000.0,658449000.0,0.0,,4044083000.0,680928000.0,,,0.0,,,5795000.0,387223000.0,,,0.0,1402367000.0,,0.0,,,0.0,,,,1304920000.0,227024900.0,,,0.0,0.0,0.0,,,
2003-12-31,5885651000.0,1445144000.0,658208000.0,,404535000.0,,,,,88383000.0,155832000.0,,,,,,,,,,1289116000.0,1831021000.0,0.0,,5885651000.0,968652000.0,,,86629000.0,,,3306000.0,130462000.0,,,124965000.0,2748021000.0,,0.0,,,0.0,,,,1379127000.0,227024900.0,,,62226000.0,0.0,0.0,,,
2004-03-31,5447664000.0,856764000.0,215082000.0,,329261000.0,,,,,159820000.0,0.0,,,,,,,,,,1913650000.0,1661657000.0,0.0,,5447664000.0,803823000.0,,,0.0,,,1963000.0,536875000.0,,,0.0,2575325000.0,,0.0,,,0.0,,,,1071464000.0,227024900.0,,,0.0,0.0,0.0,,,
