,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1,Receita Bruta de Vendas e/ou Serviços,Deduções da Receita Bruta,Receita Líquida de Vendas e/ou Serviços,Custo de Bens e/ou Serviços Vendidos,Resultado Bruto,Despesas Com Vendas,Despesas Gerais e Administrativas,Perdas pela Não Recuperabilidade de Ativos ,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Financeiras,Receitas Financeiras,Despesas Financeiras,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores,Lucro/Prejuízo do Período
2016-12-31,31398000.64,12289000.447999999,655000.0,0.0,7679000.063999999,2678000.128,0.0,591000.0,587000.0,99000.0,12616999.935999999,0.0,0.0,6249999.872,0.0,0.0,3791000.064,1602000.0,0.0,974000.0,45000.0,5985999.872,461000.0,0.0,31398000.64,5629000.192000001,691000.0,2649999.872,0.0,833000.0,0.0,635000.0,681000.0,139000.0,0.0,18358999.04,12076000.256,0.0,0.0,0.0,0.0,6282999.807999999,0.0,0.0,0.0,7409999.872,6352000.0,0.0,0.0,3044999.936,0.0,-1987000.064,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-31,31225999.36,12234000.384000001,596000.0,0.0,8032999.936000001,2240999.9359999998,0.0,647000.0,562000.0,155000.0,12552999.935999999,0.0,0.0,6243999.744,0.0,0.0,3695000.064,1626000.0,0.0,988000.0,34000.0,5946999.807999999,458000.0,0.0,31225999.36,5281999.8719999995,570000.0,2103000.0640000002,0.0,1084000.0,0.0,654000.0,726000.0,145000.0,0.0,18378000.384,11939999.744,0.0,0.0,0.0,0.0,6438000.128,0.0,0.0,0.0,7566000.128,6352000.0,0.0,0.0,3044999.936,156000.0,-1987000.064,0.0,0.0,0.0,0.0,0.0,20049000.448,-18567999.487999998,1480999.936,-703000.0,-205000.0,0.0,0.0,-147000.0,-2000.0,-148000.0,140000.0,-288000.0,0.0,0.0,0.0,276000.0,-67000.0,-53000.0,0.0,0.0,0.0,156000.0
2017-06-30,29983000.575999998,11137000.447999999,504000.0,0.0,6981000.192000001,2283000.0640000002,0.0,698000.0,557000.0,114000.0,12433999.872000001,0.0,0.0,6130999.807999999,0.0,0.0,3704000.0,1594000.0,0.0,1005000.0,35000.0,5920000.0,457000.0,0.0,29983000.575999998,4771999.744,355000.0,1594000.0,0.0,1300999.936,0.0,671000.0,712000.064,139000.0,0.0,17575000.064,10961999.872000001,0.0,0.0,0.0,0.0,6613000.192000001,0.0,0.0,0.0,7635999.744,6352000.0,0.0,0.0,3044999.936,226000.0,-1987000.064,0.0,0.0,0.0,0.0,0.0,19474999.296,-18198999.04,1276000.0,-761000.0,-204000.0,0.0,0.0,-82000.0,0.0,-88000.0,132000.0,-220000.0,0.0,0.0,0.0,141000.0,-56000.0,-15000.0,0.0,0.0,0.0,70000.0
2017-09-30,23477000.191999998,10243999.743999999,522000.0,0.0,5497999.872,2836000.0,0.0,657000.0,553000.0,178000.0,6863000.063999999,0.0,0.0,405000.0,0.0,0.0,3819000.064,1628999.936,0.0,1010000.0,36000.0,5880000.0,454000.0,0.0,23477000.191999998,4408999.936000001,274000.0,2128999.9359999998,0.0,334000.0,0.0,686000.0,841000.064,145000.0,0.0,11064000.512,4495000.063999999,0.0,0.0,0.0,0.0,6568999.936000001,0.0,0.0,0.0,8003999.744,6352000.0,0.0,0.0,3044999.936,594000.0,-1987000.064,0.0,0.0,0.0,0.0,0.0,21838999.551999997,-20035000.32,1804000.0,-747000.0,-209000.0,0.0,0.0,-16000.0,1000.0,-232000.0,69000.0,-301000.0,0.0,0.0,0.0,601000.0,-184000.0,-23000.0,0.0,0.0,0.0,394000.0
2017-12-31,23761999.871999998,10702999.552000001,483000.0,0.0,5528000.0,3244999.936,0.0,673000.0,40000.0,734000.0,6753999.872,0.0,0.0,376000.0,0.0,0.0,3703000.064,182000.0,0.0,2492999.9359999998,36000.0,5816000.0,453000.0,0.0,23761999.871999998,4413000.192,227000.0,2681999.872,0.0,214000.0,0.0,273000.0,883000.0,134000.0,0.0,10522999.808,4497999.8719999995,0.0,0.0,0.0,0.0,6024999.936000001,0.0,0.0,0.0,8826000.384,6352000.0,0.0,0.0,3896999.936,0.0,-1423000.064,0.0,0.0,0.0,0.0,0.0,23203995.648000002,-21397999.616,1806000.128,-740999.936,-217000.0,0.0,0.0,-211000.0,-1000.0,-89000.0,35000.0,-124000.0,0.0,0.0,0.0,546999.936,111000.0,-127000.0,0.0,0.0,0.0,531000.064
2018-03-31,23371999.231999997,10417999.872000001,1104999.936,0.0,4894000.1280000005,3076000.0,0.0,604000.0,61000.0,678000.0,6689999.872,0.0,0.0,374000.0,0.0,0.0,3640000.0,190000.0,0.0,2486000.128,34000.0,5779999.744,450000.0,0.0,23371999.231999997,4329999.8719999995,254000.0,2318000.128,0.0,286000.0,0.0,574000.0,758000.0,140000.0,0.0,10531999.743999999,4371999.744,0.0,0.0,0.0,0.0,6160000.0,0.0,0.0,0.0,8510000.127999999,6352000.0,0.0,0.0,3580999.936,0.0,-1423000.064,0.0,0.0,0.0,0.0,0.0,22499000.32,-20981999.616,1516999.936,-708000.0,-190000.0,0.0,0.0,-162000.0,-1000.0,-46000.0,84000.0,-130000.0,0.0,0.0,0.0,410000.0,-1000.0,-162000.0,0.0,0.0,0.0,247000.0
2018-06-30,23633999.871999998,10874999.808,1352000.0,0.0,4878000.1280000005,3153999.872,0.0,733000.0,60000.0,698000.0,6498999.807999999,0.0,0.0,0.0,375000.0,0.0,0.0,3470000.128,187000.0,0.0,33000.0,5774000.128,453000.0,0.0,23633999.871999998,4606000.1280000005,271000.0,2095000.064,0.0,209000.0,0.0,1031000.0,865999.936,134000.0,0.0,10688000.0,4385999.8719999995,0.0,0.0,0.0,0.0,6302000.128,0.0,0.0,0.0,8339999.744,6352999.936000001,0.0,0.0,3409999.872,0.0,-1423000.064,0.0,0.0,0.0,0.0,0.0,23597000.704,-22281000.96,1316000.0,-760000.0,-198000.0,0.0,0.0,-184000.0,0.0,269000.0,364000.0,-95000.0,0.0,0.0,0.0,443000.0,0.0,-180000.0,0.0,0.0,0.0,263000.0
2018-09-30,23832999.936,11722000.384000001,1500000.0,0.0,5336000.0,3312999.936,0.0,803000.0,60000.0,710000.0,5841999.872,0.0,0.0,0.0,362000.0,0.0,0.0,2808999.936,185000.0,0.0,32000.0,5775000.063999999,462000.0,0.0,23832999.936,3967000.064,334000.0,2228999.9359999998,0.0,291000.0,0.0,0.0,973000.0,140000.0,0.0,10448000.0,5334000.1280000005,0.0,0.0,0.0,0.0,5113999.8719999995,0.0,0.0,0.0,9418000.384,6352999.936000001,0.0,0.0,4488000.0,0.0,-1423000.064,0.0,0.0,0.0,0.0,0.0,26454999.04,-24935999.488,1519000.064,-776000.0,-194000.0,0.0,0.0,873000.0,-1000.0,353000.0,554000.0,-201000.0,0.0,0.0,0.0,1774000.0,0.0,-696000.0,0.0,0.0,0.0,1078000.0
2018-12-31,25344999.424000002,12803000.32,3056999.936,0.0,5327000.063999999,2923000.064,0.0,735000.0,45000.0,716000.0,6236000.256,0.0,0.0,0.0,1155000.064,0.0,0.0,2360999.9359999998,180000.0,0.0,33000.0,5797000.192000001,476000.0,0.0,25344999.424000002,4560999.936000001,373000.0,2219000.0640000002,0.0,239000.0,0.0,758000.0,818000.0,154000.0,0.0,11098000.384000001,5333000.192,0.0,0.0,0.0,0.0,5765000.192000001,0.0,0.0,0.0,9685999.616,6352999.936000001,0.0,0.0,5258999.808,0.0,-1926000.0,0.0,0.0,0.0,0.0,0.0,25218998.272,-23715004.415999997,1504000.0,-683000.064,-204000.0,0.0,0.0,-283000.0,1000.0,1847000.064,1957000.064,-110000.0,0.0,0.0,0.0,2182000.128,-125000.0,-452000.0,0.0,0.0,0.0,1604999.936
2019-03-31,26669000.704,13228999.68,3848999.936,0.0,4992000.0,2878000.128,0.0,771000.0,48000.0,691000.0,6231000.063999999,0.0,0.0,0.0,994000.0,0.0,0.0,2383000.0640000002,176000.0,0.0,35000.0,6689999.872,484000.0,0.0,26669000.704,4650999.808,416000.0,2103000.0640000002,128000.0,379000.0,0.0,771000.0,696000.064,158000.0,0.0,11854999.552000001,5977999.872,0.0,0.0,0.0,0.0,5877000.192000001,0.0,0.0,0.0,10163000.32,6352999.936000001,0.0,0.0,5736000.0,0.0,-1926000.0,0.0,0.0,0.0,0.0,0.0,22432000.0,-20842000.384,1590000.0,-733000.0,-195000.0,0.0,0.0,-129000.0,1000.0,227000.0,352000.0,-125000.0,0.0,0.0,0.0,761000.0,-302000.0,18000.0,0.0,0.0,0.0,477000.0
2019-06-30,24771000.32,11612000.256,1884999.936,0.0,5128000.0,3030000.128,0.0,791000.0,51000.0,727000.0,6113999.872,0.0,0.0,0.0,835000.0,0.0,0.0,2292000.0,169000.0,0.0,36000.0,6514999.807999999,494000.0,0.0,24771000.32,8632999.936,325000.0,2092000.0,1000.0,3847000.064,0.0,1514000.0,725000.0639999999,129000.0,0.0,7872000.0,2308000.0,0.0,0.0,0.0,0.0,5564000.256,0.0,0.0,0.0,8265999.872,6352999.936000001,0.0,0.0,3839000.064,0.0,-1926000.0,0.0,0.0,0.0,0.0,0.0,24045000.704,-22755999.744000003,1288999.936,-722000.0,-190000.0,0.0,0.0,-101000.0,0.0,212000.0,421000.0,-209000.0,0.0,0.0,0.0,488000.0,-49000.0,-137000.0,0.0,0.0,0.0,302000.0
2019-09-30,26684999.68,13345000.447999999,3908999.936,0.0,4601999.8719999995,3052999.936,0.0,918000.0,49000.0,814000.0,6232999.936000001,0.0,0.0,0.0,723000.0,0.0,0.0,2347000.0640000002,163000.0,0.0,37000.0,6568999.936000001,501000.0,0.0,26684999.68,9130999.808,320000.0,1847000.064,626000.0,3891000.064,0.0,1538000.0,781000.0639999999,128000.0,0.0,7952000.0,2328999.9359999998,0.0,0.0,0.0,0.0,5623000.063999999,0.0,0.0,0.0,9601999.872000001,6352999.936000001,0.0,0.0,5175000.063999999,0.0,-1926000.0,0.0,0.0,0.0,0.0,0.0,24359999.488,-22965999.616,1394000.0,-733000.0,-200000.0,0.0,0.0,14000.0,0.0,1579000.064,1704999.936,-126000.0,0.0,0.0,0.0,2054000.0,-764000.0,46000.0,0.0,0.0,0.0,1336000.0
2019-12-31,25866000.384,12225000.447999999,2361999.872,0.0,4474999.808,3412000.0,0.0,1130000.0,56000.0,790000.0,6370999.807999999,0.0,0.0,0.0,592000.0,0.0,0.0,2512000.0,153000.0,0.0,47000.0,6703000.063999999,520000.0,0.0,25866000.384,8599000.064,426000.0,2307000.0640000002,0.0,4341000.192,0.0,525000.0,807999.936,192000.0,0.0,8501000.192,2433999.872,0.0,0.0,0.0,0.0,6066999.807999999,0.0,0.0,0.0,8766000.127999999,6352999.936000001,0.0,0.0,4680999.936000001,0.0,-2268000.0,0.0,0.0,0.0,0.0,0.0,24148000.768000003,-22463000.575999998,1685000.1919999998,-828999.936,-283000.0,0.0,0.0,-506000.0,1000.0,-68000.128,50000.128,-118000.0,0.0,0.0,0.0,0.0,101000.064,-5000.0,0.0,0.0,0.0,96000.0
