,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2002-12-31,14128912000.0,3648745000.0,5362522000.0,619397000.0,5362522000.0,889067000.0,,140957000.0,112951000.0,,168491520.0,153497000.0,,,0.0,2715028000.0,,143879000.0,,,72302000.0,6202119000.0,0.0,,14128912000.0,5435057000.0,-1217161000.0,1704937000.0,2220190000.0,267495420.0,,23959000.0,0.0,0.0,,0.0,175000000.0,,0.0,0.0,,12.9,,,433120000.0,1821768000.0,96448000.0,244584000.0,,2884811000.0,3.89556,,,0.0,
2003-03-31,14561654000.0,4153707000.0,4786830000.0,599176000.0,4786830000.0,1266753000.0,,152032000.0,87857000.0,,170379020.0,125638000.0,,,0.0,1469121000.0,,145193000.0,,,2203993000.0,5189809000.0,0.0,,14561654000.0,6150694000.0,-26007000.0,2091273000.0,2459302000.0,273728090.0,,24941000.0,0.0,0.0,,0.0,163800000.0,,41946000.0,0.0,,0.0,,,540643000.0,1954854000.0,352850000.0,64143000.0,,3095809000.0,0.7147399999999999,,,0.0,
2003-06-30,13735080000.0,3640206000.0,4219026000.0,641354000.0,4219026000.0,1162729000.0,,164438000.0,63450000.0,,170379020.0,108579000.0,,,0.0,1509801000.0,,124102000.0,,,2127395000.0,5047547000.0,0.0,,13735080000.0,5308071000.0,-22767000.0,1601407000.0,2449780000.0,273728090.0,,2317000.0,0.0,0.0,,0.0,147000000.0,,36771000.0,0.0,,0.0,,,643555000.0,2328680000.0,414532000.0,105431000.0,,2726498000.0,1.50899,,,0.0,
2003-09-30,13801612000.0,3960555000.0,4394752000.0,604771000.0,4394752000.0,1058652000.0,,177402000.0,44051000.0,,170379020.0,37809000.0,,,0.0,1485902000.0,,165620000.0,,,2054006000.0,5032273000.0,0.0,,13801612000.0,5265545000.0,-15730000.0,1370758000.0,2533415000.0,273728090.0,,830000.0,0.0,0.0,,0.0,130200000.0,,58530000.0,0.0,,0.0,,,552064000.0,2306266000.0,216238000.0,99302000.0,,3165746000.0,-5e-05,,,0.0,
2003-12-31,14005650000.0,4182441000.0,5278410000.0,1001073000.0,5278410000.0,1092347000.0,,191786000.0,87000000.0,,170379020.0,36042000.0,,,0.0,1523200000.0,,169651000.0,,,1952207000.0,5090867000.0,0.0,,14005650000.0,4538107000.0,17421000.0,1089188000.0,2693313000.0,273728090.0,,7994000.0,0.0,0.0,,0.0,0.0,,56213000.0,0.0,,0.0,,,554409000.0,2112574000.0,256425000.0,123898000.0,,2794465000.0,-0.29327,,,0.0,
2004-03-31,15186103000.0,5163649000.0,6183604000.0,28772000.0,6183604000.0,1194296000.0,,194463000.0,58268000.0,,202435880.0,502572000.0,,,0.0,2172566000.0,,166016000.0,,,1184037000.0,5281192000.0,0.0,,15186103000.0,4904062000.0,-20811000.0,1598555000.0,2381120000.0,306272750.0,,7500000.0,0.0,0.0,,0.0,0.0,,72049000.0,0.0,,0.0,,,236952000.0,2428498000.0,100168000.0,119168000.0,,2890666000.0,0.15748,,,0.0,
2004-06-30,15003678000.0,5612340000.0,5923415000.0,139393000.0,5923415000.0,1306433000.0,,196601000.0,36247000.0,,202435880.0,93170000.0,,,0.0,2187576000.0,,166004000.0,,,1150024000.0,5240825000.0,0.0,,15003678000.0,5204821000.0,-21780000.0,1508034000.0,3055438000.0,306272750.0,,1029000.0,0.0,0.0,,0.0,0.0,,86506000.0,0.0,,0.0,,,245438000.0,2125644000.0,89987000.0,130075000.0,,3312930000.0,-0.88164,,,0.0,
2004-09-30,16625062000.0,7262232000.0,5277012000.0,29094000.0,5277012000.0,1310126000.0,,199003000.0,18341000.0,,238317230.0,92673000.0,,,0.0,3204355000.0,,151087000.0,,,85358000.0,5261309000.0,0.0,,16625062000.0,5688197000.0,-6700000.0,1804015000.0,3705707000.0,360091550.0,,2004000.0,0.0,0.0,,0.0,0.0,,86652000.0,0.0,,0.0,,,251985000.0,3868981000.0,46049000.0,130917000.0,,3396712000.0,1.48419,,,0.0,
2004-12-31,15050267000.0,5668249000.0,4343205000.0,21599000.0,4343205000.0,1612783000.0,,28934000.0,57752000.0,,240373100.0,61961000.0,,,0.0,3102687000.0,,315302000.0,,,46509000.0,5457558000.0,0.0,,15050267000.0,4595300000.0,-8942000.0,2059977000.0,3049735000.0,362076080.0,,191648000.0,0.0,0.565,,0.0,0.0,,114158000.0,0.0,,0.565,,,203093000.0,4183633000.0,47944000.0,225679000.0,,1813353000.0,1.4492200000000002,,,0.0,
2005-03-31,15194344000.0,5833736000.0,4510039000.0,41779000.0,4510039000.0,1440649000.0,,200893000.0,41972000.0,,240392860.0,58835000.0,,,0.0,2961254000.0,,282538000.0,,,94110000.0,5402973000.0,0.0,,15194344000.0,4174265000.0,-6419000.0,2283599000.0,3383286000.0,362056320.0,,190882000.0,0.0,0.0,,0.0,0.0,,98846000.0,0.0,,0.0,,,402820000.0,4423265000.0,64875000.0,175937000.0,,1167386000.0,0.67284,,,0.0,
