,Ativo Total,Ativo Circulante,Disponibilidades,Aplicações Interfinanceiras de Liquidez,Títulos e Valores Mobiliários,Relações Interfinanceiras,Relações Interdependências,Operações de Crédito,Operações de Arrendamento Mercantil,Outros Créditos,Outros Valores e Bens,Ativo Realizável a Longo Prazo,Aplicações Interfinanceiras de Liquidez.1,Títulos e Valores Mobiliários.1,Relações Interfinanceiras.1,Relações Interdependências.1,Operações de Crédito.1,Operações de Arrendamento Mercantil.1,Outros Créditos.1,Outros Valores e Bens.1,Ativo Permanente,Investimentos,Imobilizado de Uso,Imobilizado de Arrendamento,Intangível,Diferido,Passivo Total,Passivo Circulante,Depósitos,Captações no Mercado Aberto,Recursos de Aceites e Emissão de Títulos,Relações Interfinanceiras.2,Relações Interdependências.2,Obrigações por Empréstimos,Obrigações por Repasse do País,Obrigações por Repasse do Exterior,Outras Obrigações,Passivo Exigível a Longo Prazo,Depósitos.1,Captações no Mercado Aberto.1,Recursos de Aceites e Emissão de Títulos.1,Relações Interfinanceiras.3,Relações Interdependências.3,Obrigações por Empréstimos.1,Obrigações por Repasse do País.1,Obrigações por Repasse do Exterior.1,Outras Obrigações.1,Resultados de Exercícios Futuros,Part. de Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucro,Ajustes de Avaliação Patrimonial,Lucros/Prejuízos Acumulados
2003-06-30,0.0,0.0,0.0,86838000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,34923000.0,-39000.0,-137816000.0,-39000.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52158000.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,34641000.0,0.1013,0.0,,0.0,0.0,0.0
2003-12-31,0.0,0.0,0.0,177034000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,-81000.0,-168385000.0,-81000.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26304000.0,0.0,0.0,0.0,,0.0,,,0.5405399999999999,0.0,0.0,0.0,0.0,,150649000.0,0.40351,0.0,,0.0,0.0,0.0
2004-03-31,11884239000.0,0.0,150501000.0,104189000.0,0.0,0.0,0.0,0.0,1288000.0,0.0,0.0,52212000.0,,0.0,11884239000.0,,0.0,-42000.0,-139697000.0,-42000.0,851493000.0,850205000.0,11034034000.0,,0.0,,117283000.0,377835000.0,193053000.0,0.0,600000000.0,0.0,0.0,-302065000.0,0.0,54221000.0,170982750.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,49926000.0,0.146,250205000.0,,1288000.0,411131000.0,2079000.0
2004-06-30,0.0,0.0,0.0,97864000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,-46000.0,-150936000.0,-46000.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35163000.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,62655000.0,0.18322,0.0,,0.0,0.0,0.0
2004-09-30,11894473000.0,0.0,160399000.0,92660000.0,0.0,0.0,0.0,0.0,1318000.0,0.0,0.0,55726000.0,,0.0,11894473000.0,,0.0,-59000.0,-163612000.0,-59000.0,879765000.0,878447000.0,11016026000.0,,0.0,,119345000.0,368138000.0,181221000.0,0.0,710000000.0,0.0,0.0,-306262000.0,0.0,36932000.0,170982750.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,55669000.0,0.12691,168447000.0,,1318000.0,538589000.0,0.0
2004-12-31,12126168000.0,0.0,166893000.0,187692000.0,0.0,0.0,0.0,0.0,1288000.0,0.0,0.0,57492000.0,,0.0,12126168000.0,,0.0,4000.0,-177640000.0,4000.0,1027281000.0,1025993000.0,11100175000.0,,0.0,,119552000.0,363882000.0,175877000.0,0.0,710000000.0,0.0,0.0,-307557000.0,0.0,30980000.0,170982750.0,0.0,0.0,,0.0,,,0.21471,0.0,0.0,0.0,0.0,,156716000.0,0.1098,315993000.0,,1288000.0,411389000.0,0.0
2005-03-31,12653880000.0,0.0,173241000.0,145936000.0,0.0,0.0,0.0,0.0,616000.0,0.0,0.0,59411000.0,,0.0,12653880000.0,,0.0,-89000.0,-165692000.0,-89000.0,1063394000.0,1062778000.0,11591102000.0,,0.0,,119752000.0,365753000.0,175540000.0,0.0,710000000.0,0.0,0.0,-309965000.0,0.0,43872000.0,170982750.0,0.0,0.0,,0.0,,,0.25976,0.0,0.0,0.0,0.0,,101975000.0,0.2982,352778000.0,,616000.0,501686000.0,0.0
2005-06-30,12931909000.0,0.0,179893000.0,132646000.0,0.0,0.0,0.0,0.0,668000.0,0.0,0.0,61406000.0,,0.0,12931909000.0,,0.0,-33000.0,-147669000.0,-33000.0,1110535000.0,1109867000.0,11822042000.0,,0.0,,120308000.0,353863000.0,165514000.0,0.0,763243000.0,0.0,0.0,-308657000.0,0.0,49667000.0,170982750.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,82946000.0,0.21192,346624000.0,,668000.0,507001000.0,0.0
2005-09-30,13423258000.0,0.0,194395000.0,101133000.0,0.0,0.0,0.0,0.0,684000.0,0.0,0.0,63474000.0,,0.0,13423258000.0,,0.0,-61000.0,-191100000.0,-61000.0,1146381000.0,1145697000.0,12277561000.0,,0.0,,120397000.0,345961000.0,156103000.0,0.0,763243000.0,0.0,0.0,-310255000.0,0.0,41345000.0,170982750.0,0.0,0.0,,0.0,,,0.02853,0.0,0.0,0.0,0.0,,59727000.0,0.13383,382454000.0,,684000.0,560488000.0,0.0
2005-12-31,14089511000.0,0.0,199548000.0,174915000.0,0.0,0.0,0.0,0.0,1047000.0,0.0,0.0,65692000.0,,0.0,14089511000.0,,0.0,-107000.0,-167440000.0,-107000.0,1144226000.0,1143179000.0,12946332000.0,,0.0,,120532000.0,268074000.0,74958000.0,0.0,763243000.0,0.0,0.0,-313648000.0,0.0,43699000.0,170982750.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,131109000.0,0.38524,379936000.0,,1047000.0,461318000.0,0.0
