,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2012-03-31,9729.189,2480.99,794.3969999999999,413.22900000000004,259.769,755.437,0.0,100.90700000000001,0.0,157.251,1822.9720000000002,0.0,0.0,0.0,0.0,1507.989,65.4,0.0,0.0,249.583,238.081,4129.684,1057.462,0.0,9729.189,2524.7929999999997,98.184,248.65,94.01899999999999,1802.37,0.0,0.0,281.57,0.0,0.0,4733.304,3668.7940000000003,0.0,174.476,332.094,0.0,557.94,0.0,0.0,5.83,2465.262,1175.996,1431.935,0.0,0.0,-68.692,0.0,0.0,-73.977,0.0
2012-06-30,8870446.08,1570258.0480000002,226427.008,73829.0,318276.99199999997,605532.032,0.0,117676.0,0.0,228516.992,1834141.9519999998,0.0,0.0,0.0,0.0,1444626.0480000002,161028.992,0.0,0.0,228487.008,235540.0,4171835.9039999996,1058670.0159999998,0.0,8870446.08,3006033.92,105509.0,252432.0,77702.0,1888505.9840000002,0.0,0.0,681884.9920000001,0.0,0.0,3840229.12,2768498.9439999997,0.0,289256.0,209400.0,0.0,573073.9839999999,0.0,0.0,5575.0,2018608.04,1190035.9679999999,1417895.04,0.0,0.0,-419894.016,0.0,0.0,-169428.992,0.0
2012-06-30,8870446000.0,1570258000.0,0.0,73829000.0,334637000.0,605532000.0,-169429000.0,28768000.0,,998001000.0,1888506000.0,0.0,,,,,,161029000.0,,,235540000.0,232127000.0,52325000.0,,8870446000.0,3006034000.0,105509000.0,252432000.0,76979000.0,346651000.0,,,335234000.0,,126808000.0,6851838000.0,2768499000.0,,288433000.0,209400000.0,,573074000.0,,,5575000.0,2018608000.0,101709000.0,117676000.0,,,2018608000.0,,,64225000.0,
2012-09-30,9158933.504,2008604.032,155567.008,83001.0,402564.0,996384.0,0.0,197580.0,0.0,173508.0,1841698.9440000001,0.0,0.0,0.0,0.0,1492345.9840000002,115978.0,0.0,0.0,233375.008,235946.0,4017633.0239999997,1055051.008,0.0,9158933.504,3241405.952,134974.0,384038.016,78102.0,2029095.936,0.0,0.0,615196.032,0.0,0.0,3768750.08,2756392.96,0.0,225592.992,208015.008,0.0,578748.9920000001,0.0,0.0,5601.0,2143175.96,1190035.9679999999,1417895.04,0.0,0.0,-338678.016,0.0,0.0,-126077.0,0.0
2012-12-31,9045049.344,2077332.9919999999,138538.0,54404.0,263262.0,1192683.008,0.0,189474.0,0.0,238972.0,1741140.9919999999,0.0,0.0,0.0,0.0,1242829.952,195606.0,0.0,0.0,302704.99199999997,235504.992,3951343.104,1039726.9759999999,0.0,9045049.344,3122369.0239999997,112622.0,325379.00800000003,76600.0,1961851.0080000001,0.0,0.0,645916.9920000001,0.0,0.0,3924564.992,2901701.12,0.0,203139.008,219408.992,0.0,600316.032,0.0,0.0,7582.0,1990532.9440000001,1190035.9679999999,1405193.9840000002,0.0,0.0,-503380.0,0.0,0.0,-101317.0,0.0
2012-12-31,9045049000.0,2077333000.0,515000.0,54404000.0,279779000.0,1192683000.0,-101317000.0,58740000.0,,901814000.0,1961851000.0,0.0,,,,,,195606000.0,,,235505000.0,174599000.0,45744000.0,,9045049000.0,3122369000.0,112622000.0,325379000.0,74131000.0,234445000.0,,,411472000.0,,131950000.0,7054516000.0,2901701000.0,,234256000.0,219409000.0,,600316000.0,,,7582000.0,1990533000.0,107022000.0,189474000.0,,,1990533000.0,,,99448000.0,
2013-03-31,9737403.392,2540940.0319999997,791728.0,572211.0079999999,257586.0,593420.9920000001,0.0,132214.0,0.0,193780.0,1807117.0559999999,0.0,0.0,0.0,0.0,1241580.0320000001,243392.992,0.0,0.0,322144.0,235208.992,4117415.936,1036721.0240000001,0.0,9737403.392,2341106.944,112239.0,254044.0,90405.0,1254433.024,0.0,0.0,629985.9839999999,0.0,0.0,4932191.232,3967378.9439999997,0.0,182467.008,166738.0,0.0,615606.976,0.0,0.0,6888.0,2457216.96,1790035.968,1405193.9840000002,0.0,0.0,-688720.0,0.0,0.0,-49293.0,0.0
2013-03-31,9737403000.0,2540940000.0,481000.0,572211000.0,272713000.0,593421000.0,-49293000.0,55772000.0,,716474000.0,1254433000.0,0.0,,,,,,243393000.0,,,235209000.0,78922000.0,42738000.0,,9737403000.0,2341107000.0,112239000.0,254044000.0,90405000.0,209268000.0,,,420718000.0,,130547000.0,7280186000.0,3967379000.0,,354411000.0,166738000.0,,615607000.0,,,6888000.0,2457217000.0,63233000.0,132214000.0,,,2457217000.0,,,115909000.0,
2013-06-30,9388642.304,2262433.024,683244.9920000001,343560.0,297737.984,575800.0,0.0,132580.0,0.0,229510.0,1788956.032,0.0,0.0,0.0,0.0,1104572.0320000001,363704.992,0.0,0.0,320679.00800000003,234398.0,4070021.8880000003,1032833.0240000001,0.0,9388642.304,2412495.1040000003,93788.0,312664.99199999997,68714.0,1241326.976,0.0,0.0,696001.0240000001,0.0,0.0,4326632.96,3453571.0719999997,0.0,144304.0,128640.0,0.0,600118.0160000001,0.0,0.0,6889.0,2642624.984,2490035.9680000003,1356786.9440000001,0.0,0.0,-1014531.968,0.0,0.0,-189666.0,0.0
2013-06-30,9388642000.0,2262433000.0,505000.0,343560000.0,312714000.0,575800000.0,-189666000.0,80390000.0,,342255000.0,1241327000.0,0.0,,,,,,363705000.0,,,234398000.0,79931000.0,38850000.0,,9388642000.0,2412495000.0,93788000.0,312665000.0,68714000.0,348965000.0,,,347036000.0,,177386000.0,6746017000.0,3453571000.0,,271165000.0,128640000.0,,600118000.0,,,6889000.0,2642625000.0,52124000.0,132580000.0,,,2642625000.0,,,110848000.0,
