,Ativo Total,Ativo Circulante,Disponibilidades,Aplicações Interfinanceiras de Liquidez,Títulos e Valores Mobiliários,Relações Interfinanceiras,Relações Interdependências,Operações de Crédito,Operações de Arrendamento Mercantil,Outros Créditos,Outros Valores e Bens,Ativo Realizável a Longo Prazo,Aplicações Interfinanceiras de Liquidez.1,Títulos e Valores Mobiliários.1,Relações Interfinanceiras.1,Relações Interdependências.1,Operações de Crédito.1,Operações de Arrendamento Mercantil.1,Outros Créditos.1,Outros Valores e Bens.1,Ativo Permanente,Investimentos,Imobilizado de Uso,Imobilizado de Arrendamento,Intangível,Diferido,Passivo Total,Passivo Circulante,Depósitos,Captações no Mercado Aberto,Recursos de Aceites e Emissão de Títulos,Relações Interfinanceiras.2,Relações Interdependências.2,Obrigações por Empréstimos,Obrigações por Repasse do País,Obrigações por Repasse do Exterior,Outras Obrigações,Passivo Exigível a Longo Prazo,Depósitos.1,Captações no Mercado Aberto.1,Recursos de Aceites e Emissão de Títulos.1,Relações Interfinanceiras.3,Relações Interdependências.3,Obrigações por Empréstimos.1,Obrigações por Repasse do País.1,Obrigações por Repasse do Exterior.1,Outras Obrigações.1,Resultados de Exercícios Futuros,Part. de Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucro,Ajustes de Avaliação Patrimonial,Lucros/Prejuízos Acumulados
2005-03-31,1934487.0,23011.0,0.0,23011.0,0.0,0.0,14037.0,2183097.0,,116179.0,111272.0,262968.0,,-6622.0,2183097.0,,248610.0,,0.0,0.0,14358.0,14358.0,16390.0,,0.0,,-0.00021804000000000002,0.0,7415.0,0.0,0.0,0.0,0.0,2507.0,-94882.0,,0.0,-0.00021804000000000002,-0.00021804000000000002,,0.0,,,,0.0,,49460.0,,,64385.0,0.0,,,-7916.0,-7916.0,0.0
2005-06-30,1971334.0,20569.0,0.0,20569.0,0.0,0.0,9978.0,2229106.0,,79480.0,113207.0,257772.0,,11965.0,2229106.0,,257772.0,,0.0,0.0,0.0,0.0,20821.0,,0.0,,0.00026941,0.0,21943.0,0.0,0.0,0.0,0.0,2210.0,-92386.0,,0.0,0.00026941,0.00026941,,0.0,,,,0.0,,51733.0,,,73547.0,0.0,,,9781.0,9781.0,0.0
2005-09-30,1983445.0,18564.0,0.0,18564.0,0.0,0.0,9790.0,2241167.0,,82194.0,113597.0,257722.0,,-2096.0,2241167.0,,257722.0,,0.0,0.0,0.0,0.0,22466.0,,0.0,,-5.773e-05,0.0,7694.0,0.0,0.0,0.0,0.0,810.0,-91131.0,,0.0,-5.773e-05,-5.773e-05,,0.0,,,,0.0,,52972.0,,,73497.0,0.0,,,-2096.0,-2096.0,0.0
2005-12-31,2039472.0,17050.0,0.0,17050.0,0.0,0.0,2028.0,2315105.0,,454.0,112684.0,292574.0,,33907.0,2315105.0,,275633.0,,0.0,0.0,16941.0,16941.0,39210.0,,0.0,,0.0007688500000000001,0.0,35935.0,0.0,0.0,0.0,73925.0,1246.0,-73474.0,,66015.0,0.0007688500000000001,0.0007688500000000001,,0.0,,,,0.0,,54665.0,,,95298.0,0.0,,,27913.0,27913.0,0.0
2006-03-31,2070672.0,11769.0,0.0,11769.0,0.0,0.0,1783.0,2361958.0,,86422.0,110299.0,291286.0,,13511.0,2361958.0,,291286.0,,0.0,0.0,0.0,0.0,37368.0,,0.0,,0.00037216,0.0,15294.0,0.0,0.0,0.0,0.0,365.0,-72931.0,,0.0,0.00037216,0.00037216,,0.0,,,,0.0,,52687.0,,,107061.0,0.0,,,13511.0,13511.0,0.0
2006-06-30,2220075.0,14870.0,0.0,14870.0,0.0,0.0,7221.0,2518221.0,,112967.0,116213.0,298146.0,,24721.0,2518221.0,,298146.0,,0.0,0.0,0.0,0.0,42060.0,,0.0,,0.00047161999999999996,0.0,31942.0,0.0,0.0,0.0,0.0,364.0,-74153.0,,0.0,0.00047161999999999996,0.00047161999999999996,,0.0,,,,0.0,,57415.0,,,113921.0,0.0,,,17122.0,17122.0,0.0
2006-09-30,2302936.0,13723.0,0.0,13723.0,0.0,0.0,2566.0,2620738.0,,94665.0,117556.0,317802.0,,17766.0,2620738.0,,317802.0,,0.0,0.0,0.0,0.0,44588.0,,0.0,,0.00048936,0.0,20332.0,0.0,0.0,0.0,0.0,365.0,-72968.0,,0.0,0.00048936,0.00048936,,0.0,,,,0.0,,53667.0,,,133577.0,0.0,,,17766.0,17766.0,0.0
2006-12-31,2542146.0,12530.0,0.0,12530.0,0.0,0.0,25206.0,2845879.0,,434.0,121871.0,326015.0,,46886.0,2845879.0,,303733.0,,0.0,0.0,22282.0,22282.0,45593.0,,0.0,,0.00112644,0.0,72092.0,0.0,0.0,0.0,142483.0,0.0,-76278.0,,44426.0,0.00112644,0.00112644,,0.0,,,,0.0,,43356.0,,,118973.0,0.0,,,40895.0,40895.0,0.0
2007-03-31,3183457.0,11658.0,0.0,11658.0,0.0,0.0,11170.0,3510328.0,,0.0,118379.0,350596.0,,24481.0,3510328.0,,326871.0,,0.0,0.0,23725.0,23725.0,44413.0,,0.0,,0.00062496,0.0,35651.0,0.0,0.0,0.0,0.0,0.0,-73966.0,,39305.0,0.00062496,0.00062496,,0.0,,,,0.0,,38562.0,,,142646.0,0.0,,,22689.0,22689.0,0.0
2007-06-30,3834905.0,10568.0,0.0,10568.0,0.0,0.0,12440.0,4161722.0,,32477.0,118639.0,352777.0,,23677.0,4161722.0,,326817.0,,0.0,0.0,25960.0,25960.0,43310.0,,0.0,,0.00040733,0.0,36117.0,0.0,0.0,0.0,0.0,0.0,-75329.0,,60361.0,0.00040733,0.00040733,,0.0,,,,0.0,,17829.0,,,142592.0,0.0,,,14788.0,14788.0,0.0
2008-03-31,4338683.0,7044.0,2796.0,7044.0,0.0,0.0,15344.0,4718194.0,,209325.0,61766.0,409554.0,,28995.0,4718194.0,,379511.0,,0.0,0.0,30043.0,30043.0,40217.0,,0.0,,0.00074249,0.0,44339.0,0.0,0.0,0.0,45527.0,3756.0,-79209.0,,63165.0,0.00074249,0.00074249,,57660.0,,,,0.0,,52586.0,,,204475.0,0.0,,,26956.0,26956.0,0.0
2008-06-30,4606576.0,6466.0,2872.0,6466.0,0.0,0.0,17028.0,4999187.0,,215723.0,61827.0,426838.0,,59516.0,4999187.0,,392611.0,,0.0,0.0,34227.0,34227.0,39531.0,,0.0,,0.00118734,0.0,76544.0,0.0,0.0,0.0,57986.0,3863.0,-80483.0,,68954.0,0.00118734,0.00118734,,58187.0,,,,0.0,,66533.0,,,220458.0,0.0,,,43106.0,43106.0,0.0
2008-12-31,5620546.0479999995,2991149.0560000003,62961.0,547254.0160000001,221707.008,592073.9839999999,16960.0,1450577.024,0.0,99088.0,528.0,2570574.08,926.0,1007580.032,52506.0,0.0,1254622.976,0.0,252326.0,2613.0,58823.0,8978.0,38648.0,0.0,0.0,11197.0,5620546.0479999995,4036655.104,3143983.104,550747.0079999999,5255.0,0.0,257.0,3435.0,2325.0,0.0,330652.99199999997,1129641.9840000002,869208.0,0.0,11920.0,0.0,0.0,0.0,6190.0,0.0,242324.0,190.0,29731.0,424328.0,300000.0,12366.0,0.0,123072.0,-11110.0,0.0
2009-03-31,5673806.847999999,3059044.0960000004,72807.0,693435.0079999999,226439.008,536844.0,18607.0,1397507.968,0.0,112914.0,490.0,2476612.096,852.0,992313.984,52134.0,0.0,1233501.0559999999,0.0,194827.008,2984.0,138151.008,92979.0,35043.0,0.0,259.0,9870.0,5673806.847999999,4142402.048,3630435.0719999997,290694.016,4921.0,30646.0,140.0,3446.0,1997.0,0.0,180123.008,1085393.024,881284.9920000001,0.0,10330.0,0.0,0.0,0.0,6077.0,0.0,187700.992,422.0,0.0,445590.016,300000.0,12361.0,0.0,123072.0,-5620.0,15777.0
2009-06-30,6628311.04,3822968.064,69368.0,813113.984,357659.008,707678.9759999999,11729.0,1669133.0559999999,0.0,193796.0,490.0,2688733.952,282.0,951931.0079999999,53756.0,0.0,1393879.04,0.0,284099.00800000003,4787.0,116609.0,43597.0,42449.0,0.0,21845.0,8718.0,6628311.04,4918199.808,4113153.0239999997,331384.99199999997,4774.0,39801.0,93.0,2251.0,1968.0,0.0,424775.008,1146787.9679999999,859278.9759999999,0.0,9786.0,0.0,0.0,0.0,7772.0,0.0,269951.00800000003,821.0,76412.0,486089.984,300000.0,12412.0,0.0,178143.008,-4465.0,0.0
2009-09-30,6675226.112000001,3949362.9439999997,90142.0,1017220.9920000001,414976.992,572116.9920000001,9003.0,1711832.96,0.0,133287.0,783.0,2606524.9280000003,0.0,828054.9759999999,54268.0,0.0,1432968.96,0.0,286152.0,5081.0,119338.0,45627.0,41330.0,0.0,24732.0,7649.0,6675226.112000001,4824032.768,4051559.936,295020.0,3409.0,50134.0,56.0,146.0,2089.0,0.0,421619.008,1213288.96,918206.016,0.0,9486.0,0.0,0.0,0.0,9343.0,0.0,276254.016,598.0,86661.0,550644.9920000001,300000.0,12408.0,0.0,178144.0,-2553.0,62646.0
