,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1,Receita Bruta de Vendas e/ou Serviços,Deduções da Receita Bruta,Receita Líquida de Vendas e/ou Serviços,Custo de Bens e/ou Serviços Vendidos,Resultado Bruto,Despesas Com Vendas,Despesas Gerais e Administrativas,Perdas pela Não Recuperabilidade de Ativos ,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Financeiras,Receitas Financeiras,Despesas Financeiras,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores,Lucro/Prejuízo do Período
2004-03-31,81344.0,149715.0,18686.0,,53203.0,45677.0,,0.0,730.0,20990.0,12439.0,304581.0,,0.0,,,,,,,0.0,5416.0,0.0,,304581.0,4189.0,80241.0,33264.0,0.0,144524.0,,,0.0,,,160057.0,27960.0,,7729.0,0.0,,6206.0,,,,145604.0,3688.53,,,,0.0,0.0,,,,,,5544.66,730.0,0.0,0.0,17991.0,,139108.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0004119100000000001
2004-06-30,77332.0,145608.0,16806.0,,49679.0,46024.0,,0.0,705.0,20177.0,12509.0,302263.0,,0.0,,,,,,,0.0,7508.0,0.0,,302263.0,3901.0,79048.0,33202.0,0.0,146616.0,,,0.0,,,155647.0,29198.0,,5821.0,0.0,,6199.0,,,,147759.0,3688.53,,,,0.0,0.0,,,,,,5544.66,705.0,0.0,0.0,18891.0,,139108.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.00037829000000000004
2004-09-30,106635.0,168526.0,10473.0,,50800.0,60681.0,,0.0,684.0,23491.0,10633.0,320721.0,,0.0,,,,,,,0.0,6544.0,0.0,,320721.0,4269.0,89026.0,34917.0,0.0,145652.0,,,0.0,,,175069.0,42303.0,,7237.0,0.0,,6228.0,,,,146689.0,3688.53,,,,0.0,0.0,,,,,,5544.66,684.0,0.0,0.0,23496.0,,139108.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,-0.00017460000000000002
2004-12-31,102843.0,154961.0,10879.0,,52304.0,55111.0,,0.0,540.0,14764.0,5862.0,316045.0,,0.0,,,,,,,0.0,7454.0,0.0,,316045.0,4423.0,122793.0,26194.0,0.0,159010.0,,,0.0,,,157035.0,32244.0,,10463.0,0.0,,5738.0,,,,160038.0,4005.02,,,,0.0,0.0,,,,,,6020.49,540.0,0.0,0.0,26200.0,,151556.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.00015164
2005-03-31,109226.0,163371.0,7549.0,,56383.0,59591.0,,0.0,484.0,23017.0,5005.0,326719.0,,0.0,,,,,,,0.0,12460.0,0.0,,326719.0,4490.0,114735.0,26351.0,0.0,164016.0,,,0.0,,,162703.0,35358.0,,5667.0,0.0,,6007.0,,,,165135.0,4005.18,,,,0.0,0.0,,,,,,6020.65,484.0,0.0,0.0,21216.0,,151556.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.00083325
2005-06-30,103895.0,155205.0,10059.0,,54898.0,58361.0,,0.0,526.0,26148.0,5012.0,322454.0,,0.0,,,,,,,0.0,15788.0,0.0,,322454.0,3959.0,128890.0,25604.0,0.0,167344.0,,,0.0,,,155110.0,27928.0,,5866.0,0.0,,6031.0,,,,168554.0,4005.18,,,,0.0,0.0,,,,,,6020.65,526.0,0.0,0.0,19868.0,,151556.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0005539500000000001
2005-09-30,99941.0,157361.0,17439.0,,47897.0,52153.0,,0.0,603.0,20774.0,6897.0,327705.0,,0.0,,,,,,,0.0,21462.0,0.0,,327705.0,5486.0,94118.0,29974.0,0.0,173018.0,,,0.0,,,154687.0,34386.0,,8371.0,0.0,,6119.0,,,,174533.0,4005.02,,,,0.0,0.0,,,,,,6020.49,603.0,0.0,0.0,23735.0,,151556.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.00094447
2005-12-31,90138.0,131207.0,16993.0,,46509.0,47092.0,,0.0,435.0,17332.0,7357.0,306986.0,,0.0,,,,,,,0.0,12591.0,444.0,,306986.0,2940.0,94768.0,31082.0,0.0,164147.0,,,0.0,,,142839.0,17673.0,,6118.0,0.0,,3613.0,,,,165837.0,4005.02,,,,0.0,0.0,,,,,,6020.49,435.0,0.0,0.0,19655.0,,151556.0,0.0,,0.0,444.0,0.0,,,,0.0,0.0,0.0,,,,-0.00080481
2006-03-31,96123.0,138428.0,25351.0,,40938.0,45769.0,,0.0,448.0,21578.0,7286.0,338025.0,,0.0,,,,,,,0.0,30930.0,0.0,,338025.0,2779.0,75622.0,31284.0,0.0,182486.0,,,0.0,,,155539.0,23591.0,,5204.0,0.0,,6734.0,,,,184582.0,4005.02,,,,0.0,0.0,,,,,,6020.49,448.0,0.0,0.0,16170.0,,151556.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.00037685999999999997
2006-06-30,100957.0,143213.0,30563.0,,42863.0,43952.0,,0.0,419.0,22800.0,5137.0,345708.0,,0.0,,,,,,,0.0,35221.0,0.0,,345708.0,1154.0,87558.0,30575.0,0.0,186777.0,,,0.0,,,158931.0,24681.0,,4737.0,0.0,,7028.0,,,,189116.0,4005.02,,,,0.0,0.0,,,,,,6020.49,419.0,0.0,0.0,17635.0,,151556.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.00064169
