,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1,Receita Bruta de Vendas e/ou Serviços,Deduções da Receita Bruta,Receita Líquida de Vendas e/ou Serviços,Custo de Bens e/ou Serviços Vendidos,Resultado Bruto,Despesas Com Vendas,Despesas Gerais e Administrativas,Perdas pela Não Recuperabilidade de Ativos ,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Financeiras,Receitas Financeiras,Despesas Financeiras,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores,Lucro/Prejuízo do Período
2007-06-30,485068.0,16628.0,3047.0,0.0,6998.0,0.0,,0.0,,2379.0,6123.0,,,0.0,751.0,1676.0,,,0.0,6303.0,2594.0,442655.0,0.0,,485068.0,190348.0,,21143.0,17068.0,0.0,0.0,,160364.0,,,0.0,254688.0,,20141.0,358.0,,2923.0,,,40918.0,230380.0,70891.6,0.0,,6303.0,5341.0,,,,,,,18635.0,0.0,17922.0,0.0,-17957.0,,-1644.0,,0.0,0.0,0.0,6587.0,,,,7802.0,284.0,0.0,,,-2859.0,-1644.0
2007-09-30,630945.0,35367.0,17438.0,0.0,7871.0,0.0,,0.0,,1920.0,28905.0,,,0.0,751.0,3449.0,,,0.0,2127.0,0.0,550150.0,0.0,,630945.0,29129.0,,16940.0,16523.0,0.0,0.0,,5997.0,,,200099.0,285519.0,,20079.0,461.0,,2966.0,,,32785.0,345426.0,88566.69,0.0,,2127.0,2757.0,,,,,,,22825.0,0.0,22117.0,0.0,-27874.0,,12574.0,,0.0,0.0,0.0,2054.0,,,,19333.0,-73.0,0.0,,,-4705.0,12574.0
2007-12-31,643810.0,70377.0,54309.0,0.0,9614.0,0.0,,0.0,,1920.0,2084.0,,,0.0,0.0,5261.0,,,0.0,1507.0,0.0,555359.0,0.0,,643810.0,32840.0,,1270.0,15990.0,0.0,0.0,,20325.0,,,205540.0,295436.0,,19995.0,415.0,,3008.0,,,33638.0,348374.0,88566.69,0.0,,1507.0,285.0,,,,,,,24030.0,0.0,24030.0,0.0,-29154.0,,9343.0,,0.0,0.0,0.0,1468.0,,,,13962.0,-39.0,0.0,,,-3703.0,8791.0
2008-03-31,656670.0,69978.0,52882.0,0.0,7909.0,0.0,,0.0,,1920.0,2486.0,,,735.0,0.0,3738.0,,,0.0,2101.0,0.0,568749.0,0.0,,656670.0,32779.0,,1552.0,15457.0,0.0,0.0,,21427.0,,,211025.0,300832.0,,21089.0,379.0,,3039.0,,,32521.0,355838.0,88566.69,0.0,,2101.0,2174.0,,,,,,,23610.0,0.0,22870.0,367.0,-30778.0,,8003.0,,0.0,0.0,0.0,2071.0,,,,12478.0,-30.0,0.0,,,-2833.0,7574.0
2008-06-30,680369.0,61146.0,41484.0,0.0,8232.0,0.0,,0.0,,1920.0,1887.0,,,648.0,0.0,3277.0,,,0.0,1570.0,14362.0,585109.0,0.0,,680369.0,35932.0,,1843.0,14919.0,0.0,0.0,,31270.0,,,217009.0,316261.0,,25678.0,502.0,,4487.0,,,32653.0,364108.0,88566.89,0.0,,1570.0,2575.0,,,,,,,24876.0,0.0,24337.0,439.0,-32402.0,,8722.0,,0.0,0.0,0.0,1703.0,,,,12880.0,133.0,2946.0,,,-2930.0,8247.0
2008-09-30,695033.0,173879.0,35548.0,0.0,9640.0,0.0,,0.0,,1949.0,3386.0,,,0.0,103.0,3279.0,,,0.0,2612.0,28800.0,471271.0,0.0,,695033.0,25452.0,,2254.0,14370.0,0.0,0.0,,18108.0,,,224208.0,322417.0,,35305.0,0.0,,4737.0,,,32715.0,372616.0,88566.69,0.0,,2612.0,2528.0,,,,,,,27720.0,0.0,22180.0,457.0,-32898.0,,9057.0,,0.0,0.0,0.0,2679.0,,,,14336.0,67.0,3327.0,,,-3122.0,8535.0
2008-12-31,728367.0,213581.0,61621.0,0.0,12062.0,0.0,,0.0,,0.0,21057.0,,,321.0,471.0,3925.0,,,0.0,1798.0,50928.0,436988.0,0.0,,728367.0,25792.0,,2685.0,1949.0,0.0,0.0,,9845.0,,,281429.0,388319.0,,41059.0,0.0,,6054.0,,,33985.0,340048.0,87666.09,0.0,,1798.0,2470.0,,,,,,,31555.0,0.0,31555.0,464.0,-34523.0,,10118.0,,0.0,0.0,0.0,1862.0,,,,16080.0,64.0,3864.0,,,-4607.0,9611.0
2009-03-31,752838.0,226292.0,77652.0,0.0,11147.0,0.0,,0.0,,0.0,25909.0,,,334.0,300.0,2670.0,,,0.0,2290.0,122584.0,371301.0,0.0,,752838.0,36660.0,,3249.0,1949.0,0.0,97.0,,20694.0,,,260772.0,375432.0,,38016.0,0.0,,6782.0,,,33202.0,377406.0,87250.19,0.0,,2290.0,2934.0,,,,,,,29903.0,-97.0,28974.0,445.0,-36146.0,,12218.0,,0.0,0.0,0.0,2341.0,,,,17912.0,51.0,4254.0,,,-2853.0,12718.0
2009-06-30,748915.0,225320.0,75102.0,0.0,10584.0,0.0,,0.0,,0.0,21335.0,,,323.0,576.0,3321.0,,,0.0,2564.0,124895.0,370656.0,0.0,,748915.0,22955.0,,858.0,1949.0,0.0,96.0,,15458.0,,,264828.0,357230.0,,28576.0,0.0,,7637.0,,,33234.0,391685.0,87250.94,0.0,,2564.0,3390.0,,,,,,,30237.0,-96.0,29305.0,440.0,-37960.0,,12333.0,,0.0,0.0,0.0,2575.0,,,,18451.0,11.0,4753.0,,,-3243.0,12633.0
2009-09-30,730350.0,206603.0,54424.0,0.0,10157.0,0.0,,0.0,,0.0,20418.0,,,301.0,6153.0,3519.0,,,0.0,2395.0,126109.0,370455.0,0.0,,730350.0,28108.0,,1013.0,1661.0,0.0,456.0,,14157.0,,,228074.0,325990.0,,27823.0,0.0,,8019.0,,,33966.0,404360.0,87087.25,0.0,,2395.0,3870.0,,,,,,,32357.0,-456.0,28876.0,468.0,-39476.0,,14482.0,,0.0,0.0,0.0,2380.0,,,,20155.0,-15.0,5096.0,,,-2993.0,14782.0
