,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1,Receita Bruta de Vendas e/ou Serviços,Deduções da Receita Bruta,Receita Líquida de Vendas e/ou Serviços,Custo de Bens e/ou Serviços Vendidos,Resultado Bruto,Despesas Com Vendas,Despesas Gerais e Administrativas,Perdas pela Não Recuperabilidade de Ativos ,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Financeiras,Receitas Financeiras,Despesas Financeiras,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores,Lucro/Prejuízo do Período
2001-12-31,3373559.0,105590.0,0.0,66760.0,21260.0,,,0.0,0.0,0.0,0.0,11697.0,,,45909.0,,,252717.0,0.0,-848293.0,0.0,0.0,0.0,,3373559.0,485137.0,0.0,156981.0,0.0,150885.0,26441.0,0.0,0.0,20793.0,,1153739.0,1153739.0,63885.0,2963350.0,0.0,,0.0,,,6411.0,-130466.0,0.0,0.0,,1858738.0,0.0,,,0.0,,,,253249.0,0.0,12385.0,,0.0,,68442.0,0.0,0.0,48114.0,4844.0,0.0,,,,95726.0,0.0,0.0,,,-931.0,67511.0
2002-03-31,3524479.0,269320.0,0.0,214434.0,28336.0,,,0.0,0.0,0.0,0.0,12150.0,,,101.0,,,250552.0,0.0,-918220.0,0.0,0.0,0.0,,3524479.0,407820.0,0.0,207371.0,0.0,173142.0,36035.0,0.0,0.0,13862.0,,1086813.0,1086813.0,39080.0,2954210.0,0.0,,0.0,,,7754.0,180315.0,0.0,0.0,,1841777.0,0.0,,,0.0,,,,233461.0,0.0,13025.0,,0.0,,13933.0,0.0,0.0,43628.0,7892.0,0.0,,,,26030.0,0.0,0.0,,,-1343.0,12590.0
2002-06-30,2248584.0,280543.0,0.0,208307.0,28724.0,,,0.0,0.0,0.0,0.0,12059.0,,,521.0,,,75855.0,0.0,0.0,0.0,0.0,0.0,,2248584.0,406652.0,0.0,332665.0,0.0,184108.0,31662.0,0.0,0.0,12880.0,,1195790.0,1195790.0,49757.0,1720983.0,0.0,,0.0,,,9263.0,597142.0,0.0,0.0,,39737.0,0.0,,,0.0,,,,233629.0,0.0,13759.0,,0.0,,-70381.0,0.0,0.0,45398.0,19984.0,0.0,,,,-99647.0,0.0,0.0,,,191.0,-70190.0
2002-09-30,2286039.0,231120.0,0.0,155776.0,29771.0,,,0.0,0.0,0.0,0.0,13740.0,,,1068.0,,,135673.0,0.0,-520574.0,0.0,0.0,0.0,,2286039.0,479099.0,0.0,474128.0,0.0,278456.0,33753.0,0.0,0.0,9042.0,,1307969.0,1307969.0,44094.0,1748847.0,0.0,,0.0,,,7841.0,446277.0,0.0,0.0,,44853.0,0.0,,,0.0,,,,262331.0,0.0,14295.0,,0.0,,-152287.0,0.0,0.0,63059.0,17133.0,0.0,,,,-211913.0,0.0,0.0,,,1422.0,-150865.0
2002-12-31,2302180.0,259073.0,0.0,185579.0,31996.0,,,0.0,0.0,0.0,0.0,14353.0,,,1493.0,,,119865.0,0.0,-564824.0,0.0,0.0,29614.0,,2302180.0,482553.0,0.0,163135.0,0.0,323410.0,37081.0,0.0,0.0,131980.0,,1185113.0,1185113.0,13042.0,1752180.0,48801.0,,26158.0,,,9688.0,505602.0,0.0,0.0,,44265.0,0.0,,,0.0,,,,270916.0,0.0,13071.0,,0.0,,86046.0,0.0,0.0,57815.0,15308.0,0.0,,,,107342.0,0.0,0.0,,,2893.0,88939.0
2003-03-31,2308617.0,295753.0,0.0,215763.0,29663.0,,,0.0,0.0,0.0,0.0,15085.0,,,2245.0,,,117344.0,0.0,0.0,0.0,0.0,29614.0,,2308617.0,504143.0,0.0,202549.0,0.0,321390.0,18587.0,0.0,0.0,128401.0,,1131730.0,1131730.0,48025.0,1727396.0,0.0,,0.0,,,7965.0,538872.0,0.0,0.0,,125907.0,0.0,,,0.0,,,,251124.0,0.0,15177.0,,0.0,,31547.0,0.0,0.0,52689.0,20961.0,0.0,,,,48511.0,0.0,0.0,,,1723.0,33270.0
2003-06-30,2234918.0,234503.0,0.0,146810.0,27474.0,,,0.0,0.0,0.0,0.0,15852.0,,,470.0,,,112552.0,0.0,0.0,0.0,0.0,0.0,,2234918.0,443403.0,0.0,170129.0,0.0,297794.0,19117.0,0.0,0.0,125015.0,,998884.0,998884.0,48789.0,1707275.0,0.0,,0.0,,,8733.0,594739.0,0.0,0.0,,189159.0,0.0,,,0.0,,,,254215.0,0.0,13858.0,,0.0,,56634.0,0.0,0.0,48469.0,25246.0,0.0,,,,83905.0,0.0,0.0,,,-768.0,55866.0
2003-09-30,2292325.0,264544.0,0.0,142658.0,38771.0,,,0.0,0.0,0.0,0.0,14588.0,,,530.0,,,109939.0,0.0,0.0,0.0,0.0,0.0,,2292325.0,482196.0,0.0,246178.0,0.0,301163.0,25601.0,0.0,0.0,126036.0,,967509.0,967509.0,46426.0,1738671.0,0.0,,0.0,,,9653.0,631494.0,0.0,0.0,,201473.0,0.0,,,0.0,,,,303234.0,0.0,16591.0,,0.0,,37676.0,0.0,0.0,49099.0,22196.0,0.0,,,,54956.0,0.0,0.0,,,-920.0,36756.0
2003-12-31,2283609.0,255327.0,0.0,128215.0,60593.0,,,0.0,0.0,0.0,0.0,11183.0,,,122.0,,,78085.0,0.0,0.0,0.0,0.0,51649.0,,2283609.0,518429.0,0.0,245912.0,0.0,304828.0,28378.0,0.0,0.0,122997.0,,919639.0,919639.0,47122.0,1782168.0,52710.0,,92739.0,,,9449.0,638512.0,0.0,0.0,,52131.0,0.0,,,0.0,,,,330595.0,0.0,13076.0,,0.0,,56880.0,0.0,0.0,37267.0,18609.0,0.0,,,,84515.0,0.0,0.0,,,181.0,57061.0
2004-03-31,2355351.0,346563.0,0.0,204538.0,66611.0,,,0.0,0.0,0.0,0.0,11523.0,,,1103.0,,,78156.0,0.0,0.0,0.0,0.0,51649.0,,2355351.0,594082.0,0.0,255972.0,0.0,379130.0,27397.0,0.0,0.0,119958.0,,857530.0,857530.0,52246.0,1757706.0,48801.0,,96720.0,,,8796.0,690212.0,0.0,0.0,,59210.0,0.0,,,0.0,,,,331306.0,0.0,14261.0,,0.0,,51047.0,0.0,0.0,44275.0,19585.0,0.0,,,,75435.0,0.0,0.0,,,653.0,51700.0
2004-06-30,2673651.0,700687.0,0.0,514714.0,79203.0,,,0.0,0.0,0.0,0.0,11839.0,,,728.0,,,64778.0,0.0,0.0,0.0,0.0,31.0,,2673651.0,560104.0,0.0,309281.0,0.0,380831.0,52479.0,0.0,0.0,116938.0,,813922.0,813922.0,52363.0,1734024.0,48801.0,,99820.0,,,7704.0,1085966.0,0.0,0.0,,57334.0,0.0,,,0.0,,,,341005.0,0.0,16069.0,,0.0,,19672.0,0.0,0.0,47728.0,29716.0,0.0,,,,31662.0,0.0,0.0,,,1081.0,20753.0
2004-09-30,2698310.0,736795.0,0.0,514083.0,95817.0,,,0.0,0.0,0.0,0.0,12183.0,,,1364.0,,,57381.0,0.0,0.0,0.0,0.0,39.0,,2698310.0,446525.0,0.0,253539.0,0.0,228823.0,34271.0,0.0,0.0,115621.0,,964135.0,964135.0,54394.0,1735556.0,48801.0,,102927.0,,,8550.0,1078712.0,0.0,0.0,,48660.0,0.0,,,0.0,,,,393035.0,0.0,18199.0,,0.0,,94446.0,0.0,0.0,45497.0,29208.0,0.0,,,,140398.0,0.0,0.0,,,-853.0,93593.0
