,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2018-09-30,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-31,3478337.0239999997,2195568.8959999997,446006.016,0.0,1142835.9679999999,490614.016,0.0,42847.0,0.0,73266.0,448943.008,0.0,0.0,0.0,0.0,0.0,0.0,370643.008,0.0,0.0,0.0,636926.976,196898.0,0.0,3478337.0239999997,1750067.968,130922.0,678846.016,187495.008,230.0,711574.9759999999,0.0,41000.0,0.0,0.0,613230.0160000001,1618.0,313449.984,35555.0,0.0,0.0,262607.00800000003,0.0,0.0,2.0,1115036.976,1035720.0,10516.0,0.0,0.0,65042.0,0.0,0.0,3759.0,0.0
2019-03-31,5432.673000000001,1772.454,134.884,0.0,755.2310000000001,605.202,0.0,246.46099999999998,0.0,30.676,1126.249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2322.751,211.21900000000002,0.0,5432.673000000001,1213.379,144.494,569.391,45.69,313.384,118.67,0.0,21.75,0.0,0.0,2354.784,1375.1889999999999,662.45,34.643,14.274000000000001,0.0,268.228,0.0,0.0,0.002,1864.5079999999998,1035.72,10.515999999999998,0.0,0.0,816.4789999999999,0.0,0.0,1.7930000000000001,0.0
2019-06-30,5572109.824,1919154.0480000002,95310.0,0.0,935816.0,605680.0,0.0,251410.0,0.0,30938.0,1139491.9679999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2306003.9680000003,207460.0,0.0,5572109.824,1238059.008,115172.0,627419.0079999999,92618.0,319120.99199999997,52348.0,0.0,31381.0,0.0,0.0,2447211.008,1343522.0480000002,782449.984,32614.0,21999.0,0.0,266626.0,0.0,0.0,1.0,1886839.064,1035720.0,10516.0,0.0,0.0,842246.9759999999,0.0,0.0,-1644.0,0.0
2019-09-30,5547551.744,2195084.0319999997,188732.0,0.0,831689.0240000001,586916.9920000001,0.0,542582.0160000001,0.0,45164.0,870964.9920000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2284581.8880000003,196920.992,0.0,5547551.744,1224875.008,135176.992,581977.9839999999,65547.0,321224.0,92627.0,0.0,28322.0,0.0,0.0,2410656.0,1303601.024,782449.984,32795.0,31836.0,0.0,259974.0,0.0,0.0,2.0,1912018.9919999999,1035720.0,10516.0,0.0,0.0,861353.984,0.0,0.0,4429.0,0.0
2019-09-30,1251844000.0,19108000.0,29046000.0,,0.0,0.0,,876299000.0,,0.0,132088000.0,,,,,,,301656000.0,,,,-18932000.0,815245000.0,,0.0738,0.0,537636000.0,0.0,19108000.0,0.0,0.0738,,0.0,,,2284582000.0,-1200525000.0,196921000.0,9938000.0,-52033000.0,,3635533000.0,,,631000.0,0.0,0.0,0.0738,,9938000.0,259974000.0,,,135177000.0,
2019-12-31,6037091.84,2999575.04,447108.992,0.0,1151484.0320000001,544716.9920000001,0.0,833649.0240000001,0.0,22616.0,624950.0160000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2225227.008,187340.0,0.0,6037091.84,1751076.9919999999,128548.0,804012.9920000001,219282.0,357891.008,214352.992,0.0,26990.0,0.0,0.0,1546445.0559999999,1229789.0559999999,0.0,37183.0,45631.0,0.0,233842.0,0.0,0.0,2.0,2739567.92,1847176.96,11647.0,0.0,882913.984,0.0,0.0,0.0,-2170.0,0.0
2019-12-31,1717025000.0,175681000.0,223940000.0,,91875000.0,-1054000.0,,892391000.0,,-125143000.0,120313000.0,,,,,,,317378000.0,,,,-19715000.0,37183000.0,,0.68413,9312000.0,163754000.0,226000.0,175681000.0,78133150.0,0.65499,,-91875000.0,,,2225227000.0,-1251244000.0,187340000.0,40443560.0,-41048000.0,,3297524000.0,,,1078000.0,2332966000.0,0.25348000000000004,0.6552399999999999,,38721000.0,233842000.0,,,128548000.0,
,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,,,,,,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,
,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,,,,,,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,
