,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2009-09-30,384136.0,14595.0,5520.0,0.0,8064.0,992.0,0.0,0.0,0.0,19.0,40.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,369048.992,452.0,0.0,0.0,384136.0,16296.0,0.0,5269.0,4552.0,6400.0,0.0,0.0,75.0,0.0,0.0,11026.0,9600.0,0.0,0.0,0.0,0.0,1426.0,0.0,0.0,0.0,356814.016,342056.0,11969.0,0.0,0.0,2789.0,0.0,0.0,0.0,0.0
2009-12-31,1916013.9519999998,447368.0,60156.0,0.0,324952.99199999997,11082.0,0.0,0.0,0.0,51177.0,132136.0,0.0,0.0,132136.0,0.0,0.0,0.0,0.0,0.0,0.0,620390.976,711257.0240000001,4862.0,0.0,1916013.9519999998,599273.024,0.0,127752.0,57038.0,102931.0,122.0,25233.0,205376.992,80820.0,0.0,632289.9839999999,366199.008,0.0,266091.00800000003,0.0,0.0,0.0,0.0,0.0,312795.00800000003,371656.0,342056.0,0.0,0.0,29600.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,1838469000.0,488303000.0,58558000.0,,252205000.0,11708000.0,,39954000.0,,62363000.0,28567000.0,-12357000.0,0.0,521640000.0,5014000.0,,4576430.0,-2575000.0,,0.0,708475000.0,178645000.0,13238000.0,,1838469000.0,623875000.0,289112000.0,126392000.0,7393000.0,117266000.0,,,0.0,3229000.0,,0.0,361369000.0,,6713000.0,-2575000.0,,0.0,,,216213000.0,586836000.0,0.0,,,0.0,1376000.0,370623000.0,,,
2010-03-31,1838468.9919999999,488303.008,58558.0,0.0,359808.992,11708.0,0.0,0.0,0.0,58228.0,106813.0,0.0,0.0,106813.0,0.0,0.0,0.0,0.0,0.0,0.0,521640.0,708475.0079999999,13238.0,0.0,1838468.9919999999,623875.0079999999,0.0,118291.0,48221.0,117266.0,109.0,25447.0,230656.992,83884.0,0.0,627758.0160000001,361368.992,0.0,266388.99199999997,0.0,0.0,0.0,0.0,0.0,216212.992,370623.008,342056.0,0.0,0.0,29600.0,-1033.0,0.0,0.0,0.0,0.0
2010-06-30,1806813.0559999999,430808.0,45494.0,0.0,341435.008,12356.0,0.0,0.0,0.0,31523.0,125419.0,0.0,0.0,125419.0,0.0,0.0,0.0,0.0,0.0,0.0,526494.0160000001,679596.032,44496.0,0.0,1806813.0559999999,552984.0,0.0,115651.0,51120.0,122704.0,0.0,4814.0,184279.008,74416.0,0.0,688166.9759999999,368254.016,0.0,319912.99199999997,0.0,0.0,0.0,0.0,0.0,219260.0,346401.984,342056.0,0.0,0.0,29599.0,-25253.0,0.0,0.0,0.0,0.0
2010-06-30,1806813000.0,430808000.0,45494000.0,,234447000.0,12356000.0,,42437000.0,,59104000.0,4346000.0,-16423000.0,0.0,526494000.0,15032000.0,,4576430.0,-3260000.0,,0.0,708618000.0,171264000.0,12609000.0,,1806813000.0,552984000.0,316207000.0,123794000.0,2204000.0,122704000.0,,,0.0,-4693000.0,,1148000.0,368254000.0,,6713000.0,-3260000.0,,0.0,,,219260000.0,565662000.0,0.0,,,0.0,-5106000.0,346402000.0,,,
2010-09-30,1858566000.0,470250000.0,59350000.0,,242541000.0,11184000.0,,46312000.0,,64865000.0,27971000.0,-12547000.0,0.0,530973000.0,22254000.0,,4576430.0,-3985000.0,,0.0,715906000.0,167510000.0,12314000.0,,1858566000.0,618263000.0,322769000.0,133001000.0,4644000.0,157904000.0,,,0.0,1000.0,,1231000.0,342554000.0,,5976000.0,-3985000.0,,0.0,,,220809000.0,590836000.0,0.0,,,0.0,-3421000.0,370027000.0,,,
2010-09-30,1858566.0159999998,470249.984,59350.0,0.0,359164.992,11184.0,0.0,0.0,0.0,40551.0,126328.0,0.0,0.0,126328.0,0.0,0.0,0.0,0.0,0.0,0.0,530972.9920000001,718700.9920000001,12314.0,0.0,1858566.0159999998,618262.976,0.0,122706.0,59445.0,157904.0,0.0,3285.0,197627.008,77296.0,0.0,649467.0079999999,342553.984,0.0,306912.99199999997,0.0,0.0,0.0,0.0,0.0,220808.992,370027.008,342056.0,0.0,0.0,29599.0,-1628.0,0.0,0.0,0.0,0.0
2010-12-31,2130226000.0,457852000.0,99258000.0,,305941000.0,8619000.0,,20859000.0,,23175000.0,-37901000.0,-24037000.0,0.0,315964000.0,-3004000.0,,4576430.0,-6956000.0,,0.0,112396000.0,77622000.0,388004000.0,,2130226000.0,627935000.0,356306000.0,142987000.0,6230000.0,156523000.0,,,0.0,9979000.0,,98639000.0,332030000.0,,20517000.0,-6956000.0,,54276000.0,,,231637000.0,724609000.0,0.0,,,0.0,-1713000.0,492972000.0,,,
2010-12-31,2119933.952,449960.0,99258.0,0.0,321169.984,8619.0,0.0,20913.0,0.0,0.0,799489.984,20430.0,0.0,127928.0,0.0,0.0,20517.0,0.0,0.0,630614.976,285119.00800000003,197360.992,388004.0,0.0,2119933.952,627945.9839999999,75250.0,142987.008,100938.0,154199.008,0.0,5291.0,128734.0,20547.0,0.0,777681.984,332030.016,0.0,292736.99199999997,98639.0,0.0,54276.0,0.0,0.0,224306.0,489999.98400000005,342056.0,11994.0,0.0,29600.0,-82467.0,188816.992,0.0,0.0,0.0
2011-03-31,2103169.024,439979.008,68160.0,0.0,342540.992,7382.0,0.0,21896.0,0.0,0.0,798217.0240000001,17821.0,0.0,128634.0,0.0,0.0,17073.0,0.0,0.0,634689.024,276424.99199999997,203152.992,385395.008,0.0,2103169.024,618017.9839999999,72399.0,121002.0,109377.0,151304.992,0.0,6651.0,140121.992,17162.0,0.0,779801.0240000001,325064.0,0.0,295339.00800000003,98759.0,0.0,60639.0,0.0,0.0,227698.0,477652.016,342056.0,11994.0,0.0,29600.0,-94815.0,188816.992,0.0,0.0,0.0
2011-03-31,2103169000.0,439979000.0,43982000.0,,318519000.0,7382000.0,,21896000.0,,24022000.0,-53221000.0,-24764000.0,0.0,276425000.0,37000.0,,4576430.0,-3392000.0,,24178000.0,146767000.0,86987000.0,383796000.0,,2103169000.0,618018000.0,320630000.0,121002000.0,8993000.0,151305000.0,,,0.0,0.0,,98759000.0,325064000.0,,17073000.0,-3392000.0,,60639000.0,,,227698000.0,705350000.0,141907000.0,,,0.0,1642000.0,477652000.0,,,
2011-06-30,2099708.0319999997,433183.008,60000.0,0.0,340504.0,5562.0,0.0,27117.0,0.0,0.0,818929.984,17832.0,0.0,133027.0,0.0,0.0,16298.0,0.0,0.0,651772.9920000001,281078.016,201392.992,365124.0,0.0,2099708.0319999997,638460.032,74785.0,123254.0,117496.0,143975.008,0.0,6666.0,156374.992,15909.0,0.0,752627.0079999999,312161.984,0.0,297201.984,98854.0,0.0,44409.0,0.0,0.0,221764.992,486856.0,342056.0,11994.0,0.0,29600.0,-85611.0,188816.992,0.0,0.0,0.0
2011-06-30,2099708000.0,433183000.0,56688000.0,,314805000.0,5562000.0,,27117000.0,,25699000.0,-44017000.0,-20013000.0,0.0,281078000.0,15397000.0,,4576430.0,-3866000.0,,3312000.0,143374000.0,85172000.0,365124000.0,,2099708000.0,638460000.0,333040000.0,123254000.0,2327000.0,143975000.0,,,0.0,0.0,,98854000.0,312162000.0,,16298000.0,-3866000.0,,44409000.0,,,221765000.0,708621000.0,158425000.0,,,0.0,-4502000.0,486856000.0,,,
2011-09-30,2166124000.0,469953000.0,44912000.0,,344539000.0,6726000.0,,29559000.0,,28809000.0,-8417000.0,-16438000.0,0.0,285219000.0,9347000.0,,4576430.0,-4511000.0,,15408000.0,138585000.0,83709000.0,370558000.0,,2166124000.0,652443000.0,348701000.0,140118000.0,3362590.0,125237000.0,,,0.0,12678000.0,,105293000.0,317104000.0,,15197000.0,-4511000.0,,45987000.0,,,226358000.0,748814000.0,175528000.0,,,0.0,-3969000.0,522456000.0,,,
