,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2001-12-31,4715090.0,903410.0,85486.0,229.0,431387.0,5136.0,,109585.0,0.0,242188.0,89729.0,,,2019.0,540128.0,,,164868.0,,,0.0,2114.0,0.0,,4715090.0,1200638.0,111108.0,236248.0,850488.0,151621.0,,110798.0,136444.0,0.0,,3106665.0,1461999.0,,10597.0,,,28417.0,,,,1608425.0,0.0,0.0,,0.0,0.0,,,0.0,
2002-03-31,4841545.0,830109.0,53382.0,20.0,414646.0,4568.0,,93802.0,0.0,236905.0,86692.0,,,1997.0,557777.0,,,178987.0,,,0.0,2647007.0,0.0,,4841545.0,1339004.0,106403.0,201090.0,437641.0,162263.0,,111290.0,0.0,0.0,,3215471.0,1414732.0,,19736.0,,,28843.0,,,,1626074.0,0.0,0.0,,0.0,0.0,,,0.0,
2002-06-30,5071451.0,909653.0,42083.0,5015.0,470404.0,4364.0,,104233.0,0.0,253100.0,94394.0,,,1808.0,542969.0,,,187093.0,,,0.0,2810307.0,0.0,,5071451.0,1491458.0,107122.0,227028.0,450230.0,149083.0,,111223.0,0.0,0.0,,3460185.0,1503122.0,,19524.0,,,29781.0,,,,1611266.0,0.0,0.0,,0.0,0.0,,,0.0,
2002-09-30,5342778.0,1015916.0,82278.0,56566.0,551213.0,3897.0,,120372.0,0.0,154121.0,86894.0,,,1540.0,569900.0,,,178594.0,,,0.0,3020247.0,0.0,,5342778.0,1400036.0,103634.0,171781.0,476795.0,192578.0,,111223.0,0.0,0.0,,3704581.0,1781297.0,,20531.0,,,28218.0,,,,1638197.0,0.0,0.0,,0.0,0.0,,,0.0,
2002-12-31,5902049.0,1211300.0,89898.0,63411.0,515962.0,3999.0,,233130.0,12108.0,245148.0,98119.0,,,1512.0,603391.0,,,265239.0,,,0.0,2775423.0,0.0,,5902049.0,1594482.0,85583.0,328809.0,518158.0,206844.0,,168347.0,70863.0,0.0,,4230361.0,1883849.0,,19373.0,,,52322.0,,,,1671688.0,0.0,0.0,,0.0,0.0,,,0.0,
2003-03-31,5545484.0,1096691.0,43027.0,1005.0,455934.0,4032.0,,205229.0,0.0,336539.0,93894.0,,,1923.0,575407.0,,,311408.0,,,0.0,2880025.0,0.0,,5545484.0,1380805.0,52594.0,130577.0,437433.0,152670.0,,140130.0,0.0,0.0,,3901780.0,1898759.0,,20002.0,,,50446.0,,,,1643704.0,0.0,0.0,,0.0,0.0,,,0.0,
2003-06-30,5601072.0,1156677.0,40746.0,2872.0,523788.0,4857.0,,190712.0,0.0,330983.0,129437.0,,,3950.0,634506.0,,,263119.0,,,0.0,2917450.0,0.0,,5601072.0,2202469.0,33597.0,131010.0,541889.0,150075.0,,109851.0,0.0,0.0,,3898269.0,1068027.0,,20864.0,,,67555.0,,,,1702803.0,0.0,0.0,,0.0,0.0,,,0.0,
2003-09-30,4939823.0,975251.0,24170.0,2954.0,435178.0,4983.0,,146118.0,0.0,294088.0,147751.0,,,8276.0,715430.0,,,250046.0,,,0.0,2332281.0,0.0,,4939823.0,1968097.0,0.0,169349.0,612623.0,141182.0,,8889.0,0.0,0.0,,3156096.0,660396.0,,19918.0,,,54482.0,,,,1783727.0,0.0,0.0,,0.0,0.0,,,0.0,
2003-12-31,4134847.0,781873.0,26239.0,6085.0,375134.0,3073.0,,225486.0,576.0,125295.0,40866.0,,,626325.0,616278.0,,,236264.0,,,0.0,1532605.0,0.0,,4134847.0,1702515.0,0.0,155438.0,189108.0,110359.0,,157164.0,0.0,0.0,,2450272.0,457408.0,,10728.0,,,77291.0,,,,1684575.0,0.0,0.0,,0.0,0.0,,,0.0,
2004-03-31,4968004.0,1071890.0,56757.0,91412.0,495191.0,3859.0,,114309.0,751.0,277713.0,201122.0,,,8400.0,589919.0,,,300547.0,,,0.0,2360216.0,0.0,,4968004.0,2073054.0,0.0,177453.0,579675.0,134193.0,,86796.0,0.0,0.0,,3309788.0,697304.0,,20851.0,,,94546.0,,,,1658216.0,0.0,0.0,,0.0,0.0,,,0.0,
