,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2003-03-31,376850.0,71329790.0,0.0,15571000.0,0.0,60554000.0,,0.0,694727000.0,-55496000.0,0.0,,,43907000.0,154083000.0,,,33233000.0,,,,0.0,0.0,,609353000.0,10256000.0,0.0,0.0,0.0,0.0,,852390000.0,0.0,34233000.0,,0.0,852390000.0,,0.0,,,0.0,,,,0.0,0.0,0.0,,119674000.0,9964000.0,,,0.0,
2003-06-30,376850.0,71329790.0,0.0,4695000.0,0.0,71911000.0,,0.0,678459000.0,-55944000.0,0.0,,,29086000.0,148843000.0,,,29460000.0,,,,0.0,0.0,,641880000.0,9942000.0,0.0,0.0,0.0,0.0,,817941000.0,0.0,44154000.0,,0.0,817941000.0,,0.0,,,0.0,,,,0.0,0.0,0.0,,141329000.0,23009000.0,,,0.0,
2003-09-30,376850.0,71329790.0,0.0,5106000.0,0.0,78814000.0,,0.0,671371000.0,-56208000.0,0.0,,,67463000.0,151230000.0,,,39549000.0,,,,0.0,0.0,,663067000.0,11661000.0,0.0,0.0,0.0,0.0,,710708000.0,0.0,45934000.0,,0.0,710708000.0,,0.0,,,0.0,,,,0.0,0.0,0.0,,165224000.0,25905000.0,,,0.0,
2003-12-31,376850.0,71329790.0,0.0,5725000.0,0.0,18365000.0,,0.0,884998000.0,0.0,0.0,,,12984000.0,157763000.0,,,0.0,,,,0.0,0.0,,615222000.0,32322000.0,0.0,0.0,0.64,0.0,,206129000.0,0.7,62113000.0,,92988000.0,206129000.0,,0.0,,,0.0,,,,0.0,0.0,0.0,,115122000.0,67808000.0,,,0.0,
2004-03-31,376850.0,71329790.0,0.0,3905000.0,0.0,90347000.0,,8365000.0,948518000.0,-57831000.0,0.0,,,42932000.0,157745000.0,,,27246000.0,,,,0.0,0.0,,668930000.0,26873000.0,0.0,0.0,0.0,0.0,,532080000.0,0.0,66104000.0,,0.0,532080000.0,,0.0,,,0.0,,,,0.0,0.0,0.0,,142075000.0,13987000.0,,,0.0,
2004-06-30,376850.0,71329790.0,0.0,4554000.0,0.0,82213000.0,,-2276000.0,848701000.0,-58419000.0,0.0,,,30890000.0,163267000.0,,,30303000.0,,,,0.0,0.0,,704303000.0,24053000.0,0.0,0.0,0.0,0.0,,788712000.0,0.0,30866000.0,,0.0,788712000.0,,0.0,,,0.0,,,,0.0,0.0,0.0,,185939000.0,30970000.0,,,0.0,
2004-09-30,376850.0,71329790.0,0.0,3874000.0,0.0,98423000.0,,37269000.0,924111000.0,-66270000.0,0.0,,,8444000.0,178219000.0,,,31214000.0,,,,0.0,0.0,,667440000.0,24394000.0,0.0,0.0,0.0,0.0,,759538000.0,0.0,43417000.0,,0.0,759538000.0,,0.0,,,0.0,,,,0.0,0.0,0.0,,200644000.0,4931000.0,,,0.0,
2004-12-31,376850.0,71329790.0,0.0,3995000.0,0.0,0.0,,0.0,932106000.0,-80156000.0,0.0,,,5659000.0,190373000.0,,,45780000.0,,,,0.0,0.0,,706493000.0,20697000.0,0.0,0.0,1.01,0.0,,775322000.0,0.19,24735000.0,,18808000.0,775322000.0,,0.0,,,0.0,,,,0.0,0.0,0.0,,195466000.0,44780000.0,,,0.0,
2005-03-31,376850.0,71329790.0,0.0,3303000.0,0.0,124160000.0,,43870000.0,873061000.0,-80400000.0,0.0,,,6751000.0,175815000.0,,,35523000.0,,,,0.0,0.0,,853352000.0,2334000.0,0.0,0.0,0.0,0.0,,755006000.0,0.0,49636000.0,,0.0,755006000.0,,0.0,,,0.0,,,,0.0,0.0,0.0,,186069000.0,17717000.0,,,0.0,
2005-06-30,376850.0,71329790.0,0.0,3237000.0,0.0,133827000.0,,61203000.0,923843000.0,-89309000.0,0.0,,,5248000.0,181162000.0,,,41451000.0,,,,0.0,0.0,,828091000.0,2496000.0,0.0,0.0,0.0,0.0,,862702000.0,0.0,37576000.0,,0.0,862702000.0,,0.0,,,0.0,,,,0.0,0.0,0.0,,214877000.0,30585000.0,,,0.0,
