,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2000-12-31,19558777000.0,928493000.0,485542000.0,0.0,209778000.0,,,0.0,116000.0,207604000.0,2384504000.0,,,,550093000.0,97941000.0,,358836000.0,0.0,,0.0,17617204000.0,133000.0,,19558777000.0,2452098000.0,,240315000.0,0.0,0.0,,0.0,2086968000.0,,,8866136000.0,5565328000.0,,93698260.0,,,0.0,,,,10692641000.0,0.0,-3.01878,,0.0,10692641000.0,0.0,,0.0,
2001-03-31,20905467000.0,1976294000.0,1534604000.0,0.0,218889000.0,,,0.0,116000.0,197237000.0,2634315000.0,,,,546833000.0,98923000.0,,536747000.0,0.0,,0.0,17774330000.0,133000.0,,20905467000.0,2666457000.0,,186850000.0,0.0,0.0,,0.0,2346883000.0,,,10565185000.0,7051613000.0,,93698260.0,,,0.0,,,,10340282000.0,0.0,-3.76057,,0.0,10340282000.0,0.0,,0.0,
2001-06-30,19764158000.0,589246000.0,150721000.0,0.0,235294000.0,,,0.0,116000.0,174820000.0,2457706000.0,,,,554685000.0,100726000.0,,678380000.0,0.0,,0.0,17870584000.0,133000.0,,19764158000.0,1615598000.0,,238668000.0,0.0,0.0,,0.0,1241115000.0,,,9702441000.0,7240514000.0,,93698260.0,,,0.0,,,,10061717000.0,0.0,-2.9730000000000003,,0.0,10061717000.0,0.0,,0.0,
2001-09-30,20286718000.0,673256000.0,238140000.0,0.0,244689000.0,,,0.0,116000.0,161500000.0,2318214000.0,,,,564263000.0,102390000.0,,1060091000.0,0.0,,0.0,17932048000.0,137000.0,,20286718000.0,1790968000.0,,183040000.0,0.0,0.0,,0.0,1476026000.0,,,10990949000.0,8340422000.0,,93698260.0,,,0.0,,,,9295769000.0,0.0,-8.174619999999999,,0.0,9295769000.0,0.0,,0.0,
2001-12-31,20381567000.0,771094000.0,7630000.0,0.0,341847000.0,,,0.0,6104000.0,382608000.0,0.0,,,,857891000.0,106259000.0,,776420000.0,7603000.0,,0.0,17911210000.0,0.0,,20381567000.0,2443635000.0,,139894000.0,0.0,0.0,,0.0,1352818000.0,,,10485194000.0,7065703000.0,,93698260.0,,,0.0,,,,9896373000.0,0.0,6.228,,544303000.0,9896373000.0,0.0,,0.0,
2002-03-31,20374804000.0,778014000.0,22851000.0,0.0,346016000.0,,,0.0,9268000.0,369286000.0,1464711000.0,,,,860745000.0,108289000.0,,776367000.0,9148000.0,,0.0,17893067000.0,137000.0,,20374804000.0,2566639000.0,,151025000.0,0.0,0.0,,0.0,1432993000.0,,,10466238000.0,6937270000.0,,93698260.0,,,0.0,,,,9908566000.0,0.0,0.13013,,535539000.0,9908566000.0,0.0,,0.0,
2002-06-30,20607386000.0,959549000.0,4283000.0,0.0,357461000.0,,,0.0,11530000.0,555785000.0,1563865000.0,,,,907068000.0,107998000.0,,776420000.0,9537000.0,,0.0,17897329000.0,137000.0,,20607386000.0,3252216000.0,,211609000.0,0.0,0.0,,0.0,1850371000.0,,,12223041000.0,8014785000.0,,93698260.0,,,0.0,,,,8384345000.0,0.0,-16.267329999999998,,532233000.0,8384345000.0,0.0,,0.0,
2002-09-30,20747607000.0,970460000.0,70974000.0,0.0,267522000.0,,,0.0,39773000.0,568224000.0,1783914000.0,,,,898120000.0,107985000.0,,776420000.0,11522000.0,,0.0,10461212000.0,130000.0,,20747607000.0,2581956000.0,,130666000.0,0.0,0.0,,0.0,1540947000.0,,,14978518000.0,11427162000.0,,93698260.0,,,0.0,,,,5769089000.0,0.0,-27.91147,,543241000.0,5769089000.0,0.0,,0.0,
2002-12-31,20671044000.0,774652000.0,85318000.0,50595000.0,220821000.0,,,0.0,21866000.0,373152000.0,881065000.0,,,,981569000.0,113395000.0,,776420000.0,13044000.0,,0.0,18070973000.0,137000.0,,20671044000.0,2421823000.0,,100459000.0,0.0,0.0,,0.0,1719970000.0,,,14192195000.0,10526676000.0,,93698260.0,,,0.0,,,,6478849000.0,0.0,7.614439999999999,,618309000.0,6478849000.0,0.0,,0.0,
2003-03-31,20566999000.0,647074000.0,134723000.0,0.0,160593000.0,,,0.0,9338000.0,319696000.0,977894000.0,,,,1019387000.0,114389000.0,,776420000.0,13044000.0,,0.0,18057587000.0,137000.0,,20566999000.0,4245630000.0,,124781000.0,0.0,0.0,,0.0,3534718000.0,,,13778141000.0,8240515000.0,,93698260.0,,,0.0,,,,6788858000.0,0.0,1.73177,,635722000.0,6788858000.0,0.0,,0.0,
