,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2000-12-31,1317482.0,152262.0,6280.0,,71139.0,3978.0,,55428.0,,0.0,0.0,,,,35266.0,,,0.0,,,,,0.0,,1317482.0,278801.0,,92430.0,100858.0,86240.0,0.0,10561.0,58272.0,58272.0,,123865.0,123865.0,,0.0,0.0,,476320.0,,,,841162.0,244353.0,0.0,,0.0,13060.0,0.0,,,
2001-03-31,1344762.0,159168.0,1150.0,,81107.0,5874.0,,49379.0,,0.0,0.0,,,,40356.0,,,0.0,,,,,0.0,,1344762.0,304932.0,,75644.0,104779.0,127177.0,0.0,10561.0,66810.0,66810.0,,120987.0,120987.0,,0.0,0.0,,493524.0,,,,851238.0,244353.0,0.0,,0.0,12552.0,0.0,,,
2001-06-30,1414200.0,174316.0,3684.0,,90457.0,4800.0,,46338.0,,0.0,0.0,,,,42081.0,,,0.0,,,,,0.0,,1414200.0,379796.0,,81586.0,126270.0,198155.0,0.0,24.0,76940.0,76940.0,,111564.0,111564.0,,0.0,0.0,,555910.0,,,,858290.0,244399.0,0.0,,0.0,12127.0,0.0,,,
2001-09-30,1554658.0,263730.0,12066.0,,107426.0,34632.0,,44236.0,,0.0,0.0,,,,71210.0,,,0.0,,,,,0.0,,1554658.0,418282.0,,104226.0,159746.0,204334.0,0.0,24.0,85194.0,85194.0,,215669.0,215669.0,,0.0,0.0,,694821.0,,,,859837.0,244399.0,0.0,,0.0,11662.0,0.0,,,
2001-12-31,1718020.0,360270.0,84248.0,,105935.0,45450.0,,22903.0,,0.0,0.0,,,,65530.0,,,0.0,,,,,0.0,,1718020.0,394307.0,,139070.0,165571.0,145796.0,0.0,15969.0,0.0,0.0,,361164.0,361164.0,,0.0,16112.0,,889132.0,,,,828888.0,244400.0,0.0,,0.0,21809.0,0.0,,,
2002-03-31,1675345.0,305793.0,34457.0,,111332.0,48944.0,,37183.0,,0.0,0.0,,,,67424.0,,,0.0,,,,,0.0,,1675345.0,336211.0,,106232.0,187824.0,126171.0,0.0,15969.0,119380.0,119380.0,,363603.0,363603.0,,0.0,0.0,,836461.0,,,,838884.0,244400.0,0.0,,0.0,10800.0,0.0,,,
2002-06-30,1749267.0,356240.0,44036.0,,118112.0,78035.0,,33649.0,,0.0,0.0,,,,83685.0,,,0.0,,,,,0.0,,1749267.0,397844.0,,136834.0,175457.0,166651.0,0.0,115.0,124710.0,124710.0,,359677.0,359677.0,,0.0,0.0,,890512.0,,,,858755.0,244516.0,0.0,,0.0,10360.0,0.0,,,
2002-09-30,1957045.0,529008.0,36927.0,,150953.0,162163.0,,31669.0,,0.0,0.0,,,,141125.0,,,0.0,,,,,0.0,,1957045.0,660526.0,,300405.0,238907.0,245689.0,0.0,38.0,139293.0,139293.0,,330851.0,330851.0,,0.0,0.0,,1119866.0,,,,837179.0,244516.0,0.0,,0.0,9928.0,0.0,,,
2002-12-31,2204101.0,752021.0,65843.0,,164047.0,201873.0,,14532.0,,0.0,0.0,,,,158952.0,,,0.0,,,,,0.0,,2204101.0,786866.0,,355745.0,146534.0,267950.0,0.0,26531.0,2767.0,2767.0,,407036.0,407036.0,,0.0,14205.0,,1317156.0,,,,886945.0,244516.0,0.0,,0.0,8867.0,0.0,,,
2003-03-31,2276491.0,804707.0,77777.0,,187403.0,205249.0,,68171.0,,0.0,0.0,,,,155104.0,,,0.0,,,,,0.0,,2276491.0,752047.0,,307120.0,304700.0,267876.0,0.0,26531.0,1370.0,1370.0,,443122.0,443122.0,,0.0,13760.0,,1371340.0,,,,905151.0,244516.0,0.0,,0.0,9644.0,0.0,,,
2003-06-30,2188608.0,684039.0,19728.0,,231067.0,195230.0,,57283.0,,0.0,0.0,,,,145159.0,,,0.0,,,,,0.0,,2188608.0,693861.0,,340767.0,406200.0,236056.0,0.0,55.0,1370.0,1370.0,,423724.0,423724.0,,0.0,13291.0,,1283027.0,,,,905581.0,244783.0,0.0,,0.0,8601.0,0.0,,,
2003-09-30,2274021.0,754925.0,114031.0,,243201.0,205339.0,,61071.0,,0.0,0.0,,,,127120.0,,,0.0,,,,,0.0,,2274021.0,737651.0,,391355.0,367866.0,224199.0,0.0,66.0,1446.0,1446.0,,472441.0,472441.0,,0.0,12822.0,,1379994.0,,,,894027.0,244783.0,0.0,,0.0,8190.0,0.0,,,
