,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2001-12-31,103013.0,74474.0,2796.0,11154.0,3.389e-05,23981.0,,70673.0,70.0,,0.0,,,,20.0,,566.0,0.0,,,164.0,21075.0,0.0,,103014.0,27514.0,0.0,16030.0,34564.0,,,2955.0,32340.0,0.0,,0.0,,,0.0,,,,,,0.0,70673.0,40000.0,0.0,,1909.0,0.0,0.0,,,
2002-03-31,93082.0,64533.0,2227.0,13139.0,0.0,22770.0,,69850.0,158.0,,0.0,,,,20.0,,566.0,0.0,,,164.0,21099.0,0.0,,93082.0,18372.0,0.0,10916.0,24908.0,,,2355.0,23232.0,0.0,,0.0,,,0.0,,,,,,0.0,69850.0,40000.0,0.0,,1331.0,0.0,0.0,,,
2002-06-30,94254.0,65210.0,2372.0,13875.0,0.0,22479.0,,70593.0,195.0,,0.0,,,,20.0,,566.0,0.0,,,164.0,21600.0,0.0,,94251.0,18801.0,0.0,12526.0,24882.0,,,8.0,23661.0,0.0,,0.0,,,0.0,,,,,,0.0,70593.0,40000.0,0.0,,1407.0,0.0,0.0,,,
2002-09-30,92581.0,63175.0,2171.0,15170.0,0.0,22152.0,,69031.0,171.0,,0.0,,,,20.0,,566.0,0.0,,,164.0,21977.0,0.0,,92579.0,18534.0,0.0,12994.0,21674.0,,,8.0,23550.0,0.0,,0.0,,,0.0,,,,,,0.0,69031.0,40000.0,0.0,,1837.0,0.0,0.0,,,
2002-12-31,102829.0,72650.0,2935.0,16633.0,1.097e-05,22862.0,,73197.0,140.0,,0.0,,,,21.0,,566.0,0.0,,,164.0,22480.0,0.0,,102830.0,24591.0,0.0,14938.0,28741.0,,,1627.0,29632.0,0.0,,0.0,,,0.0,,,,,,0.0,73197.0,40000.0,0.0,,1339.0,0.0,0.0,,,
2003-03-31,96838.0,66248.0,2314.0,17295.0,0.0,23518.0,,73418.0,180.0,,0.0,,,,21.0,,566.0,0.0,,,164.0,22732.0,0.0,,96838.0,18317.0,0.0,12294.0,21717.0,,,1200.0,23420.0,0.0,,0.0,,,0.0,,,,,,0.0,73418.0,40000.0,0.0,,1224.0,0.0,0.0,,,
2003-06-30,100156.0,69085.0,3427.0,14237.0,0.0,23980.0,,74201.0,178.0,,0.0,,,,21.0,,566.0,0.0,,,164.0,23378.0,0.0,,100156.0,20744.0,0.0,12978.0,25092.0,,,2.0,25955.0,0.0,,0.0,,,0.0,,,,,,0.0,74201.0,40000.0,0.0,,2171.0,0.0,0.0,,,
2003-09-30,100486.0,69323.0,7058.0,13338.0,0.0,25473.0,,74089.0,157.0,,0.0,,,,21.0,,566.0,0.0,,,164.0,23417.0,0.0,,100484.0,21336.0,0.0,12642.0,21197.0,,,2.0,26397.0,0.0,,0.0,,,0.0,,,,,,0.0,74089.0,40000.0,0.0,,2100.0,0.0,0.0,,,
2003-12-31,109176.0,77912.0,2362.0,18913.0,0.00012637,24780.0,,77747.0,135.0,,0.0,,,,22.0,,566.0,0.0,,,42.0,23818.0,0.0,,109178.0,26390.0,0.0,15026.0,30302.0,,,2650.0,31429.0,0.0,,0.0,,,0.0,,,,,,0.0,77747.0,40000.0,0.0,,1420.0,0.0,0.0,,,
2004-03-31,105637.0,73651.0,1856.0,16263.0,0.0,26998.0,,78451.0,340.0,,0.0,,,,22.0,,633.0,0.0,,,42.0,24670.0,0.0,,105637.0,21719.0,0.0,14762.0,26220.0,,,2650.0,27186.0,0.0,,0.0,,,0.0,,,,,,0.0,78451.0,40000.0,0.0,,1974.0,0.0,0.0,,,
2004-06-30,112843.0,74196.0,1512.0,8308.0,0.0,28801.0,,82574.0,286.0,,0.0,,,,25.0,,566.0,0.0,,,5624.0,25904.0,0.0,,112845.0,24059.0,0.0,15029.0,32129.0,,,2.0,30269.0,0.0,,0.0,,,0.0,,,,,,0.0,82574.0,40000.0,0.0,,3160.0,0.0,0.0,,,
2004-09-30,117427.0,76891.0,1624.0,7666.0,0.0,30833.0,,85728.0,273.0,,0.0,,,,487.0,,566.0,0.0,,,6521.0,26545.0,0.0,,117429.0,25644.0,0.0,15706.0,30820.0,,,2.0,31699.0,0.0,,0.0,,,0.0,,,,,,0.0,85728.0,40000.0,0.0,,5675.0,0.0,0.0,,,
2004-12-31,122728.0,88818.0,4081.0,13128.0,0.00040835,26317.0,,86227.0,120.0,,0.0,,,,0.0,,566.0,0.0,,,0.0,26633.0,0.0,,122728.0,30449.0,0.0,13269.0,41842.0,,,7234.0,36501.0,0.0,,0.0,,,0.0,,,,,,0.0,86227.0,40000.0,0.0,,3330.0,0.0,0.0,,,
2005-03-31,117723.0,83778.0,2916.0,18848.0,0.0,22715.0,,86292.0,228.0,,0.0,,,,0.0,,573.0,0.0,,,0.0,26837.0,0.0,,117724.0,26480.0,0.0,13210.0,35991.0,,,7234.0,31431.0,0.0,,0.0,,,0.0,,,,,,0.0,86292.0,40000.0,0.0,,3080.0,0.0,0.0,,,
2005-06-30,119142.0,85459.0,2605.0,20330.0,0.0,24408.0,,90930.0,224.0,,0.0,,,,0.0,,573.0,0.0,,,0.0,26677.0,0.0,,119141.0,23205.0,0.0,15811.0,35308.0,,,9.0,28212.0,0.0,,0.0,,,0.0,,,,,,0.0,90930.0,49872.0,0.0,,2584.0,0.0,0.0,,,
2005-09-30,118913.0,85548.0,2886.0,25313.0,0.0,24788.0,,92540.0,324.0,,0.0,,,,0.0,,573.0,0.0,,,0.0,26482.0,0.0,,118915.0,21405.0,0.0,15273.0,30304.0,,,8.0,26373.0,0.0,,0.0,,,0.0,,,,,,0.0,92540.0,50000.0,0.0,,1933.0,0.0,0.0,,,
2005-12-31,132712.0,99665.0,6077.0,29971.0,0.00051574,23966.0,,91502.0,128.0,,0.0,,,,0.0,,566.0,0.0,,,188.0,26424.0,0.0,,132712.0,36342.0,0.0,17447.0,36627.0,,,8443.0,41210.0,0.0,,0.0,,,0.0,,,,,,0.0,91502.0,50000.0,0.0,,2896.0,0.0,0.0,,,
2006-03-31,128635.0,95624.0,2547.0,35240.0,0.0,24498.0,,93121.0,180.0,,0.0,,,,0.0,,573.0,0.0,,,0.0,26279.0,0.0,,128635.0,30651.0,0.0,16437.0,31465.0,,,8443.0,35514.0,0.0,,0.0,,,0.0,,,,,,0.0,93121.0,50000.0,0.0,,1694.0,0.0,0.0,,,
2006-06-30,130342.0,97329.0,2404.0,33869.0,0.0,23692.0,,100746.0,157.0,,0.0,,,,0.0,,573.0,0.0,,,0.0,26403.0,0.0,,130342.0,24726.0,0.0,16620.0,35764.0,,,61.0,29596.0,0.0,,0.0,,,0.0,,,,,,0.0,100746.0,60000.0,0.0,,1443.0,0.0,0.0,,,
2006-09-30,133709.0,100211.0,2964.0,37816.0,0.0,24178.0,,103119.0,316.0,,0.0,,,,0.0,,573.0,0.0,,,0.0,27291.0,0.0,,133710.0,25718.0,0.0,17025.0,31662.0,,,60.0,30590.0,0.0,,0.0,,,0.0,,,,,,0.0,103119.0,60000.0,0.0,,3275.0,0.0,0.0,,,
2006-12-31,147731.0,117546.0,4460.0,40656.0,0.00032172,25794.0,,105331.0,373.0,,0.0,,,,0.0,,573.0,0.0,,,0.0,28292.0,0.0,,147733.0,42284.0,0.0,20760.0,44666.0,,,6959.0,42400.0,0.0,,0.0,,,0.0,,,,,,0.0,105331.0,60000.0,0.0,,1597.0,0.0,0.0,,,
2007-03-31,144954.0,114120.0,2533.0,40985.0,0.0,28974.0,,108737.0,468.0,,0.0,,,,0.0,,573.0,0.0,,,0.0,19512.0,0.0,,144954.0,35789.0,0.0,20381.0,39990.0,,,7266.0,36217.0,0.0,,0.0,,,0.0,,,,,,0.0,108737.0,60000.0,0.0,,1170.0,0.0,0.0,,,
2007-06-30,151473.0,120564.0,1954.0,42424.0,0.0,27266.0,,119535.0,526.0,,0.0,,,,0.0,,573.0,0.0,,,0.0,28305.0,0.0,,151473.0,31517.0,0.0,20557.0,47156.0,,,0.0,31938.0,0.0,,0.0,,,0.0,,,,,,0.0,119535.0,66000.0,0.0,,1238.0,0.0,0.0,,,
2007-09-30,159864.0,127376.0,3334.0,48552.0,0.0,29603.0,,123634.0,371.0,,0.0,,,,0.0,,573.0,0.0,,,0.0,18773.0,0.0,,159864.0,35829.0,0.0,25324.0,43832.0,,,0.0,36230.0,0.0,,0.0,,,0.0,,,,,,0.0,123634.0,66000.0,0.0,,1684.0,0.0,0.0,,,
2007-12-31,177104.0,142785.0,5921.0,46417.0,0.00033535,32573.0,,125899.0,367.0,,0.0,,,,0.0,,573.0,0.0,,,0.0,29910.0,0.0,,177104.0,50828.0,0.0,26434.0,55806.0,,,9226.0,51205.0,0.0,,0.0,,,0.0,,,,,,0.0,125899.0,66000.0,0.0,,1701.0,0.0,0.0,,,
2008-03-31,175397.0,141301.0,2934.0,45227.0,0.0,37436.0,,132001.0,560.0,,0.0,,,,0.0,,573.0,0.0,,,0.0,31160.0,27.0,,175397.0,42907.0,0.0,24242.0,51826.0,,,6239.0,43396.0,0.0,,0.0,,,0.0,,,,,,0.0,132001.0,66000.0,0.0,,3318.0,0.0,0.0,,,
2008-06-30,180460.0,145158.0,4026.0,41508.0,0.0,35906.0,,141658.0,1560.0,,0.0,,,,688.0,,573.0,0.0,,,0.0,31703.0,27.0,,180457.0,38477.0,0.0,22945.0,57871.0,,,40.0,38802.0,0.0,,0.0,,,0.0,,,,,,0.0,141658.0,66000.0,0.0,,4287.0,0.0,0.0,,,
2008-09-30,178726.0,142275.0,4412.0,46780.0,0.0,37935.0,,147006.0,1560.0,,0.0,,,,895.0,,573.0,0.0,,,0.0,32596.0,27.0,,178727.0,30563.0,0.0,19996.0,48841.0,,,40.0,31720.0,0.0,,0.0,,,0.0,,,,,,0.0,147006.0,66000.0,0.0,,2747.0,0.0,0.0,,,
2008-12-31,199373.0,152278.0,5201.0,46416.0,0.00033654,38025.0,,145447.0,2026.0,,0.0,,,,923.0,,573.0,0.0,,,10357.0,36187.0,31.0,,199375.0,52769.0,0.0,24408.0,58765.0,,,7704.0,53926.0,0.0,,0.0,,,0.0,,,,,,0.0,145447.0,66000.0,0.0,,1845.0,0.0,-2572.0,,,
2009-03-31,193756.0,146831.0,3861.0,47059.0,0.0,44341.0,,149066.0,1837.0,,0.0,,,,948.0,,573.0,0.0,,,10357.0,36074.0,31.0,,193758.0,43541.0,0.0,23630.0,49116.0,,,7704.0,44690.0,0.0,,0.0,,,0.0,,,,,,0.0,149066.0,66000.0,0.0,,617.0,0.0,-2593.0,,,
2009-06-30,196343.0,152315.0,4603.0,52474.0,0.0,36732.0,,161236.0,1721.0,,0.0,,,,565.0,,578.0,0.0,,,5569.0,36449.0,31.0,,196343.0,34373.0,1.877,19674.0,56285.0,,,9.0,35107.0,0.0,,0.0,,,0.0,,,,,,0.0,161236.0,85384.0,0.0,,500.0,0.0,521.0,,,
