,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1,Receita Bruta de Vendas e/ou Serviços,Deduções da Receita Bruta,Receita Líquida de Vendas e/ou Serviços,Custo de Bens e/ou Serviços Vendidos,Resultado Bruto,Despesas Com Vendas,Despesas Gerais e Administrativas,Perdas pela Não Recuperabilidade de Ativos ,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Financeiras,Receitas Financeiras,Despesas Financeiras,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores,Lucro/Prejuízo do Período
2008-03-31,1801352.0,192334.0,2811.0,0.0,2598200.0,,,10315.0,,0.0,739902.0,,,,83513.0,,,663225.0,,,0.0,2439308.0,0.0,,2598200.0,68602.0,,285.0,0.0,928.0,,0.0,0.0,,,0.0,30717.0,,550516.0,158892.0,,185243.0,,,0.0,0.0,0.0,22066.0,,-21818.0,,,,0.0,,,,0.0,0.0,192334.0,,0.0,,,11021.0,9354.0,315629.0,127459.0,678.0,,,,0.0,0.0,0.0,,,42728.0,604178.0
2008-06-30,1108000.0,214000.0,3000.0,0.0,1837000.0,,,-17616.0,,0.0,747247.0,,,,83000.0,,,669400.0,,,0.0,1679000.0,0.0,,1837000.0,57000.0,,0.0,0.00018721999999999999,1000.0,,0.0,0.0,,,0.0,55831.0,,568000.0,158000.0,,202225.0,,,0.0,0.0,0.0,25661.0,,-9805.0,,,,0.0,,,,0.0,0.0,214000.0,,0.0,,,9000.0,14000.0,118034.0,40000.0,371.0,,,,0.0,0.0,0.0,,,60000.0,246511.0
2008-12-31,1460245.0,213295.0,1072157.0,0.0,2532524.0,,,-53200.0,,0.0,922374.0,,,,626667.0,,,822534.0,,,0.0,1830478.0,0.0,,2532524.0,391463.0,,174.0,1.2640000000000001e-05,401.0,,0.0,0.0,,,0.0,93971.0,,722678.0,702046.0,,255710.0,,,0.0,0.0,0.0,27798.0,,-5502.0,,,,0.0,,,,0.0,0.0,213295.0,,0.0,,,162943.0,10829.0,184415.0,69841.0,-42.0,,,,0.0,0.0,0.0,,,96604.0,197830.0
2009-03-31,1270941.0,206881.0,4519.0,0.0,1913334.0,,,-23600.0,,0.0,881610.0,,,,83682.0,,,791292.0,,,0.0,1754273.0,0.0,,1913334.0,68208.0,,12.0,0.00012264,258.0,,0.0,0.0,,,0.0,40490.0,,811757.0,159061.0,,212176.0,,,0.0,0.0,0.0,28124.0,,0.0,,,,0.0,,,,-460830.0,16198.0,0.0,,0.0,,,694341.0,12435.0,211581.0,47031.0,0.0,,,,-445.0,0.0,0.0,,,44712.0,333199.0
2009-06-30,1297084.0,226655.0,1813.0,0.0,1888225.0,,,-18184.0,,0.0,914423.0,,,,120163.0,,,817843.0,,,0.0,1692683.0,0.0,,1888225.0,68301.0,,1138.0,0.00012167,0.0,,0.0,0.0,,,0.0,47952.0,,716069.0,195542.0,,228412.0,,,0.0,0.0,0.0,33958.0,,0.0,,,,0.0,,,,-488607.0,16974.0,0.0,,0.0,,,681038.0,13308.0,205013.0,44751.0,0.0,,,,-386.0,0.0,0.0,,,103820.0,364814.0
2009-09-30,1469403.0,264748.0,360695.0,0.0,2051257.0,,,-16120.0,,0.0,972265.0,,,,518516.0,,,867675.0,,,0.0,1457362.0,0.0,,2051257.0,66637.0,,131.0,0.0,0.0,,0.0,0.0,,,0.0,63220.0,,761684.0,593895.0,,244324.0,,,0.0,0.0,0.0,34944.0,,0.0,,,,0.0,,,,-513534.0,17051.0,0.0,,0.0,,,846092.0,11124.0,218239.0,42106.0,0.0,,,,-495.0,0.0,0.0,,,96480.0,396671.0
2009-12-31,2490947.0719999997,1919656.96,510241.984,0.0,1403527.936,0.0,0.0,0.0,0.0,5887.0,203723.008,0.0,0.0,203723.008,0.0,0.0,0.0,0.0,0.0,0.0,29081.0,288176.0,50310.0,0.0,2490947.0719999997,1538845.0559999999,0.0,114043.0,416660.0,0.0,0.0,105365.0,902777.0240000001,0.0,0.0,91673.0,0.0,0.0,42445.0,0.0,0.0,49228.0,0.0,0.0,0.0,860428.9920000001,75379.0,3077.0,0.0,781972.9920000001,0.0,0.0,0.0,0.0,0.0,1058428.16,-101063.04,957364.7359999999,-225785.984,731579.0079999999,0.0,-141553.984,0.0,0.0,0.0,0.0,66573.008,121755.008,-55182.0,0.0,0.0,0.0,656597.8879999999,-215742.016,-1746.0,0.0,0.0,0.0,439110.016
2010-03-31,2812974.08,1727740.032,171456.0,0.0,1542755.968,0.0,0.0,0.0,0.0,13528.0,710748.032,0.0,0.0,710748.032,0.0,0.0,0.0,0.0,0.0,0.0,12.0,313404.0,61070.0,0.0,2812974.08,1588209.024,0.0,159720.992,174248.0,0.0,0.0,0.0,1254240.0,0.0,0.0,535024.0,0.0,0.0,2708.0,0.0,0.0,532316.0,0.0,0.0,0.0,689740.9920000001,75379.0,5692.0,0.0,15076.0,593593.9839999999,0.0,0.0,0.0,0.0,1061534.976,-108426.0,953108.9920000001,-251658.0,701451.0079999999,0.0,-99246.0,0.0,0.0,0.0,0.0,79697.0,97595.0,-17898.0,0.0,0.0,0.0,681902.016,-239200.0,-2489.0,0.0,0.0,0.0,440212.992
2010-06-30,3177783.04,2040958.976,211040.992,0.0,1823005.9519999998,0.0,0.0,0.0,0.0,6912.0,752369.0240000001,0.0,0.0,752369.0240000001,0.0,0.0,0.0,0.0,0.0,0.0,12.0,326742.016,57701.0,0.0,3177783.04,1463675.0080000001,0.0,125415.0,266654.0,0.0,0.0,0.0,1071606.0159999998,0.0,0.0,567033.024,0.0,0.0,3992.0,0.0,0.0,563041.024,0.0,0.0,0.0,1147074.9440000001,100000.0,5306.0,0.0,163836.0,877932.9920000001,0.0,0.0,0.0,0.0,1081645.952,-111556.0,970089.984,-257459.008,712630.9759999999,0.0,-102573.0,0.0,0.0,0.0,0.0,77105.0,109893.0,-32788.0,0.0,0.0,0.0,687163.0079999999,-238950.0,9507.0,0.0,0.0,0.0,457720.0
2010-09-30,3549425.92,2358670.08,245816.0,0.0,2105769.984,0.0,0.0,0.0,0.0,7084.0,705430.016,0.0,0.0,705430.016,0.0,0.0,0.0,0.0,0.0,0.0,12.0,374995.008,110319.0,0.0,3549425.92,2166300.9280000003,0.0,176856.0,334518.016,0.0,0.0,0.0,1654926.976,0.0,0.0,529920.9920000001,0.0,0.0,30450.0,0.0,0.0,499471.008,0.0,0.0,2710.0,850494.016,100000.0,10807.0,0.0,163836.0,575851.0079999999,0.0,0.0,0.0,0.0,1156425.9840000002,-125362.0,1031064.0,-317062.016,714001.984,0.0,-108827.0,0.0,0.0,0.0,0.0,111215.0,127550.0,-16335.0,0.0,0.0,0.0,716390.016,-241343.008,13430.0,0.0,0.0,-419.0,488057.984
