,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2000-12-31,2542404000.0,350308000.0,33496000.0,,219655000.0,10267000.0,,59281000.0,,43309000.0,2320000.0,,0.0,,189138000.0,,,40063000.0,,-21050000.0,0.0,1208511000.0,0.0,,2542404000.0,542646000.0,0.0,222426000.0,40571000.0,0.0,1103000.0,-578077000.0,4945000.0,10418000.0,,0.0,88874000.0,,359041000.0,0.0,,317373000.0,,,,1146186000.0,240705000.0,88874000.0,,1014000.0,1146186000.0,26791000.0,,,
2001-03-31,2595631000.0,378080000.0,30395000.0,,243181000.0,12406000.0,,60664000.0,,43246000.0,2518000.0,,0.0,,190431000.0,,,41982000.0,,-26678000.0,0.0,1211179000.0,0.0,,2595631000.0,573173000.0,0.0,242218000.0,38210000.0,0.0,1103000.0,-592333000.0,0.0,8451000.0,,0.0,90327000.0,,363198000.0,0.0,,322205000.0,,,,1158002000.0,269859000.0,90327000.0,,0.0,1158002000.0,30705000.0,,,
2001-06-30,2634187000.0,357846000.0,47573000.0,,226080000.0,9666000.0,,48732000.0,,38835000.0,2622000.0,,0.0,,189036000.0,,,42753000.0,,-24879000.0,0.0,1227346000.0,0.0,,2634187000.0,603066000.0,0.0,259733000.0,34719000.0,0.0,92000.0,-607494000.0,0.0,9790000.0,,0.0,91981000.0,,374607000.0,0.0,,327021000.0,,,,1156415000.0,250959000.0,91981000.0,,0.0,1156415000.0,25582000.0,,,
2001-09-30,2727354000.0,396256000.0,37528000.0,,268391000.0,10537000.0,,53433000.0,,56789000.0,2807000.0,,0.0,,195063000.0,,,46108000.0,,-25893000.0,0.0,1236167000.0,0.0,,2727354000.0,705160000.0,0.0,284923000.0,34369000.0,0.0,92000.0,-623075000.0,0.0,15531000.0,,0.0,95265000.0,,382184000.0,0.0,,328644000.0,,,,1137793000.0,294284000.0,95265000.0,,0.0,1137793000.0,26260000.0,,,
2001-12-31,2770087000.0,979279000.0,27834000.0,,278371000.0,10363000.0,,474361000.0,,60716000.0,23793000.0,,0.0,,181703000.0,,,209517000.0,,-36511000.0,0.0,1238212000.0,0.0,,2770087000.0,659297000.0,0.0,328620000.0,32174000.0,14204000.0,92000.0,0.0,10986000.0,34436000.0,,0.0,182300000.0,,402122000.0,0.0,,523749000.0,,,,925184000.0,314882000.0,182300000.0,,0.0,925184000.0,71797000.0,,,
2002-03-31,2962593000.0,495853000.0,48286000.0,,298939000.0,7133000.0,,57237000.0,,62971000.0,7711000.0,,0.0,,196078000.0,,,48752000.0,,-29148000.0,0.0,1240522000.0,0.0,,2962593000.0,658156000.0,0.0,330000000.0,31270000.0,9861000.0,3000.0,0.0,10986000.0,32757000.0,,0.0,172504000.0,,415816000.0,0.0,,529007000.0,,,,1112286000.0,328087000.0,172504000.0,,0.0,1112286000.0,84258000.0,,,
2002-06-30,3001513000.0,506294000.0,45281000.0,,297905000.0,8651000.0,,64469000.0,,65192000.0,8016000.0,,0.0,,195510000.0,,,48493000.0,,-31723000.0,0.0,1247283000.0,0.0,,3001513000.0,663810000.0,0.0,325527000.0,32453000.0,5518000.0,3000.0,-667857000.0,10986000.0,32321000.0,,0.0,176957000.0,,417140000.0,0.0,,545233000.0,,,,1123192000.0,329628000.0,176957000.0,,0.0,1123192000.0,82816000.0,,,
2002-09-30,2714561000.0,879487000.0,61503000.0,,328980000.0,10175000.0,,61222000.0,,55860000.0,8924000.0,,0.0,,197218000.0,,,44382000.0,,-39763000.0,0.0,1247346000.0,0.0,,2714561000.0,654756000.0,0.0,349752000.0,25088000.0,1175000.0,3000.0,-683236000.0,10986000.0,8584000.0,,0.0,186352000.0,,267057000.0,0.0,,561847000.0,,,,970582000.0,368743000.0,186352000.0,,0.0,970582000.0,417440000.0,,,
2002-12-31,2419968000.0,590281000.0,80920000.0,,348472000.0,11393000.0,,19108000.0,,9970000.0,27700000.0,,0.0,,185022000.0,,,343805000.0,,-56424000.0,0.0,1044001000.0,0.0,,2419968000.0,543422000.0,0.0,351819000.0,14616000.0,0.0,3000.0,0.0,0.0,0.0,,0.0,135442000.0,,387034000.0,0.0,,596426000.0,,,,637587000.0,404896000.0,135442000.0,,0.0,637587000.0,62109000.0,,,
2003-03-31,2695953000.0,620341000.0,67127000.0,,406370000.0,11469000.0,,84277000.0,,72827000.0,52342000.0,,0.0,,186037000.0,,,340083000.0,,-47515000.0,0.0,1249003000.0,0.0,,2695953000.0,537571000.0,0.0,306529000.0,15887000.0,0.0,3000.0,-715636000.0,0.0,10004000.0,,0.0,50329000.0,,276671000.0,0.0,,1048143000.0,,,,663252000.0,453885000.0,50329000.0,,0.0,663252000.0,40774000.0,,,
