,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1,Receita Bruta de Vendas e/ou Serviços,Deduções da Receita Bruta,Receita Líquida de Vendas e/ou Serviços,Custo de Bens e/ou Serviços Vendidos,Resultado Bruto,Despesas Com Vendas,Despesas Gerais e Administrativas,Perdas pela Não Recuperabilidade de Ativos ,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Financeiras,Receitas Financeiras,Despesas Financeiras,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores,Lucro/Prejuízo do Período
1999-12-31,11470945.0,742857.0,69066.0,0.0,0.0,13688.0,,85275.0,0.0,0.0,223302.0,,,0.0,0.0,,,0.0,170076.0,,443108.0,0.0,0.0,,11470945.0,1577444.0,0.0,219646.0,184448.0,442551.0,0.0,634007.0,36015.0,,0.0,0.0,1038739.0,,0.0,0.0,,1156593.0,,,0.0,7588983.0,0.00013474,0.0,,0.0,115449.0,27123.0,,,,,,820830.0,0.0,0.00013474,0.0,160952.0,,0.0,0.0,0.0,263.0,16843.0,0.0,,,,1328.0,1038739.0,0.0,,,0.0,1328.0
2000-03-31,11574933.0,889275.0,219887.0,0.0,0.0,19124.0,,63076.0,0.0,0.0,119754.0,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,11574933.0,1573784.0,0.0,179161.0,679368.0,443807.0,0.0,549114.0,0.0,,0.0,0.0,1068559.0,,0.0,12162.0,,1158979.0,,,0.0,7671339.0,6.472e-05,0.0,,0.0,0.0,0.0,,,,,,814023.0,0.0,6.472e-05,0.0,226313.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,133047.0,1068559.0,0.0,,,0.0,133047.0
2000-06-30,11611755.0,932315.0,105162.0,153708.0,0.0,12895.0,,82433.0,0.0,0.0,127649.0,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,11611755.0,1659633.0,0.0,17573.0,684733.0,195686.0,0.0,785914.0,353179.0,,0.0,0.0,1061378.0,,0.0,0.0,,1181588.0,,,0.0,7620017.0,0.00010662,0.0,,0.0,0.0,27123.0,,,,,,855976.0,0.0,0.00010662,0.0,148949.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,-74213.0,1061378.0,0.0,,,0.0,-74213.0
2000-09-30,11875941.0,1184464.0,419120.0,0.0,0.0,12746.0,,66556.0,0.0,0.0,105737.0,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,11875941.0,1777722.0,0.0,220929.0,783781.0,409701.0,0.0,564366.0,0.0,,0.0,0.0,1077829.0,,0.0,13849.0,,1219631.0,,,0.0,7726641.0,8.332000000000001e-05,0.0,,0.0,0.0,0.0,,,,,,996444.0,0.0,8.332000000000001e-05,0.0,239715.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,161186.0,1077829.0,0.0,,,0.0,161186.0
2001-03-31,12803999.0,1476532.0,120632.0,373856.0,0.0,10966.0,,95492.0,0.0,0.0,512534.0,,,0.0,0.0,,,0.0,0.0,,577593.0,0.0,0.0,,12803999.0,1893193.0,0.0,211791.0,140415.0,660152.0,0.0,472388.0,22288.0,,0.0,0.0,1205578.0,,0.0,0.0,,1375901.0,,,0.0,6632971.0,-9.83e-06,0.0,,1721675.0,126098.0,27123.0,,,,,,960068.0,0.0,-9.83e-06,0.0,177321.0,,0.0,0.0,0.0,-22734.0,-6349.0,0.0,,,,-18720.0,1205578.0,0.0,,,-139.0,-18720.0
2001-06-30,12954667.0,1564327.0,121636.0,459061.0,0.0,12474.0,,99742.0,0.0,0.0,502943.0,,,0.0,0.0,,,0.0,0.0,,579409.0,0.0,0.0,,12954667.0,1950390.0,0.0,296048.0,122449.0,677383.0,0.0,400882.0,10949.0,,0.0,0.0,1212683.0,,0.0,0.0,,1445517.0,,,0.0,6730238.0,2.095e-05,0.0,,1695851.0,127446.0,97728.0,,,,,,1037228.0,0.0,2.095e-05,0.0,176669.0,,0.0,0.0,0.0,-3747.0,21247.0,0.0,,,,48062.0,1212683.0,0.0,,,-152.0,48062.0
2001-09-30,12918804.0,1297621.0,484564.0,0.0,0.0,10562.0,,122602.0,0.0,0.0,592754.0,,,0.0,0.0,,,0.0,0.0,,582861.0,0.0,0.0,,12918804.0,1967698.0,0.0,298405.0,238078.0,779147.0,0.0,303265.0,15009.0,,0.0,0.0,1369166.0,,0.0,0.0,,1601196.0,,,0.0,6450860.0,-0.00016405999999999997,0.0,,1707923.0,130261.0,27123.0,,,,,,853727.0,0.0,-0.00016405999999999997,0.0,164810.0,,0.0,0.0,0.0,-35064.0,-100666.0,0.0,,,,-309325.0,1369166.0,0.0,,,-114.0,-309325.0
2001-12-31,13215471.0,1690574.0,696088.0,0.0,0.0,11599.0,,367238.0,0.0,15317.0,2999874.0,,,0.0,0.0,,,0.0,111649.0,,468423.0,0.0,0.0,,13215471.0,1776150.0,0.0,550520.0,55136.0,332317.0,0.0,336912.0,0.0,,0.0,0.0,2049606.0,,0.0,0.0,,334853.0,,,15317.0,6902056.0,0.00052851,0.0,,1701868.0,132543.0,27123.0,,,,,,2001348.0,0.0,0.00052851,0.0,213378.0,,0.0,1740.0,0.0,-28366.0,314784.0,0.0,,,,884464.0,2049606.0,0.0,,,-131.0,884464.0
2002-03-31,13606695.0,1606346.0,605800.0,0.0,0.0,12788.0,,340679.0,0.0,15554.0,3354753.0,,,0.0,0.0,,,0.0,0.0,,562683.0,0.0,0.0,,13606695.0,1947594.0,0.0,614158.0,-30314.0,370574.0,0.0,315200.0,0.0,,0.0,0.0,1960827.0,,0.0,0.0,,463681.0,,,15554.0,7122003.0,0.00017284000000000003,0.0,,1714412.0,132423.0,27123.0,,,,,,1238804.0,0.0,0.00017284000000000003,0.0,334693.0,,0.0,0.0,0.0,-6977.0,115280.0,0.0,,,,335359.0,1960827.0,0.0,,,-132.0,335359.0
2002-06-30,13114731.0,1717668.0,424313.0,0.0,0.0,14559.0,,380297.0,0.0,36436.0,2433578.0,,,0.0,0.0,,,0.0,0.0,,605606.0,0.0,0.0,,13114731.0,2276586.0,0.0,684159.0,412403.0,437927.0,0.0,398670.0,0.0,,0.0,0.0,2324465.0,,0.0,0.0,,505039.0,,,36436.0,5887520.0,-0.0008589600000000001,0.0,,1726721.0,138420.0,27123.0,,,,,,1042546.0,0.0,-0.0008589600000000001,0.0,428418.0,,0.0,0.0,0.0,-1052195.0,-92920.0,0.0,,,,-1336450.0,2324465.0,0.0,,,8787.0,-1336450.0
