,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2001-12-31,8144.0,2774.0,50.0,0.0,508.0,2200.0,,,0.0,16.0,6756.0,,,,,,,,17.0,9930.0,-1786.0,4120.0,0.0,,8144.0,3174.0,4120.0,0.0,0.0,,,0.0,-1191.0,-1786.0,,0.0,,,,,,-0.05143897,1861.0,,,-17094.0,23.15,,,,157.0,,,,
2002-03-31,8062.0,2800.0,42.0,0.0,530.0,2200.0,,,0.0,28.0,6755.0,,,,,,,,15.0,9923.0,-1861.0,4015.0,0.0,,8062.0,3168.0,4015.0,0.0,0.0,,,0.0,-74.0,-1861.0,,0.0,,,,,,-0.00319604,146.0,,,-17169.0,23.15,,,,346.0,,,,
2002-06-30,8003.0,2848.0,135.0,0.0,480.0,2200.0,,,0.0,33.0,6754.0,,,,,,,,18.0,9927.0,-1924.0,3908.0,0.0,,8003.0,3173.0,3908.0,0.0,0.0,,,0.0,-62.0,-1924.0,,0.0,,,,,,-0.00267776,186.0,,,-17232.0,23.15,,,,354.0,,,,
2002-09-30,8038.0,2989.0,371.0,0.0,448.0,2135.0,,,0.0,35.0,7177.0,,,,,,,,24.0,10362.0,-2324.0,3804.0,0.0,,8038.0,3185.0,3804.0,0.0,0.0,,,0.0,-401.0,-2324.0,,0.0,,,,,,-0.01731908,717.0,,,-17632.0,23.15,,,,507.0,,,,
2002-12-31,7755.0,2803.0,110.0,429.0,499.0,1724.0,,,0.0,41.0,7320.0,,,,,,,,26.0,10514.0,-2759.0,3707.0,0.0,,7755.0,3194.0,3707.0,0.0,0.0,,,11.0,-436.0,-2759.0,,0.0,,,,,,-0.01883072,1476.0,,,-18067.0,23.15,,,,260.0,,,,
2003-03-31,7687.0,2810.0,558.0,0.0,482.0,1724.0,,,0.0,46.0,7319.0,,,,,,,,40.0,10518.0,-2831.0,3635.0,0.0,,7687.0,3199.0,3635.0,0.0,0.0,,,0.0,-74.0,-2831.0,,0.0,,,,,,-0.00319604,191.0,,,-18139.0,23.15,,,,421.0,,,,
2003-06-30,7528.0,2729.0,460.0,0.0,488.0,1724.0,,,0.0,57.0,7645.0,,,,,,,,39.0,10854.0,-3326.0,3561.0,0.0,,7528.0,3209.0,3561.0,0.0,0.0,,,0.0,-495.0,-3326.0,,0.0,,,,,,-0.02137892,612.0,,,-18634.0,23.15,,,,619.0,,,,
2003-09-30,7418.0,2722.0,432.0,0.0,515.0,1715.0,,,0.0,60.0,7816.0,,,,,,,,49.0,11036.0,-3618.0,3456.0,0.0,,7418.0,3220.0,3456.0,0.0,0.0,,,2.0,-291.0,-3618.0,,0.0,,,,,,-0.01256821,438.0,,,-18926.0,23.15,,,,390.0,,,,
2004-03-31,7123.0,2640.0,83.0,460.0,325.0,1630.0,,,0.0,142.0,8120.0,,,,,,,,43.0,11329.0,-4206.0,3244.0,0.0,,7123.0,3209.0,3244.0,0.0,0.0,,,3.0,-220.0,-4206.0,,0.0,,,,,,-0.00950174,366.0,,,-19514.0,23.15,,,,291.0,,,,
2009-09-30,10191.0,864.0,0.0,0.0,487.0,375.0,0.0,0.0,0.0,2.0,1437.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1437.0,0.0,2968.0,4905.0,17.0,0.0,10191.0,439.0,0.0,98.0,39.0,0.0,0.0,250.0,0.0,52.0,0.0,10777.0,0.0,550.0,34.0,0.0,0.0,10193.0,0.0,0.0,0.0,-1025.0,10.0,0.0,0.0,2.0,-1037.0,0.0,0.0,0.0,0.0
2009-12-31,10687.0,4554.0,801.0,0.0,2083.0,1092.0,0.0,0.0,0.0,578.0,577.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,490.0,87.0,541.0,4930.0,85.0,0.0,10687.0,1507.0,0.0,164.0,55.0,7.0,0.0,250.0,986.0,45.0,0.0,10875.0,0.0,228.0,0.0,0.0,0.0,10647.0,0.0,0.0,0.0,-1695.0,10.0,0.0,0.0,2.0,-1707.0,0.0,0.0,0.0,0.0
2010-03-31,20220.0,10793.0,2065.0,0.0,8353.0,375.0,0.0,0.0,0.0,0.0,1541.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1436.0,105.0,2949.0,4920.0,17.0,0.0,20220.0,1415.0,0.0,262.0,191.0,48.0,0.0,250.0,583.0,81.0,0.0,11155.0,0.0,820.0,18.0,0.0,0.0,10317.0,0.0,7606.0,0.0,44.0,10.0,0.0,0.0,2.0,32.0,0.0,0.0,0.0,0.0
2010-06-30,21713.0,12322.0,4647.0,0.0,7300.0,375.0,0.0,0.0,0.0,0.0,1623.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1393.0,230.0,2905.0,4846.0,17.0,0.0,21713.0,946.0,0.0,164.0,260.0,156.0,0.0,250.0,21.0,95.0,0.0,11416.0,0.0,1008.0,0.0,0.0,0.0,10408.0,0.0,6500.0,0.0,2851.0,10.0,0.0,0.0,2.0,2839.0,0.0,0.0,0.0,0.0
2010-09-30,20268.0,10913.0,7252.0,0.0,3286.0,375.0,0.0,0.0,0.0,0.0,1475.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1261.0,214.0,3092.0,4771.0,17.0,0.0,20268.0,3283.0,0.0,320.0,230.0,424.0,0.0,0.0,2180.0,129.0,0.0,11851.0,0.0,1339.0,2.0,0.0,0.0,10510.0,0.0,0.0,0.0,5134.0,10.0,0.0,0.0,252.0,4872.0,0.0,0.0,0.0,0.0
2010-12-31,21293.0,19287.0,2096.0,7218.0,3881.0,5336.0,0.0,0.0,0.0,756.0,763.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,498.0,265.0,349.0,809.0,85.0,0.0,21293.0,1410.0,418.0,190.0,0.0,325.0,6.0,471.0,0.0,0.0,0.0,11126.0,0.0,11126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8757.0,1424.0,0.0,0.0,7333.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,22656.0,20670.0,841.0,9304.0,4377.0,5336.0,0.0,0.0,0.0,812.0,771.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,271.0,349.0,781.0,85.0,0.0,22656.0,3181.0,182.0,267.0,0.0,312.0,0.0,471.0,0.0,1949.0,0.0,11168.0,0.0,11168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8307.0,1423.0,0.0,0.0,7333.0,-449.0,0.0,0.0,0.0,0.0
2011-06-30,22780.0,19092.0,560.0,9409.0,2345.0,6193.0,0.0,0.0,0.0,585.0,2575.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2040.0,535.0,350.0,741.0,22.0,0.0,22780.0,2701.0,127.0,135.0,0.0,228.0,1.0,170.0,0.0,2040.0,0.0,11319.0,0.0,148.0,0.0,0.0,0.0,11171.0,0.0,0.0,0.0,8760.0,1423.0,0.0,0.0,7333.0,4.0,0.0,0.0,0.0,0.0
2011-09-30,22319.0,18498.0,83.0,9830.0,975.0,7113.0,0.0,0.0,0.0,497.0,2578.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2355.0,223.0,349.0,873.0,21.0,0.0,22319.0,1259.0,232.0,110.0,0.0,222.0,590.0,105.0,0.0,0.0,0.0,11246.0,0.0,0.0,0.0,0.0,0.0,11246.0,0.0,0.0,0.0,9814.0,1424.0,0.0,0.0,7333.0,1057.0,0.0,0.0,0.0,0.0
2011-12-31,21449.0,19622.0,118.0,8809.0,2453.0,5158.0,0.0,0.0,0.0,3084.0,539.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317.0,222.0,349.0,917.0,22.0,0.0,21449.0,641.0,163.0,82.0,0.0,148.0,49.0,199.0,0.0,0.0,0.0,11323.0,0.0,11323.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9485.0,1424.0,0.0,0.0,8061.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,22213.0,20348.0,218.0,7065.0,3361.0,5082.0,0.0,0.0,0.0,4622.0,550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328.0,222.0,349.0,945.0,21.0,0.0,22213.0,831.0,89.0,194.0,0.0,108.0,241.0,199.0,0.0,0.0,0.0,11399.0,0.0,11399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9983.0,1424.0,0.0,0.0,8061.0,498.0,0.0,0.0,0.0,0.0
2012-06-30,21220.0,19284.0,41.0,4401.0,2868.0,5100.0,0.0,0.0,0.0,6874.0,591.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,260.0,350.0,974.0,21.0,0.0,21220.0,1212.0,277.0,38.0,0.0,66.0,617.0,128.0,0.0,86.0,0.0,11481.0,0.0,11481.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8527.0,1424.0,0.0,0.0,8061.0,-958.0,0.0,0.0,0.0,0.0
2012-09-30,21037.0,18368.0,21.0,2118.0,2172.0,5500.0,0.0,0.0,0.0,8557.0,596.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.0,260.0,349.0,1703.0,21.0,0.0,21037.0,1417.0,271.0,618.0,0.0,0.0,400.0,128.0,0.0,0.0,0.0,11559.0,0.0,11559.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8061.0,1424.0,0.0,0.0,8061.0,-1424.0,0.0,0.0,0.0,0.0
2012-12-31,20431.0,17756.0,39.0,732.0,2116.0,5500.0,0.0,0.0,0.0,9369.0,608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337.0,271.0,349.0,1697.0,21.0,0.0,20431.0,1369.0,181.0,566.0,0.0,0.0,400.0,222.0,0.0,0.0,0.0,11636.0,0.0,11636.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7426.0,1424.0,0.0,0.0,7954.0,-1952.0,0.0,0.0,0.0,0.0
2013-03-31,21564.0,18943.0,1.0,552.0,2121.0,5500.0,0.0,0.0,0.0,10769.0,593.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348.0,245.0,349.0,1658.0,21.0,0.0,21564.0,1266.0,172.0,472.0,0.0,0.0,400.0,222.0,0.0,0.0,0.0,13165.0,0.0,11707.0,0.0,0.0,0.0,1458.0,0.0,0.0,0.0,7133.0,1424.0,0.0,0.0,6002.0,-293.0,0.0,0.0,0.0,0.0
2013-06-30,21286.0,18707.0,122.0,50.0,2116.0,15364.0,0.0,0.0,0.0,1055.0,588.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,238.0,349.0,1620.0,22.0,0.0,21286.0,1431.0,468.0,412.0,0.0,0.0,400.0,151.0,0.0,0.0,0.0,13111.0,0.0,13111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6744.0,1424.0,0.0,0.0,6002.0,-682.0,0.0,0.0,0.0,0.0
2013-09-30,21625.0,20053.0,416.0,53.0,4582.0,14005.0,0.0,0.0,0.0,997.0,589.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.0,238.0,349.0,612.0,22.0,0.0,21625.0,1343.0,582.0,109.0,0.0,0.0,400.0,151.0,0.0,101.0,0.0,13055.0,0.0,11847.0,0.0,0.0,0.0,1208.0,0.0,0.0,0.0,7227.0,1424.0,0.0,0.0,6002.0,-199.0,0.0,0.0,0.0,0.0
2013-12-31,23862.0,21560.0,78.0,54.0,3862.0,6955.0,0.0,0.0,0.0,10611.0,1336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.0,1004.0,349.0,595.0,22.0,0.0,23862.0,1921.0,300.0,87.0,0.0,1083.0,0.0,244.0,0.0,207.0,0.0,14397.0,0.0,14397.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7544.0,1424.0,0.0,0.0,6120.0,0.0,0.0,0.0,0.0,0.0
2014-03-30,23113.0,20814.0,20.0,6.0,3093.0,6955.0,0.0,0.0,0.0,10740.0,1342.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337.0,1005.0,350.0,586.0,21.0,0.0,23113.0,1752.0,372.0,81.0,0.0,958.0,0.0,245.0,0.0,96.0,0.0,14463.0,0.0,14463.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6898.0,1424.0,0.0,0.0,6120.0,-646.0,0.0,0.0,0.0,0.0
2014-06-30,21681.0,20326.0,92.0,329.0,3803.0,16051.0,0.0,0.0,0.0,51.0,422.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.0,78.0,349.0,563.0,21.0,0.0,21681.0,1558.0,394.0,75.0,0.0,833.0,0.0,173.0,0.0,83.0,0.0,12468.0,0.0,12468.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7655.0,1424.0,0.0,0.0,6120.0,111.0,0.0,0.0,0.0,0.0
2014-09-30,22344.0,20928.0,2.0,2472.0,7127.0,11269.0,0.0,0.0,0.0,58.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373.0,47.0,349.0,626.0,21.0,0.0,22344.0,1678.0,697.0,116.0,0.0,708.0,0.0,68.0,0.0,89.0,0.0,12128.0,0.0,12128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8538.0,1423.0,0.0,0.0,6120.0,995.0,0.0,0.0,0.0,0.0
2014-12-31,21885.0,18421.0,92.0,5437.0,3288.0,9583.0,0.0,0.0,0.0,21.0,2463.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2415.0,48.0,350.0,628.0,23.0,0.0,21885.0,898.0,466.0,122.0,0.0,0.0,0.0,163.0,0.0,147.0,0.0,12164.0,0.0,12164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8823.0,1424.0,0.0,0.0,7399.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,21182.0,17746.0,95.0,5773.0,1935.0,9625.0,0.0,0.0,0.0,318.0,2467.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2419.0,48.0,350.0,596.0,23.0,0.0,21182.0,647.0,258.0,114.0,0.0,0.0,0.0,163.0,0.0,112.0,0.0,12184.0,0.0,12184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8351.0,1424.0,0.0,0.0,7399.0,-472.0,0.0,0.0,0.0,0.0
2015-06-30,19894.0,16480.0,3248.0,3399.0,1995.0,7544.0,0.0,0.0,0.0,294.0,2478.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2430.0,48.0,349.0,564.0,23.0,0.0,19894.0,704.0,418.0,108.0,0.0,0.0,0.0,110.0,0.0,68.0,0.0,12206.0,0.0,12206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6984.0,1424.0,0.0,0.0,7399.0,-1839.0,0.0,0.0,0.0,0.0
2015-09-30,19374.0,15624.0,15.0,6940.0,847.0,7566.0,0.0,0.0,0.0,256.0,2834.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2632.0,202.0,350.0,543.0,23.0,0.0,19374.0,465.0,227.0,106.0,0.0,0.0,0.0,69.0,0.0,63.0,0.0,12302.0,0.0,8899.0,0.0,0.0,0.0,3403.0,0.0,0.0,0.0,6607.0,1424.0,0.0,0.0,7399.0,-2216.0,0.0,0.0,0.0,0.0
2015-12-31,18919.0,15108.0,31.0,6821.0,652.0,7588.0,0.0,0.0,0.0,16.0,2936.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2638.0,298.0,349.0,503.0,23.0,0.0,18919.0,555.0,190.0,98.0,0.0,0.0,0.0,163.0,0.0,104.0,0.0,12316.0,0.0,12316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6048.0,1424.0,0.0,0.0,4624.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,18377.0,14788.0,96.0,6466.0,597.0,7605.0,0.0,0.0,0.0,24.0,2742.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2645.0,97.0,350.0,474.0,23.0,0.0,18377.0,506.0,159.0,97.0,0.0,0.0,0.0,163.0,0.0,87.0,0.0,12333.0,0.0,12333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5538.0,1424.0,0.0,0.0,4624.0,-510.0,0.0,0.0,0.0,0.0
2016-06-30,17692.0,14127.0,6.0,6419.0,71.0,7618.0,0.0,0.0,0.0,13.0,2751.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2654.0,97.0,349.0,442.0,23.0,0.0,17692.0,479.0,165.0,110.0,0.0,51.0,0.0,111.0,0.0,42.0,0.0,12349.0,0.0,12349.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4864.0,1424.0,0.0,0.0,4624.0,-1184.0,0.0,0.0,0.0,0.0
2016-09-30,17069.0,13518.0,20.0,5825.0,6.0,7634.0,0.0,0.0,0.0,33.0,2769.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2659.0,110.0,349.0,410.0,23.0,0.0,17069.0,323.0,174.0,34.0,0.0,0.0,0.0,69.0,0.0,46.0,0.0,12366.0,0.0,12366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4380.0,1424.0,0.0,0.0,4624.0,-1668.0,0.0,0.0,0.0,0.0
2016-12-31,17426.0,13839.0,31.0,6113.0,11.0,7642.0,0.0,0.0,0.0,42.0,2772.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2660.0,112.0,349.0,443.0,23.0,0.0,17426.0,563.0,294.0,70.0,0.0,0.0,0.0,163.0,0.0,36.0,0.0,12382.0,0.0,12382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4481.0,1424.0,0.0,0.0,3057.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,17161.0,13599.0,53.0,6504.0,2501.0,4487.0,0.0,0.0,0.0,54.0,2780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2668.0,112.0,349.0,410.0,23.0,0.0,17161.0,423.0,144.0,53.0,0.0,0.0,0.0,163.0,0.0,63.0,0.0,12395.0,0.0,12395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4343.0,1424.0,0.0,0.0,3057.0,-138.0,0.0,0.0,0.0,0.0
