,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2003-12-31,12050445000.0,2375678000.0,374612000.0,743623000.0,1438179000.0,,,317180000.0,883919000.0,0.0,844285000.0,,,,0.0,,,374177000.0,2164046000.0,,0.0,3550691000.0,0.0,,12050445000.0,2512970000.0,80982000.0,676794000.0,31022000.0,0.0,,8444000.0,0.0,,,132042000.0,4361499000.0,,0.0,-2314592000.0,,289177000.0,,,192013000.0,3397387000.0,4940998000.0,192013000.0,,0.10618,0.0,,,0.0,
2004-03-31,12332301000.0,3010045000.0,776851000.0,765568000.0,1396790000.0,,,406660000.0,863782000.0,0.0,838326000.0,,,,0.0,,,376640000.0,2074779000.0,,0.0,3606047000.0,0.0,,12332301000.0,2669266000.0,86012000.0,643576000.0,42108000.0,0.0,,8513000.0,0.0,,,107110000.0,4591386000.0,,0.0,-2773893000.0,,300084000.0,,,192463000.0,3392290000.0,4940998000.0,192463000.0,,-0.01372,0.0,,,0.0,
2004-06-30,12435611000.0,2893421000.0,591169000.0,751054000.0,1490231000.0,,,296269000.0,906536000.0,0.0,836096000.0,,,,0.0,,,356062000.0,82130000.0,,0.0,5857812000.0,0.0,,12435611000.0,2917099000.0,0.0,618192000.0,37340000.0,0.0,,140667000.0,0.0,,,109637000.0,4335899000.0,,0.0,0.0,,331204000.0,,,193003000.0,3397387000.0,3397387000.0,193003000.0,,0.15698,0.0,,,0.0,
2004-09-30,12907099000.0,3328772000.0,947760000.0,796010000.0,1494626000.0,,,388008000.0,830019000.0,0.0,931754000.0,,,,0.0,,,362329000.0,71925000.0,,0.0,5946089000.0,0.0,,12907099000.0,3056158000.0,0.0,663436000.0,39582000.0,0.0,,32585000.0,0.0,,,127261000.0,4583963000.0,,0.0,-4136797000.0,,496401000.0,,,191384000.0,3391396000.0,3397387000.0,191384000.0,,-0.00688,0.0,,,0.0,
2004-12-31,12618121000.0,3222665000.0,817724000.0,798903000.0,1522067000.0,,,355992000.0,707549000.0,0.0,822937000.0,,,,0.0,,,1055675000.0,57321000.0,,0.0,4264342000.0,0.0,,12618121000.0,2997243000.0,842203000.0,663857000.0,31219000.0,0.0,,158644000.0,0.0,,,119678000.0,3785046000.0,,0.0,-3379203000.0,,440343000.0,,,137018000.0,4095982000.0,4082036000.0,137018000.0,,0.16754000000000002,0.0,,,0.0,
2005-03-31,12878569000.0,3467040000.0,967898000.0,787378000.0,1565754000.0,,,405881000.0,692110000.0,0.0,814526000.0,,,,0.0,,,1033691000.0,42015000.0,,0.0,3915342000.0,0.0,,12878569000.0,3208779000.0,0.0,636222000.0,39879000.0,0.0,,155840000.0,0.0,,,111363000.0,3715575000.0,,0.0,0.0,,418249000.0,,,145264000.0,4261628000.0,4082036000.0,145264000.0,,0.17142000000000002,0.0,,,0.0,
2005-06-30,12893333000.0,3353130000.0,705219000.0,805827000.0,1678075000.0,,,309739000.0,595819000.0,0.0,918104000.0,,,,0.0,,,1017109000.0,41733000.0,,0.0,4586959000.0,0.0,,12893333000.0,3430386000.0,751347000.0,652827000.0,40288000.0,0.0,,413765000.0,0.0,,,105902000.0,3622805000.0,,0.0,-3509570000.0,,424697000.0,,,104954000.0,4206867000.0,4192921000.0,104954000.0,,0.24315,0.0,,,0.0,
2005-09-30,12798195000.0,3292504000.0,471247000.0,817978000.0,1736600000.0,,,343513000.0,529359000.0,0.0,910966000.0,,,,0.0,,,985598000.0,42677000.0,,0.0,4685552000.0,0.0,,12798195000.0,3247544000.0,0.0,678778000.0,45358000.0,0.0,,10157000.0,0.0,,,116644000.0,3461386000.0,,0.0,0.0,,414291000.0,,,115750000.0,4520499000.0,4266589000.0,115750000.0,,0.24609,0.0,,,0.0,
2005-12-31,13689901000.0,3770291000.0,1029241000.0,793343000.0,1746195000.0,,,368440000.0,530423000.0,0.0,904047000.0,,,,0.0,,,1118441000.0,40045000.0,,0.0,4200769000.0,0.0,,13689901000.0,4139282000.0,0.0,782233000.0,29490000.0,0.0,,489263000.0,0.0,,,145296000.0,3364064000.0,,0.0,0.0,,322461000.0,,,0.0,4796048000.0,4734782000.0,0.0,,0.37509,0.0,,,0.0,
2006-03-31,14074935000.0,4097020000.0,1301951000.0,804151000.0,1803586000.0,,,430804000.0,407449000.0,0.0,897814000.0,,,,0.0,,,1093749000.0,42040000.0,,0.0,4921049000.0,0.0,,14074935000.0,3714668000.0,0.0,713547000.0,43020000.0,0.0,,488894000.0,0.0,,,131598000.0,3834881000.0,,0.0,-3704673000.0,,426545000.0,,,0.0,5102560000.0,4734790000.0,0.0,,0.30196,0.0,,,0.0,
