,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2007-03-31,123554.0,105537.0,2471.0,47220.0,2213.0,46887.0,,,,4108.0,18014.0,,,,0.0,0.0,,,,,33.0,3.0,351.0,,123554.0,13368.0,,1555.0,0.0,,,0.0,33.0,3671.0,,57400.0,,,0.0,0.0,,0.0,,,4108.0,66154.0,61857.0,,,,4297.0,,,70262.0,
2007-06-30,379112.0,356045.0,1606.0,230773.0,1414.0,60719.0,,,,8125.0,22892.0,,,,515.0,0.0,,,,,1527.0,162.0,351.0,,379112.0,17796.0,,347.0,0.0,,,0.0,1527.0,8819.0,,26436.0,,,0.0,0.0,,0.0,,,8125.0,352676.0,369432.0,,,,-16756.0,,,360801.0,
2007-09-30,390639.0,362398.0,2771.0,210601.0,3694.0,68516.0,,,,14866.0,26496.0,,,,0.0,0.0,,,,,2653.0,1173.0,351.0,,390639.0,17345.0,,1348.0,1214.0,,,0.0,2653.0,5671.0,,32211.0,,,0.0,-74.0,,0.0,,,14866.0,358428.0,369432.0,,,,-11004.0,,,373294.0,
2007-12-31,425850.0,262126.0,4335.0,130463.0,6557.0,113804.0,,,,18642.0,46588.0,,,,1667.0,107942.0,,,,,3755.0,9087.0,314.0,,425850.0,39663.0,,1006.0,1242.0,,,105.0,3755.0,11026.0,,65757.0,,,4127.0,79.0,,0.0,,,18642.0,360093.0,354181.0,,,,5912.0,,,378735.0,
2008-03-31,470026.0,398273.0,8240.0,95295.0,26974.0,178626.0,,,,24212.0,60182.0,,,,3299.0,8128.0,,,,,3556.0,1899.0,314.0,,470026.0,50241.0,,0.0,1329.0,,,0.0,3556.0,4417.0,,100496.0,,,12601.0,-5320.0,,0.0,,,24212.0,369530.0,369432.0,,,,98.0,,,393742.0,
2008-06-30,510058.0,403224.0,10505.0,53415.0,48804.0,188941.0,,,,31860.0,86714.0,,,,0.0,17635.0,,,,,7632.0,1029.0,9871.0,,510057.0,68465.0,,0.0,1460.0,,,0.0,7632.0,3793.0,,127716.0,,,9286.0,-3656.0,,0.0,,,31860.0,382341.0,369432.0,,,,12909.0,,,414201.0,
2008-09-30,551033.0,391560.0,10647.0,76244.0,72414.0,203356.0,,,,27733.0,134965.0,,,,0.0,22084.0,,,,,7836.0,1029.0,9883.0,,551033.0,111667.0,,0.0,2124.0,,,0.0,7836.0,30085.0,,161472.0,,,12429.0,-3070.0,,0.0,,,27733.0,389561.0,369432.0,,,,20129.0,,,417294.0,
2008-12-31,563533.0,375127.0,30868.0,0.0,89217.0,217200.0,,,,17219.0,150237.0,,,,8897.0,19989.0,,,,,17944.0,18053.0,17233.0,,563533.0,103862.0,,8238.0,1847.0,,,127.0,17944.0,5650.0,,184963.0,,,11094.0,-1872.0,,0.0,,,17219.0,378570.0,369432.0,,,,24389.0,,,395789.0,
2009-03-31,635181.0,346056.0,38989.0,0.0,74990.0,188909.0,,,,21524.0,190911.0,,,,16748.0,81444.0,,,,,18310.0,16651.0,17791.0,,635181.0,144888.0,,10870.0,2307.0,,,119.0,18310.0,38644.0,,262503.0,,,16011.0,-709.0,,0.0,,,21524.0,372678.0,369432.0,,,,18497.0,,,394202.0,
2009-06-30,668375.0,389721.0,33981.0,0.0,113059.0,189907.0,,,,31887.0,179911.0,,,,18571.0,83062.0,,,,,26636.0,15593.0,17791.0,,668375.0,174637.0,,7890.0,2405.0,,,88.0,26636.0,30470.0,,291845.0,,,7129.0,-592.0,,0.0,,,31887.0,376530.0,369432.0,,,,22349.0,,,408417.0,
2009-09-30,713067.0079999999,398420.0,36089.0,0.0,164420.992,168546.0,0.0,0.0,0.0,29364.0,299984.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299984.0,0.0,14584.0,79.0,0.0,713067.0079999999,229406.0,0.0,8268.0,3073.0,123871.0,0.0,17791.0,76403.0,0.0,0.0,69814.0,17887.0,0.0,48976.0,0.0,2951.0,0.0,0.0,0.0,35851.0,377996.0,354180.992,2343.0,0.0,11629.0,9843.0,0.0,0.0,0.0,0.0
2009-12-31,759113.0240000001,431361.984,35424.0,0.0,203383.008,160296.0,0.0,0.0,0.0,32259.0,314070.016,0.0,0.0,103131.0,0.0,0.0,0.0,0.0,0.0,210939.008,0.0,13588.0,93.0,0.0,759113.0240000001,234459.008,0.0,20747.0,14996.0,121359.0,0.0,4079.0,73278.0,0.0,0.0,103173.0,58003.0,0.0,41042.0,0.0,4128.0,0.0,0.0,0.0,41513.0,379968.0,354180.992,2646.0,0.0,23141.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,767792.0,468884.992,35522.0,0.0,211739.008,189140.992,0.0,0.0,0.0,32483.0,286048.0,0.0,0.0,56686.0,0.0,0.0,0.0,0.0,0.0,229362.0,0.0,12769.0,90.0,0.0,767792.0,207796.0,0.0,17483.0,13347.0,114607.0,0.0,4021.0,58338.0,0.0,0.0,130064.0,79899.0,0.0,45553.0,0.0,4612.0,0.0,0.0,0.0,42508.0,387424.0,354180.992,2942.0,0.0,23141.0,7160.0,0.0,0.0,0.0,0.0
2010-06-30,743150.016,406272.992,46155.0,0.0,213947.008,115678.0,0.0,0.0,0.0,30493.0,324767.00800000003,0.0,0.0,58133.0,0.0,0.0,0.0,0.0,0.0,266634.0,0.0,12032.0,78.0,0.0,743150.016,202696.0,0.0,23185.0,12811.0,133551.0,0.0,4021.0,29128.0,0.0,0.0,106306.0,88553.0,0.0,17167.0,0.0,586.0,0.0,0.0,0.0,38991.0,395156.992,354180.992,3241.0,0.0,23141.0,14594.0,0.0,0.0,0.0,0.0
2010-09-30,732552.0,377504.0,52029.0,0.0,179875.008,113163.0,0.0,0.0,0.0,32437.0,343830.016,0.0,0.0,59128.0,0.0,0.0,0.0,0.0,0.0,284702.016,0.0,11147.0,71.0,0.0,732552.0,211351.008,0.0,23214.0,13270.0,141967.008,0.0,443.0,32457.0,0.0,0.0,89163.0,70989.0,0.0,16717.0,0.0,1457.0,0.0,0.0,0.0,36330.0,395708.0,354180.992,3366.0,0.0,23141.0,15020.0,0.0,0.0,0.0,0.0
2010-12-31,814145.984,471059.008,31764.0,33417.0,283523.00800000003,101008.0,0.0,0.0,235.0,21112.0,332862.016,0.0,0.0,276888.0,44318.0,0.0,10876.0,0.0,780.0,0.0,0.0,10169.0,56.0,0.0,814145.984,236292.992,0.0,18196.0,17602.0,113664.0,0.0,11595.0,71786.0,3450.0,0.0,146732.992,113421.0,0.0,18575.0,14737.0,0.0,0.0,0.0,0.0,32349.0,398771.0,354180.992,3639.0,0.0,40951.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,849670.9759999999,483801.984,22994.0,46374.0,278436.99199999997,117191.0,0.0,0.0,214.0,18592.0,356358.016,0.0,0.0,257820.0,85509.0,0.0,12322.0,0.0,707.0,0.0,51.0,9415.0,45.0,0.0,849670.9759999999,259050.0,0.0,19473.0,11263.0,139504.992,0.0,11595.0,70402.0,6812.0,0.0,151284.0,117428.0,0.0,18926.0,14930.0,0.0,0.0,0.0,0.0,25715.0,413621.992,376095.008,3696.0,0.0,40951.0,-7120.0,0.0,0.0,0.0,0.0
2011-06-30,787728.0,427768.0,11675.0,28216.0,268988.99199999997,97410.0,0.0,0.0,310.0,21168.0,351118.016,0.0,0.0,239804.992,96688.0,0.0,13895.0,0.0,730.0,0.0,1.0,8808.0,33.0,0.0,787728.0,244774.0,0.0,17942.0,10998.0,133337.0,0.0,24756.0,48174.0,9567.0,0.0,134475.008,109162.0,0.0,10733.0,14580.0,0.0,0.0,0.0,0.0,25366.0,383113.008,376095.008,3918.0,0.0,27882.0,-24620.0,0.0,0.0,-162.0,0.0
2011-09-30,777747.968,432299.008,10359.0,19382.0,268098.0,112307.0,0.0,0.0,293.0,21860.0,336788.992,0.0,0.0,222990.0,97488.0,0.0,15653.0,0.0,658.0,0.0,1.0,8636.0,23.0,0.0,777747.968,211920.0,0.0,21219.0,11338.0,128850.0,0.0,535.0,42813.0,7165.0,0.0,144366.0,121612.0,0.0,6395.0,15030.0,0.0,1329.0,0.0,0.0,29734.0,391728.016,376095.008,4143.0,0.0,27882.0,-16392.0,0.0,0.0,0.0,0.0
2011-12-31,787859.0079999999,449768.0,12536.0,18104.0,272129.984,127724.0,0.0,0.0,308.0,18966.0,329840.0,0.0,0.0,209920.0,99734.0,0.0,19874.0,0.0,312.0,0.0,0.0,8235.0,16.0,0.0,787859.0079999999,225010.0,0.0,23869.0,24027.0,133904.0,0.0,2495.0,38529.0,2186.0,0.0,121834.0,105020.0,0.0,6348.0,6641.0,0.0,3825.0,0.0,0.0,27030.0,413985.008,376095.008,4356.0,0.0,33534.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,741171.968,433336.0,13176.0,24023.0,249694.0,126677.0,0.0,0.0,296.0,19470.0,299972.99199999997,0.0,0.0,166402.0,111341.0,0.0,22230.0,0.0,0.0,0.0,0.0,7830.0,33.0,0.0,741171.968,203030.0,0.0,20733.0,15995.0,127223.0,0.0,5989.0,30496.0,2594.0,0.0,111408.0,86238.0,0.0,9484.0,12145.0,0.0,3541.0,0.0,0.0,23202.0,403532.016,376095.008,4554.0,0.0,33534.0,-10651.0,0.0,0.0,0.0,0.0
2012-06-30,720782.9759999999,423526.016,8332.0,18124.0,279035.00800000003,99687.0,0.0,0.0,166.0,18182.0,289828.0,0.0,0.0,153348.0,111898.0,0.0,24582.0,0.0,0.0,0.0,0.0,7400.0,29.0,0.0,720782.9759999999,218592.0,0.0,21237.0,17919.0,146288.0,0.0,5450.0,26737.0,961.0,0.0,77282.0,56082.0,0.0,5727.0,10912.0,0.0,4561.0,0.0,0.0,24994.0,399914.992,376095.008,4567.0,0.0,33534.0,-14281.0,0.0,0.0,0.0,0.0
2012-09-30,711632.0,423390.016,10644.0,23579.0,268000.99199999997,104153.0,0.0,0.0,38.0,16975.0,280580.99199999997,0.0,0.0,141926.0,111880.0,0.0,26775.0,0.0,0.0,0.0,0.0,7635.0,26.0,0.0,711632.0,220720.992,0.0,21190.0,16816.0,158780.992,0.0,3684.0,18735.0,1515.0,0.0,71906.0,52686.0,0.0,4832.0,10370.0,0.0,4018.0,0.0,0.0,25104.0,393900.992,376095.008,4581.0,0.0,33534.0,-20309.0,0.0,0.0,0.0,0.0
2012-12-31,669990.0160000001,400627.008,11383.0,8639.0,266612.0,97136.0,0.0,0.0,7.0,16850.0,262151.00800000003,0.0,0.0,121138.0,112381.0,0.0,28632.0,0.0,0.0,0.0,0.0,7183.0,29.0,0.0,669990.0160000001,202428.992,0.0,10551.0,16757.0,154139.008,0.0,3223.0,16384.0,1375.0,0.0,53946.0,36590.0,0.0,5533.0,8585.0,0.0,3238.0,0.0,0.0,25029.0,388586.008,376095.008,4594.0,0.0,7897.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,655955.0079999999,377736.0,11243.0,20150.0,232880.992,97832.0,0.0,0.0,1.0,15629.0,271312.99199999997,0.0,0.0,129366.0,109299.0,0.0,30140.0,0.0,2508.0,0.0,0.0,6880.0,26.0,0.0,655955.0079999999,200572.0,0.0,11847.0,12991.0,159219.008,0.0,3223.0,10722.0,2570.0,0.0,43140.0,28329.0,0.0,5570.0,7876.0,0.0,1365.0,0.0,0.0,26750.0,385493.008,376095.008,4608.0,0.0,7897.0,-3107.0,0.0,0.0,0.0,0.0
2013-06-30,676033.984,414806.016,7173.0,18330.0,284537.984,80330.0,0.0,0.0,0.0,24435.0,253916.992,0.0,0.0,103173.0,110126.0,0.0,31724.0,0.0,8894.0,0.0,0.0,6051.0,1260.0,0.0,676033.984,206336.992,0.0,11420.0,12324.0,148148.992,0.0,3223.0,28889.0,2332.0,0.0,53912.0,7237.0,0.0,40099.0,5101.0,0.0,1475.0,0.0,0.0,48762.0,367022.992,376095.008,4621.0,0.0,7897.0,-21590.0,0.0,0.0,0.0,0.0
2013-09-30,629798.0160000001,387883.008,6954.0,34398.0,257222.0,65790.0,0.0,0.0,0.0,23519.0,235126.0,0.0,0.0,87998.0,109565.0,0.0,33022.0,0.0,4541.0,0.0,0.0,5530.0,1259.0,0.0,629798.0160000001,177619.008,0.0,9508.0,10733.0,128214.0,0.0,3223.0,24729.0,1212.0,0.0,45353.0,1042.0,0.0,38838.0,3773.0,0.0,1700.0,0.0,0.0,39775.0,367050.984,376095.008,4635.0,0.0,7897.0,-21576.0,0.0,0.0,0.0,0.0
2013-12-31,583886.0160000001,338860.992,3217.0,33072.0,237536.0,42634.0,0.0,0.0,0.0,22402.0,223420.992,0.0,0.0,70599.0,116803.0,0.0,33898.0,0.0,2121.0,0.0,15470.0,6115.0,19.0,0.0,583886.0160000001,146164.0,0.0,7468.0,9624.0,100475.0,0.0,3176.0,24295.0,1126.0,0.0,46258.0,4358.0,0.0,37343.0,2913.0,0.0,1644.0,0.0,0.0,34513.0,356951.0,376095.008,4633.0,0.0,0.0,-23777.0,0.0,0.0,0.0,0.0
2014-03-31,551142.0160000001,295921.984,4542.0,25895.0,198852.992,44250.0,0.0,0.0,0.0,22382.0,233139.008,0.0,0.0,79044.0,117500.0,0.0,35030.0,0.0,1565.0,0.0,16191.0,5844.0,46.0,0.0,551142.0160000001,123485.0,0.0,7164.0,7857.0,84973.0,0.0,6.0,21956.0,1529.0,0.0,45745.0,5512.0,0.0,35664.0,3270.0,0.0,1299.0,0.0,0.0,31902.0,350010.0,376095.008,4658.0,0.0,0.0,-30743.0,0.0,0.0,0.0,0.0
2014-06-30,495024.0,254854.0,3552.0,24666.0,167534.0,43680.0,0.0,0.0,0.0,15422.0,217790.0,0.0,0.0,61678.0,119120.0,0.0,35999.0,0.0,993.0,0.0,16762.0,5557.0,61.0,0.0,495024.0,89909.0,0.0,7368.0,6448.0,56201.0,0.0,6.0,18223.0,1663.0,0.0,43041.0,13862.0,0.0,25824.0,2504.0,0.0,851.0,0.0,0.0,22621.0,339452.984,356950.016,130.0,0.0,0.0,-17627.0,0.0,0.0,0.0,0.0
2014-09-30,464156.0,236938.0,836.0,29981.0,151832.992,38306.0,0.0,0.0,0.0,15982.0,204571.008,0.0,0.0,47118.0,120125.0,0.0,36723.0,0.0,605.0,0.0,17081.0,5510.0,56.0,0.0,464156.0,76305.0,0.0,6653.0,6370.0,47639.0,0.0,6.0,14213.0,1424.0,0.0,29239.0,9404.0,0.0,17183.0,2202.0,0.0,450.0,0.0,0.0,21231.0,337381.0,356950.016,1318.0,0.0,0.0,-20887.0,0.0,0.0,0.0,0.0
2014-12-31,422054.016,228507.008,1655.0,30206.0,139183.008,35818.0,0.0,0.0,0.0,21645.0,172162.0,0.0,0.0,24012.0,120687.0,0.0,26889.0,0.0,574.0,0.0,16898.0,4436.0,51.0,0.0,422054.016,57363.0,0.0,5504.0,5982.0,32521.0,0.0,6.0,11802.0,1548.0,0.0,20778.0,5126.0,0.0,14029.0,1252.0,0.0,371.0,0.0,0.0,21337.0,322575.99199999997,356950.016,1338.0,0.0,0.0,-35712.0,0.0,0.0,0.0,0.0
2015-03-31,385763.008,182052.992,818.0,30869.0,97289.0,33709.0,0.0,0.0,0.0,19368.0,182884.0,0.0,0.0,34308.0,120953.0,0.0,27444.0,0.0,179.0,0.0,16697.0,4072.0,57.0,0.0,385763.008,31292.0,0.0,5562.0,4279.0,9112.0,0.0,6.0,10930.0,1403.0,0.0,14701.0,342.0,0.0,12445.0,1657.0,0.0,257.0,0.0,0.0,19990.0,319779.984,356950.016,1377.0,0.0,0.0,-38547.0,0.0,0.0,0.0,0.0
2015-06-30,348214.016,145924.0,595.0,14692.0,80920.0,31025.0,0.0,0.0,0.0,18692.0,182456.0,0.0,0.0,33292.0,120969.0,0.0,28027.0,0.0,168.0,0.0,16525.0,3257.0,52.0,0.0,348214.016,45597.0,0.0,5650.0,3358.0,4863.0,0.0,6.0,30299.0,1421.0,0.0,12794.0,0.0,0.0,10134.0,1831.0,0.0,829.0,0.0,0.0,20659.0,269164.00800000003,308507.00800000003,1414.0,0.0,0.0,-40757.0,0.0,0.0,0.0,0.0
2015-09-30,322943.00800000003,135031.008,838.0,27188.0,65506.0,25672.0,0.0,0.0,0.0,15827.0,181996.0,0.0,0.0,32208.0,121037.0,0.0,28583.0,0.0,168.0,0.0,2985.0,2885.0,46.0,0.0,322943.00800000003,44605.0,0.0,7267.0,2896.0,3064.0,0.0,0.0,29855.0,1523.0,0.0,10029.0,0.0,0.0,7746.0,1776.0,0.0,507.0,0.0,0.0,22834.0,245474.99200000003,308507.00800000003,1407.0,0.0,0.0,-64439.0,0.0,0.0,0.0,0.0
2015-12-31,290342.016,177900.992,1136.0,18728.0,76025.0,59445.0,0.0,0.0,0.0,22567.0,107183.0,0.0,0.0,10539.0,81875.0,0.0,14601.0,0.0,168.0,0.0,2993.0,2224.0,41.0,0.0,290342.016,27327.0,0.0,5244.0,2861.0,1350.0,0.0,0.0,16565.0,1307.0,0.0,8938.0,0.0,0.0,7280.0,521.0,0.0,1137.0,0.0,0.0,18033.0,236043.992,308507.00800000003,319.0,0.0,0.0,-72782.0,0.0,0.0,0.0,0.0
2016-03-31,286407.00800000003,148694.0,739.0,17018.0,51330.0,56748.0,0.0,0.0,0.0,22859.0,132785.0,0.0,0.0,31053.0,81875.0,0.0,14601.0,0.0,5256.0,0.0,2991.0,1902.0,35.0,0.0,286407.00800000003,25413.0,0.0,5571.0,1743.0,338.0,0.0,0.0,16420.0,1341.0,0.0,9648.0,0.0,0.0,6714.0,1804.0,0.0,1130.0,0.0,0.0,18050.0,233296.0,308507.00800000003,326.0,0.0,0.0,-75537.0,0.0,0.0,0.0,0.0
2016-06-30,282364.0,145500.992,617.0,20025.0,49296.0,52606.0,0.0,0.0,0.0,22957.0,132291.0,0.0,0.0,30784.0,81875.0,0.0,14601.0,0.0,5031.0,0.0,2993.0,1548.0,31.0,0.0,282364.0,23986.0,0.0,5507.0,1716.0,0.0,0.0,0.0,15571.0,1192.0,0.0,8349.0,0.0,0.0,5504.0,1788.0,0.0,1057.0,0.0,0.0,18088.0,231940.992,235724.992,333.0,0.0,0.0,-4117.0,0.0,0.0,0.0,0.0
2016-09-30,282760.99199999997,148192.0,304.0,24025.0,45211.0,50787.0,0.0,0.0,0.0,27865.0,130329.0,0.0,0.0,33683.0,81875.0,0.0,14601.0,0.0,168.0,2.0,2993.0,1221.0,26.0,0.0,282760.99199999997,24380.0,0.0,5506.0,1587.0,0.0,0.0,0.0,15535.0,1752.0,0.0,7485.0,0.0,0.0,5270.0,1654.0,0.0,561.0,0.0,0.0,18458.0,232438.0,235724.992,339.0,0.0,0.0,-3626.0,0.0,0.0,0.0,0.0
2016-12-31,230247.008,120521.0,449.0,16761.0,35203.0,48617.0,0.0,0.0,0.0,19491.0,105730.0,0.0,0.0,22198.0,81875.0,0.0,0.0,0.0,168.0,1489.0,3077.0,897.0,22.0,0.0,230247.008,13326.0,0.0,5285.0,979.0,0.0,0.0,0.0,3321.0,3741.0,0.0,13918.0,0.0,0.0,5243.0,1411.0,0.0,7264.0,0.0,0.0,14242.0,188761.008,235724.992,312.0,0.0,0.0,-47303.0,0.0,0.0,27.0,0.0
2017-03-31,227779.008,121258.0,137.0,17752.0,35210.0,48067.0,0.0,0.0,0.0,20092.0,102785.0,0.0,0.0,19433.0,81875.0,0.0,0.0,0.0,168.0,1309.0,3078.0,639.0,19.0,0.0,227779.008,14341.0,0.0,5633.0,1176.0,0.0,0.0,0.0,3095.0,4437.0,0.0,13477.0,0.0,0.0,5222.0,1137.0,0.0,7118.0,0.0,0.0,13929.0,186031.992,235724.992,312.0,0.0,0.0,-50032.0,0.0,0.0,27.0,0.0
2017-06-30,225688.992,116016.0,415.0,20536.0,28887.0,45755.0,0.0,0.0,0.0,20423.0,106118.0,0.0,0.0,22453.0,81875.0,0.0,0.0,0.0,514.0,1276.0,3081.0,460.0,14.0,0.0,225688.992,13572.0,0.0,4933.0,1006.0,0.0,0.0,0.0,3041.0,4592.0,0.0,13274.0,0.0,0.0,4983.0,1173.0,0.0,7118.0,0.0,0.0,13880.0,184963.008,188734.0,0.0,0.0,0.0,-3798.0,0.0,0.0,27.0,0.0
