,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2004-12-31,3206524000.0,271141000.0,26550000.0,,199883000.0,20866000.0,,0.0,,0.0,114153000.0,,,49210000.0,0.0,,,21234000.0,,,87289000.0,0.0,0.0,,3206524000.0,339486000.0,0.0,32009000.0,0.0,199210000.0,,0.0,0.0,0.0,,105118000.0,745154000.0,,19819000.0,,,0.0,,,,1901440000.0,200243000.0,1305084000.0,,0.0,0.0,0.0,,,
2005-03-31,3255715000.0,296138000.0,40579000.0,,187836000.0,21383000.0,,0.0,,0.0,114324000.0,,,50336000.0,0.0,,,20599000.0,,,88040000.0,0.0,0.0,,3255715000.0,337780000.0,0.0,39836000.0,0.0,203452000.0,,0.0,0.0,0.0,,32465000.0,749135000.0,,6253000.0,,,0.0,,,,1944749000.0,227923000.0,1310966000.0,,0.0,0.0,0.0,,,
2005-06-30,3509287000.0,365003000.0,101248000.0,,255512000.0,21316000.0,,0.0,,0.0,144693000.0,,,56115000.0,0.0,,,25135000.0,,,92817000.0,0.0,0.0,,3509287000.0,410130000.0,0.0,39049000.0,0.0,201118000.0,,0.0,0.0,0.0,,114869000.0,811760000.0,,9289000.0,,,0.0,,,,2061144000.0,233150000.0,1448143000.0,,0.0,0.0,0.0,,,
2005-09-30,3358487000.0,310915000.0,58712000.0,,255465000.0,21840000.0,,0.0,,0.0,125289000.0,,,49963000.0,0.0,,,22350000.0,,,85298000.0,0.0,0.0,,3358487000.0,418800000.0,0.0,55973000.0,0.0,202179000.0,,0.0,0.0,0.0,,36341000.0,732263000.0,,7796000.0,,,0.0,,,,1982895000.0,222567000.0,1375592000.0,,0.0,0.0,0.0,,,
2005-12-31,3586432000.0,336847000.0,63089000.0,,202930000.0,21335000.0,,0.0,,0.0,146372000.0,,,52150000.0,0.0,,,19864000.0,,,91087000.0,0.0,0.0,,3586432000.0,372034000.0,0.0,55298000.0,0.0,288020000.0,,0.0,0.0,0.0,,83559000.0,849007000.0,,18077000.0,,,0.0,,,,2057507000.0,229716000.0,1528925000.0,,0.0,0.0,0.0,,,
2006-03-31,4498912000.0,1147555000.0,871211000.0,,208624000.0,23198000.0,,0.0,,0.0,145585000.0,,,56181000.0,0.0,,,22497000.0,,,93669000.0,0.0,0.0,,4498912000.0,390088000.0,0.0,65459000.0,0.0,183857000.0,,0.0,0.0,0.0,,38645000.0,846784000.0,,11706000.0,,,0.0,,,,3055686000.0,241440000.0,1443226000.0,,0.0,0.0,0.0,,,
2006-06-30,4616506000.0,1134548000.0,841216000.0,,192292000.0,23904000.0,,0.0,,0.0,170995000.0,,,63286000.0,0.0,,,19724000.0,,,98778000.0,0.0,0.0,,4616506000.0,375843000.0,0.0,61435000.0,0.0,182436000.0,,0.0,0.0,0.0,,45293000.0,893004000.0,,15145000.0,,,0.0,,,,3145499000.0,254283000.0,1471007000.0,,0.0,0.0,0.0,,,
2006-09-30,4785979000.0,1138112000.0,841610000.0,,250535000.0,24809000.0,,0.0,,0.0,171820000.0,,,54709000.0,0.0,,,18968000.0,,,92990000.0,0.0,0.0,,4785979000.0,431140000.0,0.0,71799000.0,0.0,180957000.0,,0.0,0.0,0.0,,81881000.0,910558000.0,,11601000.0,,,0.0,,,,3244356000.0,260092000.0,1541623000.0,,0.0,0.0,0.0,,,
2006-12-31,4924649000.0,1140241000.0,830292000.0,,277756000.0,26780000.0,,0.0,,0.0,172111000.0,,,378016000.0,0.0,,,17495000.0,,,110852000.0,0.0,0.0,,4924649000.0,538134000.0,0.0,122314000.0,0.0,189194000.0,,0.0,0.0,0.0,,115508000.0,922775000.0,,25296000.0,,,0.0,,,,3257051000.0,257873000.0,1667598000.0,,0.0,0.0,0.0,,,
2007-03-31,5082495000.0,1202458000.0,897900000.0,,309759000.0,27483000.0,,0.0,,0.0,169814000.0,,,59793000.0,0.0,,,19188000.0,,,147112000.0,0.0,0.0,,5082495000.0,555572000.0,0.0,73768000.0,0.0,187748000.0,,0.0,0.0,0.0,,39953000.0,973303000.0,,9700000.0,,,0.0,,,,3346684000.0,267375000.0,1735811000.0,,0.0,11093.0,0.0,,,
