,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2001-12-31,13433039000.0,2851558000.0,0.0,614421000.0,935611000.0,729087000.0,,,,216411000.0,287508000.0,,,0.0,,,,582949000.0,,,25832000.0,8117554000.0,0.0,,13433039000.0,3732364000.0,185352000.0,0.0,0.0,2728712000.0,,,523084000.0,0.0,,0.0,2842531000.0,,0.0,1216927000.0,,0.0,,,0.0,5118133000.0,5118133000.0,0.0,,0.0,0.1278,,,0.0,
2002-03-31,13954017000.0,3695676000.0,0.0,1460120000.0,1067300000.0,675839000.0,,,,235659000.0,339707000.0,,,0.0,,,,650487000.0,,,27195000.0,8119002000.0,0.0,,13954017000.0,3794973000.0,170150000.0,0.0,0.0,2773117000.0,,,591330000.0,0.0,,0.0,3534516000.0,,0.0,1100611000.0,,0.0,,,0.0,4932587000.0,4932587000.0,0.0,,0.0,0.0,,,0.0,
2002-06-30,15068225000.0,4791295000.0,0.0,2414831000.0,1176031000.0,631246000.0,,,,187360000.0,509064000.0,,,0.0,,,,654865000.0,,,20379000.0,8130523000.0,0.0,,15068225000.0,5243242000.0,159368000.0,0.0,0.0,4180845000.0,,,666346000.0,0.0,,0.0,3383757000.0,,0.0,1100324000.0,,0.0,,,0.0,4674556000.0,4674556000.0,0.0,,0.0,0.0,,,0.0,
2002-09-30,16564236000.0,6024293000.0,0.0,2863321000.0,1322368000.0,637489000.0,,,,163025000.0,733585000.0,,,0.0,,,,646148000.0,,,19559000.0,8216235000.0,0.0,,16564236000.0,5784788000.0,205823000.0,0.0,0.0,4075475000.0,,,782664000.0,0.0,,0.0,4342703000.0,,0.0,1177988000.0,,0.0,,,0.0,4476093000.0,4476093000.0,0.0,,0.0,0.0,,,0.0,
2002-12-31,15237776000.0,4030619000.0,0.0,1477159000.0,1241466000.0,574250000.0,,,,111906000.0,508796000.0,,,0.0,,,,796494000.0,,,134821000.0,8975706000.0,0.0,,15237776000.0,4532184000.0,205375000.0,0.0,0.0,2880039000.0,,,847797000.0,0.0,,0.0,3709570000.0,,0.0,1253033000.0,,0.0,,,0.0,4895192000.0,4895192000.0,0.0,,0.0,0.19953,,,0.0,
2003-03-31,15628941000.0,4692781000.0,0.0,2027354000.0,1303175000.0,684284000.0,,,,87818000.0,365722000.0,,,0.0,,,,763837000.0,,,131452000.0,8908473000.0,0.0,,15628941000.0,4992788000.0,199427000.0,0.0,0.0,3537906000.0,,,843891000.0,0.0,,0.0,3234678000.0,,0.0,1252806000.0,,0.0,,,0.0,5304778000.0,5304778000.0,0.0,,0.0,0.0,,,0.0,
2003-06-30,19148994000.0,4197045000.0,0.0,1282054000.0,1418153000.0,824587000.0,,,,115559000.0,344579000.0,,,0.0,,,,844608000.0,,,74390000.0,12963668000.0,0.0,,19148994000.0,4506081000.0,221895000.0,0.0,0.0,3258321000.0,,,901597000.0,0.0,,0.0,3518192000.0,,0.0,2628025000.0,,0.0,,,0.0,7595099000.0,7595099000.0,0.0,,0.0,0.0,,,0.0,
2003-09-30,20507226000.0,4997798000.0,0.0,1990010000.0,1347722000.0,891237000.0,,,,117658000.0,368551000.0,,,0.0,,,,1013827000.0,,,97790000.0,12927806000.0,0.0,,20507226000.0,4412376000.0,242338000.0,0.0,0.0,2960429000.0,,,967391000.0,0.0,,0.0,4829383000.0,,0.0,2498645000.0,,0.0,,,0.0,7799431000.0,7799431000.0,0.0,,0.0,0.0,,,0.0,
2003-12-31,22522205000.0,6775380000.0,0.0,3654757000.0,1114111000.0,891807000.0,,,,78760000.0,727894000.0,,,0.0,,,,1215283000.0,,,241783000.0,13134055000.0,0.0,,22522205000.0,4542518000.0,295485000.0,0.0,0.0,2386771000.0,,,1529656000.0,0.0,,0.0,6570642000.0,,0.0,2460007000.0,,0.0,,,0.0,7419382000.0,7419382000.0,0.0,,0.0,0.41668,,,0.0,
2004-03-31,22365781000.0,6670519000.0,0.0,3494278000.0,1201385000.0,1066916000.0,,,,9422000.0,758472000.0,,,0.0,,,,1024309000.0,,,245139000.0,13034186000.0,0.0,,22365781000.0,4137661000.0,262281000.0,0.0,0.0,2295650000.0,,,1671133000.0,0.0,,0.0,6379313000.0,,0.0,2426940000.0,,0.0,,,0.0,7750734000.0,7750734000.0,0.0,,0.0,0.0,,,0.0,
