,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2005-03-31,1175180.0,292063.0,0.0,1118.0,136203.0,861.0,,94318.0,989.0,0.0,218889.0,,,,22346.0,,,42774.0,,,,319957.0,0.0,,1175180.0,242966.0,287252.0,43194.0,14942.0,0.0,,69918.0,25063.0,0.0,,308313.0,383270.0,,32448.0,,,3373.0,,,,454524.0,720656.0,2468.0,,0.0,0.0,,,0.0,
2005-06-30,1193713.0,300843.0,0.0,1411.0,124814.0,542.0,,87524.0,16331.0,0.0,221041.0,,,,31008.0,,,50187.0,,,,323272.0,0.0,,1193713.0,237362.0,289459.0,45109.0,12699.0,0.0,,47195.0,21643.0,0.0,,303851.0,382490.0,,30753.0,,,3493.0,,,,481297.0,712416.0,2998.0,,0.0,0.0,,,0.0,
2005-09-30,1172096.0,284235.0,0.0,710.0,129172.0,464.0,,87096.0,11240.0,0.0,221579.0,,,,25676.0,,,31428.0,,,,324857.0,0.0,,1172096.0,167054.0,260570.0,42996.0,12227.0,0.0,,176.0,18629.0,0.0,,301223.0,404038.0,,32062.0,,,3621.0,,,,509119.0,662977.0,4668.0,,0.0,0.0,,,0.0,
2005-12-31,1197244.0,316456.0,0.0,741.0,146518.0,188.0,,92672.0,1021.0,0.0,214410.0,,,,22809.0,,,42530.0,,,,304893.0,17251.0,,1197244.0,283461.0,264564.0,54399.0,-123.0,0.0,,110207.0,25362.0,0.0,,316200.0,372888.0,,2870.0,,,3742.0,,,,444351.0,752893.0,2152.0,,0.0,0.0,,,0.0,
2006-03-31,1201559.0,292489.0,0.0,712.0,138995.0,-68.0,,84322.0,984.0,0.0,220633.0,,,,19437.0,,,35376.0,,,,331911.0,0.0,,1201559.0,244777.0,271042.0,54820.0,14693.0,0.0,,69611.0,24223.0,0.0,,333227.0,365911.0,,2601.0,,,3862.0,,,,479238.0,722321.0,3668.0,,0.0,0.0,,,0.0,
2006-06-30,1227391.0,288461.0,0.0,689.0,131165.0,1108.0,,87532.0,1476.0,0.0,224412.0,,,,17870.0,,,43378.0,,,,369039.0,0.0,,1227391.0,257138.0,276061.0,62712.0,9452.0,0.0,,56833.0,23935.0,0.0,,323638.0,359147.0,,2612.0,,,3971.0,,,,502555.0,724836.0,5039.0,,0.0,0.0,,,0.0,
2006-09-30,1249852.0,312242.0,0.0,712.0,135541.0,1347.0,,93641.0,500.0,0.0,221906.0,,,,15869.0,,,37120.0,,,,382097.0,0.0,,1249852.0,279398.0,281950.0,57209.0,13896.0,0.0,,89674.0,27057.0,0.0,,316838.0,355917.0,,3073.0,,,900.0,,,,500441.0,749411.0,6795.0,,0.0,0.0,,,0.0,
2006-12-31,1240371.0,312612.0,0.0,724.0,142194.0,1205.0,,102171.0,869.0,0.0,220659.0,,,,6641.0,,,44810.0,,,,390228.0,0.0,,1240371.0,288499.0,295837.0,88298.0,21106.0,0.0,,79307.0,26306.0,0.0,,301795.0,374594.0,,2560.0,,,6953.0,,,,475624.0,764747.0,4261.0,,0.0,0.0,,,0.0,
2007-03-31,1225739.0,348806.0,0.0,33965.0,142448.0,1290.0,,90204.0,2267.0,0.0,222186.0,,,,3179.0,,,39430.0,,,,384284.0,0.0,,1225739.0,263343.0,303539.0,59572.0,18298.0,0.0,,73943.0,37530.0,0.0,,264771.0,379496.0,,2561.0,,,1030.0,,,,511211.0,714528.0,9149.0,,0.0,0.0,,,0.0,
2007-06-30,1218426.0,361556.0,0.0,8580.0,145340.0,1360.0,,128491.0,2054.0,0.0,208382.0,,,,8257.0,,,46733.0,,,,383273.0,0.0,,1218426.0,213012.0,314138.0,52207.0,23560.0,0.0,,6288.0,47222.0,0.0,,245980.0,369755.0,,2543.0,,,1030.0,,,,567135.0,651291.0,8118.0,,0.0,0.0,,,0.0,
