,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1,Receita Bruta de Vendas e/ou Serviços,Deduções da Receita Bruta,Receita Líquida de Vendas e/ou Serviços,Custo de Bens e/ou Serviços Vendidos,Resultado Bruto,Despesas Com Vendas,Despesas Gerais e Administrativas,Perdas pela Não Recuperabilidade de Ativos ,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Financeiras,Receitas Financeiras,Despesas Financeiras,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores,Lucro/Prejuízo do Período
2002-03-31,217097.0,135870.0,5698.0,0.0,46849.0,66084.0,,9508.0,2206.0,860.0,8975.0,,,,1559.0,,70235.0,,0.0,,,0.0,0.0,,217097.0,101196.0,132754.0,6400.0,0.0,0.0,,,24432.0,8865.0,,24432.0,58.0,,0.0,84343.0,,0.0,,,,33595.0,6844.0,-3941.0,,,84343.0,7126.0,,,,,,0.0,9770.0,50940.0,68539.0,0.0,0.0,0.0,0.0,,2427.0,0.0,2427.0,,,,-510.0,,88.0,,,,-510.0
2002-06-30,220492.0,139839.0,8203.0,0.0,52426.0,63214.0,,9121.0,2195.0,1000.0,11067.0,,,,1753.0,,61614.0,,0.0,,,0.0,0.0,,220492.0,94936.0,133149.0,11051.0,0.0,0.0,,,31087.0,7652.0,,31087.0,-533.0,,0.0,87343.0,,0.0,,,,36595.0,6847.0,-6558.0,,,87343.0,7126.0,,,,,,0.0,12029.0,84224.0,69514.0,0.0,0.0,0.0,0.0,,9032.0,0.0,9032.0,,,,4749.0,,45.0,,,,4325.0
2002-09-30,243117.0,157896.0,4790.0,4164.0,55626.0,71604.0,,10559.0,3974.0,930.0,25486.0,,,,2079.0,,76407.0,,0.0,,,0.0,0.0,,243117.0,120693.0,157262.0,9226.0,0.0,0.0,,,29443.0,11526.0,,29443.0,-2156.0,,0.0,85855.0,,0.0,,,,35107.0,6852.0,-18929.0,,,85855.0,7126.0,,,,,,0.0,26593.0,81140.0,71363.0,0.0,0.0,0.0,0.0,,3801.0,0.0,3801.0,,,,1835.0,,1142.0,,,,1652.0
2002-12-31,249752.0,161163.0,8742.0,110.0,54425.0,74585.0,,6867.0,5459.0,928.0,13383.0,,,,2419.0,,68689.0,,0.0,,,0.0,0.0,,249752.0,115774.0,159120.0,10679.0,0.0,0.0,,,34758.0,12822.0,,34758.0,-3004.0,,0.0,90632.0,,1099.0,,,,39884.0,6855.0,-5635.0,,,90632.0,7489.0,,,,,,0.0,14624.0,67355.0,72026.0,0.0,0.0,0.0,0.0,,4562.0,0.0,4562.0,,,,5332.0,,751.0,,,,10648.0
2003-03-31,273111.0,185247.0,4586.0,0.0,72132.0,80787.0,,10740.0,4765.0,1354.0,8985.0,,,,2460.0,,74119.0,,0.0,,,0.0,0.0,,273111.0,137173.0,170892.0,23150.0,0.0,0.0,,,25331.0,17078.0,,25331.0,16.0,,0.0,102219.0,,1099.0,,,,51471.0,6817.0,-8217.0,,,102219.0,7289.0,,,,,,0.0,10892.0,90059.0,71523.0,0.0,0.0,0.0,0.0,,14970.0,0.0,14970.0,,,,10310.0,,480.0,,,,9862.0
2003-06-30,236714.0,148193.0,7172.0,0.0,46594.0,75922.0,,7807.0,4546.0,1134.0,12459.0,,,,2968.0,,58595.0,,0.0,,,0.0,0.0,,236714.0,97416.0,133095.0,9791.0,0.0,0.0,,,27450.0,8762.0,,27450.0,72.0,,0.0,103619.0,,1099.0,,,,52871.0,6806.0,-7656.0,,,103619.0,7130.0,,,,,,0.0,13715.0,73200.0,72388.0,0.0,0.0,0.0,0.0,,1265.0,0.0,1265.0,,,,467.0,,154.0,,,,-114.0
2003-09-30,244764.0,155189.0,5420.0,0.0,45853.0,80500.0,,12132.0,4773.0,1493.0,6213.0,,,,3095.0,,64850.0,,0.0,,,0.0,0.0,,244764.0,106659.0,142543.0,10183.0,0.0,0.0,,,27719.0,9702.0,,27719.0,1260.0,,0.0,102221.0,,1099.0,,,,51473.0,7317.0,-7028.0,,,102221.0,7066.0,,,,,,0.0,7669.0,64848.0,74493.0,0.0,0.0,0.0,0.0,,1429.0,0.0,1429.0,,,,-655.0,,10.0,,,,-638.0
2003-12-31,252183.0,162248.0,8182.0,0.0,54438.0,79079.0,,14448.0,0.0,0.0,10760.0,,,,3209.0,,52954.0,,0.0,,,0.0,0.0,,252183.0,99417.0,153685.0,13864.0,0.0,0.0,,,46101.0,7957.0,,46101.0,35.0,,0.0,98498.0,,1099.0,,,,47750.0,7516.0,-2555.0,,,98498.0,7068.0,,,,,,0.0,12654.0,75468.0,73381.0,0.0,0.0,0.0,0.0,,-5717.0,0.0,-5717.0,,,,-3512.0,,0.0,,,,1339.0
2004-03-31,246712.0,160301.0,2640.0,0.0,62063.0,72531.0,,16587.0,0.0,0.0,4171.0,,,,3042.0,,46559.0,,0.0,,,0.0,0.0,,246712.0,92489.0,143940.0,12018.0,0.0,0.0,,,43478.0,10072.0,,43478.0,-513.0,,0.0,102772.0,,1099.0,,,,52024.0,7751.0,-3036.0,,,102772.0,6874.0,,,,,,0.0,5946.0,80878.0,70873.0,0.0,0.0,0.0,0.0,,5997.0,0.0,5997.0,,,,3977.0,,0.0,,,,3579.0
2004-06-30,229663.0,145154.0,5638.0,0.0,48366.0,73774.0,,12502.0,0.0,0.0,6638.0,,,,3248.0,,58848.0,,0.0,,,0.0,0.0,,229663.0,99052.0,124209.0,10791.0,0.0,0.0,,,17122.0,7287.0,,17122.0,891.0,,0.0,105454.0,,1099.0,,,,53454.0,7819.0,-4052.0,,,105454.0,6936.0,,,,,,0.0,8301.0,80124.0,68439.0,0.0,0.0,0.0,0.0,,4487.0,0.0,4487.0,,,,2788.0,,0.0,,,,2510.0
2004-09-30,254747.0,169042.0,1710.0,0.0,59308.0,88724.0,,13288.0,0.0,0.0,5088.0,,,,3836.0,,54508.0,,0.0,,,0.0,0.0,,254747.0,101681.0,146696.0,14530.0,0.0,0.0,,,36856.0,9095.0,,36856.0,-5.0,,0.0,108051.0,,1099.0,,,,56051.0,7830.0,-3919.0,,,108051.0,7060.0,,,,,,0.0,6774.0,67843.0,69252.0,0.0,0.0,0.0,0.0,,2343.0,0.0,2343.0,,,,1674.0,,0.0,,,,1506.0
2004-12-31,259661.0,173822.0,4763.0,0.0,65513.0,82887.0,,12433.0,0.0,0.0,10409.0,,,,2851.0,,45152.0,,0.0,,,0.0,0.0,,259661.0,92738.0,151122.0,10128.0,0.0,0.0,,,53630.0,12621.0,,53630.0,193.0,,0.0,108539.0,,1099.0,,,,56539.0,7844.0,-4618.0,,,108539.0,3655.0,,,,,,0.0,12280.0,90191.0,70166.0,0.0,0.0,0.0,0.0,,1091.0,0.0,1091.0,,,,713.0,,0.0,,,,4872.0
2005-03-31,261701.0,175814.0,2011.0,0.0,62375.0,90554.0,,13843.0,0.0,0.0,5182.0,,,,3037.0,,50246.0,,0.0,,,0.0,0.0,,261701.0,92195.0,150471.0,11033.0,0.0,0.0,,,53384.0,13671.0,,53384.0,295.0,,0.0,111230.0,,1099.0,,,,59230.0,7837.0,-2765.0,,,111230.0,3793.0,,,,,,0.0,6898.0,75084.0,70004.0,0.0,0.0,0.0,0.0,,3670.0,0.0,3670.0,,,,2575.0,,0.0,,,,2318.0
2005-06-30,247347.0,163792.0,2258.0,0.0,60156.0,89990.0,,8129.0,0.0,0.0,6356.0,,,,2753.0,,42480.0,,0.0,,,0.0,0.0,,247347.0,74887.0,133471.0,9778.0,0.0,0.0,,,53793.0,8641.0,,53793.0,58.0,,0.0,113876.0,,1099.0,,,,56376.0,7830.0,-4423.0,,,113876.0,3692.0,,,,,,0.0,7895.0,76853.0,68324.0,0.0,0.0,0.0,0.0,,2675.0,0.0,2675.0,,,,1860.0,,0.0,,,,1674.0
