,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2000-12-31,1370301000.0,573603000.0,150326000.0,189275000.0,0.0,205886000.0,,,,32026000.0,0.0,,0.0,,116806000.0,,,0.0,,0.0,43374000.0,738295000.0,0.0,,1370301000.0,242267000.0,0.0,132630000.0,35385000.0,40014000.0,,,0.0,,,131177000.0,116806000.0,42639000.0,0.0,5901000.0,,0.0,,,30776000.0,931177000.0,961953000.0,234739000.0,,,30776000.0,13845000.0,182726000.0,,
2001-03-31,1374490000.0,573560000.0,159539000.0,186474000.0,0.0,183618000.0,,,,35058000.0,0.0,,0.0,,114566000.0,,,0.0,,0.0,42345000.0,740594000.0,0.0,,1374490000.0,220938000.0,0.0,55467000.0,39186000.0,80673000.0,,,0.0,,,160300000.0,114566000.0,46873000.0,0.0,6254000.0,,0.0,,,30087000.0,960300000.0,990387000.0,238043000.0,,,30087000.0,14007000.0,173292000.0,,
2001-06-30,1353937000.0,551599000.0,128873000.0,194478000.0,0.0,191863000.0,,,,36328000.0,0.0,,0.0,,115399000.0,,,0.0,,0.0,42696000.0,744786000.0,0.0,,1353937000.0,167370000.0,0.0,44694000.0,45751000.0,44611000.0,,,0.0,,,193882000.0,115399000.0,56212000.0,0.0,6608000.0,,0.0,,,27982000.0,993882000.0,1021864000.0,236409000.0,,,27982000.0,14052000.0,181366000.0,,
2001-09-30,1464109000.0,632981000.0,120108000.0,217095000.0,0.0,223893000.0,,,,38902000.0,0.0,,0.0,,115656000.0,,,0.0,,0.0,46802000.0,761863000.0,0.0,,1464109000.0,240376000.0,0.0,103643000.0,42691000.0,49979000.0,,,0.0,,,224160000.0,115656000.0,62138000.0,0.0,7188000.0,,0.0,,,29927000.0,1024160000.0,1054087000.0,238290000.0,,,29927000.0,14122000.0,190210000.0,,
2001-12-31,1430964000.0,599273000.0,153389000.0,212791000.0,0.0,203038000.0,,,,31532000.0,0.0,,0.0,,76845000.0,,,0.0,,0.0,49143000.0,777748000.0,0.0,,1430964000.0,245967000.0,0.0,28636000.0,36380000.0,73440000.0,,,0.0,,,220877000.0,76845000.0,56322000.0,0.0,6219000.0,,0.0,,,1364000.0,1051426000.0,1052790000.0,239395000.0,,,1364000.0,14180000.0,182765000.0,,
2002-03-31,1460721000.0,621558000.0,152851000.0,240474000.0,0.0,180353000.0,,,,30488000.0,0.0,,0.0,,52866000.0,,,0.0,,0.0,53035000.0,777198000.0,0.0,,1460721000.0,269892000.0,0.0,48199000.0,39374000.0,122860000.0,,,0.0,,,247040000.0,52866000.0,54017000.0,0.0,6179000.0,,0.0,,,1160000.0,1077589000.0,1078749000.0,242016000.0,,,1160000.0,14170000.0,202823000.0,,
2002-06-30,1480755000.0,627326000.0,137728000.0,244162000.0,0.0,165481000.0,,,,30862000.0,0.0,,0.0,,42232000.0,,,0.0,,0.0,60842000.0,800103000.0,0.0,,1480755000.0,237776000.0,0.0,33515000.0,38523000.0,114600000.0,,,0.0,,,298978000.0,42232000.0,67493000.0,0.0,9378000.0,,0.0,,,1000000.0,1129527000.0,1130527000.0,245063000.0,,,1000000.0,14169000.0,215709000.0,,
2002-09-30,1628992000.0,743492000.0,145216000.0,260794000.0,0.0,205173000.0,,,,34636000.0,0.0,,0.0,,43375000.0,,,0.0,,0.0,70984000.0,816225000.0,0.0,,1628992000.0,306665000.0,0.0,33285000.0,40735000.0,105360000.0,,,0.0,,,327014000.0,43375000.0,64163000.0,0.0,9957000.0,,0.0,,,997000.0,1197014000.0,1198011000.0,249425000.0,,,997000.0,14175000.0,236588000.0,,
2002-12-31,1673458000.0,740852000.0,156643000.0,280309000.0,0.0,259571000.0,,,,54501000.0,0.0,,0.0,,53545000.0,,,0.0,,0.0,83268000.0,859287000.0,0.0,,1673458000.0,326692000.0,0.0,32907000.0,39710000.0,88919000.0,,,0.0,,,332619000.0,53545000.0,73790000.0,0.0,6652000.0,,0.0,,,682000.0,1202619000.0,1203301000.0,259688000.0,,,682000.0,14175000.0,246547000.0,,
2003-03-31,1689051000.0,717604000.0,92205000.0,292611000.0,0.0,301128000.0,,,,55889000.0,0.0,,0.0,,96842000.0,,,0.0,,0.0,90894000.0,880394000.0,0.0,,1689051000.0,247652000.0,0.0,27568000.0,41553000.0,85421000.0,,,0.0,,,375722000.0,96842000.0,77985000.0,0.0,7336000.0,,0.0,,,605000.0,1245722000.0,1246327000.0,255685000.0,,,605000.0,15777000.0,264780000.0,,
2003-06-30,1642039000.0,670138000.0,106910000.0,276057000.0,0.0,250371000.0,,,,56348000.0,0.0,,0.0,,84591000.0,,,0.0,,0.0,85363000.0,893750000.0,0.0,,1642039000.0,175394000.0,0.0,26203000.0,47238000.0,43064000.0,,,0.0,,,419032000.0,84591000.0,69851000.0,0.0,6945000.0,,0.0,,,714000.0,1289032000.0,1289746000.0,266773000.0,,,714000.0,14175000.0,266434000.0,,
