,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2004-06-30,177438.0,74594.0,5317.0,,42822.0,21258.0,,-13469.0,,4341.0,0.0,,,,134324.0,,,9.0,,43114.0,10028.0,89312.0,0.0,,177438.0,63923.0,,30163.0,0.0,27198.0,,17.0,38760.0,,,53.0,32521.0,30992.0,1449.0,0.0,,6887.0,,,,43115.0,4724.0,,,5131.0,0.0,0.0,0.0,,
2004-09-30,198476.0,69759.0,4510.0,,44304.0,17352.0,,-16523.0,,4931.0,0.0,,,,109922.0,,,-59.0,,88554.0,14249.0,83201.0,0.0,,198476.0,41987.0,,15790.0,0.0,5202.0,,17.0,38760.0,,,53.0,51247.0,9732.0,2800.0,0.0,,6955.0,,,,88555.0,372.0,,,3245.0,0.0,0.0,0.0,,
2004-12-31,203109.0,87771.0,9487.0,,61141.0,18450.0,,-14515.0,,4996.0,0.0,,,,101188.0,,,-90.0,,101921.0,1438.0,94718.0,0.0,,203109.0,34628.0,,10806.0,0.0,5425.0,,17.0,38760.0,,,1385.0,48864.0,9980.0,2648.0,0.0,,7716.0,,,,101921.0,536.0,,,832.0,0.0,0.0,0.0,,
2005-03-31,199555.0,83907.0,4912.0,,62720.0,14654.0,,-14659.0,,4197.0,0.0,,,,85875.0,,,30.0,,113680.0,2242.0,92779.0,0.0,,199555.0,20940.0,,6159.0,0.0,5264.0,,17.0,38760.0,,,53.0,47907.0,9301.0,1232.0,0.0,,7727.0,,,,113680.0,1104.0,,,2740.0,0.0,0.0,0.0,,
2005-06-30,208924.0,92133.0,4430.0,,58780.0,17188.0,,-12918.0,,5928.0,0.0,,,,80600.0,,,3.0,,128324.0,4711.0,90916.0,0.0,,208924.0,18833.0,,4738.0,0.0,5228.0,,17.0,40529.0,,,53.0,44810.0,9128.0,9517.0,0.0,,7829.0,,,,128324.0,720.0,,,47.0,0.0,0.0,0.0,,
2005-09-30,227420.0,97885.0,12387.0,,57931.0,25251.0,,-14139.0,,9068.0,0.0,,,,93081.0,,,0.0,,134339.0,14431.0,82341.0,0.0,,227420.0,25521.0,,6841.0,0.0,5111.0,,114.0,41344.0,,,16.0,43206.0,11352.0,3956.0,0.0,,13002.0,,,,134339.0,1679.0,,,1584.0,0.0,0.0,0.0,,
2005-12-31,229313.0,103175.0,15606.0,,57276.0,31488.0,,-12143.0,,11144.0,0.0,,,,94106.0,,,-217.0,,135207.0,17218.0,86827.0,0.0,,229313.0,31279.0,,4993.0,0.0,9548.0,,5209.0,40523.0,,,1330.0,39085.0,9110.0,3267.0,0.0,,14632.0,,,,135207.0,0.0,,,3477.0,0.0,0.0,0.0,,
2006-03-31,232531.0,122302.0,15854.0,,65279.0,31953.0,,-13433.0,,12972.0,0.0,,,,88381.0,,,0.0,,144150.0,21562.0,85039.0,0.0,,232531.0,38576.0,,5873.0,0.0,17378.0,,5187.0,40523.0,,,0.0,33528.0,9323.0,1165.0,0.0,,6954.0,,,,144150.0,10933.0,,,0.0,0.0,0.0,0.0,,
2006-06-30,246534.0,134668.0,15903.0,,71163.0,39311.0,,-13502.0,,14702.0,0.0,,,,99179.0,,,12.0,,147355.0,24982.0,83256.0,0.0,,246534.0,38888.0,,7574.0,0.0,20775.0,,180.0,40523.0,,,0.0,28943.0,24394.0,1015.0,0.0,,6954.0,,,,147355.0,8477.0,,,12.0,0.0,0.0,0.0,,
2006-09-30,246760.0,135014.0,12822.0,,77176.0,36222.0,,-14786.0,,16522.0,0.0,,,,101306.0,,,-38.0,,145454.0,5254.0,103555.0,0.0,,246760.0,48509.0,,17398.0,0.0,16952.0,,178.0,41256.0,,,0.0,25465.0,24658.0,4396.0,0.0,,2674.0,,,,145454.0,698.0,,,-38.0,0.0,0.0,0.0,,
