,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1,Receita Bruta de Vendas e/ou Serviços,Deduções da Receita Bruta,Receita Líquida de Vendas e/ou Serviços,Custo de Bens e/ou Serviços Vendidos,Resultado Bruto,Despesas Com Vendas,Despesas Gerais e Administrativas,Perdas pela Não Recuperabilidade de Ativos ,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Financeiras,Receitas Financeiras,Despesas Financeiras,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores,Lucro/Prejuízo do Período
2012-12-31,1720045.9519999998,1373902.976,287000.0,0.0,788406.9759999999,0.0,0.0,0.0,98806.0,199690.0,216647.008,0.0,0.0,2402.0,0.0,0.0,212135.008,0.0,2110.0,0.0,0.0,15524.0,113972.0,0.0,1720045.9519999998,1259895.04,26199.0,270492.0,8037.0,138.0,54526.0,0.0,900502.9759999999,0.0,0.0,249519.008,79.0,0.0,0.0,0.0,0.0,10903.0,0.0,0.0,0.0,210632.0,56257.0,204248.0,0.0,0.0,-49578.0,0.0,0.0,-295.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-31,1557460.9919999999,1221746.9440000001,94753.0,0.0,823179.0079999999,0.0,0.0,0.0,86320.0,217495.008,205210.0,0.0,0.0,0.0,0.0,0.0,200139.008,0.0,2502.0,2569.0,0.0,14239.0,116265.0,0.0,1557460.9919999999,1073767.04,21058.0,242828.0,4624.0,61.0,50287.0,0.0,754908.9920000001,0.0,0.0,239763.008,53.0,228332.992,0.0,0.0,0.0,11377.0,0.0,0.0,0.0,243931.008,56257.0,201487.008,0.0,0.0,-13561.0,0.0,0.0,-252.0,0.0,0.0,0.0,163936.992,0.0,163936.992,-32354.0,-47871.0,0.0,-5494.0,-2488.0,0.0,-22536.0,3210.0,-25746.0,0.0,0.0,0.0,53194.0,-5202.0,-11975.0,0.0,0.0,0.0,36017.0
2013-06-30,1924840.96,1578881.024,101994.0,0.0,1015171.968,0.0,0.0,0.0,148934.0,312780.99199999997,203536.0,0.0,0.0,0.0,0.0,0.0,197292.992,0.0,2366.0,3877.0,0.0,13260.0,129164.0,0.0,1924840.96,1441442.9440000001,21924.0,227971.008,3289.0,61.0,47659.0,0.0,1140539.008,0.0,0.0,230948.992,38.0,218192.0,0.0,0.0,0.0,12719.0,0.0,0.0,0.0,252448.992,56257.0,166164.992,0.0,39639.0,0.0,-15341.0,0.0,5729.0,0.0,0.0,0.0,116580.0,0.0,116580.0,-29345.0,-57892.0,0.0,0.0,-9292.0,0.0,-20435.0,2227.0,-22662.0,0.0,0.0,0.0,-384.0,-1514.0,118.0,0.0,0.0,0.0,-1780.0
2013-09-30,2010413.9519999998,1677824.0,60355.0,0.0,1154105.9840000002,0.0,0.0,0.0,153952.992,309409.984,190268.0,0.0,0.0,0.0,0.0,0.0,184491.008,0.0,2396.0,3381.0,0.0,12090.0,130232.0,0.0,2010413.9519999998,1497991.936,24293.0,232983.008,3939.0,60.0,47302.0,0.0,1189415.04,0.0,0.0,222342.0,23.0,209036.0,0.0,0.0,0.0,13283.0,0.0,0.0,0.0,290080.0,82728.0,185624.992,0.0,22244.0,0.0,0.0,0.0,-517.0,0.0,0.0,0.0,177048.992,0.0,177048.992,-37872.0,-47486.0,0.0,0.0,-8232.0,0.0,-23270.0,2802.0,-26072.0,0.0,0.0,0.0,60189.0,-6584.0,-16020.0,0.0,0.0,0.0,37585.0
2013-12-31,2069378.9440000001,1740281.9840000002,44660.0,0.0,1249712.0,0.0,0.0,0.0,142736.0,303174.016,185227.008,0.0,0.0,2794.0,0.0,0.0,176982.0,0.0,5451.0,0.0,0.0,12312.0,131558.0,0.0,2069378.9440000001,1639451.0080000001,24019.0,309620.0,19260.0,83.0,151430.0,0.0,1135038.976,0.0,0.0,113647.0,0.0,0.0,0.0,0.0,0.0,13886.0,0.0,0.0,0.0,316280.99199999997,82728.0,192044.992,0.0,40492.0,0.0,0.0,0.0,1016.0,0.0,0.0,0.0,183623.008,0.0,183623.008,-35351.0,-51513.008,0.0,-18776.0,8323.0,0.0,-24650.0,-184.0,-24466.0,0.0,0.0,0.0,61656.008,-15077.0,-6719.0,0.0,0.0,0.0,39860.0
2014-03-31,1928957.0559999999,1611662.976,53903.0,0.0,1125424.0,0.0,0.0,0.0,118057.0,314279.00800000003,175704.0,0.0,0.0,0.0,0.0,0.0,165555.008,0.0,4126.0,6023.0,0.0,11959.0,129631.0,0.0,1928957.0559999999,1559806.976,19937.0,314284.0,1612.0,0.0,239742.0,0.0,984232.0,0.0,0.0,15173.0,0.0,0.0,0.0,0.0,0.0,15173.0,0.0,0.0,0.0,353976.992,82728.0,193960.992,0.0,40492.0,39305.0,0.0,0.0,-2509.0,0.0,0.0,0.0,185682.0,0.0,185682.0,-37298.0,-47257.0,0.0,-6984.0,-3557.0,0.0,-29123.0,206.0,-29329.0,0.0,0.0,0.0,61463.0,-8916.0,-13242.0,0.0,0.0,0.0,39305.0
2014-06-30,2049686.0159999998,1742274.0480000002,53518.0,0.0,1168514.048,0.0,0.0,0.0,157756.992,362484.992,167656.0,0.0,0.0,0.0,0.0,0.0,157662.0,0.0,2900.0,7094.0,0.0,10970.0,128786.0,0.0,2049686.0159999998,1655154.9440000001,25086.0,198260.0,4023.0,0.0,226558.0,0.0,1201228.0320000001,0.0,0.0,16871.0,0.0,0.0,0.0,0.0,0.0,16871.0,0.0,0.0,0.0,377660.0,94026.0,199067.008,0.0,40492.0,47549.0,0.0,0.0,-3474.0,0.0,0.0,0.0,139742.0,-9056.0,130686.0,-33432.0,-49902.0,0.0,0.0,-11687.0,0.0,-21613.0,0.0,0.0,0.0,0.0,0.0,14052.0,2581.0,-8389.0,0.0,0.0,0.0,8244.0
2014-09-30,2371619.0719999997,2068071.04,61918.0,0.0,1415320.96,0.0,0.0,0.0,189230.0,401601.984,163362.0,0.0,0.0,0.0,0.0,0.0,148739.008,0.0,3708.0,10915.0,0.0,9966.0,130220.0,0.0,2371619.0719999997,1924258.0480000002,26199.0,252020.0,7713.0,0.0,215448.992,0.0,1422877.0559999999,0.0,0.0,18430.0,0.0,0.0,0.0,0.0,0.0,18430.0,0.0,0.0,0.0,428931.008,94026.0,204086.0,0.0,40492.0,86184.0,0.0,0.0,4143.0,0.0,0.0,0.0,188740.992,-11054.0,177687.008,-34373.0,-48281.0,0.0,0.0,-7472.0,0.0,-24305.0,0.0,0.0,0.0,0.0,0.0,63256.0,-19620.0,-5001.0,0.0,0.0,0.0,38635.0
2014-12-31,2296229.8880000003,1995865.9840000002,50499.0,0.0,1396119.04,0.0,0.0,0.0,168016.0,381232.0,157386.0,0.0,0.0,12655.0,0.0,0.0,140196.992,0.0,4534.0,0.0,0.0,9865.0,133113.0,0.0,2296229.8880000003,1818466.9440000001,31988.0,366591.008,21325.0,0.0,111922.0,0.0,1286641.024,0.0,0.0,18937.0,0.0,0.0,0.0,0.0,0.0,18937.0,0.0,0.0,0.0,458825.984,94026.0,209335.008,0.0,151618.0,0.0,0.0,0.0,3847.0,0.0,0.0,0.0,200369.984,20110.0,220480.0,-41452.008,-58264.992,0.0,-19951.0,9460.0,0.0,-23817.0,-206.0,29329.0,0.0,0.0,0.0,86454.992,-18206.0,-8694.0,0.0,0.0,0.0,59555.008
2015-03-31,2284608.0,2008116.9919999999,102067.0,0.0,1359617.024,0.0,0.0,0.0,144407.008,402025.984,132006.0,0.0,0.0,0.0,0.0,0.0,115768.0,0.0,4226.0,12012.0,0.0,9879.0,134606.0,0.0,2284608.0,1608217.9840000002,23830.0,308843.00800000003,2179.0,149284.992,2603.0,0.0,1121478.0159999998,0.0,0.0,153232.992,133442.0,0.0,0.0,0.0,0.0,19791.0,0.0,0.0,0.0,523156.992,141684.992,166848.992,0.0,151618.0,52314.0,0.0,0.0,10691.0,0.0,0.0,0.0,220166.0,0.0,220166.0,-45832.0,-55769.0,0.0,-6924.0,-5769.0,0.0,-23909.0,0.0,0.0,0.0,0.0,0.0,81963.0,-8744.0,-20905.0,0.0,0.0,0.0,52314.0
2015-06-30,2418173.952,2145810.944,47163.0,0.0,1419958.0159999998,0.0,0.0,0.0,186067.008,492623.008,124135.0,0.0,0.0,0.0,0.0,0.0,107303.0,0.0,3864.0,12968.0,0.0,8910.0,139318.0,0.0,2418173.952,1781591.04,28636.0,270411.00800000003,3596.0,146182.0,2453.0,0.0,1330312.96,0.0,0.0,152820.992,132290.0,0.0,0.0,0.0,0.0,20531.0,0.0,0.0,0.0,483761.984,159419.008,171330.0,0.0,88734.0,62632.0,0.0,0.0,1647.0,0.0,0.0,0.0,158906.0,-9626.0,149280.0,-38571.0,-53521.0,0.0,0.0,-13225.0,0.0,-25910.0,0.0,0.0,0.0,0.0,0.0,18053.0,5388.0,-13123.0,0.0,0.0,0.0,10318.0
