,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2001-12-31,514553000.0,333585000.0,0.0,3040000.0,112234000.0,121348000.0,,14378000.0,0.0,1002000.0,1368000.0,1253000.0,,-5069000.0,0.0,0.0,0.0,2290000.0,235667000.0,278886000.0,0.0,73709000.0,0.0,,514553000.0,127626000.0,5982000.0,19626000.0,159561600.0,9465000.0,71185000.0,20000000.0,0.0,0.0,,46744000.0,46744000.0,,,7797000.0,,17407000.0,,,80157000.0,246332000.0,78571000.0,0.0,,0.0,0.0,,,10665000.0,
2002-03-31,537543000.0,355515000.0,0.0,14632000.0,107835000.0,153353000.0,,15237000.0,0.0,620000.0,0.0,2149000.0,,-2559000.0,0.0,0.0,0.0,2168000.0,246592000.0,290951000.0,0.0,73689000.0,0.0,,537543000.0,132264000.0,6867000.0,33112000.0,159561600.0,9098000.0,77201000.0,5986000.0,0.0,0.0,,46808000.0,46808000.0,,,9310000.0,,17208000.0,,,62313000.0,257005000.0,78571000.0,0.0,,0.0,10925000.0,,,10413000.0,
2002-06-30,548755000.0,373803000.0,0.0,17257000.0,98468000.0,160684000.0,,15944000.0,0.0,906000.0,0.0,2468000.0,,260000.0,0.0,0.0,0.0,2040000.0,253257000.0,295498000.0,0.0,73770000.0,0.0,,548755000.0,129676000.0,5600000.0,34918000.0,159561600.0,14215000.0,73229000.0,1714000.0,0.0,0.0,,57299000.0,57299000.0,,,8664000.0,,17237000.0,,,79180000.0,263569000.0,78571000.0,0.0,,0.0,17590000.0,,,10312000.0,
2002-09-30,574321000.0,409645000.0,0.0,2608000.0,92221000.0,175452000.0,,17001000.0,0.0,2352000.0,0.0,2461000.0,,-1584000.0,0.0,0.0,0.0,1912000.0,265335000.0,308986000.0,0.0,72253000.0,0.0,,574321000.0,134044000.0,5740000.0,46192000.0,159561600.0,12422000.0,69690000.0,0.0,0.0,0.0,,78462000.0,78462000.0,,,8842000.0,,17237000.0,,,119009000.0,274581000.0,78571000.0,0.0,,0.0,29668000.0,,,9246000.0,
2002-12-31,580703000.0,421297000.0,0.0,2356000.0,82631000.0,177724000.0,,18463000.0,0.0,1849000.0,9461000.0,2486000.0,,-2308000.0,0.0,0.0,0.0,1783000.0,271838000.0,308865000.0,0.0,70450000.0,0.0,,580703000.0,140453000.0,4873000.0,9181000.0,159561600.0,31291000.0,74380000.0,11267000.0,0.0,0.0,,71459000.0,71459000.0,,,8888000.0,,17227000.0,,,136405000.0,281848000.0,108272000.0,0.0,,0.0,0.0,,,10010000.0,
2003-03-31,569924000.0,408847000.0,0.0,2265000.0,80620000.0,176955000.0,,15437000.0,0.0,5300000.0,5206000.0,2490000.0,,-1206000.0,0.0,0.0,0.0,1655000.0,285123000.0,284801000.0,0.0,70117000.0,0.0,,569924000.0,119897000.0,3650000.0,6345000.0,159561600.0,25233000.0,68750000.0,10713000.0,0.0,0.0,,67548000.0,67548000.0,,,9249000.0,,17227000.0,,,128270000.0,291709000.0,108272000.0,0.0,,0.0,13285000.0,,,6586000.0,
2003-06-30,564290000.0,404193000.0,0.0,2265000.0,72215000.0,192106000.0,,9833000.0,0.0,7818000.0,9023000.0,2493000.0,,-1009000.0,0.0,0.0,0.0,1527000.0,287138000.0,277152000.0,0.0,69798000.0,0.0,,564290000.0,125704000.0,3271000.0,12127000.0,159561600.0,29156000.0,72127000.0,0.0,0.0,0.0,,57872000.0,57872000.0,,,8075000.0,,17227000.0,,,119956000.0,297075000.0,108261000.0,0.0,,0.0,15311000.0,,,9937000.0,
2003-09-30,606535000.0,401157000.0,0.0,2234000.0,71632000.0,185966000.0,,9986000.0,0.0,10191000.0,4270000.0,1162000.0,,-1728000.0,0.0,0.0,0.0,1398000.0,306805000.0,299730000.0,0.0,78031000.0,0.0,,606535000.0,125144000.0,3292000.0,12328000.0,159561600.0,30128000.0,75126000.0,0.0,0.0,0.0,,58917000.0,58917000.0,,,9491000.0,,17227000.0,,,121148000.0,315521000.0,108272000.0,0.0,,0.0,34978000.0,,,8716000.0,
2003-12-31,624236000.0,328443000.0,0.0,2851000.0,78090000.0,194029000.0,,3944000.0,0.0,2355000.0,1286000.0,961000.0,,-1164000.0,0.0,0.0,0.0,1272000.0,297099000.0,327137000.0,0.0,77871000.0,0.0,,624236000.0,137056000.0,4470000.0,20265000.0,159555600.0,26363000.0,76800000.0,7872000.0,0.0,0.0,,59581000.0,59581000.0,,,11423000.0,,17227000.0,,,37393000.0,306024000.0,133544000.0,0.0,,0.0,0.0,,,8925000.0,
2004-03-31,682708000.0,355494000.0,0.0,4403000.0,91082000.0,161747000.0,,44005000.0,0.0,2373000.0,1980000.0,960000.0,,-2331000.0,0.0,0.0,0.0,1145000.0,306725000.0,375983000.0,0.0,77219000.0,0.0,,682708000.0,138180000.0,3464000.0,17429000.0,159555600.0,25955000.0,81480000.0,7872000.0,0.0,0.0,,60365000.0,60365000.0,,,11286000.0,,17227000.0,,,43480000.0,315314000.0,133544000.0,0.0,,0.0,9626000.0,,,8589000.0,
