,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2004-03-31,375054000.0,142768000.0,29560000.0,0.0,86711000.0,11994000.0,,13624000.0,596000.0,98113000.0,0.0,,59007000.0,97612000.0,12142000.0,,0.0022600000000000003,16783000.0,640000.0,0.0022600000000000003,72732000.0,153986000.0,-3797000.0,,375054000.0,0.0,12948000.0,0.0,8178000.0,0.0,,0.0,72732000.0,,,234206000.0,0.0,,4394000.0,0.0,,0.0,,,0.0,140848000.0,27327000.0,37499000.0,,113521000.0,,,0.0,,
2004-06-30,413527000.0,150408000.0,26678000.0,0.0,95537000.0,12757000.0,,13957000.0,543000.0,146662000.0,0.0,,56627000.0,120644000.0,23137000.0,,-0.04203,23341000.0,1656000.0,-0.04203,75416000.0,164956000.0,-2507000.0,,413527000.0,0.0,20641000.0,0.0,12604000.0,0.0,,0.0,75416000.0,,,294802000.0,0.0,,5177000.0,0.0,,0.0,,,0.0,118725000.0,90000000.0,48397000.0,,28725000.0,,,0.0,,
2004-09-30,430718000.0,170815000.0,25328000.0,0.0,106125000.0,13399000.0,,24485000.0,862000.0,158302000.0,0.0,,45629000.0,118291000.0,17364000.0,,0.006379999999999999,23350000.0,0.0,0.006379999999999999,70687000.0,173859000.0,4062000.0,,430718000.0,0.0,20964000.0,0.0,15489000.0,0.0,,0.0,70687000.0,,,302942000.0,0.0,,5309000.0,0.0,,0.0,,,0.0,127776000.0,90000000.0,61303000.0,,37776000.0,,,0.0,,
2004-12-31,531601000.0,274379000.0,126158000.0,0.0,104109000.0,15613000.0,,27570000.0,901000.0,111358000.0,0.0,,42964000.0,128309000.0,36184000.0,,-0.05847,21712000.0,0.0,-0.05847,105207000.0,174885000.0,-152000.0,,531601000.0,0.0,13992000.0,0.0,17086000.0,0.0,,0.0,105207000.0,,,287339000.0,0.0,,5597000.0,0.0,,0.0,,,0.0,244262000.0,216136000.0,27978000.0,,28126000.0,,,0.0,,
2005-03-31,541363000.0,290075000.0,131425000.0,0.0,113958000.0,14770000.0,,27869000.0,1883000.0,117664000.0,0.0,,39828000.0,110928000.0,16016000.0,,0.02603,21561000.0,0.0,0.02603,100514000.0,173514000.0,-623000.0,,541363000.0,0.0,14607000.0,0.0,10623000.0,0.0,,0.0,100514000.0,,,288631000.0,0.0,,6544000.0,0.0,,0.0,,,0.0,252732000.0,216136000.0,32413000.0,,36596000.0,,,0.0,,
2005-06-30,556470000.0,291574000.0,132021000.0,0.0,115308000.0,13685000.0,,28593000.0,1268000.0,135694000.0,0.0,,36288000.0,125366000.0,24346000.0,,0.02326,24945000.0,0.0,0.02326,88162000.0,181864000.0,-488000.0,,556470000.0,0.0,19357000.0,0.0,14316000.0,0.0,,0.0,88162000.0,,,295861000.0,0.0,,5486000.0,0.0,,0.0,,,0.0,260609000.0,216136000.0,43094000.0,,44473000.0,,,0.0,,
2005-09-30,573270000.0,274402000.0,105802000.0,0.0,121654000.0,14096000.0,,31774000.0,849000.0,148183000.0,0.0,,63977000.0,131901000.0,22285000.0,,0.03336,28877000.0,0.0,0.03336,81351000.0,186634000.0,-162000.0,,573270000.0,0.0,23021000.0,0.0,11533000.0,0.0,,0.0,81351000.0,,,302617000.0,0.0,,9665000.0,0.0,,0.0,,,314000.0,270653000.0,216136000.0,47837000.0,,54517000.0,,,0.0,,
2005-12-31,585129000.0,210813000.0,52623000.0,0.0,116405000.0,18637000.0,,20954000.0,848000.0,156304000.0,0.0,,62226000.0,138930000.0,26086000.0,,-0.03528,28056000.0,2550000.0,-0.03528,78299000.0,213841000.0,-844000.0,,585129000.0,0.0,21176000.0,0.0,12542000.0,0.0,,0.0,78299000.0,,,319153000.0,0.0,,322000.0,0.0,,0.0,,,354000.0,265976000.0,216136000.0,75385000.0,,49840000.0,,,0.0,,
2006-03-31,761683000.0,358730000.0,180840000.0,0.0,132456000.0,17150000.0,,20552000.0,2478000.0,157198000.0,0.0,,58321000.0,156796000.0,42062000.0,,-0.0221,24006000.0,2550000.0,-0.0221,85873000.0,233612000.0,-360000.0,,761683000.0,0.0,23899000.0,0.0,18624000.0,0.0,,0.0,85873000.0,,,337750000.0,0.0,,5278000.0,0.0,,0.0,,,412000.0,423933000.0,377836000.0,65739000.0,,46097000.0,,,0.0,,
2006-06-30,981089000.0,559022000.0,375026000.0,0.0,137009000.0,18254000.0,,21776000.0,1566000.0,153706000.0,0.0,,57166000.0,152150000.0,36971000.0,,0.022,25068000.0,1800000.0,0.022,276494000.0,240791000.0,-482000.0,,981089000.0,0.0,25845000.0,0.0,10804000.0,0.0,,0.0,276494000.0,,,527848000.0,0.0,,8895000.0,0.0,,0.0,,,0.0,453241000.0,402091000.0,53375000.0,,51150000.0,,,0.0,,
