,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1,Receita Bruta de Vendas e/ou Serviços,Deduções da Receita Bruta,Receita Líquida de Vendas e/ou Serviços,Custo de Bens e/ou Serviços Vendidos,Resultado Bruto,Despesas Com Vendas,Despesas Gerais e Administrativas,Perdas pela Não Recuperabilidade de Ativos ,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Financeiras,Receitas Financeiras,Despesas Financeiras,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores,Lucro/Prejuízo do Período
2007-03-31,122100.0,110620.0,0.0,0.0,51063.0,39684.0,,0.0,,0.0,40.0,,,0.0,516.0,0.0,,,,516.0,0.0,2093.0,0.0,,122100.0,14646.0,5120.0,0.0,0.0,2572.0,0.0,,840.0,1411.0,,26575.31,15312.0,,6549.0,15593.0,,102.0,,,0.0,83312.0,83828.0,0.00020467,,0.0,165.0,56737.0,0.0,,,,,23177.0,0.0,0.00020467,0.0,-901.0,,296.0,0.0,38788.0,0.0,2984.0,0.0,,,,6332.0,102.0,-1.0,,,-1.0,5439.0
2007-06-30,146034.0,131669.0,0.0,0.0,54455.0,59945.0,,3822.0,,0.0,125.0,,,0.0,705.0,12367.0,,,,705.0,0.0,1251.0,0.0,,146033.0,53878.0,5940.0,4000.0,0.0,16992.0,19.0,,1440.0,1770.0,,28000.0,3875.0,,5564.0,9056.0,,956.0,,,0.0,79899.0,80604.0,9.511e-05,,0.0,493.0,51899.0,0.0,,,,,19403.0,0.0,9.511e-05,0.0,-748.0,,276.0,0.0,66134.0,0.0,10306.0,0.0,,,,3631.0,956.0,-232.0,,,-232.0,2663.0
2007-09-30,172822.0,146648.0,0.0,0.0,54971.0,74088.0,,3538.0,,0.0,29.0,,,0.0,917.0,14810.0,,,,917.0,0.0,1986.0,0.0,,172823.0,59819.0,6649.0,4800.0,0.0,22806.0,658.0,,1440.0,1834.0,,79898.98,11892.0,,9727.0,8085.0,,1110.0,,,0.0,87637.0,88554.0,9.915e-05,,0.0,695.0,7738.0,0.0,,,,,28173.0,0.0,9.915e-05,0.0,-1110.0,,476.0,0.0,85186.0,0.0,9824.0,0.0,,,,9163.0,1110.0,-78.0,,,-78.0,7922.0
2007-12-31,223504.0,201900.0,0.0,0.0,71889.0,114139.0,,0.0,,0.0,1504.0,,,0.0,1159.0,15963.0,,,,1159.0,532.0,2222.0,3065.0,,223504.0,89199.0,7977.0,0.0,7.384e-05,30259.0,-82.0,,1440.0,3185.0,,79898.98,17711.0,,20482.0,11006.0,,18501.0,,,0.0,92601.0,93760.0,0.00011048,,0.0,131.0,12702.0,5900.0,,,,,33626.0,0.0,0.00011048,0.0,-1349.0,,0.0,0.0,130903.0,0.0,10750.0,0.0,,,,10178.0,18501.0,-80.0,,,-80.0,8827.0
2008-03-31,344195.0,324882.0,0.0,0.0,94576.0,110103.0,,2703.0,,0.0,2153.0,,,0.0,1794.0,16764.0,,,,1794.0,532.0,2273.0,0.0,,344195.0,77704.0,10219.0,8457.0,0.0,26787.0,-1.0,,1440.0,3490.0,,106531.97,15256.0,,30920.0,102187.0,,0.0,,,0.0,216248.0,218042.0,9.696000000000001e-05,,0.0,575.0,26349.0,0.0,,,,,37738.0,0.0,9.696000000000001e-05,0.0,-1341.0,,509.0,0.0,127947.0,0.0,17902.0,0.0,,,,11991.0,0.0,-168.0,,,-168.0,10329.0
2009-12-31,1088445.952,873865.0240000001,313880.99199999997,0.0,360767.008,191347.008,0.0,0.0,0.0,7870.0,197040.0,0.0,0.0,193772.992,0.0,0.0,0.0,0.0,0.0,3267.0,0.0,14234.0,3307.0,0.0,1088445.952,170230.0,0.0,11976.0,23657.0,41190.0,0.0,18785.0,65377.0,9245.0,0.0,241358.0,82108.0,0.0,150275.008,0.0,0.0,8975.0,0.0,0.0,20445.0,656412.9920000001,323312.99199999997,197531.008,0.0,135568.992,0.0,0.0,0.0,0.0,0.0,119900.0,-4285.0,115614.976,-75169.984,40445.0,-4285.0,-14711.0,0.0,326.0,0.0,0.0,2758.0,3947.0,-1189.0,0.0,0.0,0.0,24533.0,-3324.0,0.0,0.0,0.0,-2149.0,19060.0
2010-03-31,1162525.952,934105.984,292019.00800000003,0.0,448792.0,186268.0,0.0,0.0,0.0,7027.0,207624.0,0.0,0.0,207624.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17737.0,3059.0,0.0,1162525.952,223778.0,0.0,16166.0,39771.0,67194.0,0.0,18785.0,81862.0,0.0,0.0,214027.008,75478.0,0.0,129113.0,0.0,0.0,9436.0,0.0,0.0,30112.0,694609.0240000001,324040.0,193240.992,0.0,135568.992,41759.0,0.0,0.0,0.0,0.0,147352.0,-4613.0,142739.008,-92690.0,50049.0,-3932.0,-10118.0,0.0,918.0,0.0,0.0,6337.0,7116.0,-779.0,0.0,0.0,0.0,43254.0,-3763.0,0.0,0.0,0.0,-3774.0,35717.0
2010-06-30,1267068.0320000001,1007140.9920000001,296036.0,0.0,513647.008,191152.0,0.0,0.0,0.0,6306.0,238067.008,0.0,0.0,238067.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19155.0,2705.0,0.0,1267068.0320000001,304536.99199999997,0.0,14743.0,44693.0,142172.0,0.0,0.0,102929.0,0.0,0.0,188010.0,78212.0,0.0,98034.0,0.0,0.0,11764.0,0.0,0.0,39181.0,735340.032,324171.00800000003,195027.008,0.0,135568.992,80573.0,0.0,0.0,0.0,0.0,169799.008,-4623.0,165176.0,-109645.0,55531.0,-4482.0,-13260.0,0.0,137.0,0.0,0.0,9826.0,10425.0,-599.0,0.0,0.0,0.0,47752.0,-4039.0,0.0,0.0,0.0,-4899.0,38814.0
2010-09-30,1455851.0080000001,1098569.9840000002,235075.008,0.0,549323.0079999999,305440.99199999997,0.0,0.0,0.0,8731.0,327628.0,0.0,0.0,327628.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27065.0,2588.0,0.0,1455851.0080000001,443476.0,0.0,21278.0,50580.0,178287.008,0.0,0.0,193331.008,0.0,0.0,189096.992,67437.0,0.0,104928.0,0.0,0.0,16732.0,0.0,0.0,40427.0,782851.0079999999,324171.00800000003,198622.0,0.0,135568.992,124489.0,0.0,0.0,0.0,0.0,217115.008,-6408.0,210707.008,-146770.0,63937.0,-5453.0,-16420.0,0.0,0.0,-370.0,0.0,11323.0,12168.0,-845.0,0.0,0.0,0.0,53017.0,-5445.0,0.0,0.0,0.0,-3656.0,43916.0
2010-12-31,1679542.0159999998,1308164.992,190851.008,0.0,662411.0079999999,408441.984,0.0,6438.0,3587.0,36436.0,334446.016,0.0,0.0,157403.008,151118.0,0.0,0.0,0.0,25925.0,0.0,0.0,34630.0,2301.0,0.0,1679542.0159999998,411446.016,27582.0,23483.0,43268.0,121643.0,0.0,0.0,195470.0,0.0,0.0,440240.992,180731.008,0.0,239647.008,11026.0,0.0,8837.0,0.0,0.0,34378.0,793476.9759999999,324247.00800000003,201339.008,0.0,267891.00800000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263284.99199999997,-184678.97600000002,78606.016,-6174.0,-20074.0,0.0,3382.0,-13519.0,0.0,1119.0,3463.0,-2344.0,0.0,0.0,0.0,43340.0,4115.0,-11679.0,0.0,0.0,12329.0,48105.0
