,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1,Receita Bruta de Vendas e/ou Serviços,Deduções da Receita Bruta,Receita Líquida de Vendas e/ou Serviços,Custo de Bens e/ou Serviços Vendidos,Resultado Bruto,Despesas Com Vendas,Despesas Gerais e Administrativas,Perdas pela Não Recuperabilidade de Ativos ,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Financeiras,Receitas Financeiras,Despesas Financeiras,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores,Lucro/Prejuízo do Período
2013-12-31,4989346.816000001,293486.016,4210.0,0.0,175912.0,17993.0,0.0,0.0,0.0,95371.0,961708.9920000001,0.0,0.0,0.0,270390.016,0.0,537163.0079999999,11234.0,0.0,142922.0,7.0,2985761.0239999997,748384.0,0.0,4989346.816000001,14371132.416,15279.0,1267072.0,19446.0,9127968.768,0.0,0.0,3767576.064,173790.0,0.0,344974.016,0.0,0.0,0.0,0.0,0.0,344974.016,0.0,0.0,51900.0,-9778658.912,8476908.032,95701.0,0.0,0.0,-18350864.384,0.0,-403.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-31,4292614.912,276590.016,42699.0,0.0,15968.0,0.0,0.0,0.0,0.0,217923.008,838368.0,0.0,0.0,0.0,254656.992,0.0,396702.016,0.0,41492.0,145516.992,160303.008,2278404.096,738950.016,0.0,4292614.912,13716903.935999999,12982.0,1082866.9440000001,16829.0,270147.00800000003,0.0,0.0,12334078.976,0.0,0.0,232543.008,0.0,0.0,0.0,0.0,0.0,232543.008,0.0,0.0,0.0,-9656832.0,8493388.8,73104.0,0.0,0.0,-18222288.895999998,0.0,-1036.0,0.0,0.0,0.0,0.0,220796.992,-152132.0,68665.0,0.0,-34960.0,-8142.0,0.0,24824.0,12782.0,88802.0,882401.984,-793600.0,0.0,0.0,0.0,151971.008,0.0,0.0,0.0,0.0,0.0,128576.0
2014-06-30,12555466.752,519604.0,46113.0,0.0,47831.0,24332.0,0.0,0.0,0.0,401328.0,8831106.048,0.0,0.0,0.0,61459.0,0.0,275096.99199999997,0.0,42565.0,8451984.896,16204.0,2451546.88,737006.016,0.0,12555466.752,13779033.088,15673.0,1107250.048,14077.0,8737363.968,0.0,0.0,3690899.9680000003,213768.992,0.0,8151362.0479999995,0.0,0.0,7940797.9520000005,0.0,0.0,210564.0,0.0,0.0,0.0,-9374927.872000001,8493513.216,89452.0,0.0,0.0,-17956911.104000002,0.0,-981.0,0.0,0.0,0.0,0.0,292995.00800000003,-216544.0,76451.0,0.0,-66959.0,-4474.0,0.0,-274624.0,-12616.0,573006.0160000001,500753.984,72252.0,0.0,0.0,0.0,290784.0,0.0,0.0,0.0,0.0,0.0,265376.99199999997
2014-09-30,4979526.143999999,448548.992,7819.0,0.0,5820.0,102390.0,0.0,0.0,0.0,332520.0,620137.024,0.0,0.0,0.0,63913.0,0.0,275096.0,0.0,31057.0,250071.008,25783.0,3149795.0719999997,735262.016,0.0,4979526.143999999,1411387.0080000001,20616.0,352620.0,14887.0,686745.984,0.0,0.0,130798.0,205720.0,0.0,218328.992,0.0,0.0,0.0,0.0,0.0,218328.992,0.0,0.0,0.0,3349809.92,8607352.832,439740.0,0.0,0.0,-5695511.04,0.0,-1772.0,0.0,0.0,0.0,0.0,178356.0,-127029.0,51327.0,0.0,-4145.0,-23364.0,0.0,13619878.912,743.0,-1394050.0480000002,-615779.0079999999,-778270.9759999999,0.0,0.0,0.0,12250389.504,0.0,0.0,0.0,0.0,0.0,12261400.576
2014-12-31,2435866.88,548998.976,177607.008,0.0,32624.0,35893.0,0.0,14326.0,0.0,288548.99199999997,661001.024,0.0,0.0,0.0,58791.0,0.0,443900.992,0.0,42265.0,116044.0,32103.0,518699.008,675065.0240000001,0.0,2435866.88,1454523.0080000001,14870.0,168018.0,22970.0,936574.016,0.0,0.0,136323.008,175768.0,0.0,363032.992,0.0,0.0,0.0,0.0,0.0,363032.992,0.0,0.0,0.0,618310.976,8607345.663999999,461940.992,0.0,0.0,-8429384.192,0.0,-21592.0,0.0,0.0,0.0,0.0,296940.032,-308924.0,-11984.0,0.0,-87076.992,-2699833.856,13453391.872000001,-13452558.336,531.0,-100585.984,-740414.9759999999,639828.928,0.0,0.0,0.0,-2898115.584,0.0,0.0,0.0,0.0,0.0,-2733873.152
2015-03-31,2279035.904,426640.992,62870.0,0.0,8011.0,74470.0,0.0,4089.0,0.0,277200.99199999997,692148.9920000001,0.0,0.0,0.0,60877.0,0.0,436647.008,0.0,41383.0,153242.0,43809.0,541337.9839999999,575099.0079999999,0.0,2279035.904,1866797.9519999998,9362.0,183896.0,20877.0,1167033.9840000002,0.0,0.0,184712.0,300916.99199999997,0.0,85431.0,0.0,0.0,0.0,0.0,0.0,85431.0,0.0,0.0,0.0,326807.00800000003,8607345.663999999,439814.016,0.0,0.0,-8497827.84,0.0,-222524.992,0.0,0.0,0.0,0.0,97682.0,-149264.992,-51583.0,0.0,-18289.0,250836.0,0.0,-13996.0,3590.0,-139352.992,9560.0,-148912.992,0.0,0.0,0.0,31205.0,0.0,0.0,0.0,0.0,0.0,-68444.0
2015-06-30,2267235.0719999997,405300.992,41680.0,0.0,7034.0,103583.0,0.0,0.0,0.0,253004.0,664966.0160000001,0.0,0.0,0.0,59892.0,0.0,436647.008,0.0,46039.0,122388.0,69532.0,553454.0160000001,573982.0160000001,0.0,2267235.0719999997,2020960.0,11073.0,176290.0,21959.0,1152896.0,0.0,0.0,215291.008,443451.008,0.0,129321.0,44417.0,0.0,0.0,0.0,0.0,84904.0,0.0,0.0,0.0,116954.0,8607345.663999999,439814.016,0.0,0.0,-8749157.376,0.0,-181048.992,0.0,0.0,0.0,0.0,165268.992,-186843.008,-21574.0,0.0,-24916.0,-163076.992,0.0,-18782.0,-1678.0,-29133.0,3613.0,-32746.0,0.0,0.0,0.0,-259160.0,0.0,0.0,0.0,0.0,0.0,-251328.992
2015-09-30,2470054.912,376520.992,70808.0,0.0,1586.0,26968.0,0.0,26462.0,0.0,250696.992,796942.016,0.0,0.0,0.0,39328.0,0.0,436647.008,0.0,49613.0,271353.984,131138.0,592539.0079999999,572915.0079999999,0.0,2470054.912,2641730.048,14466.0,157400.0,22142.0,1512093.9519999998,0.0,0.0,373272.992,562355.0079999999,0.0,310207.00800000003,0.0,0.0,56877.0,0.0,0.0,253330.0,0.0,0.0,0.0,-481881.984,8607345.663999999,346716.0,0.0,0.0,-8851005.44,0.0,-584939.0079999999,0.0,0.0,0.0,0.0,228776.0,-255280.0,-26504.0,0.0,-31996.0,114404.0,0.0,-192334.0,-3387.0,-56820.0,5314.0,-62134.0,0.0,0.0,0.0,-196636.992,0.0,0.0,0.0,0.0,0.0,-194946.0
2015-12-31,2397723.904,300684.99199999997,23546.0,0.0,0.0,17168.0,0.0,15000.0,0.0,244971.008,733409.984,0.0,0.0,0.0,21374.0,0.0,358223.008,0.0,54421.0,299392.0,151779.008,639916.9920000001,571932.9920000001,0.0,2397723.904,2388216.0640000002,20403.0,139056.992,19725.0,1526411.0080000001,0.0,0.0,468140.992,214479.008,0.0,688446.016,0.0,0.0,56148.0,142038.0,0.0,490260.0,0.0,0.0,0.0,-678937.984,8607345.663999999,0.0,0.0,0.0,-8743856.127999999,0.0,-542428.032,0.0,0.0,0.0,0.0,92822.016,-150242.94400000002,-57421.0,0.0,-40046.0,29961.984,0.0,-53971.008,194.0,-33972.016,8838.0,-42810.015999999996,0.0,0.0,0.0,-155254.016,0.0,0.0,0.0,0.0,0.0,-239567.008
2016-03-31,2474766.08,256440.992,7363.0,0.0,167.0,0.0,0.0,0.0,0.0,248911.008,840345.984,0.0,0.0,0.0,18779.0,0.0,358223.008,0.0,55423.0,407920.992,169380.992,637569.9839999999,571027.968,0.0,2474766.08,2316043.008,19375.0,135796.0,21532.0,1413529.9840000002,0.0,0.0,530008.9920000001,195800.992,0.0,584752.0,0.0,0.0,51174.0,80720.0,0.0,452857.984,0.0,0.0,0.0,-426028.992,8607470.592,117273.0,0.0,0.0,-8809212.928,0.0,-341560.0,0.0,0.0,0.0,0.0,53631.0,-119766.0,-66135.0,0.0,-13919.0,-37662.0,0.0,52581.0,-33.0,983.0,34616.0,-33633.0,0.0,0.0,0.0,-64185.0,0.0,0.0,0.0,0.0,0.0,-65357.0
