,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2001-12-31,259206000.0,183758000.0,81303000.0,0.0,0.0,65283000.0,,9767000.0,0.0,,198400000.0,,,,,,,198586000.0,,,25746000.0,67593000.0,0.0,,259206000.0,46437000.0,0.0,2486000.0,8261000.0,0.0,,4969000.0,0.0,,,0.0,0.0,,-2996000.0,0.0,,,,0.0,186000.0,108464000.0,27138000.0,,,0.0,9406000.0,,0.0,0.0,
2002-03-31,238437000.0,162423000.0,56506000.0,0.0,0.0,63782000.0,,9000000.0,2639000.0,,202906000.0,,,,,,,203087000.0,,,0.0,67461000.0,0.0,,238437000.0,23888000.0,1837000.0,4068000.0,5876000.0,0.0,,5014000.0,0.0,,,0.0,0.0,,4505000.0,0.0,,,,0.0,181000.0,112970000.0,27142000.0,,,0.0,2460000.0,,0.0,0.0,
2002-06-30,252433000.0,175217000.0,62821000.0,0.0,0.0,65449000.0,,10311000.0,3961000.0,,206074000.0,,,,,,,206248000.0,,,8061000.0,67424000.0,0.0,,252433000.0,33010000.0,1851000.0,5742000.0,4170000.0,0.0,,49000.0,0.0,,,0.0,0.0,,2530000.0,0.0,,,,0.0,174000.0,91073000.0,27204000.0,,,0.0,1449000.0,,0.0,0.0,
2002-09-30,267608000.0,190767000.0,58701000.0,0.0,0.0,77633000.0,,10339000.0,5960000.0,,213719000.0,,,,,,,213893000.0,,,13957000.0,66387000.0,0.0,,267608000.0,38186000.0,3153000.0,4165000.0,3969000.0,0.0,,49000.0,0.0,,,0.0,0.0,,6145000.0,0.0,,,,0.0,174000.0,96219000.0,27757000.0,,,0.0,2164000.0,,0.0,0.0,
2002-12-31,264921000.0,187762000.0,60727000.0,0.0,0.0,78368000.0,,9074000.0,0.0,,214268000.0,,,,,,,214439000.0,,,15356000.0,67534000.0,0.0,,264921000.0,35582000.0,0.0,3402000.0,4951000.0,0.0,,5351000.0,0.0,,,0.0,0.0,,1086000.0,0.0,,,,0.0,171000.0,96768000.0,29561000.0,,,0.0,8197000.0,,0.0,0.0,
2003-03-31,261530000.0,184091000.0,53248000.0,0.0,0.0,75758000.0,,8862000.0,2409000.0,,220864000.0,,,,,,,221041000.0,,,0.0,67346000.0,0.0,,261530000.0,25466000.0,2283000.0,3983000.0,4592000.0,0.0,,5352000.0,0.0,,,0.0,0.0,,6600000.0,0.0,,,,0.0,177000.0,103364000.0,29576000.0,,,0.0,3359000.0,,0.0,0.0,
2003-06-30,295047000.0,212456000.0,76033000.0,0.0,0.0,80232000.0,,9841000.0,6523000.0,,227880000.0,,,,,,,228063000.0,,,23389000.0,70927000.0,0.0,,295047000.0,52587000.0,2353000.0,7035000.0,4805000.0,0.0,,52000.0,0.0,,,0.0,0.0,,4169000.0,0.0,,,,0.0,183000.0,108162000.0,32872000.0,,,0.0,5765000.0,,0.0,0.0,
2003-09-30,320062000.0,241062000.0,78106000.0,0.0,0.0,102315000.0,,10916000.0,7464000.0,,230716000.0,,,,,,,230894000.0,,,48766000.0,69984000.0,0.0,,320062000.0,77604000.0,3405000.0,4846000.0,4698000.0,0.0,,52000.0,0.0,,,0.0,0.0,,3457000.0,0.0,,,,0.0,178000.0,110616000.0,32941000.0,,,0.0,1623000.0,,0.0,0.0,
2003-12-31,317737000.0,239376000.0,88849000.0,0.0,0.0,92564000.0,,10397000.0,3730000.0,,228422000.0,,,,,,,228605000.0,,,55627000.0,69027000.0,0.0,,317737000.0,78098000.0,4257000.0,3885000.0,7879000.0,0.0,,4172000.0,0.0,,,0.0,0.0,,-1434000.0,0.0,,,,0.0,183000.0,108322000.0,33778000.0,,,0.0,7055000.0,,0.0,0.0,
2004-03-31,302324000.0,222510000.0,64900000.0,0.0,0.0,87366000.0,,14405000.0,4061000.0,,233398000.0,,,,,,,233660000.0,,,27926000.0,69235000.0,0.0,,302324000.0,56910000.0,6152000.0,5930000.0,4622000.0,0.0,,4216000.0,0.0,,,0.0,0.0,,4989000.0,0.0,,,,0.0,262000.0,113298000.0,33841000.0,,,0.0,2524000.0,,0.0,0.0,
