,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2003-03-31,9659.0,1505.0,21.0,0.0,739.0,,,597.0,-6615.0,0.0,0.0,,,,0.0,,,0.0,,28.0,,4109.0,250.0,,9658.0,12494.0,845.0,2700.0,-900.0,-18386.0,,,2519.0,,,16273.0,2423.0,,1356.0,,,0.0,,0.0,,-6615.0,120.0,0.0,0.0,,0.0,0.0,,,
2003-06-30,9746.0,1911.0,529.0,0.0,700.0,,,548.0,-9105.0,0.0,0.0,,,,0.0,,,0.0,,25.0,,3847.0,250.0,,9746.0,11637.0,873.0,1573.0,-63.0,-20876.0,,,4409.0,,,18851.0,2440.0,,4774.0,,,0.0,,0.0,,-9105.0,109.0,0.0,0.0,,0.0,0.0,,,
2003-09-30,14961.0,617.0,19.0,-1736.0,173.0,,,296.0,2443.0,0.0,0.0,,,,0.0,,,0.0,,26.0,,8676.0,250.0,,14962.0,6154.0,466.0,1576.0,-8.0,-18398.0,,,3620.0,,,12519.0,0.0,,6365.0,,,0.0,,0.0,,2443.0,103.0,0.0,3370.0,,0.0,0.0,,,
2003-12-31,14963.0,1233.0,51.0,0.0,823.0,,,204.0,1364.0,0.0,0.0,,,,0.0,,,0.0,,18.0,,8227.0,250.0,,14964.0,6718.0,580.0,1645.0,385.0,-19319.0,,,5156.0,,,13600.0,0.0,,6400.0,,,482.0,,0.0,,1364.0,137.0,0.0,3212.0,,0.0,0.0,,,
2004-03-31,14827.0,1732.0,42.0,0.0,670.0,,,611.0,-965.0,0.0,0.0,,,,0.0,,,0.0,,18.0,,7726.0,250.0,,14827.0,6706.0,377.0,2041.0,-3.0,-21490.0,,,3566.0,,,15792.0,275.0,,8123.0,,,688.0,,0.0,,-965.0,391.0,0.0,3054.0,,0.0,0.0,,,
2004-06-30,13773.0,1288.0,13.0,0.0,309.0,,,580.0,-3627.0,0.0,0.0,,,,0.0,,,0.0,,31.0,,7251.0,250.0,,13772.0,7902.0,718.0,2438.0,-10.0,-23995.0,,,5241.0,,,17399.0,275.0,,8319.0,,,903.0,,0.0,,-3627.0,355.0,0.0,2897.0,,0.0,0.0,,,
2004-09-30,13579.0,1708.0,22.0,0.0,335.0,,,835.0,-7193.0,0.0,0.0,,,,0.0,,,0.0,,85.0,,6771.0,250.0,,13579.0,7762.0,816.0,2026.0,-2412.0,-27403.0,,,2078.0,,,20772.0,275.0,,12735.0,,,0.0,,0.0,,-7193.0,431.0,0.0,2739.0,,0.0,0.0,,,
2004-12-31,12878.0,1696.0,347.0,0.0,354.0,,,725.0,-9831.0,0.0,0.0,,,,0.0,,,0.0,,79.0,,6215.0,250.0,,12878.0,9633.0,1534.0,2033.0,-99.0,-29883.0,,,5468.0,,,22709.0,176.0,,12900.0,,,0.0,,0.0,,-9831.0,191.0,0.0,2581.0,,0.0,0.0,,,
2005-03-31,12613.0,2023.0,615.0,0.0,360.0,,,752.0,-11972.0,0.0,0.0,,,,0.0,,,0.0,,136.0,,5756.0,250.0,,12613.0,11320.0,1057.0,1614.0,-27.0,-31867.0,,,4116.0,,,24585.0,151.0,,13114.0,,,0.0,,0.0,,-11972.0,160.0,0.0,2424.0,,0.0,0.0,,,
2005-06-30,11883.0,1761.0,182.0,0.0,360.0,,,802.0,-14010.0,0.0,0.0,,,,0.0,,,0.0,,141.0,,5424.0,250.0,,11883.0,12308.0,1339.0,2299.0,-18.0,-33747.0,,,4943.0,,,25893.0,114.0,,13471.0,,,0.0,,0.0,,-14010.0,276.0,0.0,2266.0,,0.0,0.0,,,
