,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2007-06-30,646539000.0,211102000.0,125418000.0,,0.0,24395000.0,,0.0,,610000.0,215863000.0,,,0.0,2827000.0,0.0,128350000.0,215863000.0,,-2387000.0,139000.0,15709000.0,0.0,,646539000.0,284599000.0,6753000.0,29704000.0,10330000.0,0.0,,10000000.0,0.0,,,404043000.0,47850000.0,,1105000.0,0.0,,4165000.0,,,0.0,235404000.0,0.0,0.0,0.0,118711000.0,,0.0,,,
2007-09-30,856296000.0,403009000.0,313302000.0,,0.0,24663000.0,,0.0,,706000.0,221469000.0,,,0.0,3138000.0,0.0,115567000.0,221469000.0,,-179000.0,63000.0,15689000.0,0.0,,856296000.0,282898000.0,7653000.0,32303000.0,11044000.0,0.0,,0.0,0.0,,,421385000.0,51215000.0,,1126000.0,0.0,,4769000.0,,,0.0,453294000.0,0.0,0.0,0.0,123487000.0,,0.0,,,
2007-12-31,934447000.0,376291000.0,277032000.0,,0.0,24167000.0,,0.0,,648000.0,244251000.0,,,-7823000.0,4071000.0,0.0,141607000.0,244251000.0,,-50000.0,59000.0,15665000.0,0.0,,934447000.0,304596000.0,8560000.0,52140000.0,11491000.0,0.0,,5000000.0,0.0,,,536003000.0,56948000.0,,1127000.0,0.0,,16350000.0,,,0.0,472553000.0,0.0,0.0,0.0,135917000.0,,0.0,,,
2008-03-31,947992000.0,353995000.0,260458000.0,,-104201000.0,24885000.0,,7184000.0,,553000.0,249353000.0,,,0.0,3633000.0,14474000.0,132997000.0,249353000.0,,0.0,65000.0,15644000.0,225244000.0,,947992000.0,304942000.0,8701000.0,52577000.0,12497000.0,0.0,,0.0,217070000.0,,,560931000.0,47508000.0,,388000.0,0.0,,4817000.0,,,0.0,502252000.0,1791.0,0.0,0.0,157793000.0,,0.0,,,
2008-06-30,1019382000.0,362012000.0,252865000.0,,-111602000.0,29842000.0,,7184000.0,,1253000.0,272981000.0,,,0.0,4225000.0,15414000.0,156846000.0,272981000.0,,0.0,73000.0,15621000.0,225684000.0,,1019382000.0,333974000.0,8703000.0,67090000.0,15835000.0,0.0,,0.0,275604000.0,,,619055000.0,55269000.0,,392000.0,0.0,,4810000.0,,,0.0,527245000.0,1768.0,0.0,0.0,182786000.0,,0.0,,,
2008-09-30,1061479000.0,326314000.0,191263000.0,,-116700000.0,42465000.0,,8684000.0,,1599000.0,314536000.0,,,0.0,6517000.0,17009000.0,152012000.0,314536000.0,,0.0,69000.0,15596000.0,383268000.0,,1061479000.0,373294000.0,11162000.0,61730000.0,13845000.0,0.0,,0.0,144501000.0,,,686691000.0,62010000.0,,11206000.0,0.0,,5293000.0,,,0.0,533866000.0,1881.0,0.0,0.0,189407000.0,,0.0,,,
2008-12-31,1137591000.0,257372000.0,118647000.0,,0.0,53972000.0,,0.0,,1185000.0,362295000.0,,,-7823000.0,12024000.0,17705000.0,164810000.0,362295000.0,,0.0,63000.0,78517000.0,0.0,,1137591000.0,426015000.0,10953000.0,68521000.0,6788000.0,0.0,,8526000.0,0.0,,,828731000.0,47595000.0,,14905000.0,0.0,,5367000.0,,,5518000.0,521084000.0,7886.0,5518000.0,0.0,186625000.0,,0.0,,,
2009-06-30,1182870000.0,209502000.0,58772000.0,,0.0,44832000.0,,0.0,,2166000.0,372413000.0,,,-7823000.0,24585000.0,15442000.0,196473000.0,372413000.0,,3695000.0,70000.0,29433000.0,0.0,,1182870000.0,472954000.0,9628000.0,52229000.0,9490000.0,0.0,,0.0,0.0,,,916637000.0,56367000.0,,17225000.0,0.0,,5804000.0,,,0.0,530343000.0,0.0,0.0,0.0,195884000.0,,0.0,,,
2009-09-30,4354448000.0,1249583000.0,336864000.0,,-1075208000.0,258972000.0,,499288000.0,,2908000.0,691084000.0,,,-12939000.0,138382000.0,65983000.0,1079832000.0,691084000.0,,2092000.0,652000.0,38290000.0,2301038000.0,,4354448000.0,1358732000.0,87623000.0,131019000.0,49592000.0,0.0,,5568000.0,183588000.0,,,2910028000.0,424168000.0,,27622000.0,0.0,,161311000.0,,,1635000.0,2314684000.0,8631.0,1635000.0,0.0,1041715000.0,,0.0,,,
2009-09-30,4354447.8719999995,1249582.976,336864.0,0.0,424168.0,258972.0,0.0,0.0,0.0,229579.008,153682.0,0.0,0.0,153682.0,0.0,0.0,0.0,0.0,0.0,0.0,652.0,2910028.0319999997,40503.0,0.0,4354447.8719999995,1079832.064,0.0,131019.0,49592.0,667648.0,0.0,5568.0,138382.0,87623.0,0.0,958297.0240000001,691084.032,0.0,99064.0,0.0,0.0,168148.992,0.0,0.0,1635.0,2314683.904,1280262.0159999998,294945.984,157338.0,576867.0079999999,10387.0,-5116.0,0.0,0.0,0.0
