,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2002-12-31,43348000.0,12723000.0,2006000.0,0.0,4850000.0,4328000.0,,28606000.0,42000.0,,1313000.0,,,,0.0,,,,,,378000.0,0.0,0.0,,43348000.0,28215000.0,0.0,2434000.0,-1620000.0,276000.0,,0.0,888000.0,,,0.0,0.0,,0.0,90046000.0,,1031000.0,,,,-75944000.0,8594000.0,,,-84538000.0,,0.0,,,
2003-03-31,46145000.0,14380000.0,915000.0,0.0,7311000.0,5649000.0,,29331000.0,104000.0,,1417000.0,,,,0.0,,,,,,378000.0,0.0,0.0,,46142000.0,30557000.0,0.0,3409000.0,-2154000.0,805000.0,,0.0,-20000.0,,,0.0,0.0,,0.0,91985000.0,,1031000.0,,,,-77431000.0,8594000.0,,,-86025000.0,,0.0,,,
2003-06-30,49345000.0,15159000.0,746000.0,0.0,6412000.0,6443000.0,,31340000.0,92000.0,,1638000.0,,,,0.0,,,,,,378000.0,0.0,0.0,,49345000.0,33777000.0,0.0,4050000.0,-2017000.0,2757000.0,,0.0,948000.0,,,0.0,0.0,,0.0,93799000.0,,1031000.0,,,,-79262000.0,8594000.0,,,-87856000.0,,0.0,,,
2003-09-30,53831000.0,18145000.0,832000.0,0.0,8440000.0,7900000.0,,32358000.0,80000.0,,1834000.0,,,,0.0,,,,,,378000.0,0.0,0.0,,53830000.0,37504000.0,0.0,4568000.0,-2200000.0,4476000.0,,0.0,-145000.0,,,0.0,0.0,,0.0,96486000.0,,743000.0,,,,-80903000.0,8594000.0,,,-89497000.0,,0.0,,,
2003-12-31,53808000.0,16036000.0,1665000.0,0.0,7449000.0,7111000.0,,33891000.0,22000.0,,1988000.0,,,,0.0,,,,,,378000.0,0.0,0.0,,53807000.0,37893000.0,0.0,4807000.0,-2620000.0,3553000.0,,0.0,-1184000.0,,,0.0,0.0,,0.0,97426000.0,,707000.0,,,,-82219000.0,8594000.0,,,-90813000.0,,0.0,,,
2004-03-31,56245000.0,17505000.0,1020000.0,0.0,8977000.0,7552000.0,,34432000.0,79000.0,,2047000.0,,,,0.0,,,,,,378000.0,0.0,0.0,,56245000.0,39472000.0,0.0,4858000.0,-2943000.0,4347000.0,,0.0,-481000.0,,,0.0,0.0,,0.0,98994000.0,,651000.0,,,,-82872000.0,8594000.0,,,-91466000.0,,0.0,,,
2004-06-30,61248000.0,20312000.0,800000.0,0.0,12171000.0,7125000.0,,35713000.0,75000.0,,2319000.0,,,,0.0,,,,,,378000.0,0.0,0.0,,61246000.0,44467000.0,0.0,7464000.0,-4415000.0,3689000.0,,0.0,-797000.0,,,0.0,0.0,,0.0,100091000.0,,651000.0,,,,-83963000.0,8594000.0,,,-92557000.0,,0.0,,,
2004-09-30,64414000.0,22333000.0,1173000.0,0.0,13076000.0,8974000.0,,36276000.0,62000.0,,2522000.0,,,,0.0,,,,,,378000.0,0.0,0.0,,64412000.0,46367000.0,0.0,8585000.0,-6590000.0,3203000.0,,0.0,-1640000.0,,,0.0,0.0,,0.0,100925000.0,,651000.0,,,,-83531000.0,8594000.0,,,-92125000.0,,0.0,,,
2004-12-31,66466000.0,22424000.0,2393000.0,0.0,10339000.0,9478000.0,,39511000.0,29000.0,,3030000.0,,,,0.0,,,,,,378000.0,0.0,0.0,,66467000.0,50096000.0,0.0,10810000.0,-8582000.0,6313000.0,,0.0,-354000.0,,,0.0,0.0,,302000.0,99552000.0,,616000.0,,,,-83797000.0,8594000.0,,,-92391000.0,,0.0,,,
2005-03-31,75411000.0,29724000.0,5449000.0,0.0,16119000.0,10792000.0,,40585000.0,14000.0,,3132000.0,,,,0.0,,,,,,378000.0,0.0,0.0,,75411000.0,56135000.0,0.0,10749000.0,-8638000.0,3112000.0,,0.0,-3681000.0,,,0.0,0.0,,468000.0,100182000.0,,616000.0,,,,-81522000.0,8594000.0,,,-90116000.0,,0.0,,,
